Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2010-07-17 08:00:00,Abra,383.74,131.4,SE
2010-07-17 11:00:00,Abra,368.33,131.24,SE
2010-07-17 14:00:00,Abra,337.54,130.87,SE
2010-07-17 17:00:00,Abra,337.24,133.49,SE
2010-07-17 20:00:00,Abra,337.64,136.11,SE
2010-07-17 23:00:00,Abra,331.84,140.13,SE
2010-07-18 02:00:00,Abra,318.68,143.11,SE
2010-07-18 05:00:00,Abra,321.62,145.83,SE
2010-07-18 08:00:00,Abra,310.22,149.13,SSE
2010-07-18 11:00:00,Abra,290.8,156.44,SSE
2010-07-18 14:00:00,Abra,263.2,166.25,SSE
2010-07-18 17:00:00,Abra,267.01,178.09,S
2010-07-18 20:00:00,Abra,283.41,191.3,SSW
2010-07-18 23:00:00,Abra,308.81,200.72,SSW
2010-07-19 02:00:00,Abra,331.34,209.47,SSW
2010-07-19 05:00:00,Abra,375.76,217.27,SW
2010-07-19 08:00:00,Abra,410.08,223.31,SW
2010-07-19 11:00:00,Abra,432.71,228.51,SW
2010-07-19 14:00:00,Abra,451.72,234.28,SW
2010-07-19 17:00:00,Abra,474.79,239.54,WSW
2010-07-19 20:00:00,Abra,486.8,244.88,WSW
2010-07-19 23:00:00,Abra,478.75,250.23,WSW
2010-07-20 02:00:00,Abra,474.93,255.72,WSW
2010-07-20 05:00:00,Abra,485.94,261.46,W
2010-07-20 08:00:00,Abra,512.05,266.99,W
2010-07-20 11:00:00,Abra,542.33,270.77,W
2010-07-20 14:00:00,Abra,584.82,273.02,W
2010-07-20 17:00:00,Abra,627.99,274.96,W
2010-07-20 20:00:00,Abra,661.18,276.74,W
2010-07-20 23:00:00,Abra,703.29,276.46,W
2010-07-21 02:00:00,Abra,744.73,275.35,W
2010-07-21 05:00:00,Abra,766.51,276.1,W
2010-07-21 08:00:00,Abra,788.38,276.8,W
2010-07-21 11:00:00,Abra,811.42,278.26,W
2010-07-21 14:00:00,Abra,825.93,280.49,W
2010-07-21 17:00:00,Abra,850.09,281.78,WNW
2010-07-21 20:00:00,Abra,876.69,283.72,WNW
2010-07-21 23:00:00,Abra,911.98,284.71,WNW
2010-07-22 02:00:00,Abra,942.51,287.1,WNW
2010-07-22 05:00:00,Abra,981.41,288.54,WNW
2010-07-22 08:00:00,Abra,1024.06,290.48,WNW
2010-07-22 11:00:00,Abra,1077.44,292.08,WNW
2010-07-22 14:00:00,Abra,1141.12,293.36,WNW
2010-07-22 17:00:00,Abra,1177.93,293.87,WNW
2010-07-22 20:00:00,Abra,1224.42,294.18,WNW
2010-07-22 23:00:00,Abra,1274.83,294.94,WNW
2010-07-23 02:00:00,Abra,1329.48,296.1,WNW
2010-07-23 05:00:00,Abra,1389.6,296.59,WNW
2010-07-23 08:00:00,Abra,1449.66,297.04,WNW
2010-07-23 11:00:00,Abra,1509.67,297.47,WNW
2010-07-23 14:00:00,Abra,1565.29,297.5,WNW
2010-07-23 17:00:00,Abra,1607.19,297.31,WNW
2010-07-23 20:00:00,Abra,1644.95,296.76,WNW
2010-07-17 08:00:00,Agusan del Norte,746.5,341.27,NNW
2010-07-17 11:00:00,Agusan del Norte,760.56,340.79,NNW
2010-07-17 14:00:00,Agusan del Norte,788.83,339.86,NNW
2010-07-17 17:00:00,Agusan del Norte,782.33,338.84,NNW
2010-07-17 20:00:00,Agusan del Norte,776.1,337.8,NNW
2010-07-17 23:00:00,Agusan del Norte,774.53,336.01,NNW
2010-07-18 02:00:00,Agusan del Norte,783.72,334.58,NNW
2010-07-18 05:00:00,Agusan del Norte,778.58,333.51,NNW
2010-07-18 08:00:00,Agusan del Norte,788.62,332.12,NNW
2010-07-18 11:00:00,Agusan del Norte,810.07,329.45,NNW
2010-07-18 14:00:00,Agusan del Norte,848.46,326.74,NNW
2010-07-18 17:00:00,Agusan del Norte,870.91,323.4,NW
2010-07-18 20:00:00,Agusan del Norte,903.32,319.72,NW
2010-07-18 23:00:00,Agusan del Norte,931.76,316.78,NW
2010-07-19 02:00:00,Agusan del Norte,970.17,314.51,NW
2010-07-19 05:00:00,Agusan del Norte,1010.97,311.54,NW
2010-07-19 08:00:00,Agusan del Norte,1052.68,309.65,NW
2010-07-19 11:00:00,Agusan del Norte,1093.52,308.72,NW
2010-07-19 14:00:00,Agusan del Norte,1141.22,308.31,NW
2010-07-19 17:00:00,Agusan del Norte,1188.96,307.94,NW
2010-07-19 20:00:00,Agusan del Norte,1234.6,308.32,NW
2010-07-19 23:00:00,Agusan del Norte,1269.93,309.65,NW
2010-07-20 02:00:00,Agusan del Norte,1305.86,310.92,NW
2010-07-20 05:00:00,Agusan del Norte,1350.51,311.83,NW
2010-07-20 08:00:00,Agusan del Norte,1403.51,312.4,NW
2010-07-20 11:00:00,Agusan del Norte,1449.35,312.6,NW
2010-07-20 14:00:00,Agusan del Norte,1496.1,312.2,NW
2010-07-20 17:00:00,Agusan del Norte,1542.9,311.83,NW
2010-07-20 20:00:00,Agusan del Norte,1581.53,311.72,NW
2010-07-20 23:00:00,Agusan del Norte,1614.57,310.77,NW
2010-07-21 02:00:00,Agusan del Norte,1641.4,309.54,NW
2010-07-21 05:00:00,Agusan del Norte,1664.99,309.41,NW
2010-07-21 08:00:00,Agusan del Norte,1688.58,309.29,NW
2010-07-21 11:00:00,Agusan del Norte,1718.77,309.47,NW
2010-07-21 14:00:00,Agusan del Norte,1747.18,310.15,NW
2010-07-21 17:00:00,Agusan del Norte,1777.38,310.32,NW
2010-07-21 20:00:00,Agusan del Norte,1814.33,310.76,NW
2010-07-21 23:00:00,Agusan del Norte,1852.83,310.72,NW
2010-07-22 02:00:00,Agusan del Norte,1896.6,311.41,NW
2010-07-22 05:00:00,Agusan del Norte,1941.84,311.62,NW
2010-07-22 08:00:00,Agusan del Norte,1993.94,312.08,NW
2010-07-22 11:00:00,Agusan del Norte,2054.16,312.34,NW
2010-07-22 14:00:00,Agusan del Norte,2122.42,312.41,NW
2010-07-22 17:00:00,Agusan del Norte,2160.56,312.36,NW
2010-07-22 20:00:00,Agusan del Norte,2206.8,312.15,NW
2010-07-22 23:00:00,Agusan del Norte,2259.84,312.17,NW
2010-07-23 02:00:00,Agusan del Norte,2319.63,312.42,NW
2010-07-23 05:00:00,Agusan del Norte,2380.62,312.3,NW
2010-07-23 08:00:00,Agusan del Norte,2441.55,312.19,NW
2010-07-23 11:00:00,Agusan del Norte,2502.41,312.09,NW
2010-07-23 14:00:00,Agusan del Norte,2556.57,311.79,NW
2010-07-23 17:00:00,Agusan del Norte,2596.0,311.45,NW
2010-07-23 20:00:00,Agusan del Norte,2629.07,310.91,NW
2010-07-17 08:00:00,Agusan del Sur,797.48,339.34,NNW
2010-07-17 11:00:00,Agusan del Sur,811.75,338.92,NNW
2010-07-17 14:00:00,Agusan del Sur,840.41,338.12,NNW
2010-07-17 17:00:00,Agusan del Sur,834.36,337.15,NNW
2010-07-17 20:00:00,Agusan del Sur,828.56,336.16,NNW
2010-07-17 23:00:00,Agusan del Sur,827.69,334.48,NNW
2010-07-18 02:00:00,Agusan del Sur,837.39,333.16,NNW
2010-07-18 05:00:00,Agusan del Sur,832.63,332.15,NNW
2010-07-18 08:00:00,Agusan del Sur,843.12,330.87,NNW
2010-07-18 11:00:00,Agusan del Sur,865.36,328.4,NNW
2010-07-18 14:00:00,Agusan del Sur,904.43,325.9,NW
2010-07-18 17:00:00,Agusan del Sur,927.57,322.78,NW
2010-07-18 20:00:00,Agusan del Sur,960.53,319.35,NW
2010-07-18 23:00:00,Agusan del Sur,989.25,316.59,NW
2010-07-19 02:00:00,Agusan del Sur,1027.78,314.45,NW
2010-07-19 05:00:00,Agusan del Sur,1068.61,311.65,NW
2010-07-19 08:00:00,Agusan del Sur,1110.26,309.85,NW
2010-07-19 11:00:00,Agusan del Sur,1151.05,308.96,NW
2010-07-19 14:00:00,Agusan del Sur,1198.73,308.56,NW
2010-07-19 17:00:00,Agusan del Sur,1246.44,308.2,NW
2010-07-19 20:00:00,Agusan del Sur,1292.11,308.56,NW
2010-07-19 23:00:00,Agusan del Sur,1327.51,309.83,NW
2010-07-20 02:00:00,Agusan del Sur,1363.49,311.04,NW
2010-07-20 05:00:00,Agusan del Sur,1408.16,311.91,NW
2010-07-20 08:00:00,Agusan del Sur,1461.16,312.46,NW
2010-07-20 11:00:00,Agusan del Sur,1507.0,312.65,NW
2010-07-20 14:00:00,Agusan del Sur,1553.75,312.27,NW
2010-07-20 17:00:00,Agusan del Sur,1600.55,311.91,NW
2010-07-20 20:00:00,Agusan del Sur,1639.18,311.81,NW
2010-07-20 23:00:00,Agusan del Sur,1672.19,310.88,NW
2010-07-21 02:00:00,Agusan del Sur,1698.97,309.7,NW
2010-07-21 05:00:00,Agusan del Sur,1722.56,309.57,NW
2010-07-21 08:00:00,Agusan del Sur,1746.15,309.45,NW
2010-07-21 11:00:00,Agusan del Sur,1776.34,309.62,NW
2010-07-21 14:00:00,Agusan del Sur,1804.79,310.28,NW
2010-07-21 17:00:00,Agusan del Sur,1834.99,310.44,NW
2010-07-21 20:00:00,Agusan del Sur,1871.95,310.87,NW
2010-07-21 23:00:00,Agusan del Sur,1910.45,310.83,NW
2010-07-22 02:00:00,Agusan del Sur,1954.24,311.5,NW
2010-07-22 05:00:00,Agusan del Sur,1999.48,311.7,NW
2010-07-22 08:00:00,Agusan del Sur,2051.58,312.15,NW
2010-07-22 11:00:00,Agusan del Sur,2111.81,312.4,NW
2010-07-22 14:00:00,Agusan del Sur,2180.07,312.47,NW
2010-07-22 17:00:00,Agusan del Sur,2218.2,312.42,NW
2010-07-22 20:00:00,Agusan del Sur,2264.45,312.21,NW
2010-07-22 23:00:00,Agusan del Sur,2317.49,312.24,NW
2010-07-23 02:00:00,Agusan del Sur,2377.28,312.48,NW
2010-07-23 05:00:00,Agusan del Sur,2438.27,312.36,NW
2010-07-23 08:00:00,Agusan del Sur,2499.2,312.25,NW
2010-07-23 11:00:00,Agusan del Sur,2560.06,312.15,NW
2010-07-23 14:00:00,Agusan del Sur,2614.22,311.86,NW
2010-07-23 17:00:00,Agusan del Sur,2653.64,311.52,NW
2010-07-23 20:00:00,Agusan del Sur,2686.7,311.0,NW
2010-07-17 08:00:00,Aklan,412.81,14.04,NNE
2010-07-17 11:00:00,Aklan,421.16,12.25,NNE
2010-07-17 14:00:00,Aklan,439.02,8.89,N
2010-07-17 17:00:00,Aklan,426.45,7.7,N
2010-07-17 20:00:00,Aklan,414.07,6.44,N
2010-07-17 23:00:00,Aklan,401.09,3.57,N
2010-07-18 02:00:00,Aklan,400.32,0.51,N
2010-07-18 05:00:00,Aklan,389.25,358.94,N
2010-07-18 08:00:00,Aklan,390.25,355.79,N
2010-07-18 11:00:00,Aklan,395.81,349.58,N
2010-07-18 14:00:00,Aklan,419.71,342.64,NNW
2010-07-18 17:00:00,Aklan,428.9,335.33,NNW
2010-07-18 20:00:00,Aklan,450.6,327.29,NNW
2010-07-18 23:00:00,Aklan,473.53,321.1,NW
2010-07-19 02:00:00,Aklan,509.45,316.44,NW
2010-07-19 05:00:00,Aklan,549.24,310.81,NW
2010-07-19 08:00:00,Aklan,591.48,307.46,NW
2010-07-19 11:00:00,Aklan,632.89,305.96,NW
2010-07-19 14:00:00,Aklan,680.87,305.44,NW
2010-07-19 17:00:00,Aklan,728.87,304.99,NW
2010-07-19 20:00:00,Aklan,774.17,305.73,NW
2010-07-19 23:00:00,Aklan,808.66,307.91,NW
2010-07-20 02:00:00,Aklan,844.19,309.91,NW
2010-07-20 05:00:00,Aklan,888.77,311.31,NW
2010-07-20 08:00:00,Aklan,941.82,312.16,NW
2010-07-20 11:00:00,Aklan,987.69,312.43,NW
2010-07-20 14:00:00,Aklan,1034.38,311.83,NW
2010-07-20 17:00:00,Aklan,1081.16,311.3,NW
