Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2010-08-06 08:00:00,Abra,672.13,68.73,ENE
2010-08-06 11:00:00,Abra,636.82,66.53,ENE
2010-08-06 14:00:00,Abra,598.15,65.05,ENE
2010-08-06 17:00:00,Abra,559.97,63.35,ENE
2010-08-06 20:00:00,Abra,527.58,60.31,ENE
2010-08-06 23:00:00,Abra,496.95,56.89,ENE
2010-08-07 02:00:00,Abra,485.5,54.47,NE
2010-08-07 05:00:00,Abra,490.02,51.63,NE
2010-08-07 08:00:00,Abra,510.87,48.65,NE
2010-08-07 11:00:00,Abra,525.48,46.79,NE
2010-08-07 14:00:00,Abra,540.61,45.04,NE
2010-08-07 17:00:00,Abra,548.36,44.2,NE
2010-08-07 20:00:00,Abra,571.41,43.34,NE
2010-08-07 23:00:00,Abra,579.38,42.56,NE
2010-08-08 02:00:00,Abra,610.81,41.09,NE
2010-08-08 05:00:00,Abra,634.23,40.43,NE
2010-08-08 08:00:00,Abra,674.61,38.56,NE
2010-08-08 11:00:00,Abra,713.4,38.1,NE
2010-08-08 14:00:00,Abra,745.76,37.07,NE
2010-08-08 17:00:00,Abra,772.12,35.52,NE
2010-08-08 20:00:00,Abra,813.97,34.2,NE
2010-08-08 23:00:00,Abra,841.26,32.87,NNE
2010-08-09 02:00:00,Abra,889.45,32.32,NNE
2010-08-09 05:00:00,Abra,956.27,31.09,NNE
2010-08-09 08:00:00,Abra,1027.65,29.19,NNE
2010-08-09 11:00:00,Abra,1104.82,26.8,NNE
2010-08-09 14:00:00,Abra,1183.63,24.72,NNE
2010-08-09 17:00:00,Abra,1249.56,22.71,NNE
2010-08-09 20:00:00,Abra,1323.45,20.32,NNE
2010-08-09 23:00:00,Abra,1371.6,19.06,NNE
2010-08-10 02:00:00,Abra,1434.13,18.1,NNE
2010-08-10 05:00:00,Abra,1493.91,16.87,NNE
2010-08-10 08:00:00,Abra,1557.24,16.07,NNE
2010-08-10 11:00:00,Abra,1620.85,15.34,NNE
2010-08-10 14:00:00,Abra,1679.55,15.39,NNE
2010-08-10 17:00:00,Abra,1735.43,15.14,NNE
2010-08-10 20:00:00,Abra,1799.72,15.75,NNE
2010-08-10 23:00:00,Abra,1864.19,16.32,NNE
2010-08-11 02:00:00,Abra,1921.45,17.2,NNE
2010-08-11 05:00:00,Abra,1982.48,18.28,NNE
2010-08-11 08:00:00,Abra,2065.11,19.87,NNE
2010-08-11 11:00:00,Abra,2145.54,21.08,NNE
2010-08-11 14:00:00,Abra,2225.09,22.73,NNE
2010-08-11 17:00:00,Abra,2297.98,23.84,NNE
2010-08-11 20:00:00,Abra,2371.16,25.39,NNE
2010-08-11 23:00:00,Abra,2455.62,26.67,NNE
2010-08-12 02:00:00,Abra,2541.4,27.85,NNE
2010-08-12 05:00:00,Abra,2633.43,29.08,NNE
2010-08-12 08:00:00,Abra,2740.91,30.2,NNE
2010-08-12 11:00:00,Abra,2854.91,31.34,NNE
2010-08-12 14:00:00,Abra,2987.14,32.74,NNE
2010-08-12 16:00:00,Abra,3067.51,33.82,NE
2010-08-12 17:00:00,Abra,3111.19,34.39,NE
2010-08-12 20:00:00,Abra,3249.43,36.33,NE
2010-08-12 23:00:00,Abra,3407.4,37.52,NE
2010-08-13 02:00:00,Abra,3574.61,37.93,NE
2010-08-13 05:00:00,Abra,3794.1,38.21,NE
2010-08-13 08:00:00,Abra,4057.31,38.44,NE
2010-08-06 08:00:00,Agusan del Norte,1200.87,5.38,N
2010-08-06 11:00:00,Agusan del Norte,1208.61,3.34,N
2010-08-06 14:00:00,Agusan del Norte,1206.81,1.35,N
2010-08-06 17:00:00,Agusan del Norte,1206.55,359.35,N
2010-08-06 20:00:00,Agusan del Norte,1218.92,357.38,N
2010-08-06 23:00:00,Agusan del Norte,1232.76,355.45,N
2010-08-07 02:00:00,Agusan del Norte,1245.75,354.53,N
2010-08-07 05:00:00,Agusan del Norte,1268.95,354.16,N
2010-08-07 08:00:00,Agusan del Norte,1302.13,354.32,N
2010-08-07 11:00:00,Agusan del Norte,1324.25,354.42,N
2010-08-07 14:00:00,Agusan del Norte,1346.37,354.52,N
2010-08-07 17:00:00,Agusan del Norte,1357.43,354.57,N
2010-08-07 20:00:00,Agusan del Norte,1378.58,355.09,N
2010-08-07 23:00:00,Agusan del Norte,1389.65,355.13,N
2010-08-08 02:00:00,Agusan del Norte,1422.01,355.67,N
2010-08-08 05:00:00,Agusan del Norte,1443.4,356.16,N
2010-08-08 08:00:00,Agusan del Norte,1487.1,356.68,N
2010-08-08 11:00:00,Agusan del Norte,1519.3,357.54,N
2010-08-08 14:00:00,Agusan del Norte,1552.2,357.98,N
2010-08-08 17:00:00,Agusan del Norte,1585.53,358.02,N
2010-08-08 20:00:00,Agusan del Norte,1629.65,358.44,N
2010-08-08 23:00:00,Agusan del Norte,1662.99,358.48,N
2010-08-09 02:00:00,Agusan del Norte,1707.02,359.21,N
2010-08-09 05:00:00,Agusan del Norte,1773.56,359.9,N
2010-08-09 08:00:00,Agusan del Norte,1851.41,0.22,N
2010-08-09 11:00:00,Agusan del Norte,1940.37,0.21,N
2010-08-09 14:00:00,Agusan del Norte,2029.32,0.2,N
2010-08-09 17:00:00,Agusan del Norte,2107.15,359.92,N
2010-08-09 20:00:00,Agusan del Norte,2196.23,359.4,N
2010-08-09 23:00:00,Agusan del Norte,2251.96,359.17,N
2010-08-10 02:00:00,Agusan del Norte,2318.67,359.2,N
2010-08-10 05:00:00,Agusan del Norte,2385.55,358.99,N
2010-08-10 08:00:00,Agusan del Norte,2452.25,359.02,N
2010-08-10 11:00:00,Agusan del Norte,2518.96,359.05,N
2010-08-10 14:00:00,Agusan del Norte,2574.27,359.5,N
2010-08-10 17:00:00,Agusan del Norte,2629.79,359.73,N
2010-08-10 20:00:00,Agusan del Norte,2685.5,0.55,N
2010-08-10 23:00:00,Agusan del Norte,2741.81,1.34,N
2010-08-11 02:00:00,Agusan del Norte,2788.0,2.29,N
2010-08-11 05:00:00,Agusan del Norte,2835.67,3.39,N
2010-08-11 08:00:00,Agusan del Norte,2898.29,4.99,N
2010-08-11 11:00:00,Agusan del Norte,2962.15,6.32,N
2010-08-11 14:00:00,Agusan del Norte,3019.78,7.96,N
2010-08-11 17:00:00,Agusan del Norte,3076.62,9.18,N
2010-08-11 20:00:00,Agusan del Norte,3128.22,10.73,N
2010-08-11 23:00:00,Agusan del Norte,3193.15,12.16,NNE
2010-08-12 02:00:00,Agusan del Norte,3260.32,13.51,NNE
2010-08-12 05:00:00,Agusan del Norte,3332.37,14.94,NNE
2010-08-12 08:00:00,Agusan del Norte,3420.28,16.37,NNE
2010-08-12 11:00:00,Agusan del Norte,3513.92,17.84,NNE
2010-08-12 14:00:00,Agusan del Norte,3621.1,19.59,NNE
2010-08-12 16:00:00,Agusan del Norte,3682.82,20.84,NNE
2010-08-12 17:00:00,Agusan del Norte,3716.49,21.51,NNE
2010-08-12 20:00:00,Agusan del Norte,3820.36,23.73,NNE
2010-08-12 23:00:00,Agusan del Norte,3954.11,25.41,NNE
2010-08-13 02:00:00,Agusan del Norte,4108.92,26.44,NNE
2010-08-13 05:00:00,Agusan del Norte,4316.51,27.51,NNE
2010-08-13 08:00:00,Agusan del Norte,4567.98,28.62,NNE
2010-08-06 08:00:00,Agusan del Sur,1236.45,3.34,N
2010-08-06 11:00:00,Agusan del Sur,1245.76,1.37,N
2010-08-06 14:00:00,Agusan del Sur,1245.45,359.43,N
