Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2010-08-27 02:00:00,Abra,424.39,216.02,SW
2010-08-27 05:00:00,Abra,421.82,218.08,SW
2010-08-27 08:00:00,Abra,411.28,221.16,SW
2010-08-27 11:00:00,Abra,401.96,224.39,SW
2010-08-27 14:00:00,Abra,378.53,227.88,SW
2010-08-27 17:00:00,Abra,356.67,231.81,SW
2010-08-27 20:00:00,Abra,351.83,235.73,SW
2010-08-27 23:00:00,Abra,337.72,242.97,WSW
2010-08-28 02:00:00,Abra,319.36,250.04,WSW
2010-08-28 05:00:00,Abra,306.41,257.85,WSW
2010-08-28 08:00:00,Abra,310.14,266.33,W
2010-08-28 11:00:00,Abra,341.5,274.22,W
2010-08-28 14:00:00,Abra,380.08,282.36,WNW
2010-08-28 17:00:00,Abra,408.28,286.38,WNW
2010-08-28 20:00:00,Abra,434.73,288.48,WNW
2010-08-28 23:00:00,Abra,451.73,290.78,WNW
2010-08-29 02:00:00,Abra,479.16,292.45,WNW
2010-08-29 05:00:00,Abra,497.25,294.41,WNW
2010-08-29 08:00:00,Abra,515.85,296.23,WNW
2010-08-29 11:00:00,Abra,530.72,299.5,WNW
2010-08-29 14:00:00,Abra,547.21,302.59,WNW
2010-08-29 17:00:00,Abra,544.24,304.16,NW
2010-08-29 20:00:00,Abra,548.06,306.71,NW
2010-08-29 23:00:00,Abra,554.56,307.65,NW
2010-08-30 02:00:00,Abra,552.96,309.22,NW
2010-08-30 05:00:00,Abra,559.86,310.12,NW
2010-08-30 08:00:00,Abra,551.79,310.79,NW
2010-08-30 11:00:00,Abra,543.81,311.49,NW
2010-08-30 14:00:00,Abra,535.92,312.21,NW
2010-08-30 17:00:00,Abra,520.4,313.71,NW
2010-08-30 20:00:00,Abra,505.22,313.58,NW
2010-08-30 23:00:00,Abra,497.6,314.39,NW
2010-08-31 02:00:00,Abra,482.4,314.28,NW
2010-08-31 05:00:00,Abra,467.2,314.16,NW
2010-08-31 08:00:00,Abra,444.43,314.95,NW
2010-08-31 11:00:00,Abra,422.51,317.9,NW
2010-08-31 14:00:00,Abra,401.86,321.17,NW
2010-08-31 17:00:00,Abra,385.89,327.0,NNW
2010-08-31 20:00:00,Abra,394.25,334.75,NNW
2010-08-31 23:00:00,Abra,412.97,340.67,NNW
2010-09-01 02:00:00,Abra,452.01,343.81,NNW
2010-09-01 05:00:00,Abra,492.21,346.45,NNW
2010-09-01 08:00:00,Abra,535.49,347.59,NNW
2010-09-01 11:00:00,Abra,570.3,347.33,NNW
2010-09-01 14:00:00,Abra,596.8,345.89,NNW
2010-09-01 17:00:00,Abra,623.66,344.59,NNW
2010-09-01 20:00:00,Abra,647.87,344.26,NNW
2010-09-01 23:00:00,Abra,667.7,342.0,NNW
2010-09-02 02:00:00,Abra,698.95,340.21,NNW
2010-09-02 05:00:00,Abra,734.77,337.84,NNW
2010-09-02 08:00:00,Abra,776.19,335.03,NNW
2010-09-02 11:00:00,Abra,824.3,331.9,NNW
2010-09-02 14:00:00,Abra,865.31,328.75,NNW
2010-09-02 17:00:00,Abra,899.86,325.48,NW
2010-09-02 20:00:00,Abra,922.23,322.53,NW
2010-09-02 23:00:00,Abra,947.1,319.72,NW
2010-09-03 02:00:00,Abra,967.09,317.49,NW
2010-09-03 05:00:00,Abra,981.17,315.76,NW
2010-09-03 08:00:00,Abra,996.17,314.08,NW
2010-09-03 11:00:00,Abra,1011.5,313.31,NW
2010-09-03 14:00:00,Abra,1019.91,312.09,NW
2010-09-03 17:00:00,Abra,1036.85,310.53,NW
2010-09-03 20:00:00,Abra,1053.04,309.85,NW
2010-09-03 23:00:00,Abra,1071.14,308.38,NW
2010-09-04 02:00:00,Abra,1087.82,307.76,NW
2010-09-04 05:00:00,Abra,1100.9,305.89,NW
2010-09-04 08:00:00,Abra,1109.54,303.57,WNW
2010-09-04 11:00:00,Abra,1116.35,302.04,WNW
2010-09-04 14:00:00,Abra,1124.0,300.54,WNW
2010-08-27 02:00:00,Agusan del Norte,999.95,308.78,NW
2010-08-27 05:00:00,Agusan del Norte,1015.25,308.92,NW
2010-08-27 08:00:00,Agusan del Norte,1037.36,309.53,NW
2010-08-27 11:00:00,Agusan del Norte,1059.58,310.13,NW
2010-08-27 14:00:00,Agusan del Norte,1080.68,311.52,NW
2010-08-27 17:00:00,Agusan del Norte,1102.39,312.85,NW
2010-08-27 20:00:00,Agusan del Norte,1125.14,313.35,NW
2010-08-27 23:00:00,Agusan del Norte,1162.99,314.64,NW
2010-08-28 02:00:00,Agusan del Norte,1193.74,316.21,NW
2010-08-28 05:00:00,Agusan del Norte,1225.32,317.71,NW
2010-08-28 08:00:00,Agusan del Norte,1264.88,318.77,NW
2010-08-28 11:00:00,Agusan del Norte,1319.11,319.08,NW
2010-08-28 14:00:00,Agusan del Norte,1381.51,319.69,NW
2010-08-28 17:00:00,Agusan del Norte,1420.4,319.97,NW
2010-08-28 20:00:00,Agusan del Norte,1451.02,319.94,NW
2010-08-28 23:00:00,Agusan del Norte,1474.58,320.22,NW
2010-08-29 02:00:00,Agusan del Norte,1505.16,320.19,NW
2010-08-29 05:00:00,Agusan del Norte,1528.72,320.46,NW
2010-08-29 08:00:00,Agusan del Norte,1552.3,320.72,NW
2010-08-29 11:00:00,Agusan del Norte,1577.4,321.54,NW
2010-08-29 14:00:00,Agusan del Norte,1602.8,322.32,NW
2010-08-29 17:00:00,Agusan del Norte,1604.67,322.87,NW
2010-08-29 20:00:00,Agusan del Norte,1615.37,323.66,NW
2010-08-29 23:00:00,Agusan del Norte,1624.06,323.91,NW
2010-08-30 02:00:00,Agusan del Norte,1626.38,324.45,NW
2010-08-30 05:00:00,Agusan del Norte,1635.17,324.69,NW
2010-08-30 08:00:00,Agusan del Norte,1628.84,324.98,NW
2010-08-30 11:00:00,Agusan del Norte,1622.56,325.28,NW
2010-08-30 14:00:00,Agusan del Norte,1616.33,325.58,NW
2010-08-30 17:00:00,Agusan del Norte,1604.01,326.18,NW
2010-08-30 20:00:00,Agusan del Norte,1588.9,326.25,NW
2010-08-30 23:00:00,Agusan del Norte,1582.82,326.55,NNW
2010-08-31 02:00:00,Agusan del Norte,1567.73,326.63,NNW
2010-08-31 05:00:00,Agusan del Norte,1552.63,326.7,NNW
2010-08-31 08:00:00,Agusan del Norte,1531.54,327.1,NNW
2010-08-31 11:00:00,Agusan del Norte,1513.88,328.08,NNW
2010-08-31 14:00:00,Agusan del Norte,1496.7,329.09,NNW
2010-08-31 17:00:00,Agusan del Norte,1484.1,330.69,NNW
2010-08-31 20:00:00,Agusan del Norte,1492.16,332.74,NNW
2010-08-31 23:00:00,Agusan del Norte,1506.92,334.4,NNW
2010-09-01 02:00:00,Agusan del Norte,1542.02,335.51,NNW
2010-09-01 05:00:00,Agusan del Norte,1577.68,336.57,NNW
2010-09-01 08:00:00,Agusan del Norte,1618.09,337.24,NNW
2010-09-01 11:00:00,Agusan del Norte,1652.71,337.4,NNW
2010-09-01 14:00:00,Agusan del Norte,1681.46,337.07,NNW
2010-09-01 17:00:00,Agusan del Norte,1710.25,336.75,NNW
2010-09-01 20:00:00,Agusan del Norte,1734.73,336.76,NNW
2010-09-01 23:00:00,Agusan del Norte,1757.96,336.0,NNW
2010-09-02 02:00:00,Agusan del Norte,1791.46,335.42,NNW
2010-09-02 05:00:00,Agusan del Norte,1829.82,334.58,NNW
2010-09-02 08:00:00,Agusan del Norte,1873.46,333.51,NNW
2010-09-02 11:00:00,Agusan del Norte,1922.87,332.22,NNW
2010-09-02 14:00:00,Agusan del Norte,1963.82,330.83,NNW
2010-09-02 17:00:00,Agusan del Norte,1996.7,329.32,NNW
2010-09-02 20:00:00,Agusan del Norte,2016.11,327.93,NNW
2010-09-02 23:00:00,Agusan del Norte,2036.82,326.55,NNW
2010-09-03 02:00:00,Agusan del Norte,2052.53,325.44,NW
2010-09-03 05:00:00,Agusan del Norte,2062.7,324.57,NW
2010-09-03 08:00:00,Agusan del Norte,2073.4,323.7,NW
2010-09-03 11:00:00,Agusan del Norte,2086.47,323.26,NW
2010-09-03 14:00:00,Agusan del Norte,2091.26,322.63,NW
2010-09-03 17:00:00,Agusan del Norte,2103.1,321.79,NW
2010-09-03 20:00:00,Agusan del Norte,2116.75,321.37,NW
2010-09-03 23:00:00,Agusan del Norte,2129.34,320.54,NW
2010-09-04 02:00:00,Agusan del Norte,2143.36,320.14,NW
2010-09-04 05:00:00,Agusan del Norte,2148.76,319.12,NW
2010-09-04 08:00:00,Agusan del Norte,2147.14,317.88,NW
2010-09-04 11:00:00,Agusan del Norte,2146.66,317.06,NW
2010-09-04 14:00:00,Agusan del Norte,2146.65,316.24,NW
2010-08-27 02:00:00,Agusan del Sur,1057.49,309.04,NW
2010-08-27 05:00:00,Agusan del Sur,1072.8,309.16,NW
2010-08-27 08:00:00,Agusan del Sur,1094.94,309.74,NW
2010-08-27 11:00:00,Agusan del Sur,1117.18,310.3,NW
2010-08-27 14:00:00,Agusan del Sur,1138.32,311.62,NW
2010-08-27 17:00:00,Agusan del Sur,1160.03,312.89,NW
2010-08-27 20:00:00,Agusan del Sur,1182.78,313.36,NW
2010-08-27 23:00:00,Agusan del Sur,1220.6,314.6,NW
2010-08-28 02:00:00,Agusan del Sur,1251.27,316.1,NW
2010-08-28 05:00:00,Agusan del Sur,1282.73,317.53,NW
2010-08-28 08:00:00,Agusan del Sur,1322.19,318.55,NW
2010-08-28 11:00:00,Agusan del Sur,1376.38,318.87,NW
2010-08-28 14:00:00,Agusan del Sur,1438.72,319.46,NW
2010-08-28 17:00:00,Agusan del Sur,1477.56,319.74,NW
2010-08-28 20:00:00,Agusan del Sur,1508.19,319.72,NW
2010-08-28 23:00:00,Agusan del Sur,1531.71,319.99,NW
2010-08-29 02:00:00,Agusan del Sur,1562.3,319.97,NW
2010-08-29 05:00:00,Agusan del Sur,1585.83,320.23,NW
2010-08-29 08:00:00,Agusan del Sur,1609.37,320.49,NW
2010-08-29 11:00:00,Agusan del Sur,1634.35,321.28,NW
2010-08-29 14:00:00,Agusan del Sur,1659.62,322.05,NW
2010-08-29 17:00:00,Agusan del Sur,1661.4,322.58,NW
2010-08-29 20:00:00,Agusan del Sur,1671.95,323.35,NW
2010-08-29 23:00:00,Agusan del Sur,1680.6,323.59,NW
2010-08-30 02:00:00,Agusan del Sur,1682.81,324.11,NW
2010-08-30 05:00:00,Agusan del Sur,1691.55,324.34,NW
2010-08-30 08:00:00,Agusan del Sur,1685.16,324.63,NW
2010-08-30 11:00:00,Agusan del Sur,1678.82,324.91,NW
2010-08-30 14:00:00,Agusan del Sur,1672.52,325.2,NW
2010-08-30 17:00:00,Agusan del Sur,1660.06,325.77,NW
2010-08-30 20:00:00,Agusan del Sur,1644.94,325.84,NW
2010-08-30 23:00:00,Agusan del Sur,1638.79,326.13,NW
2010-08-31 02:00:00,Agusan del Sur,1623.67,326.2,NW
2010-08-31 05:00:00,Agusan del Sur,1608.56,326.27,NNW
2010-08-31 08:00:00,Agusan del Sur,1587.38,326.65,NNW
2010-08-31 11:00:00,Agusan del Sur,1569.47,327.59,NNW
2010-08-31 14:00:00,Agusan del Sur,1552.02,328.55,NNW
2010-08-31 17:00:00,Agusan del Sur,1538.95,330.09,NNW
2010-08-31 20:00:00,Agusan del Sur,1546.35,332.07,NNW
2010-08-31 23:00:00,Agusan del Sur,1560.53,333.68,NNW
2010-09-01 02:00:00,Agusan del Sur,1595.21,334.77,NNW
2010-09-01 05:00:00,Agusan del Sur,1630.46,335.82,NNW
2010-09-01 08:00:00,Agusan del Sur,1670.58,336.49,NNW
2010-09-01 11:00:00,Agusan del Sur,1705.15,336.66,NNW
2010-09-01 14:00:00,Agusan del Sur,1734.02,336.35,NNW
2010-09-01 17:00:00,Agusan del Sur,1762.94,336.06,NNW
2010-09-01 20:00:00,Agusan del Sur,1787.41,336.08,NNW
2010-09-01 23:00:00,Agusan del Sur,1810.95,335.35,NNW
2010-09-02 02:00:00,Agusan del Sur,1844.66,334.8,NNW
2010-09-02 05:00:00,Agusan del Sur,1883.34,334.0,NNW
2010-09-02 08:00:00,Agusan del Sur,1927.36,332.97,NNW
2010-09-02 11:00:00,Agusan del Sur,1977.21,331.73,NNW
2010-09-02 14:00:00,Agusan del Sur,2018.6,330.39,NNW
2010-09-02 17:00:00,Agusan del Sur,2051.93,328.93,NNW
2010-09-02 20:00:00,Agusan del Sur,2071.72,327.57,NNW
2010-09-02 23:00:00,Agusan del Sur,2092.77,326.24,NW
2010-09-03 02:00:00,Agusan del Sur,2108.74,325.16,NW
2010-09-03 05:00:00,Agusan del Sur,2119.1,324.31,NW
2010-09-03 08:00:00,Agusan del Sur,2129.96,323.47,NW
2010-09-03 11:00:00,Agusan del Sur,2143.12,323.04,NW
2010-09-03 14:00:00,Agusan del Sur,2148.02,322.42,NW
