Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2011-05-20 02:00:00,Abra,2494.73,111.81,ESE
2011-05-20 05:00:00,Abra,2475.07,112.04,ESE
2011-05-20 08:00:00,Abra,2440.59,112.16,ESE
2011-05-20 11:00:00,Abra,2420.98,112.4,ESE
2011-05-20 14:00:00,Abra,2381.85,112.89,ESE
2011-05-20 17:00:00,Abra,2347.44,113.02,ESE
2011-05-20 20:00:00,Abra,2318.22,113.41,ESE
2011-05-20 23:00:00,Abra,2289.08,113.8,ESE
2011-05-21 02:00:00,Abra,2254.76,113.95,ESE
2011-05-21 05:00:00,Abra,2225.74,114.36,ESE
2011-05-21 08:00:00,Abra,2191.47,114.52,ESE
2011-05-21 11:00:00,Abra,2157.21,114.68,ESE
2011-05-21 14:00:00,Abra,2132.6,114.71,ESE
2011-05-21 17:00:00,Abra,2107.99,114.73,ESE
2011-05-21 20:00:00,Abra,2078.06,114.48,ESE
2011-05-21 23:00:00,Abra,2053.46,114.5,ESE
2011-05-22 02:00:00,Abra,2028.87,114.52,ESE
2011-05-22 05:00:00,Abra,2004.29,114.54,ESE
2011-05-22 08:00:00,Abra,1979.71,114.56,ESE
2011-05-22 11:00:00,Abra,1955.13,114.58,ESE
2011-05-22 14:00:00,Abra,1920.94,114.75,ESE
2011-05-22 17:00:00,Abra,1881.45,114.63,ESE
2011-05-22 20:00:00,Abra,1832.35,114.67,ESE
2011-05-22 23:00:00,Abra,1783.28,114.71,ESE
2011-05-23 02:00:00,Abra,1739.52,115.08,ESE
2011-05-23 05:00:00,Abra,1680.9,115.3,ESE
2011-05-23 08:00:00,Abra,1622.33,115.54,ESE
2011-05-23 11:00:00,Abra,1573.36,115.6,ESE
2011-05-23 14:00:00,Abra,1529.8,116.02,ESE
2011-05-23 17:00:00,Abra,1486.32,116.47,ESE
2011-05-23 20:00:00,Abra,1452.4,116.73,ESE
2011-05-23 23:00:00,Abra,1409.07,117.22,ESE
2011-05-24 02:00:00,Abra,1365.84,117.73,ESE
2011-05-24 05:00:00,Abra,1326.41,117.62,ESE
2011-05-24 08:00:00,Abra,1287.0,117.5,ESE
2011-05-24 11:00:00,Abra,1234.52,118.33,ESE
2011-05-24 14:00:00,Abra,1185.8,118.48,ESE
2011-05-24 17:00:00,Abra,1142.88,119.13,ESE
2011-05-24 20:00:00,Abra,1112.09,120.79,ESE
2011-05-24 23:00:00,Abra,1082.21,122.55,ESE
2011-05-25 02:00:00,Abra,1055.55,123.56,ESE
2011-05-25 05:00:00,Abra,1029.22,124.62,SE
2011-05-25 08:00:00,Abra,1005.15,124.85,SE
2011-05-25 11:00:00,Abra,981.1,125.09,SE
2011-05-25 14:00:00,Abra,950.39,124.81,SE
2011-05-25 17:00:00,Abra,921.99,123.54,ESE
2011-05-25 20:00:00,Abra,891.46,123.18,ESE
2011-05-25 23:00:00,Abra,863.72,121.78,ESE
2011-05-26 02:00:00,Abra,821.5,120.02,ESE
2011-05-26 05:00:00,Abra,770.84,118.48,ESE
2011-05-26 08:00:00,Abra,706.16,116.32,ESE
2011-05-26 11:00:00,Abra,642.82,113.73,ESE
2011-05-26 14:00:00,Abra,595.35,111.18,ESE
2011-05-26 17:00:00,Abra,543.2,109.66,ESE
2011-05-26 20:00:00,Abra,501.7,107.41,ESE
2011-05-26 23:00:00,Abra,455.56,102.07,ESE
2011-05-27 02:00:00,Abra,414.4,95.58,E
2011-05-27 05:00:00,Abra,379.76,89.46,E
2011-05-27 08:00:00,Abra,351.89,80.41,E
2011-05-27 11:00:00,Abra,338.08,68.33,ENE
2011-05-27 14:00:00,Abra,349.13,56.79,ENE
2011-05-27 17:00:00,Abra,373.31,46.35,NE
2011-05-27 20:00:00,Abra,406.28,39.58,NE
2011-05-27 23:00:00,Abra,450.07,34.99,NE
2011-05-28 02:00:00,Abra,516.77,32.52,NNE
2011-05-28 05:00:00,Abra,593.65,30.03,NNE
2011-05-28 08:00:00,Abra,686.01,28.4,NNE
2011-05-28 11:00:00,Abra,798.24,28.03,NNE
2011-05-28 14:00:00,Abra,920.34,28.81,NNE
2011-05-28 17:00:00,Abra,1032.86,29.67,NNE
2011-05-28 20:00:00,Abra,1161.72,31.56,NNE
2011-05-28 23:00:00,Abra,1330.03,32.86,NNE
2011-05-29 02:00:00,Abra,1504.27,34.07,NE
2011-05-29 05:00:00,Abra,1657.7,34.64,NE
2011-05-29 08:00:00,Abra,1831.48,35.29,NE
2011-05-29 11:00:00,Abra,2004.71,35.75,NE
2011-05-29 14:00:00,Abra,2171.0,35.86,NE
2011-05-29 17:00:00,Abra,2318.16,36.62,NE
2011-05-29 20:00:00,Abra,2434.98,37.63,NE
2011-05-29 23:00:00,Abra,2476.68,37.88,NE
2011-05-30 02:00:00,Abra,2510.63,38.3,NE
2011-05-30 05:00:00,Abra,2570.61,39.61,NE
2011-05-30 08:00:00,Abra,2667.29,41.2,NE
2011-05-30 11:00:00,Abra,2822.36,42.08,NE
2011-05-30 14:00:00,Abra,2977.71,42.82,NE
2011-05-30 17:00:00,Abra,3091.0,43.37,NE
2011-05-30 20:00:00,Abra,3184.41,44.11,NE
2011-05-30 23:00:00,Abra,3296.43,45.47,NE
2011-05-31 02:00:00,Abra,3411.0,46.72,NE
2011-05-31 05:00:00,Abra,3520.0,47.8,NE
2011-05-31 08:00:00,Abra,3625.75,48.95,NE
2011-05-31 11:00:00,Abra,3788.39,49.84,NE
2011-05-31 14:00:00,Abra,3944.09,50.56,NE
2011-05-31 17:00:00,Abra,4055.43,50.73,NE
2011-05-31 20:00:00,Abra,4150.09,50.77,NE
2011-05-31 23:00:00,Abra,4232.21,50.89,NE
2011-06-01 02:00:00,Abra,4314.22,51.0,NE
2011-06-01 05:00:00,Abra,4372.0,51.3,NE
2011-06-01 08:00:00,Abra,4475.2,51.65,NE
2011-06-01 11:00:00,Abra,4683.89,51.78,NE
2011-06-01 14:00:00,Abra,4916.45,51.93,NE
2011-06-01 17:00:00,Abra,5108.88,52.14,NE
2011-06-01 20:00:00,Abra,5292.5,52.26,NE
2011-06-01 23:00:00,Abra,5463.24,52.02,NE
2011-06-02 02:00:00,Abra,5642.79,51.63,NE
2011-06-02 05:00:00,Abra,5838.58,51.13,NE
2011-06-02 08:00:00,Abra,6049.5,50.49,NE
2011-05-20 02:00:00,Agusan del Norte,1768.03,91.11,E
2011-05-20 05:00:00,Agusan del Norte,1746.07,91.16,E
2011-05-20 08:00:00,Agusan del Norte,1712.46,90.85,E
2011-05-20 11:00:00,Agusan del Norte,1690.5,90.89,E
2011-05-20 14:00:00,Agusan del Norte,1646.57,90.98,E
2011-05-20 17:00:00,Agusan del Norte,1613.02,90.65,E
2011-05-20 20:00:00,Agusan del Norte,1580.07,90.71,E
2011-05-20 23:00:00,Agusan del Norte,1547.12,90.77,E
2011-05-21 02:00:00,Agusan del Norte,1513.64,90.41,E
2011-05-21 05:00:00,Agusan del Norte,1480.69,90.47,E
2011-05-21 08:00:00,Agusan del Norte,1447.29,90.08,E
2011-05-21 11:00:00,Agusan del Norte,1413.97,89.68,E
2011-05-21 14:00:00,Agusan del Norte,1391.72,89.24,E
2011-05-21 17:00:00,Agusan del Norte,1369.57,88.79,E
2011-05-21 20:00:00,Agusan del Norte,1347.5,87.85,E
2011-05-21 23:00:00,Agusan del Norte,1325.65,87.36,E
