Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2011-07-11 02:00:00,Abra,3983.87,83.6,E
2011-07-11 05:00:00,Abra,3993.35,83.41,E
2011-07-11 08:00:00,Abra,3992.32,83.24,E
2011-07-11 11:00:00,Abra,3981.8,83.26,E
2011-07-11 14:00:00,Abra,3951.23,83.47,E
2011-07-11 17:00:00,Abra,3919.64,83.52,E
2011-07-11 20:00:00,Abra,3875.57,83.23,E
2011-07-11 23:00:00,Abra,3842.18,82.92,E
2011-07-12 02:00:00,Abra,3799.26,82.8,E
2011-07-12 05:00:00,Abra,3756.4,82.67,E
2011-07-12 08:00:00,Abra,3724.1,82.52,E
2011-07-12 11:00:00,Abra,3691.86,82.37,E
2011-07-12 14:00:00,Abra,3648.53,82.05,E
2011-07-12 17:00:00,Abra,3595.45,81.91,E
2011-07-12 20:00:00,Abra,3552.94,81.76,E
2011-07-12 23:00:00,Abra,3510.98,81.79,E
2011-07-13 02:00:00,Abra,3468.56,81.63,E
2011-07-13 05:00:00,Abra,3425.82,81.27,E
2011-07-13 08:00:00,Abra,3383.59,81.09,E
2011-07-13 11:00:00,Abra,3320.76,81.12,E
2011-07-13 14:00:00,Abra,3247.24,80.95,E
2011-07-13 17:00:00,Abra,3173.83,80.76,E
2011-07-13 20:00:00,Abra,3100.6,80.77,E
2011-07-13 23:00:00,Abra,3027.36,80.56,E
2011-07-14 02:00:00,Abra,2954.17,80.56,E
2011-07-14 05:00:00,Abra,2891.44,80.55,E
2011-07-14 08:00:00,Abra,2839.31,80.31,E
2011-07-14 11:00:00,Abra,2766.43,80.04,E
2011-07-14 14:00:00,Abra,2703.79,80.01,E
2011-07-14 17:00:00,Abra,2641.17,79.96,E
2011-07-14 20:00:00,Abra,2578.98,79.66,E
2011-07-14 23:00:00,Abra,2506.0,79.59,E
2011-07-15 02:00:00,Abra,2444.05,79.25,E
2011-07-15 05:00:00,Abra,2381.58,79.16,E
2011-07-15 08:00:00,Abra,2319.88,78.78,E
2011-07-15 11:00:00,Abra,2258.38,78.38,ENE
2011-07-15 14:00:00,Abra,2207.46,77.97,ENE
2011-07-15 17:00:00,Abra,2155.64,77.85,ENE
2011-07-15 20:00:00,Abra,2114.2,77.74,ENE
2011-07-15 23:00:00,Abra,2062.43,77.59,ENE
2011-07-16 02:00:00,Abra,2023.58,76.82,ENE
2011-07-16 05:00:00,Abra,1983.73,76.35,ENE
2011-07-16 08:00:00,Abra,1945.67,75.53,ENE
2011-07-16 11:00:00,Abra,1894.39,75.29,ENE
2011-07-16 14:00:00,Abra,1855.2,74.75,ENE
2011-07-16 17:00:00,Abra,1820.29,73.48,ENE
2011-07-16 20:00:00,Abra,1788.85,71.81,ENE
2011-07-16 23:00:00,Abra,1759.15,70.08,ENE
2011-07-17 02:00:00,Abra,1731.28,68.29,ENE
2011-07-17 05:00:00,Abra,1711.63,66.91,ENE
