Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2011-07-24 08:00:00,Abra,1121.21,120.49,ESE
2011-07-24 11:00:00,Abra,1096.93,120.61,ESE
2011-07-24 14:00:00,Abra,1069.7,121.56,ESE
2011-07-24 17:00:00,Abra,1042.75,122.56,ESE
2011-07-24 20:00:00,Abra,1016.11,123.61,ESE
2011-07-24 23:00:00,Abra,983.2,124.19,SE
2011-07-25 02:00:00,Abra,952.57,123.88,SE
2011-07-25 05:00:00,Abra,906.72,123.37,ESE
2011-07-25 08:00:00,Abra,873.81,124.0,SE
2011-07-25 11:00:00,Abra,825.7,124.5,SE
2011-07-25 14:00:00,Abra,777.68,125.06,SE
2011-07-25 17:00:00,Abra,729.75,125.69,SE
2011-07-25 20:00:00,Abra,688.81,127.12,SE
2011-07-25 23:00:00,Abra,632.91,128.58,SE
2011-07-26 02:00:00,Abra,584.92,131.13,SE
2011-07-26 05:00:00,Abra,553.72,134.13,SE
2011-07-26 08:00:00,Abra,539.63,137.41,SE
2011-07-26 11:00:00,Abra,525.52,139.16,SE
2011-07-26 14:00:00,Abra,503.23,140.23,SE
2011-07-26 17:00:00,Abra,465.73,141.61,SE
2011-07-26 20:00:00,Abra,434.97,142.06,SE
2011-07-26 23:00:00,Abra,404.26,142.58,SE
2011-07-27 02:00:00,Abra,364.68,142.14,SE
2011-07-27 05:00:00,Abra,325.15,141.59,SE
2011-07-27 08:00:00,Abra,277.09,139.44,SE
2011-07-27 11:00:00,Abra,222.44,138.37,SE
2011-07-27 14:00:00,Abra,145.5,139.71,SE
2011-07-27 17:00:00,Abra,73.17,155.71,SSE
2011-07-27 20:00:00,Abra,59.17,248.0,WSW
2011-07-27 23:00:00,Abra,139.99,274.76,W
2011-07-28 02:00:00,Abra,237.14,278.42,W
2011-07-28 05:00:00,Abra,322.49,278.39,W
2011-07-28 08:00:00,Abra,406.55,276.86,W
2011-07-28 11:00:00,Abra,480.27,276.0,W
2011-07-28 14:00:00,Abra,544.42,276.64,W
2011-07-28 17:00:00,Abra,618.16,276.05,W
2011-07-28 20:00:00,Abra,671.7,276.67,W
2011-07-28 23:00:00,Abra,723.62,275.45,W
2011-07-29 02:00:00,Abra,765.83,275.26,W
2011-07-29 05:00:00,Abra,818.61,275.07,W
2011-07-29 08:00:00,Abra,872.62,276.38,W
2011-07-29 11:00:00,Abra,917.42,278.29,W
2011-07-29 14:00:00,Abra,964.45,280.69,W
2011-07-29 17:00:00,Abra,1043.83,282.57,WNW
2011-07-29 20:00:00,Abra,1111.53,283.75,WNW
2011-07-29 23:00:00,Abra,1183.7,283.11,WNW
2011-07-30 02:00:00,Abra,1244.02,282.12,WNW
2011-07-30 05:00:00,Abra,1295.87,281.78,WNW
2011-07-30 08:00:00,Abra,1358.17,281.42,WNW
2011-07-30 11:00:00,Abra,1419.26,280.65,W
2011-07-30 14:00:00,Abra,1480.67,279.95,W
2011-07-30 17:00:00,Abra,1552.85,279.28,W
2011-07-30 20:00:00,Abra,1635.1,278.26,W
2011-07-30 23:00:00,Abra,1707.51,277.36,W
2011-07-31 02:00:00,Abra,1780.26,276.18,W
2011-07-31 05:00:00,Abra,1875.04,275.11,W
2011-07-31 08:00:00,Abra,1949.29,274.46,W
2011-07-24 08:00:00,Agusan del Norte,571.79,49.0,NE
2011-07-24 11:00:00,Agusan del Norte,562.86,46.7,NE
2011-07-24 14:00:00,Agusan del Norte,539.34,44.36,NE
2011-07-24 17:00:00,Agusan del Norte,516.83,41.8,NE
2011-07-24 20:00:00,Agusan del Norte,495.46,39.01,NE
