Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2011-08-02 20:00:00,Abra,4557.89,73.87,ENE
2011-08-02 23:00:00,Abra,4506.91,74.17,ENE
2011-08-03 02:00:00,Abra,4455.87,74.48,ENE
2011-08-03 05:00:00,Abra,4384.38,74.48,ENE
2011-08-03 08:00:00,Abra,4323.11,74.47,ENE
2011-08-03 11:00:00,Abra,4261.84,74.46,ENE
2011-08-03 14:00:00,Abra,4210.78,74.45,ENE
2011-08-03 17:00:00,Abra,4169.94,74.44,ENE
2011-08-03 20:00:00,Abra,4129.1,74.43,ENE
2011-08-03 23:00:00,Abra,4078.36,74.24,ENE
2011-08-04 02:00:00,Abra,4048.13,74.06,ENE
2011-08-04 05:00:00,Abra,4009.23,73.36,ENE
2011-08-04 08:00:00,Abra,3971.73,72.47,ENE
2011-08-04 11:00:00,Abra,3922.74,72.07,ENE
2011-08-04 14:00:00,Abra,3873.18,71.84,ENE
2011-08-04 17:00:00,Abra,3843.89,71.63,ENE
2011-08-04 20:00:00,Abra,3824.73,71.42,ENE
2011-08-04 23:00:00,Abra,3806.69,71.04,ENE
2011-08-05 02:00:00,Abra,3780.02,70.46,ENE
2011-08-05 05:00:00,Abra,3753.8,69.87,ENE
2011-08-05 08:00:00,Abra,3729.49,69.1,ENE
2011-08-05 11:00:00,Abra,3715.78,68.33,ENE
2011-08-05 14:00:00,Abra,3701.03,67.75,ENE
2011-08-05 17:00:00,Abra,3684.91,67.33,ENE
2011-08-05 20:00:00,Abra,3657.4,67.07,ENE
2011-08-05 23:00:00,Abra,3631.95,66.63,ENE
2011-08-06 02:00:00,Abra,3616.49,66.2,ENE
2011-08-06 05:00:00,Abra,3603.4,65.59,ENE
2011-08-06 08:00:00,Abra,3600.35,65.01,ENE
2011-08-06 11:00:00,Abra,3597.66,64.43,ENE
2011-08-06 14:00:00,Abra,3595.32,63.84,ENE
2011-08-06 17:00:00,Abra,3602.81,63.3,ENE
2011-08-06 20:00:00,Abra,3613.19,62.57,ENE
2011-08-06 23:00:00,Abra,3614.69,61.81,ENE
