Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2011-09-06 02:00:00,Abra,1311.58,85.68,E
2011-09-06 05:00:00,Abra,1343.62,84.73,E
2011-09-06 08:00:00,Abra,1387.46,82.92,E
2011-09-06 11:00:00,Abra,1421.05,81.63,E
2011-09-06 14:00:00,Abra,1466.69,80.0,E
2011-09-06 17:00:00,Abra,1493.87,77.94,ENE
2011-09-06 20:00:00,Abra,1520.94,76.36,ENE
2011-09-06 23:00:00,Abra,1557.26,75.32,ENE
2011-09-07 02:00:00,Abra,1573.53,74.18,ENE
2011-09-07 05:00:00,Abra,1588.08,73.45,ENE
2011-09-07 08:00:00,Abra,1602.84,72.74,ENE
2011-09-07 11:00:00,Abra,1617.8,72.04,ENE
2011-09-07 14:00:00,Abra,1645.64,71.06,ENE
2011-09-07 17:00:00,Abra,1656.82,69.55,ENE
2011-09-07 20:00:00,Abra,1672.32,67.69,ENE
2011-09-07 23:00:00,Abra,1670.14,65.64,ENE
2011-09-08 02:00:00,Abra,1655.31,62.96,ENE
2011-09-08 05:00:00,Abra,1635.22,60.96,ENE
2011-09-08 08:00:00,Abra,1613.26,58.4,ENE
2011-09-08 11:00:00,Abra,1607.11,56.47,ENE
2011-09-08 14:00:00,Abra,1602.91,54.54,NE
2011-09-08 17:00:00,Abra,1583.88,52.21,NE
2011-09-08 20:00:00,Abra,1567.82,49.82,NE
2011-09-08 23:00:00,Abra,1547.01,47.17,NE
2011-09-09 02:00:00,Abra,1537.42,44.69,NE
2011-09-09 05:00:00,Abra,1552.95,42.41,NE
2011-09-09 08:00:00,Abra,1571.05,40.17,NE
2011-09-09 11:00:00,Abra,1599.91,37.73,NE
2011-09-09 14:00:00,Abra,1610.87,35.09,NE
2011-09-09 17:00:00,Abra,1610.82,32.46,NNE
2011-09-09 20:00:00,Abra,1605.23,30.06,NNE
2011-09-09 23:00:00,Abra,1598.23,28.16,NNE
2011-09-10 02:00:00,Abra,1593.2,26.25,NNE
2011-09-10 05:00:00,Abra,1613.31,25.06,NNE
2011-09-10 08:00:00,Abra,1634.15,23.91,NNE
2011-09-10 11:00:00,Abra,1669.83,22.92,NNE
2011-09-10 14:00:00,Abra,1702.06,21.68,NNE
2011-09-10 17:00:00,Abra,1721.2,20.35,NNE
2011-09-10 20:00:00,Abra,1734.52,19.48,NNE
2011-09-10 23:00:00,Abra,1762.04,18.78,NNE
2011-09-11 02:00:00,Abra,1793.15,18.39,NNE
2011-09-11 05:00:00,Abra,1821.09,17.73,NNE
2011-09-11 08:00:00,Abra,1852.42,17.37,NNE
2011-09-06 02:00:00,Agusan del Norte,1298.34,37.63,NE
2011-09-06 05:00:00,Agusan del Norte,1335.69,38.08,NE
2011-09-06 08:00:00,Agusan del Norte,1396.88,38.23,NE
2011-09-06 11:00:00,Agusan del Norte,1442.74,38.34,NE
2011-09-06 14:00:00,Agusan del Norte,1503.84,38.46,NE
2011-09-06 17:00:00,Agusan del Norte,1559.79,37.7,NE
2011-09-06 20:00:00,Agusan del Norte,1607.33,37.25,NE
2011-09-06 23:00:00,Agusan del Norte,1652.96,37.34,NE
2011-09-07 02:00:00,Agusan del Norte,1685.29,36.88,NE
2011-09-07 05:00:00,Agusan del Norte,1709.07,36.68,NE
2011-09-07 08:00:00,Agusan del Norte,1732.87,36.47,NE
2011-09-07 11:00:00,Agusan del Norte,1756.67,36.28,NE
2011-09-07 14:00:00,Agusan del Norte,1795.61,36.12,NE
2011-09-07 17:00:00,Agusan del Norte,1830.46,35.23,NE
2011-09-07 20:00:00,Agusan del Norte,1874.58,34.17,NE
2011-09-07 23:00:00,Agusan del Norte,1907.35,32.65,NNE
2011-09-08 02:00:00,Agusan del Norte,1939.44,30.5,NNE
2011-09-08 05:00:00,Agusan del Norte,1955.31,28.76,NNE
