Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2011-09-23 08:00:00,Abra,2083.68,102.22,ESE
2011-09-23 11:00:00,Abra,2049.32,102.19,ESE
2011-09-23 14:00:00,Abra,2014.98,102.15,ESE
2011-09-23 17:00:00,Abra,1967.08,101.9,ESE
2011-09-23 20:00:00,Abra,1926.56,101.21,E
2011-09-23 23:00:00,Abra,1881.93,101.25,E
2011-09-24 02:00:00,Abra,1847.71,101.19,E
2011-09-24 05:00:00,Abra,1789.73,100.97,E
2011-09-24 08:00:00,Abra,1718.55,100.46,E
2011-09-24 11:00:00,Abra,1647.64,99.91,E
2011-09-24 14:00:00,Abra,1577.02,99.29,E
2011-09-24 17:00:00,Abra,1488.24,99.22,E
2011-09-24 20:00:00,Abra,1415.08,99.91,E
2011-09-24 23:00:00,Abra,1334.44,101.24,E
2011-09-25 02:00:00,Abra,1267.83,103.08,ESE
2011-09-25 05:00:00,Abra,1199.03,104.6,ESE
2011-09-25 08:00:00,Abra,1127.42,105.76,ESE
2011-09-25 11:00:00,Abra,1049.95,107.83,ESE
2011-09-25 14:00:00,Abra,985.61,108.54,ESE
2011-09-25 17:00:00,Abra,925.56,109.96,ESE
2011-09-25 20:00:00,Abra,871.61,110.62,ESE
2011-09-25 23:00:00,Abra,807.92,111.66,ESE
2011-09-26 02:00:00,Abra,739.94,112.08,ESE
2011-09-26 05:00:00,Abra,686.43,113.04,ESE
2011-09-26 08:00:00,Abra,642.82,113.73,ESE
2011-09-26 11:00:00,Abra,575.17,114.46,ESE
2011-09-26 14:00:00,Abra,522.25,115.92,ESE
2011-09-26 17:00:00,Abra,464.47,116.49,ESE
2011-09-26 20:00:00,Abra,416.24,116.5,ESE
2011-09-26 23:00:00,Abra,354.72,119.68,ESE
2011-09-27 02:00:00,Abra,297.5,121.2,ESE
2011-09-27 05:00:00,Abra,230.08,128.67,SE
2011-09-27 08:00:00,Abra,169.5,141.78,SE
2011-09-27 11:00:00,Abra,125.96,166.14,SSE
2011-09-27 14:00:00,Abra,119.7,201.79,SSW
2011-09-27 17:00:00,Abra,147.28,227.35,SW
2011-09-27 20:00:00,Abra,184.06,241.33,WSW
2011-09-27 23:00:00,Abra,231.46,256.42,WSW
2011-09-28 02:00:00,Abra,279.6,263.54,W
2011-09-28 05:00:00,Abra,353.43,265.08,W
