Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2011-09-26 20:00:00,Abra,1966.83,85.52,E
2011-09-26 23:00:00,Abra,1934.79,84.88,E
2011-09-27 02:00:00,Abra,1903.06,84.54,E
2011-09-27 05:00:00,Abra,1871.51,83.86,E
2011-09-27 08:00:00,Abra,1840.07,83.49,E
2011-09-27 11:00:00,Abra,1819.26,83.13,E
2011-09-27 14:00:00,Abra,1809.07,82.76,E
2011-09-27 17:00:00,Abra,1788.04,82.74,E
2011-09-27 20:00:00,Abra,1777.52,82.73,E
2011-09-27 23:00:00,Abra,1767.44,82.35,E
2011-09-28 02:00:00,Abra,1746.43,82.32,E
2011-09-28 05:00:00,Abra,1736.45,81.93,E
2011-09-28 08:00:00,Abra,1715.46,81.9,E
2011-09-28 11:00:00,Abra,1683.99,81.84,E
2011-09-28 14:00:00,Abra,1663.0,81.8,E
2011-09-28 17:00:00,Abra,1630.36,82.52,E
2011-09-28 20:00:00,Abra,1608.86,82.89,E
2011-09-28 23:00:00,Abra,1576.49,83.66,E
2011-09-29 02:00:00,Abra,1533.79,84.45,E
2011-09-29 05:00:00,Abra,1491.4,84.84,E
2011-09-29 08:00:00,Abra,1438.41,85.71,E
2011-09-29 11:00:00,Abra,1385.55,86.16,E
2011-09-29 14:00:00,Abra,1322.14,86.65,E
2011-09-29 17:00:00,Abra,1248.18,87.19,E
2011-09-29 20:00:00,Abra,1184.66,87.22,E
2011-09-29 23:00:00,Abra,1110.7,87.83,E
2011-09-30 02:00:00,Abra,1036.56,87.9,E
2011-09-30 05:00:00,Abra,951.82,87.97,E
2011-09-30 08:00:00,Abra,877.64,87.29,E
2011-09-30 11:00:00,Abra,803.53,87.26,E
2011-09-30 14:00:00,Abra,718.84,87.2,E
2011-09-30 17:00:00,Abra,634.03,88.09,E
2011-09-30 20:00:00,Abra,538.73,89.23,E
2011-09-30 23:00:00,Abra,455.54,93.55,E
2011-10-01 02:00:00,Abra,375.73,99.71,E
2011-10-01 05:00:00,Abra,305.61,104.34,ESE
2011-10-01 08:00:00,Abra,238.47,111.59,ESE
2011-10-01 11:00:00,Abra,169.11,126.09,SE
2011-10-01 14:00:00,Abra,122.47,155.15,SSE
2011-10-01 17:00:00,Abra,130.1,199.98,SSW
2011-10-01 20:00:00,Abra,178.64,221.84,SW
2011-10-01 23:00:00,Abra,209.34,230.63,SW
2011-10-02 02:00:00,Abra,228.63,237.93,WSW
2011-10-02 05:00:00,Abra,265.53,242.9,WSW
2011-10-02 08:00:00,Abra,295.51,250.6,WSW
2011-10-02 11:00:00,Abra,342.83,255.43,WSW
2011-10-02 14:00:00,Abra,391.9,259.08,W
2011-10-02 17:00:00,Abra,451.0,263.55,W
2011-10-02 20:00:00,Abra,491.9,265.51,W
2011-10-02 23:00:00,Abra,543.09,268.42,W
2011-10-03 02:00:00,Abra,574.39,269.71,W
2011-10-03 05:00:00,Abra,627.12,270.9,W
2011-10-03 08:00:00,Abra,658.82,271.91,W
2011-10-03 11:00:00,Abra,701.19,271.91,W
2011-10-03 14:00:00,Abra,733.02,272.79,W
2011-10-03 17:00:00,Abra,764.75,271.93,W
2011-10-03 20:00:00,Abra,807.13,272.74,W
2011-10-03 23:00:00,Abra,849.48,272.72,W
2011-10-04 02:00:00,Abra,902.5,273.41,W
2011-10-04 05:00:00,Abra,955.59,274.04,W
2011-10-04 08:00:00,Abra,1009.11,275.25,W
2011-10-04 11:00:00,Abra,1074.12,276.9,W
2011-10-04 14:00:00,Abra,1128.29,277.86,W
2011-10-04 17:00:00,Abra,1191.3,277.63,W
2011-10-04 20:00:00,Abra,1243.15,276.94,W
2011-10-04 23:00:00,Abra,1263.63,276.38,W
2011-10-05 02:00:00,Abra,1284.25,275.83,W
2011-10-05 05:00:00,Abra,1294.44,275.32,W
2011-10-05 08:00:00,Abra,1315.31,274.81,W
2011-10-05 11:00:00,Abra,1325.74,274.32,W
2011-10-05 14:00:00,Abra,1346.85,273.84,W
2011-10-05 17:00:00,Abra,1368.0,273.84,W
2011-10-05 20:00:00,Abra,1389.15,273.84,W
2011-09-26 20:00:00,Agusan del Norte,1792.56,54.0,NE
2011-09-26 23:00:00,Agusan del Norte,1778.34,52.83,NE
2011-09-27 02:00:00,Agusan del Norte,1758.53,51.94,NE
2011-09-27 05:00:00,Agusan del Norte,1745.74,50.73,NE
2011-09-27 08:00:00,Agusan del Norte,1727.04,49.8,NE
2011-09-27 11:00:00,Agusan del Norte,1717.13,49.07,NE
2011-09-27 14:00:00,Agusan del Norte,1715.75,48.56,NE
2011-09-27 17:00:00,Agusan del Norte,1699.34,48.11,NE
2011-09-27 20:00:00,Agusan del Norte,1691.17,47.88,NE
2011-09-27 23:00:00,Agusan del Norte,1690.13,47.36,NE
2011-09-28 02:00:00,Agusan del Norte,1674.03,46.89,NE
2011-09-28 05:00:00,Agusan del Norte,1673.28,46.36,NE
2011-09-28 08:00:00,Agusan del Norte,1657.44,45.88,NE
2011-09-28 11:00:00,Agusan del Norte,1633.93,45.14,NE
2011-09-28 14:00:00,Agusan del Norte,1618.43,44.64,NE
2011-09-28 17:00:00,Agusan del Norte,1580.18,44.45,NE
2011-09-28 20:00:00,Agusan del Norte,1557.22,44.22,NE
2011-09-28 23:00:00,Agusan del Norte,1518.99,44.01,NE
2011-09-29 02:00:00,Agusan del Norte,1473.18,43.5,NE
2011-09-29 05:00:00,Agusan del Norte,1435.35,42.63,NE
2011-09-29 08:00:00,Agusan del Norte,1382.56,41.72,NE
2011-09-29 11:00:00,Agusan del Norte,1338.35,40.4,NE
2011-09-29 14:00:00,Agusan del Norte,1288.06,38.63,NE
2011-09-29 17:00:00,Agusan del Norte,1232.64,36.32,NE
2011-09-29 20:00:00,Agusan del Norte,1194.73,33.9,NE
2011-09-29 23:00:00,Agusan del Norte,1144.13,31.18,NNE
2011-09-30 02:00:00,Agusan del Norte,1106.2,27.91,NNE
2011-09-30 05:00:00,Agusan del Norte,1067.77,23.91,NNE
2011-09-30 08:00:00,Agusan del Norte,1049.28,19.96,NNE
2011-09-30 11:00:00,Agusan del Norte,1025.49,16.07,NNE
2011-09-30 14:00:00,Agusan del Norte,1004.61,11.41,NNE
2011-09-30 17:00:00,Agusan del Norte,979.8,6.67,N
2011-09-30 20:00:00,Agusan del Norte,962.01,1.08,N
2011-09-30 23:00:00,Agusan del Norte,930.98,355.87,N
2011-10-01 02:00:00,Agusan del Norte,908.41,350.33,N
2011-10-01 05:00:00,Agusan del Norte,913.59,345.59,NNW
2011-10-01 08:00:00,Agusan del Norte,925.13,340.93,NNW
2011-10-01 11:00:00,Agusan del Norte,947.23,335.83,NNW
2011-10-01 14:00:00,Agusan del Norte,976.72,331.01,NNW
2011-10-01 17:00:00,Agusan del Norte,1019.04,326.0,NW
2011-10-01 20:00:00,Agusan del Norte,1055.21,322.32,NW
2011-10-01 23:00:00,Agusan del Norte,1082.6,320.56,NW
2011-10-02 02:00:00,Agusan del Norte,1112.08,319.68,NW
2011-10-02 05:00:00,Agusan del Norte,1140.98,318.08,NW
2011-10-02 08:00:00,Agusan del Norte,1186.56,317.32,NW
2011-10-02 11:00:00,Agusan del Norte,1232.14,315.91,NW
2011-10-02 14:00:00,Agusan del Norte,1278.44,314.6,NW
2011-10-02 17:00:00,Agusan del Norte,1340.73,313.45,NW
2011-10-02 20:00:00,Agusan del Norte,1380.13,312.62,NW
2011-10-02 23:00:00,Agusan del Norte,1435.07,311.92,NW
2011-10-03 02:00:00,Agusan del Norte,1466.73,311.46,NW
2011-10-03 05:00:00,Agusan del Norte,1515.12,310.51,NW
2011-10-03 08:00:00,Agusan del Norte,1547.06,310.11,NW
2011-10-03 11:00:00,Agusan del Norte,1580.9,309.17,NW
2011-10-03 14:00:00,Agusan del Norte,1613.09,308.81,NW
2011-10-03 17:00:00,Agusan del Norte,1632.48,307.83,NW
2011-10-03 20:00:00,Agusan del Norte,1673.64,307.3,NW
2011-10-03 23:00:00,Agusan del Norte,1708.78,306.49,NW
2011-10-04 02:00:00,Agusan del Norte,1759.19,305.84,NW
2011-10-04 05:00:00,Agusan del Norte,1809.83,305.22,NW
2011-10-04 08:00:00,Agusan del Norte,1866.47,304.94,NW
2011-10-04 11:00:00,Agusan del Norte,1937.9,304.81,NW
2011-10-04 14:00:00,Agusan del Norte,1994.52,304.57,NW
2011-10-04 17:00:00,Agusan del Norte,2049.09,303.65,WNW
2011-10-04 20:00:00,Agusan del Norte,2089.65,302.65,WNW
2011-10-04 23:00:00,Agusan del Norte,2102.92,302.1,WNW
2011-10-05 02:00:00,Agusan del Norte,2116.41,301.55,WNW
2011-10-05 05:00:00,Agusan del Norte,2120.69,301.15,WNW
2011-10-05 08:00:00,Agusan del Norte,2134.53,300.62,WNW
2011-10-05 11:00:00,Agusan del Norte,2139.08,300.21,WNW
2011-10-05 14:00:00,Agusan del Norte,2153.27,299.69,WNW
2011-10-05 17:00:00,Agusan del Norte,2172.38,299.45,WNW
2011-10-05 20:00:00,Agusan del Norte,2191.53,299.21,WNW
2011-09-26 20:00:00,Agusan del Sur,1781.87,52.29,NE
2011-09-26 23:00:00,Agusan del Sur,1768.82,51.1,NE
2011-09-27 02:00:00,Agusan del Sur,1749.91,50.18,NE
2011-09-27 05:00:00,Agusan del Sur,1738.33,48.96,NE
2011-09-27 08:00:00,Agusan del Sur,1720.57,48.0,NE
2011-09-27 11:00:00,Agusan del Sur,1711.4,47.26,NE
2011-09-27 14:00:00,Agusan del Sur,1710.53,46.74,NE
2011-09-27 17:00:00,Agusan del Sur,1694.58,46.28,NE
2011-09-27 20:00:00,Agusan del Sur,1686.65,46.04,NE
2011-09-27 23:00:00,Agusan del Sur,1686.14,45.51,NE
2011-09-28 02:00:00,Agusan del Sur,1670.51,45.03,NE
2011-09-28 05:00:00,Agusan del Sur,1670.29,44.5,NE
2011-09-28 08:00:00,Agusan del Sur,1654.95,44.0,NE
2011-09-28 11:00:00,Agusan del Sur,1632.2,43.23,NE
2011-09-28 14:00:00,Agusan del Sur,1617.21,42.7,NE
2011-09-28 17:00:00,Agusan del Sur,1579.18,42.46,NE
2011-09-28 20:00:00,Agusan del Sur,1556.47,42.2,NE
2011-09-28 23:00:00,Agusan del Sur,1518.48,41.94,NE
2011-09-29 02:00:00,Agusan del Sur,1473.21,41.36,NE
2011-09-29 05:00:00,Agusan del Sur,1436.29,40.43,NE
2011-09-29 08:00:00,Agusan del Sur,1384.46,39.43,NE
2011-09-29 11:00:00,Agusan del Sur,1341.61,38.04,NE
2011-09-29 14:00:00,Agusan del Sur,1293.15,36.18,NE
2011-09-29 17:00:00,Agusan del Sur,1240.09,33.77,NE
2011-09-29 20:00:00,Agusan del Sur,1204.61,31.28,NNE
2011-09-29 23:00:00,Agusan del Sur,1156.75,28.46,NNE
2011-09-30 02:00:00,Agusan del Sur,1122.02,25.15,NNE
2011-09-30 05:00:00,Agusan del Sur,1087.44,21.12,NNE
2011-09-30 08:00:00,Agusan del Sur,1072.63,17.2,NNE
2011-09-30 11:00:00,Agusan del Sur,1052.35,13.34,NNE
2011-09-30 14:00:00,Agusan del Sur,1035.48,8.76,N
2011-09-30 17:00:00,Agusan del Sur,1014.57,4.11,N
2011-09-30 20:00:00,Agusan del Sur,1001.03,358.68,N
2011-09-30 23:00:00,Agusan del Sur,973.64,353.61,N
2011-10-01 02:00:00,Agusan del Sur,954.55,348.28,NNW
2011-10-01 05:00:00,Agusan del Sur,962.36,343.79,NNW
2011-10-01 08:00:00,Agusan del Sur,976.17,339.39,NNW
2011-10-01 11:00:00,Agusan del Sur,1000.4,334.59,NNW
2011-10-01 14:00:00,Agusan del Sur,1031.52,330.05,NNW
2011-10-01 17:00:00,Agusan del Sur,1075.16,325.34,NW
2011-10-01 20:00:00,Agusan del Sur,1112.05,321.87,NW
2011-10-01 23:00:00,Agusan del Sur,1139.7,320.21,NW
2011-10-02 02:00:00,Agusan del Sur,1169.29,319.39,NW
2011-10-02 05:00:00,Agusan del Sur,1198.36,317.87,NW
2011-10-02 08:00:00,Agusan del Sur,1244.01,317.16,NW
2011-10-02 11:00:00,Agusan del Sur,1289.68,315.81,NW
2011-10-02 14:00:00,Agusan del Sur,1336.05,314.57,NW
2011-10-02 17:00:00,Agusan del Sur,1398.37,313.46,NW
2011-10-02 20:00:00,Agusan del Sur,1437.77,312.67,NW
