Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2011-12-12 02:00:00,Abra,4156.11,108.23,ESE
2011-12-12 05:00:00,Abra,4062.28,107.96,ESE
2011-12-12 08:00:00,Abra,3968.57,107.68,ESE
2011-12-12 11:00:00,Abra,3875.01,107.38,ESE
2011-12-12 14:00:00,Abra,3780.5,107.47,ESE
2011-12-12 17:00:00,Abra,3680.49,107.81,ESE
2011-12-12 20:00:00,Abra,3575.14,108.4,ESE
2011-12-12 23:00:00,Abra,3464.8,109.29,ESE
2011-12-13 02:00:00,Abra,3355.06,110.22,ESE
2011-12-13 05:00:00,Abra,3221.19,110.74,ESE
2011-12-13 08:00:00,Abra,3112.31,111.3,ESE
2011-12-13 11:00:00,Abra,3033.52,112.08,ESE
2011-12-13 14:00:00,Abra,2955.17,112.89,ESE
2011-12-13 17:00:00,Abra,2871.98,113.55,ESE
2011-12-13 20:00:00,Abra,2784.87,114.55,ESE
2011-12-13 23:00:00,Abra,2713.63,115.71,ESE
2011-12-14 02:00:00,Abra,2647.02,116.57,ESE
2011-12-14 05:00:00,Abra,2586.8,117.7,ESE
2011-12-14 08:00:00,Abra,2536.72,118.73,ESE
2011-12-14 11:00:00,Abra,2471.97,119.73,ESE
2011-12-14 14:00:00,Abra,2395.32,120.33,ESE
2011-12-14 17:00:00,Abra,2318.91,120.96,ESE
2011-12-14 20:00:00,Abra,2236.37,121.39,ESE
2011-12-14 23:00:00,Abra,2151.45,122.27,ESE
2011-12-15 02:00:00,Abra,2058.15,123.4,ESE
2011-12-15 05:00:00,Abra,1965.62,124.63,SE
2011-12-15 08:00:00,Abra,1873.96,125.97,SE
2011-12-15 11:00:00,Abra,1798.9,127.48,SE
2011-12-15 14:00:00,Abra,1709.42,129.08,SE
2011-12-15 17:00:00,Abra,1636.6,131.41,SE
2011-12-15 20:00:00,Abra,1566.14,133.37,SE
2011-12-15 23:00:00,Abra,1514.0,136.07,SE
2011-12-16 02:00:00,Abra,1463.59,138.34,SE
2011-12-16 05:00:00,Abra,1415.45,140.76,SE
2011-12-16 08:00:00,Abra,1376.17,142.97,SE
2011-12-16 11:00:00,Abra,1320.35,144.76,SE
2011-12-16 14:00:00,Abra,1260.05,147.13,SSE
2011-12-16 17:00:00,Abra,1217.06,149.52,SSE
2011-12-16 20:00:00,Abra,1161.32,152.31,SSE
2011-12-16 23:00:00,Abra,1118.66,155.6,SSE
2011-12-17 02:00:00,Abra,1069.33,158.93,SSE
2011-12-17 05:00:00,Abra,1020.62,163.14,SSE
2011-12-17 08:00:00,Abra,988.58,167.87,SSE
2011-12-17 11:00:00,Abra,966.28,171.58,S
2011-12-17 14:00:00,Abra,949.96,174.12,S
2011-12-17 17:00:00,Abra,923.42,178.07,S
2011-12-17 20:00:00,Abra,890.22,182.24,S
2011-12-17 23:00:00,Abra,863.21,187.44,S
2011-12-18 02:00:00,Abra,845.86,193.64,SSW
2011-12-18 05:00:00,Abra,862.97,200.2,SSW
2011-12-18 08:00:00,Abra,905.28,206.77,SSW
2011-12-18 11:00:00,Abra,950.79,210.65,SSW
2011-12-18 14:00:00,Abra,988.34,213.1,SSW
2011-12-18 17:00:00,Abra,1027.49,215.38,SW
2011-12-18 20:00:00,Abra,1052.63,217.36,SW
2011-12-18 23:00:00,Abra,1087.73,218.9,SW
2011-12-19 02:00:00,Abra,1123.51,220.33,SW
2011-12-19 05:00:00,Abra,1167.01,222.1,SW
2011-12-19 08:00:00,Abra,1203.22,224.1,SW
2011-12-19 11:00:00,Abra,1233.13,225.62,SW
2011-12-19 14:00:00,Abra,1279.42,227.06,SW
2011-12-19 17:00:00,Abra,1318.43,227.39,SW
2011-12-19 20:00:00,Abra,1365.36,228.03,SW
2011-12-12 02:00:00,Agusan del Norte,3411.84,98.5,E
2011-12-12 05:00:00,Agusan del Norte,3324.62,97.8,E
2011-12-12 08:00:00,Agusan del Norte,3237.9,97.07,E
2011-12-12 11:00:00,Agusan del Norte,3151.73,96.3,E
2011-12-12 14:00:00,Agusan del Norte,3058.8,95.96,E
2011-12-12 17:00:00,Agusan del Norte,2956.87,95.84,E
2011-12-12 20:00:00,Agusan del Norte,2845.83,95.98,E
2011-12-12 23:00:00,Agusan del Norte,2725.71,96.4,E
2011-12-13 02:00:00,Agusan del Norte,2605.69,96.86,E
2011-12-13 05:00:00,Agusan del Norte,2469.19,96.61,E
2011-12-13 08:00:00,Agusan del Norte,2356.43,96.52,E
2011-12-13 11:00:00,Agusan del Norte,2269.16,96.88,E
2011-12-13 14:00:00,Agusan del Norte,2181.96,97.28,E
2011-12-13 17:00:00,Agusan del Norte,2092.9,97.39,E
2011-12-13 20:00:00,Agusan del Norte,1994.92,97.89,E
2011-12-13 23:00:00,Agusan del Norte,1910.01,98.7,E
2011-12-14 02:00:00,Agusan del Norte,1834.05,99.16,E
2011-12-14 05:00:00,Agusan del Norte,1760.48,100.02,E
2011-12-14 08:00:00,Agusan del Norte,1698.06,100.86,E
2011-12-14 11:00:00,Agusan del Norte,1622.63,101.47,ESE
2011-12-14 14:00:00,Agusan del Norte,1542.17,101.33,ESE
2011-12-14 17:00:00,Agusan del Norte,1461.76,101.16,E
2011-12-14 20:00:00,Agusan del Norte,1379.0,100.52,E
2011-12-14 23:00:00,Agusan del Norte,1287.94,100.38,E
2011-12-15 02:00:00,Agusan del Norte,1186.12,100.32,E
2011-12-15 05:00:00,Agusan del Norte,1084.34,100.23,E
2011-12-15 08:00:00,Agusan del Norte,982.62,100.12,E
2011-12-15 11:00:00,Agusan del Norte,893.95,100.53,E
2011-12-15 14:00:00,Agusan del Norte,792.28,100.4,E
2011-12-15 17:00:00,Agusan del Norte,695.3,102.01,ESE
2011-12-15 20:00:00,Agusan del Norte,606.94,102.84,ESE
2011-12-15 23:00:00,Agusan del Norte,524.78,106.28,ESE
2011-12-16 02:00:00,Agusan del Norte,451.52,109.13,ESE
2011-12-16 05:00:00,Agusan del Norte,379.74,113.05,ESE
2011-12-16 08:00:00,Agusan del Norte,320.16,117.77,ESE
2011-12-16 11:00:00,Agusan del Norte,251.63,120.4,ESE
2011-12-16 14:00:00,Agusan del Norte,175.12,127.0,SE
2011-12-16 17:00:00,Agusan del Norte,119.84,142.01,SE
2011-12-16 20:00:00,Agusan del Norte,72.35,182.61,S
2011-12-16 23:00:00,Agusan del Norte,100.89,232.74,SW
2011-12-17 02:00:00,Agusan del Norte,161.89,256.2,WSW
2011-12-17 05:00:00,Agusan del Norte,245.56,266.28,W
2011-12-17 08:00:00,Agusan del Norte,332.89,269.28,W
2011-12-17 11:00:00,Agusan del Norte,398.73,271.08,W
2011-12-17 14:00:00,Agusan del Norte,442.88,272.47,W
2011-12-17 17:00:00,Agusan del Norte,509.8,274.74,W
2011-12-17 20:00:00,Agusan del Norte,578.47,277.59,W
2011-12-17 23:00:00,Agusan del Norte,658.99,279.7,W
2011-12-18 02:00:00,Agusan del Norte,750.87,281.22,W
2011-12-18 05:00:00,Agusan del Norte,849.8,280.8,W
2011-12-18 08:00:00,Agusan del Norte,957.89,279.72,W
2011-12-18 11:00:00,Agusan del Norte,1032.34,278.5,W
2011-12-18 14:00:00,Agusan del Norte,1085.48,277.56,W
2011-12-18 17:00:00,Agusan del Norte,1138.91,276.72,W
2011-12-18 20:00:00,Agusan del Norte,1182.56,276.53,W
2011-12-18 23:00:00,Agusan del Norte,1225.39,275.84,W
2011-12-19 02:00:00,Agusan del Norte,1268.41,275.2,W
2011-12-19 05:00:00,Agusan del Norte,1322.56,274.58,W
2011-12-19 08:00:00,Agusan del Norte,1377.3,274.48,W
2011-12-19 11:00:00,Agusan del Norte,1421.11,274.4,W
2011-12-19 14:00:00,Agusan del Norte,1475.5,273.88,W
2011-12-19 17:00:00,Agusan del Norte,1507.91,272.99,W
2011-12-19 20:00:00,Agusan del Norte,1551.67,272.14,W
2011-12-12 02:00:00,Agusan del Sur,3364.15,98.06,E
2011-12-12 05:00:00,Agusan del Sur,3277.33,97.34,E
2011-12-12 08:00:00,Agusan del Sur,3191.05,96.59,E
