Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2012-06-16 14:00:00,Abra,914.12,281.84,WNW
2012-06-16 17:00:00,Abra,915.95,282.52,WNW
2012-06-16 20:00:00,Abra,928.24,283.09,WNW
2012-06-16 23:00:00,Abra,940.6,283.65,WNW
2012-06-17 02:00:00,Abra,953.03,284.19,WNW
2012-06-17 05:00:00,Abra,983.88,283.82,WNW
2012-06-17 08:00:00,Abra,1002.49,282.97,WNW
2012-06-17 11:00:00,Abra,1009.24,281.62,WNW
2012-06-17 14:00:00,Abra,1006.14,280.36,W
2012-06-17 17:00:00,Abra,994.32,279.8,W
2012-06-17 20:00:00,Abra,972.13,279.3,W
2012-06-17 23:00:00,Abra,951.21,279.44,W
2012-06-18 02:00:00,Abra,930.3,279.59,W
2012-06-18 05:00:00,Abra,910.85,280.45,W
2012-06-18 08:00:00,Abra,879.59,280.73,W
2012-06-18 11:00:00,Abra,860.47,281.67,WNW
2012-06-18 14:00:00,Abra,839.72,281.9,WNW
2012-06-18 17:00:00,Abra,810.61,283.04,WNW
2012-06-18 20:00:00,Abra,779.66,283.47,WNW
2012-06-18 23:00:00,Abra,751.11,284.78,WNW
2012-06-19 02:00:00,Abra,712.86,286.39,WNW
2012-06-19 05:00:00,Abra,685.38,287.95,WNW
2012-06-19 08:00:00,Abra,655.77,291.77,WNW
2012-06-19 11:00:00,Abra,625.02,295.0,WNW
2012-06-19 14:00:00,Abra,601.71,299.51,WNW
2012-06-19 17:00:00,Abra,591.35,303.79,NW
2012-06-19 20:00:00,Abra,576.22,308.82,NW
2012-06-19 23:00:00,Abra,581.08,314.19,NW
2012-06-20 02:00:00,Abra,599.38,320.12,NW
2012-06-20 05:00:00,Abra,617.91,326.41,NNW
2012-06-20 08:00:00,Abra,638.74,333.06,NNW
2012-06-20 11:00:00,Abra,678.18,339.54,NNW
2012-06-20 14:00:00,Abra,714.81,344.98,NNW
2012-06-20 17:00:00,Abra,732.01,351.07,N
2012-06-20 20:00:00,Abra,758.02,356.03,N
2012-06-20 23:00:00,Abra,811.77,0.59,N
2012-06-21 02:00:00,Abra,894.22,5.7,N
2012-06-21 05:00:00,Abra,1014.81,12.41,NNE
2012-06-21 08:00:00,Abra,1129.02,18.38,NNE
2012-06-16 14:00:00,Agusan del Norte,1834.62,309.4,NW
2012-06-16 17:00:00,Agusan del Norte,1841.19,309.68,NW
2012-06-16 20:00:00,Agusan del Norte,1856.24,309.76,NW
2012-06-16 23:00:00,Agusan del Norte,1871.29,309.85,NW
2012-06-17 02:00:00,Agusan del Norte,1886.33,309.93,NW
2012-06-17 05:00:00,Agusan del Norte,1911.7,309.36,NW
2012-06-17 08:00:00,Agusan del Norte,1922.3,308.72,NW
2012-06-17 11:00:00,Agusan del Norte,1918.21,307.98,NW
2012-06-17 14:00:00,Agusan del Norte,1905.71,307.42,NW
2012-06-17 17:00:00,Agusan del Norte,1890.78,307.32,NW
2012-06-17 20:00:00,Agusan del Norte,1867.11,307.4,NW
2012-06-17 23:00:00,Agusan del Norte,1849.7,307.77,NW
2012-06-18 02:00:00,Agusan del Norte,1832.38,308.15,NW
2012-06-18 05:00:00,Agusan del Norte,1821.59,308.82,NW
2012-06-18 08:00:00,Agusan del Norte,1796.03,309.42,NW
2012-06-18 11:00:00,Agusan del Norte,1785.77,310.11,NW
2012-06-18 14:00:00,Agusan del Norte,1769.02,310.53,NW
2012-06-18 17:00:00,Agusan del Norte,1750.98,311.46,NW
2012-06-18 20:00:00,Agusan del Norte,1726.41,312.11,NW
2012-06-18 23:00:00,Agusan del Norte,1709.25,313.08,NW
2012-06-19 02:00:00,Agusan del Norte,1684.76,314.31,NW
2012-06-19 05:00:00,Agusan del Norte,1668.83,315.32,NW
2012-06-19 08:00:00,Agusan del Norte,1661.42,317.17,NW
2012-06-19 11:00:00,Agusan del Norte,1647.81,318.76,NW
2012-06-19 14:00:00,Agusan del Norte,1643.85,320.64,NW
2012-06-19 17:00:00,Agusan del Norte,1648.46,322.24,NW
2012-06-19 20:00:00,Agusan del Norte,1647.96,324.11,NW
2012-06-19 23:00:00,Agusan del Norte,1664.43,325.92,NW
2012-06-20 02:00:00,Agusan del Norte,1691.76,327.91,NNW
2012-06-20 05:00:00,Agusan del Norte,1715.64,330.12,NNW
2012-06-20 08:00:00,Agusan del Norte,1737.05,332.56,NNW
2012-06-20 11:00:00,Agusan del Norte,1771.61,335.1,NNW
2012-06-20 14:00:00,Agusan del Norte,1799.56,337.37,NNW
2012-06-20 17:00:00,Agusan del Norte,1802.22,339.91,NNW
2012-06-20 20:00:00,Agusan del Norte,1812.0,342.11,NNW
2012-06-20 23:00:00,Agusan del Norte,1845.89,344.5,NNW
2012-06-21 02:00:00,Agusan del Norte,1899.76,347.54,NNW
2012-06-21 05:00:00,Agusan del Norte,1972.56,351.96,N
2012-06-21 08:00:00,Agusan del Norte,2034.12,356.23,N
2012-06-16 14:00:00,Agusan del Sur,1892.19,309.54,NW
2012-06-16 17:00:00,Agusan del Sur,1898.77,309.82,NW
2012-06-16 20:00:00,Agusan del Sur,1913.83,309.9,NW
2012-06-16 23:00:00,Agusan del Sur,1928.88,309.98,NW
2012-06-17 02:00:00,Agusan del Sur,1943.92,310.06,NW
2012-06-17 05:00:00,Agusan del Sur,1969.27,309.51,NW
2012-06-17 08:00:00,Agusan del Sur,1979.83,308.88,NW
2012-06-17 11:00:00,Agusan del Sur,1975.69,308.17,NW
2012-06-17 14:00:00,Agusan del Sur,1963.14,307.63,NW
2012-06-17 17:00:00,Agusan del Sur,1948.2,307.53,NW
2012-06-17 20:00:00,Agusan del Sur,1924.54,307.61,NW
2012-06-17 23:00:00,Agusan del Sur,1907.16,307.97,NW
2012-06-18 02:00:00,Agusan del Sur,1889.87,308.33,NW
2012-06-18 05:00:00,Agusan del Sur,1879.13,308.99,NW
2012-06-18 08:00:00,Agusan del Sur,1853.6,309.57,NW
2012-06-18 11:00:00,Agusan del Sur,1843.37,310.24,NW
2012-06-18 14:00:00,Agusan del Sur,1826.64,310.65,NW
