Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2012-08-17 14:00:00,Abra,696.42,51.8,NE
2012-08-17 17:00:00,Abra,668.58,53.57,NE
2012-08-17 20:00:00,Abra,650.16,55.99,NE
2012-08-17 23:00:00,Abra,622.22,60.33,ENE
2012-08-18 02:00:00,Abra,607.77,65.44,ENE
2012-08-18 05:00:00,Abra,591.9,69.41,ENE
2012-08-18 08:00:00,Abra,589.19,73.85,ENE
2012-08-18 11:00:00,Abra,573.75,75.74,ENE
2012-08-18 14:00:00,Abra,561.11,76.61,ENE
2012-08-18 17:00:00,Abra,536.21,78.48,ENE
2012-08-18 20:00:00,Abra,511.89,80.52,E
2012-08-18 23:00:00,Abra,489.49,81.47,E
2012-08-19 02:00:00,Abra,476.69,83.96,E
2012-08-19 05:00:00,Abra,454.79,85.14,E
2012-08-19 08:00:00,Abra,443.36,87.93,E
2012-08-19 11:00:00,Abra,443.35,89.37,E
2012-08-19 14:00:00,Abra,443.35,89.37,E
2012-08-19 17:00:00,Abra,443.35,89.37,E
2012-08-19 20:00:00,Abra,443.35,89.37,E
2012-08-19 23:00:00,Abra,432.75,89.38,E
2012-08-20 02:00:00,Abra,432.77,87.91,E
2012-08-20 05:00:00,Abra,433.08,86.44,E
2012-08-20 08:00:00,Abra,445.08,83.63,E
2012-08-20 11:00:00,Abra,458.07,80.97,E
2012-08-20 14:00:00,Abra,461.58,78.23,ENE
2012-08-20 17:00:00,Abra,476.39,75.83,ENE
2012-08-20 20:00:00,Abra,505.07,72.66,ENE
2012-08-20 23:00:00,Abra,515.21,69.09,ENE
2012-08-21 02:00:00,Abra,536.94,66.1,ENE
2012-08-21 05:00:00,Abra,550.52,62.88,ENE
2012-08-21 08:00:00,Abra,580.25,59.36,ENE
2012-08-21 11:00:00,Abra,603.12,55.66,NE
2012-08-21 14:00:00,Abra,634.94,51.43,NE
2012-08-21 17:00:00,Abra,654.76,47.77,NE
2012-08-21 20:00:00,Abra,669.43,45.02,NE
2012-08-21 23:00:00,Abra,677.63,43.05,NE
2012-08-22 02:00:00,Abra,678.49,41.77,NE
2012-08-22 05:00:00,Abra,672.87,39.84,NE
2012-08-22 08:00:00,Abra,668.06,37.88,NE
2012-08-22 11:00:00,Abra,670.34,36.59,NE
2012-08-22 14:00:00,Abra,672.96,35.32,NE
2012-08-22 17:00:00,Abra,666.89,34.61,NE
2012-08-22 20:00:00,Abra,660.92,33.89,NE
2012-08-22 23:00:00,Abra,655.07,33.15,NNE
2012-08-23 02:00:00,Abra,643.71,31.64,NNE
2012-08-23 05:00:00,Abra,638.21,30.86,NNE
2012-08-23 08:00:00,Abra,637.22,28.76,NNE
2012-08-23 11:00:00,Abra,627.28,27.13,NNE
2012-08-23 14:00:00,Abra,627.88,25.0,NNE
2012-08-23 17:00:00,Abra,615.09,22.41,NNE
2012-08-23 20:00:00,Abra,600.16,18.8,NNE
2012-08-23 23:00:00,Abra,574.41,14.33,NNE
2012-08-24 02:00:00,Abra,539.96,8.58,N
2012-08-24 05:00:00,Abra,523.45,3.19,N
2012-08-24 08:00:00,Abra,511.5,359.8,N
2012-08-24 11:00:00,Abra,513.35,355.2,N
2012-08-24 14:00:00,Abra,527.96,351.96,N
2012-08-24 17:00:00,Abra,542.26,349.98,N
2012-08-24 20:00:00,Abra,546.34,347.85,NNW
2012-08-24 23:00:00,Abra,553.88,344.73,NNW
2012-08-25 02:00:00,Abra,573.59,342.07,NNW
2012-08-25 05:00:00,Abra,584.14,339.2,NNW
2012-08-25 08:00:00,Abra,591.99,337.34,NNW
2012-08-25 11:00:00,Abra,594.97,334.19,NNW
2012-08-25 14:00:00,Abra,599.79,331.07,NNW
2012-08-25 17:00:00,Abra,602.91,326.62,NNW
2012-08-25 20:00:00,Abra,603.32,322.99,NW
2012-08-25 23:00:00,Abra,591.05,319.41,NW
2012-08-26 02:00:00,Abra,581.83,317.19,NW
2012-08-26 05:00:00,Abra,573.53,314.89,NW
2012-08-26 08:00:00,Abra,550.75,313.96,NW
2012-08-26 11:00:00,Abra,543.27,313.1,NW
2012-08-26 14:00:00,Abra,535.92,312.21,NW
2012-08-26 17:00:00,Abra,520.78,312.04,NW
2012-08-26 20:00:00,Abra,505.64,311.85,NW
2012-08-26 23:00:00,Abra,482.63,312.47,NW
2012-08-27 02:00:00,Abra,459.65,315.05,NW
2012-08-27 05:00:00,Abra,429.68,316.88,NW
2012-08-27 08:00:00,Abra,408.59,320.04,NW
2012-08-27 11:00:00,Abra,406.85,325.43,NW
2012-08-27 14:00:00,Abra,403.74,332.09,NNW
2012-08-27 17:00:00,Abra,402.53,340.13,NNW
2012-08-27 20:00:00,Abra,418.23,349.76,N
2012-08-27 23:00:00,Abra,434.26,357.03,N
2012-08-28 02:00:00,Abra,467.96,3.58,N
2012-08-28 05:00:00,Abra,530.7,9.87,N
2012-08-28 08:00:00,Abra,595.94,13.78,NNE
2012-08-28 11:00:00,Abra,671.1,15.76,NNE
2012-08-28 14:00:00,Abra,750.12,18.05,NNE
2012-08-28 17:00:00,Abra,836.99,18.94,NNE
2012-08-28 20:00:00,Abra,899.63,19.55,NNE
2012-08-28 23:00:00,Abra,962.35,18.14,NNE
2012-08-29 02:00:00,Abra,1028.7,17.44,NNE
2012-08-29 05:00:00,Abra,1081.54,16.49,NNE
2012-08-29 08:00:00,Abra,1148.16,15.95,NNE
2012-08-29 11:00:00,Abra,1214.84,15.46,NNE
2012-08-29 14:00:00,Abra,1295.01,15.29,NNE
2012-08-29 17:00:00,Abra,1377.95,15.52,NNE
2012-08-29 20:00:00,Abra,1484.96,15.81,NNE
2012-08-29 23:00:00,Abra,1583.4,15.04,NNE
2012-08-30 02:00:00,Abra,1684.69,14.66,NNE
2012-08-30 05:00:00,Abra,1783.45,15.29,NNE
2012-08-30 08:00:00,Abra,1898.75,16.25,NNE
2012-08-30 11:00:00,Abra,2017.6,17.32,NNE
2012-08-30 14:00:00,Abra,2133.7,18.0,NNE
2012-08-30 17:00:00,Abra,2222.53,19.11,NNE
2012-08-30 20:00:00,Abra,2298.41,20.03,NNE
2012-08-30 23:00:00,Abra,2402.52,21.02,NNE
2012-08-31 02:00:00,Abra,2495.54,21.34,NNE
2012-08-31 05:00:00,Abra,2527.11,21.66,NNE
2012-08-31 08:00:00,Abra,2534.99,22.02,NNE
2012-08-31 11:00:00,Abra,2556.89,22.44,NNE
2012-08-31 14:00:00,Abra,2578.95,22.85,NNE
2012-08-31 17:00:00,Abra,2587.24,23.19,NNE
2012-08-31 20:00:00,Abra,2601.17,23.25,NNE
2012-08-31 23:00:00,Abra,2620.68,23.0,NNE
2012-09-01 02:00:00,Abra,2654.11,22.82,NNE
2012-09-01 05:00:00,Abra,2663.88,22.7,NNE
2012-09-01 08:00:00,Abra,2677.76,22.75,NNE
2012-08-17 14:00:00,Agusan del Norte,1384.94,1.6,N
2012-08-17 17:00:00,Agusan del Norte,1351.33,1.2,N
2012-08-17 20:00:00,Agusan del Norte,1317.98,1.23,N
2012-08-17 23:00:00,Agusan del Norte,1262.4,1.29,N
2012-08-18 02:00:00,Agusan del Norte,1207.12,1.85,N
2012-08-18 05:00:00,Agusan del Norte,1162.67,1.92,N
2012-08-18 08:00:00,Agusan del Norte,1118.66,2.54,N
2012-08-18 11:00:00,Agusan del Norte,1096.0,2.05,N
2012-08-18 14:00:00,Agusan del Norte,1084.54,1.51,N
2012-08-18 17:00:00,Agusan del Norte,1061.94,0.4,N
2012-08-18 20:00:00,Agusan del Norte,1039.77,359.24,N
2012-08-18 23:00:00,Agusan del Norte,1029.17,358.05,N
2012-08-19 02:00:00,Agusan del Norte,1007.39,357.4,N
2012-08-19 05:00:00,Agusan del Norte,997.52,356.15,N
2012-08-19 08:00:00,Agusan del Norte,976.15,355.44,N
2012-08-19 11:00:00,Agusan del Norte,965.07,355.38,N
2012-08-19 14:00:00,Agusan del Norte,965.07,355.38,N
2012-08-19 17:00:00,Agusan del Norte,965.07,355.38,N
2012-08-19 20:00:00,Agusan del Norte,965.07,355.38,N
2012-08-19 23:00:00,Agusan del Norte,966.01,354.76,N
2012-08-20 02:00:00,Agusan del Norte,977.08,354.82,N
2012-08-20 05:00:00,Agusan del Norte,988.15,354.88,N
2012-08-20 08:00:00,Agusan del Norte,1009.4,355.6,N
2012-08-20 11:00:00,Agusan del Norte,1030.8,356.28,N
2012-08-20 14:00:00,Agusan del Norte,1052.99,356.36,N
2012-08-20 17:00:00,Agusan del Norte,1074.55,357.01,N
2012-08-20 20:00:00,Agusan del Norte,1106.96,358.19,N
2012-08-20 23:00:00,Agusan del Norte,1140.3,358.25,N
2012-08-21 02:00:00,Agusan del Norte,1173.37,358.82,N
2012-08-21 05:00:00,Agusan del Norte,1206.72,358.85,N
2012-08-21 08:00:00,Agusan del Norte,1251.02,359.37,N
2012-08-21 11:00:00,Agusan del Norte,1295.5,359.4,N
2012-08-21 14:00:00,Agusan del Norte,1351.09,359.42,N
2012-08-21 17:00:00,Agusan del Norte,1395.71,359.02,N
2012-08-21 20:00:00,Agusan del Norte,1429.29,358.62,N
2012-08-21 23:00:00,Agusan del Norte,1451.82,358.23,N
2012-08-22 02:00:00,Agusan del Norte,1463.31,357.84,N
2012-08-22 05:00:00,Agusan del Norte,1475.39,357.05,N
2012-08-22 08:00:00,Agusan del Norte,1487.77,356.28,N
2012-08-22 11:00:00,Agusan del Norte,1499.61,355.91,N
2012-08-22 14:00:00,Agusan del Norte,1511.51,355.55,N
2012-08-22 17:00:00,Agusan del Norte,1512.4,355.16,N
2012-08-22 20:00:00,Agusan del Norte,1513.36,354.77,N
2012-08-22 23:00:00,Agusan del Norte,1514.4,354.38,N
2012-08-23 02:00:00,Agusan del Norte,1516.7,353.6,N
2012-08-23 05:00:00,Agusan del Norte,1517.96,353.21,N
2012-08-23 08:00:00,Agusan del Norte,1531.71,352.5,N
2012-08-23 11:00:00,Agusan del Norte,1534.73,351.73,N
2012-08-23 14:00:00,Agusan del Norte,1549.0,351.04,N
2012-08-23 17:00:00,Agusan del Norte,1554.45,349.91,N
2012-08-23 20:00:00,Agusan del Norte,1562.71,348.42,NNW
2012-08-23 23:00:00,Agusan del Norte,1563.84,346.47,NNW
2012-08-24 02:00:00,Agusan del Norte,1559.2,344.05,NNW
2012-08-24 05:00:00,Agusan del Norte,1564.62,342.11,NNW
2012-08-24 08:00:00,Agusan del Norte,1564.61,340.9,NNW
2012-08-24 11:00:00,Agusan del Norte,1579.5,339.48,NNW
2012-08-24 14:00:00,Agusan del Norte,1601.57,338.6,NNW
2012-08-24 17:00:00,Agusan del Norte,1619.9,338.08,NNW
2012-08-24 20:00:00,Agusan del Norte,1628.22,337.41,NNW
2012-08-24 23:00:00,Agusan del Norte,1641.14,336.41,NNW
2012-08-25 02:00:00,Agusan del Norte,1664.55,335.61,NNW
2012-08-25 05:00:00,Agusan del Norte,1678.41,334.66,NNW
2012-08-25 08:00:00,Agusan del Norte,1687.92,334.03,NNW
2012-08-25 11:00:00,Agusan del Norte,1692.87,332.92,NNW
2012-08-25 14:00:00,Agusan del Norte,1698.5,331.81,NNW
2012-08-25 17:00:00,Agusan del Norte,1700.75,330.22,NNW
2012-08-25 20:00:00,Agusan del Norte,1698.72,328.92,NNW
2012-08-25 23:00:00,Agusan del Norte,1682.6,327.69,NNW
2012-08-26 02:00:00,Agusan del Norte,1670.3,326.96,NNW
2012-08-26 05:00:00,Agusan del Norte,1658.3,326.21,NW
2012-08-26 08:00:00,Agusan del Norte,1634.22,326.05,NW
2012-08-26 11:00:00,Agusan del Norte,1625.26,325.81,NW
2012-08-26 14:00:00,Agusan del Norte,1616.33,325.58,NW
2012-08-26 17:00:00,Agusan del Norte,1601.2,325.64,NW
2012-08-26 20:00:00,Agusan del Norte,1586.08,325.7,NW
