Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2012-08-18 20:00:00,Abra,2279.57,99.46,E
2012-08-18 23:00:00,Abra,2302.57,98.43,E
2012-08-19 02:00:00,Abra,2315.66,97.47,E
2012-08-19 05:00:00,Abra,2331.68,96.81,E
2012-08-19 08:00:00,Abra,2345.64,95.87,E
2012-08-19 11:00:00,Abra,2349.54,95.0,E
2012-08-19 14:00:00,Abra,2349.54,95.0,E
2012-08-19 17:00:00,Abra,2330.78,93.96,E
2012-08-19 20:00:00,Abra,2311.04,92.62,E
2012-08-19 23:00:00,Abra,2283.42,91.58,E
2012-08-20 02:00:00,Abra,2265.91,90.19,E
2012-08-20 05:00:00,Abra,2261.3,89.05,E
2012-08-20 08:00:00,Abra,2248.71,88.5,E
2012-08-20 11:00:00,Abra,2224.94,87.67,E
2012-08-20 14:00:00,Abra,2212.9,87.1,E
2012-08-20 17:00:00,Abra,2201.08,86.53,E
2012-08-20 20:00:00,Abra,2189.07,85.66,E
2012-08-20 23:00:00,Abra,2188.7,85.36,E
2012-08-21 02:00:00,Abra,2177.83,85.07,E
2012-08-21 05:00:00,Abra,2156.71,85.08,E
2012-08-21 08:00:00,Abra,2135.59,85.1,E
2012-08-21 11:00:00,Abra,2114.24,84.8,E
2012-08-21 14:00:00,Abra,2092.97,84.51,E
2012-08-21 17:00:00,Abra,2071.75,83.89,E
2012-08-21 20:00:00,Abra,2050.8,83.25,E
2012-08-21 23:00:00,Abra,2019.63,82.6,E
2012-08-22 02:00:00,Abra,1988.42,82.25,E
2012-08-22 05:00:00,Abra,1946.82,81.88,E
2012-08-22 08:00:00,Abra,1915.34,81.84,E
2012-08-22 11:00:00,Abra,1873.91,81.44,E
2012-08-22 14:00:00,Abra,1842.47,81.39,E
2012-08-22 17:00:00,Abra,1811.7,80.98,E
2012-08-22 20:00:00,Abra,1781.05,80.55,E
2012-08-22 23:00:00,Abra,1728.78,80.42,E
2012-08-23 02:00:00,Abra,1677.48,79.9,E
2012-08-23 05:00:00,Abra,1646.18,79.8,E
2012-08-23 08:00:00,Abra,1615.98,79.3,E
2012-08-23 11:00:00,Abra,1587.23,78.38,ENE
2012-08-23 14:00:00,Abra,1567.86,77.88,ENE
2012-08-23 17:00:00,Abra,1517.61,77.2,ENE
2012-08-23 20:00:00,Abra,1477.98,76.54,ENE
2012-08-23 23:00:00,Abra,1447.07,76.34,ENE
2012-08-24 02:00:00,Abra,1430.31,75.32,ENE
2012-08-24 05:00:00,Abra,1426.48,73.91,ENE
2012-08-24 08:00:00,Abra,1436.18,72.16,ENE
2012-08-24 11:00:00,Abra,1414.29,70.54,ENE
2012-08-24 14:00:00,Abra,1393.67,68.87,ENE
2012-08-24 17:00:00,Abra,1393.93,67.42,ENE
2012-08-24 20:00:00,Abra,1395.08,65.97,ENE
2012-08-24 23:00:00,Abra,1397.14,64.53,ENE
2012-08-25 02:00:00,Abra,1390.66,62.93,ENE
2012-08-25 05:00:00,Abra,1376.03,61.14,ENE
2012-08-25 08:00:00,Abra,1362.89,59.31,ENE
2012-08-25 11:00:00,Abra,1342.35,57.24,ENE
2012-08-25 14:00:00,Abra,1329.55,54.7,NE
2012-08-25 17:00:00,Abra,1301.16,53.34,NE
2012-08-25 20:00:00,Abra,1290.39,52.43,NE
2012-08-25 23:00:00,Abra,1271.7,51.24,NE
2012-08-26 02:00:00,Abra,1267.01,49.2,NE
2012-08-26 05:00:00,Abra,1257.0,47.55,NE
2012-08-26 08:00:00,Abra,1255.45,45.48,NE
2012-08-26 11:00:00,Abra,1255.65,43.42,NE
2012-08-26 14:00:00,Abra,1257.58,41.36,NE
2012-08-26 17:00:00,Abra,1262.85,38.64,NE
2012-08-26 20:00:00,Abra,1256.26,35.91,NE
2012-08-26 23:00:00,Abra,1273.42,33.6,NNE
2012-08-27 02:00:00,Abra,1301.97,31.08,NNE
2012-08-27 05:00:00,Abra,1323.55,28.93,NNE
2012-08-27 08:00:00,Abra,1371.23,26.76,NNE
2012-08-27 11:00:00,Abra,1407.78,23.68,NNE
2012-08-27 14:00:00,Abra,1472.72,20.79,NNE
2012-08-27 17:00:00,Abra,1534.24,18.65,NNE
2012-08-27 20:00:00,Abra,1600.95,17.01,NNE
2012-08-27 23:00:00,Abra,1679.55,15.39,NNE
2012-08-28 02:00:00,Abra,1772.69,14.12,NNE
2012-08-28 05:00:00,Abra,1864.28,12.7,NNE
2012-08-28 08:00:00,Abra,1959.1,11.69,NNE
2012-08-28 11:00:00,Abra,2052.53,10.52,N
2012-08-28 14:00:00,Abra,2159.47,9.64,N
2012-08-28 17:00:00,Abra,2266.9,8.85,N
2012-08-28 20:00:00,Abra,2390.33,8.71,N
2012-08-28 23:00:00,Abra,2549.68,8.81,N
2012-08-29 02:00:00,Abra,2724.84,9.36,N
2012-08-29 05:00:00,Abra,2892.92,10.16,N
2012-08-29 08:00:00,Abra,3052.64,11.02,N
2012-08-29 11:00:00,Abra,3180.85,11.9,NNE
2012-08-29 14:00:00,Abra,3288.59,12.79,NNE
2012-08-29 17:00:00,Abra,3391.71,13.9,NNE
2012-08-29 20:00:00,Abra,3517.02,14.77,NNE
2012-08-29 23:00:00,Abra,3658.01,15.17,NNE
2012-08-30 02:00:00,Abra,3820.4,15.83,NNE
2012-08-30 05:00:00,Abra,3987.0,17.64,NNE
2012-08-30 08:00:00,Abra,4148.8,19.28,NNE
2012-08-30 11:00:00,Abra,4242.55,19.97,NNE
2012-08-30 14:00:00,Abra,4307.29,20.53,NNE
2012-08-30 17:00:00,Abra,4425.45,21.58,NNE
2012-08-30 20:00:00,Abra,4562.44,22.57,NNE
2012-08-30 23:00:00,Abra,4676.26,22.8,NNE
2012-08-31 02:00:00,Abra,4756.04,22.92,NNE
2012-08-31 05:00:00,Abra,4802.1,23.62,NNE
2012-08-31 08:00:00,Abra,4845.71,24.46,NNE
2012-08-31 11:00:00,Abra,4881.15,24.94,NNE
2012-08-31 14:00:00,Abra,4992.41,25.95,NNE
2012-08-31 17:00:00,Abra,5265.64,28.31,NNE
2012-08-31 20:00:00,Abra,5542.07,30.58,NNE
2012-08-31 23:00:00,Abra,5651.2,31.48,NNE
2012-09-01 02:00:00,Abra,5718.88,32.2,NNE
2012-09-01 05:00:00,Abra,5854.59,33.53,NNE
2012-09-01 08:00:00,Abra,5985.64,34.7,NE
2012-09-01 11:00:00,Abra,6062.72,35.3,NE
2012-09-01 14:00:00,Abra,6126.63,35.68,NE
2012-09-01 17:00:00,Abra,6219.2,36.28,NE
2012-09-01 20:00:00,Abra,6326.47,36.88,NE
2012-09-01 23:00:00,Abra,6441.4,37.21,NE
2012-09-02 02:00:00,Abra,6562.08,37.27,NE
2012-08-18 20:00:00,Agusan del Norte,1794.49,73.3,ENE
2012-08-18 23:00:00,Agusan del Norte,1834.05,72.51,ENE
2012-08-19 02:00:00,Agusan del Norte,1863.42,71.67,ENE
