Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2013-07-15 02:00:00,Abra,870.68,115.51,ESE
2013-07-15 05:00:00,Abra,827.34,116.21,ESE
2013-07-15 08:00:00,Abra,774.7,117.36,ESE
2013-07-15 11:00:00,Abra,722.4,118.67,ESE
2013-07-15 14:00:00,Abra,685.53,120.48,ESE
2013-07-15 17:00:00,Abra,658.34,121.98,ESE
2013-07-15 20:00:00,Abra,631.6,123.59,ESE
2013-07-15 23:00:00,Abra,607.59,123.89,SE
2013-07-16 02:00:00,Abra,577.22,123.32,ESE
2013-07-16 05:00:00,Abra,562.06,123.01,ESE
2013-07-16 08:00:00,Abra,531.82,122.33,ESE
2013-07-16 11:00:00,Abra,486.67,121.14,ESE
2013-07-16 14:00:00,Abra,445.6,117.76,ESE
2013-07-16 17:00:00,Abra,401.65,115.79,ESE
2013-07-16 20:00:00,Abra,353.94,111.69,ESE
2013-07-16 23:00:00,Abra,312.17,108.28,ESE
2013-07-17 02:00:00,Abra,256.73,99.62,E
2013-07-17 05:00:00,Abra,200.7,83.35,E
2013-07-17 08:00:00,Abra,177.18,55.4,NE
2013-07-17 11:00:00,Abra,181.45,30.78,NNE
2013-07-17 14:00:00,Abra,215.09,10.76,N
2013-07-17 17:00:00,Abra,245.69,354.7,N
2013-07-17 20:00:00,Abra,290.98,342.95,NNW
2013-07-17 23:00:00,Abra,350.91,336.98,NNW
2013-07-18 02:00:00,Abra,413.54,332.83,NNW
2013-07-18 05:00:00,Abra,472.52,330.9,NNW
2013-07-18 08:00:00,Abra,541.4,330.03,NNW
2013-07-18 11:00:00,Abra,599.79,331.07,NNW
2013-07-18 14:00:00,Abra,653.38,332.73,NNW
2013-07-18 17:00:00,Abra,692.87,334.47,NNW
2013-07-18 20:00:00,Abra,728.68,336.76,NNW
2013-07-18 23:00:00,Abra,789.99,338.75,NNW
2013-07-19 02:00:00,Abra,855.71,339.82,NNW
2013-07-19 05:00:00,Abra,921.65,340.74,NNW
2013-07-19 08:00:00,Abra,953.0,341.44,NNW
2013-07-15 02:00:00,Agusan del Norte,628.14,24.04,NNE
2013-07-15 05:00:00,Agusan del Norte,621.94,19.99,NNE
2013-07-15 08:00:00,Agusan del Norte,616.04,14.92,NNE
2013-07-15 11:00:00,Agusan del Norte,615.14,9.79,N
2013-07-15 14:00:00,Agusan del Norte,609.18,5.79,N
2013-07-15 17:00:00,Agusan del Norte,606.72,2.75,N
2013-07-15 20:00:00,Agusan del Norte,606.02,359.69,N
2013-07-15 23:00:00,Agusan del Norte,617.64,357.7,N
2013-07-16 02:00:00,Agusan del Norte,641.08,355.86,N
2013-07-16 05:00:00,Agusan del Norte,653.04,354.99,N
2013-07-16 08:00:00,Agusan del Norte,677.39,353.34,N
2013-07-16 11:00:00,Agusan del Norte,714.9,351.09,N
2013-07-16 14:00:00,Agusan del Norte,762.35,350.03,N
2013-07-16 17:00:00,Agusan del Norte,801.31,348.19,NNW
2013-07-16 20:00:00,Agusan del Norte,851.82,346.71,NNW
2013-07-16 23:00:00,Agusan del Norte,892.11,345.22,NNW
2013-07-17 02:00:00,Agusan del Norte,957.33,343.64,NNW
2013-07-17 05:00:00,Agusan del Norte,1037.11,341.91,NNW
2013-07-17 08:00:00,Agusan del Norte,1128.12,340.64,NNW
2013-07-17 11:00:00,Agusan del Norte,1198.89,339.19,NNW
2013-07-17 14:00:00,Agusan del Norte,1270.34,337.92,NNW
2013-07-17 17:00:00,Agusan del Norte,1326.57,335.98,NNW
2013-07-17 20:00:00,Agusan del Norte,1384.24,334.22,NNW
2013-07-17 23:00:00,Agusan del Norte,1447.91,333.18,NNW
2013-07-18 02:00:00,Agusan del Norte,1512.01,332.25,NNW
2013-07-18 05:00:00,Agusan del Norte,1571.24,331.73,NNW
2013-07-18 08:00:00,Agusan del Norte,1640.12,331.45,NNW
2013-07-18 11:00:00,Agusan del Norte,1698.5,331.81,NNW
2013-07-18 14:00:00,Agusan del Norte,1751.78,332.45,NNW
2013-07-18 17:00:00,Agusan del Norte,1790.54,333.16,NNW
2013-07-18 20:00:00,Agusan del Norte,1824.74,334.13,NNW
2013-07-18 23:00:00,Agusan del Norte,1883.88,335.1,NNW
2013-07-19 02:00:00,Agusan del Norte,1947.97,335.74,NNW
2013-07-19 05:00:00,Agusan del Norte,2012.25,336.35,NNW
2013-07-19 08:00:00,Agusan del Norte,2042.28,336.76,NNW
2013-07-15 02:00:00,Agusan del Sur,648.63,19.28,NNE
2013-07-15 05:00:00,Agusan del Sur,646.14,15.34,NNE
2013-07-15 08:00:00,Agusan del Sur,644.7,10.45,N
2013-07-15 11:00:00,Agusan del Sur,648.05,5.57,N
2013-07-15 14:00:00,Agusan del Sur,645.24,1.75,N
2013-07-15 17:00:00,Agusan del Sur,645.06,358.88,N
2013-07-15 20:00:00,Agusan del Sur,646.53,356.01,N
2013-07-15 23:00:00,Agusan del Sur,659.48,354.21,N
2013-07-16 02:00:00,Agusan del Sur,684.09,352.61,N
2013-07-16 05:00:00,Agusan del Sur,696.59,351.85,N
2013-07-16 08:00:00,Agusan del Sur,721.95,350.41,N
2013-07-16 11:00:00,Agusan del Sur,760.77,348.45,NNW
2013-07-16 14:00:00,Agusan del Sur,808.79,347.61,NNW
2013-07-16 17:00:00,Agusan del Sur,848.75,345.99,NNW
2013-07-16 20:00:00,Agusan del Sur,900.04,344.72,NNW
2013-07-16 23:00:00,Agusan del Sur,941.09,343.39,NNW
2013-07-17 02:00:00,Agusan del Sur,1007.08,342.01,NNW
2013-07-17 05:00:00,Agusan del Sur,1087.66,340.49,NNW
2013-07-17 08:00:00,Agusan del Sur,1179.23,339.39,NNW
2013-07-17 11:00:00,Agusan del Sur,1250.63,338.08,NNW
2013-07-17 14:00:00,Agusan del Sur,1322.61,336.92,NNW
2013-07-17 17:00:00,Agusan del Sur,1379.6,335.1,NNW
2013-07-17 20:00:00,Agusan del Sur,1437.93,333.44,NNW
2013-07-17 23:00:00,Agusan del Sur,1501.96,332.48,NNW
2013-07-18 02:00:00,Agusan del Sur,1566.37,331.6,NNW
2013-07-18 05:00:00,Agusan del Sur,1625.76,331.13,NNW
2013-07-18 08:00:00,Agusan del Sur,1694.72,330.89,NNW
2013-07-18 11:00:00,Agusan del Sur,1752.98,331.26,NNW
2013-07-18 14:00:00,Agusan del Sur,1806.05,331.9,NNW
2013-07-18 17:00:00,Agusan del Sur,1844.57,332.6,NNW
2013-07-18 20:00:00,Agusan del Sur,1878.42,333.56,NNW
2013-07-18 23:00:00,Agusan del Sur,1937.19,334.52,NNW
2013-07-19 02:00:00,Agusan del Sur,2001.04,335.17,NNW
2013-07-19 05:00:00,Agusan del Sur,2065.08,335.78,NNW
2013-07-19 08:00:00,Agusan del Sur,2094.94,336.2,NNW
2013-07-15 02:00:00,Aklan,656.35,65.41,ENE
2013-07-15 05:00:00,Aklan,621.79,62.89,ENE
2013-07-15 08:00:00,Aklan,579.22,59.55,ENE
2013-07-15 11:00:00,Aklan,539.0,55.7,NE
2013-07-15 14:00:00,Aklan,503.6,53.0,NE
2013-07-15 17:00:00,Aklan,477.91,50.71,NE
2013-07-15 20:00:00,Aklan,453.08,48.16,NE
2013-07-15 23:00:00,Aklan,444.76,45.25,NE
2013-07-16 02:00:00,Aklan,445.86,41.27,NE
2013-07-16 05:00:00,Aklan,447.23,39.29,NE
2013-07-16 08:00:00,Aklan,451.57,35.38,NE
2013-07-16 11:00:00,Aklan,461.96,29.71,NNE
2013-07-16 14:00:00,Aklan,491.34,24.93,NNE
2013-07-16 17:00:00,Aklan,509.59,20.05,NNE
2013-07-16 20:00:00,Aklan,542.02,15.23,NNE
2013-07-16 23:00:00,Aklan,567.01,11.2,N
2013-07-17 02:00:00,Aklan,615.36,6.28,N
2013-07-17 05:00:00,Aklan,678.44,1.19,N
2013-07-17 08:00:00,Aklan,757.15,357.06,N
2013-07-17 11:00:00,Aklan,817.02,353.58,N
2013-07-17 14:00:00,Aklan,879.57,350.6,N
2013-07-17 17:00:00,Aklan,924.9,347.1,NNW
2013-07-17 20:00:00,Aklan,973.46,343.96,NNW
2013-07-17 23:00:00,Aklan,1031.79,341.89,NNW
2013-07-18 02:00:00,Aklan,1091.35,340.06,NNW
2013-07-18 05:00:00,Aklan,1147.97,338.92,NNW
2013-07-18 08:00:00,Aklan,1215.23,338.1,NNW
2013-07-18 11:00:00,Aklan,1274.45,338.24,NNW
2013-07-18 14:00:00,Aklan,1329.67,338.78,NNW
2013-07-18 17:00:00,Aklan,1370.83,339.5,NNW
2013-07-18 20:00:00,Aklan,1408.54,340.57,NNW
2013-07-18 23:00:00,Aklan,1471.08,341.5,NNW
2013-07-19 02:00:00,Aklan,1537.31,342.0,NNW
2013-07-19 05:00:00,Aklan,1603.61,342.46,NNW
2013-07-19 08:00:00,Aklan,1635.17,342.84,NNW
2013-07-15 02:00:00,Albay,463.37,76.05,ENE
2013-07-15 05:00:00,Albay,424.35,73.28,ENE
2013-07-15 08:00:00,Albay,376.43,69.4,ENE
2013-07-15 11:00:00,Albay,330.81,64.41,ENE
2013-07-15 14:00:00,Albay,292.33,60.84,ENE
2013-07-15 17:00:00,Albay,264.42,57.48,ENE
2013-07-15 20:00:00,Albay,237.66,53.34,NE
2013-07-15 23:00:00,Albay,227.91,47.87,NE
2013-07-16 02:00:00,Albay,228.78,40.1,NE
2013-07-16 05:00:00,Albay,230.79,36.28,NE
2013-07-16 08:00:00,Albay,237.81,28.9,NNE
2013-07-16 11:00:00,Albay,255.17,18.89,NNE
2013-07-16 14:00:00,Albay,292.29,12.05,NNE
2013-07-16 17:00:00,Albay,320.45,5.17,N
2013-07-16 20:00:00,Albay,363.62,359.5,N
2013-07-16 23:00:00,Albay,398.55,354.94,N
2013-07-17 02:00:00,Albay,459.29,350.27,N
2013-07-17 05:00:00,Albay,535.74,345.92,NNW
2013-07-17 08:00:00,Albay,625.12,343.01,NNW
2013-07-17 11:00:00,Albay,694.8,340.24,NNW
2013-07-17 14:00:00,Albay,765.81,338.01,NNW
2013-07-17 17:00:00,Albay,822.18,334.87,NNW
2013-07-17 20:00:00,Albay,880.76,332.16,NNW
2013-07-17 23:00:00,Albay,945.27,330.7,NNW
2013-07-18 02:00:00,Albay,1010.3,329.44,NNW
2013-07-18 05:00:00,Albay,1070.08,328.82,NNW
2013-07-18 08:00:00,Albay,1139.24,328.59,NNW
2013-07-18 11:00:00,Albay,1197.12,329.22,NNW
2013-07-18 14:00:00,Albay,1249.67,330.21,NNW
2013-07-18 17:00:00,Albay,1287.74,331.25,NNW
2013-07-18 20:00:00,Albay,1321.18,332.62,NNW
2013-07-18 23:00:00,Albay,1379.77,333.99,NNW
2013-07-19 02:00:00,Albay,1443.62,334.88,NNW
2013-07-19 05:00:00,Albay,1507.75,335.71,NNW
2013-07-19 08:00:00,Albay,1537.72,336.26,NNW
2013-07-15 02:00:00,Antique,745.7,59.42,ENE
2013-07-15 05:00:00,Antique,714.22,56.94,ENE
2013-07-15 08:00:00,Antique,675.42,53.72,NE
2013-07-15 11:00:00,Antique,639.11,50.11,NE
2013-07-15 14:00:00,Antique,606.21,47.54,NE
2013-07-15 17:00:00,Antique,582.44,45.43,NE
2013-07-15 20:00:00,Antique,559.55,43.14,NE
2013-07-15 23:00:00,Antique,553.12,40.73,NE
2013-07-16 02:00:00,Antique,556.41,37.54,NE
2013-07-16 05:00:00,Antique,558.7,35.97,NE
2013-07-16 08:00:00,Antique,564.55,32.87,NNE
2013-07-16 11:00:00,Antique,576.4,28.36,NNE
2013-07-16 14:00:00,Antique,606.31,24.55,NNE
2013-07-16 17:00:00,Antique,624.44,20.57,NNE
2013-07-16 20:00:00,Antique,656.08,16.56,NNE
2013-07-16 23:00:00,Antique,679.88,13.15,NNE
2013-07-17 02:00:00,Antique,726.09,8.85,N
2013-07-17 05:00:00,Antique,786.16,4.26,N
2013-07-17 08:00:00,Antique,861.78,0.35,N
2013-07-17 11:00:00,Antique,918.63,357.04,N
2013-07-17 14:00:00,Antique,978.27,354.14,N
2013-07-17 17:00:00,Antique,1019.92,350.81,N
2013-07-17 20:00:00,Antique,1064.84,347.77,NNW
2013-07-17 23:00:00,Antique,1120.57,345.67,NNW
2013-07-18 02:00:00,Antique,1177.71,343.78,NNW
2013-07-18 05:00:00,Antique,1232.73,342.54,NNW
2013-07-18 08:00:00,Antique,1298.76,341.58,NNW
2013-07-18 11:00:00,Antique,1358.05,341.55,NNW
2013-07-18 14:00:00,Antique,1413.89,341.92,NNW
2013-07-18 17:00:00,Antique,1455.94,342.5,NNW
2013-07-18 20:00:00,Antique,1494.97,343.43,NNW
2013-07-18 23:00:00,Antique,1558.63,344.19,NNW
2013-07-19 02:00:00,Antique,1625.4,344.54,NNW
2013-07-19 05:00:00,Antique,1692.21,344.87,NNW
2013-07-19 08:00:00,Antique,1724.22,345.19,NNW
2013-07-15 02:00:00,Apayao,813.61,119.43,ESE
2013-07-15 05:00:00,Apayao,771.07,120.39,ESE
2013-07-15 08:00:00,Apayao,719.74,121.92,ESE
2013-07-15 11:00:00,Apayao,668.97,123.67,ESE
2013-07-15 14:00:00,Apayao,634.18,125.91,SE
2013-07-15 17:00:00,Apayao,608.76,127.75,SE
2013-07-15 20:00:00,Apayao,583.98,129.74,SE
2013-07-15 23:00:00,Apayao,560.45,130.33,SE
2013-07-16 02:00:00,Apayao,529.6,130.06,SE
2013-07-16 05:00:00,Apayao,514.19,129.92,SE
2013-07-16 08:00:00,Apayao,483.4,129.59,SE
2013-07-16 11:00:00,Apayao,437.27,129.01,SE
2013-07-16 14:00:00,Apayao,392.83,126.03,SE
2013-07-16 17:00:00,Apayao,347.22,124.8,SE
2013-07-16 20:00:00,Apayao,295.83,121.4,ESE
2013-07-16 23:00:00,Apayao,251.28,118.82,ESE
2013-07-17 02:00:00,Apayao,188.95,110.42,ESE
2013-07-17 05:00:00,Apayao,123.55,89.82,E
2013-07-17 08:00:00,Apayao,105.0,42.06,NE
