Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2013-07-29 02:00:00,Abra,557.11,167.81,SSE
2013-07-29 05:00:00,Abra,540.3,170.95,S
2013-07-29 08:00:00,Abra,515.3,172.95,S
2013-07-29 11:00:00,Abra,501.3,176.49,S
2013-07-29 14:00:00,Abra,478.22,178.92,S
2013-07-29 17:00:00,Abra,456.07,181.59,S
2013-07-29 20:00:00,Abra,434.99,184.52,S
2013-07-29 23:00:00,Abra,427.67,188.97,S
2013-07-30 02:00:00,Abra,420.61,192.11,SSW
2013-07-30 05:00:00,Abra,420.94,198.19,SSW
2013-07-30 08:00:00,Abra,421.64,202.85,SSW
2013-07-30 11:00:00,Abra,444.97,209.28,SSW
2013-07-30 14:00:00,Abra,464.07,215.8,SW
2013-07-30 17:00:00,Abra,488.52,221.74,SW
2013-07-30 20:00:00,Abra,502.26,225.37,SW
2013-07-30 23:00:00,Abra,517.85,228.79,SW
2013-07-31 02:00:00,Abra,526.8,231.26,SW
2013-07-31 05:00:00,Abra,545.24,234.33,SW
2013-07-31 08:00:00,Abra,565.09,237.2,WSW
2013-07-31 11:00:00,Abra,595.39,240.41,WSW
2013-07-31 14:00:00,Abra,617.85,242.84,WSW
2013-07-31 17:00:00,Abra,641.29,245.1,WSW
2013-07-31 20:00:00,Abra,665.6,247.19,WSW
2013-07-31 23:00:00,Abra,695.03,248.29,WSW
2013-08-01 02:00:00,Abra,710.54,249.81,WSW
2013-08-01 05:00:00,Abra,736.54,251.55,WSW
2013-08-01 08:00:00,Abra,749.44,253.72,WSW
2013-08-01 11:00:00,Abra,753.06,255.59,WSW
2013-08-01 14:00:00,Abra,754.71,258.25,WSW
2013-08-01 17:00:00,Abra,770.61,260.24,W
2013-08-01 20:00:00,Abra,774.98,262.82,W
2013-08-01 23:00:00,Abra,792.8,264.67,W
2013-08-02 02:00:00,Abra,811.35,266.42,W
2013-08-02 05:00:00,Abra,829.82,268.87,W
2013-08-02 08:00:00,Abra,849.49,271.97,W
2013-08-02 11:00:00,Abra,882.49,275.61,W
2013-08-02 14:00:00,Abra,940.76,279.52,W
2013-08-02 17:00:00,Abra,990.26,282.44,WNW
2013-08-02 20:00:00,Abra,1052.07,284.97,WNW
2013-08-02 23:00:00,Abra,1140.82,285.76,WNW
2013-08-03 02:00:00,Abra,1227.13,285.96,WNW
2013-08-03 05:00:00,Abra,1297.94,287.3,WNW
2013-08-03 08:00:00,Abra,1369.12,288.53,WNW
2013-08-03 11:00:00,Abra,1457.73,289.0,WNW
2013-08-03 14:00:00,Abra,1546.2,289.44,WNW
2013-08-03 17:00:00,Abra,1641.73,289.38,WNW
2013-08-03 20:00:00,Abra,1737.14,289.34,WNW
2013-07-29 02:00:00,Agusan del Norte,590.57,315.25,NW
2013-07-29 05:00:00,Agusan del Norte,621.75,313.88,NW
2013-07-29 08:00:00,Agusan del Norte,652.77,314.01,NW
2013-07-29 11:00:00,Agusan del Norte,684.23,312.82,NW
2013-07-29 14:00:00,Agusan del Norte,715.2,312.99,NW
2013-07-29 17:00:00,Agusan del Norte,746.16,313.15,NW
2013-07-29 20:00:00,Agusan del Norte,777.12,313.29,NW
2013-07-29 23:00:00,Agusan del Norte,808.7,312.33,NW
2013-07-30 02:00:00,Agusan del Norte,832.29,311.93,NW
2013-07-30 05:00:00,Agusan del Norte,872.47,310.63,NW
2013-07-30 08:00:00,Agusan del Norte,904.62,309.87,NW
2013-07-30 11:00:00,Agusan del Norte,947.4,307.83,NW
2013-07-30 14:00:00,Agusan del Norte,997.66,306.5,NW
2013-07-30 17:00:00,Agusan del Norte,1048.43,305.31,NW
2013-07-30 20:00:00,Agusan del Norte,1081.52,304.85,NW
2013-07-30 23:00:00,Agusan del Norte,1114.68,304.41,NW
2013-07-31 02:00:00,Agusan del Norte,1138.81,304.3,NW
2013-07-31 05:00:00,Agusan del Norte,1172.03,303.91,NW
2013-07-31 08:00:00,Agusan del Norte,1205.3,303.54,WNW
2013-07-31 11:00:00,Agusan del Norte,1247.82,302.94,WNW
2013-07-31 14:00:00,Agusan del Norte,1281.21,302.63,WNW
2013-07-31 17:00:00,Agusan del Norte,1314.62,302.33,WNW
2013-07-31 20:00:00,Agusan del Norte,1348.07,302.05,WNW
2013-07-31 23:00:00,Agusan del Norte,1376.1,301.38,WNW
2013-08-01 02:00:00,Agusan del Norte,1400.26,301.35,WNW
2013-08-01 05:00:00,Agusan del Norte,1433.8,301.11,WNW
2013-08-01 08:00:00,Agusan del Norte,1463.3,301.48,WNW
2013-08-01 11:00:00,Agusan del Norte,1483.51,302.03,WNW
2013-08-01 14:00:00,Agusan del Norte,1509.42,302.94,WNW
2013-08-01 17:00:00,Agusan del Norte,1539.11,303.26,WNW
2013-08-01 20:00:00,Agusan del Norte,1565.44,304.12,NW
2013-08-01 23:00:00,Agusan del Norte,1595.22,304.41,NW
2013-08-02 02:00:00,Agusan del Norte,1625.02,304.69,NW
2013-08-02 05:00:00,Agusan del Norte,1660.75,305.28,NW
2013-08-02 08:00:00,Agusan del Norte,1702.67,306.18,NW
2013-08-02 11:00:00,Agusan del Norte,1759.86,307.14,NW
2013-08-02 14:00:00,Agusan del Norte,1841.03,307.96,NW
2013-08-02 17:00:00,Agusan del Norte,1907.32,308.63,NW
2013-08-02 20:00:00,Agusan del Norte,1982.2,309.08,NW
2013-08-02 23:00:00,Agusan del Norte,2069.83,308.49,NW
2013-08-03 02:00:00,Agusan del Norte,2151.45,307.7,NW
2013-08-03 05:00:00,Agusan del Norte,2228.11,307.77,NW
2013-08-03 08:00:00,Agusan del Norte,2304.62,307.85,NW
2013-08-03 11:00:00,Agusan del Norte,2392.35,307.42,NW
2013-08-03 14:00:00,Agusan del Norte,2480.12,307.04,NW
