Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2013-09-29 14:00:00,Abra,1750.27,115.72,ESE
2013-09-29 17:00:00,Abra,1712.19,116.45,ESE
2013-09-29 20:00:00,Abra,1678.2,116.68,ESE
2013-09-29 23:00:00,Abra,1638.68,116.57,ESE
2013-09-30 02:00:00,Abra,1588.29,115.76,ESE
2013-09-30 05:00:00,Abra,1533.07,114.52,ESE
2013-09-30 08:00:00,Abra,1498.19,112.82,ESE
2013-09-30 11:00:00,Abra,1469.3,111.44,ESE
2013-09-30 14:00:00,Abra,1441.29,110.0,ESE
2013-09-30 17:00:00,Abra,1404.18,108.67,ESE
2013-09-30 20:00:00,Abra,1361.75,107.87,ESE
2013-09-30 23:00:00,Abra,1333.65,107.31,ESE
2013-10-01 02:00:00,Abra,1305.7,106.72,ESE
2013-10-01 05:00:00,Abra,1277.93,106.11,ESE
2013-10-01 08:00:00,Abra,1246.83,104.98,ESE
2013-10-01 11:00:00,Abra,1213.11,103.29,ESE
2013-10-01 14:00:00,Abra,1190.94,101.37,ESE
2013-10-01 17:00:00,Abra,1170.16,99.38,E
2013-10-01 20:00:00,Abra,1148.89,96.77,E
2013-10-01 23:00:00,Abra,1130.08,94.07,E
2013-10-02 02:00:00,Abra,1113.87,91.29,E
2013-10-02 05:00:00,Abra,1079.99,89.64,E
2013-10-02 08:00:00,Abra,1057.74,87.88,E
2013-10-02 11:00:00,Abra,1026.01,86.04,E
2013-10-02 14:00:00,Abra,1006.67,83.47,E
2013-10-02 17:00:00,Abra,987.31,82.1,E
2013-10-02 20:00:00,Abra,980.33,80.1,E
2013-10-02 23:00:00,Abra,984.96,78.16,ENE
2013-10-03 02:00:00,Abra,980.39,76.14,ENE
2013-10-03 05:00:00,Abra,987.27,74.23,ENE
2013-10-03 08:00:00,Abra,995.22,72.35,ENE
2013-10-03 11:00:00,Abra,1001.1,71.11,ENE
2013-10-03 14:00:00,Abra,1010.76,69.28,ENE
2013-10-03 17:00:00,Abra,1021.41,67.49,ENE
2013-10-03 20:00:00,Abra,1033.03,65.74,ENE
2013-10-03 23:00:00,Abra,1050.87,64.81,ENE
2013-10-04 02:00:00,Abra,1059.44,63.69,ENE
2013-10-04 05:00:00,Abra,1073.02,62.05,ENE
2013-10-04 08:00:00,Abra,1082.55,60.97,ENE
2013-10-04 11:00:00,Abra,1088.42,59.15,ENE
2013-10-04 14:00:00,Abra,1095.4,57.35,ENE
2013-10-04 17:00:00,Abra,1094.74,55.29,NE
2013-10-04 20:00:00,Abra,1095.56,53.23,NE
2013-10-04 23:00:00,Abra,1083.09,51.34,NE
2013-10-05 02:00:00,Abra,1063.87,49.07,NE
2013-10-05 05:00:00,Abra,1061.13,45.81,NE
2013-10-05 08:00:00,Abra,1054.21,42.98,NE
2013-10-05 11:00:00,Abra,1041.91,40.54,NE
2013-10-05 14:00:00,Abra,1023.23,38.44,NE
2013-10-05 17:00:00,Abra,1008.63,35.43,NE
2013-10-05 20:00:00,Abra,987.92,32.7,NNE
2013-10-05 23:00:00,Abra,979.19,29.53,NNE
2013-10-06 02:00:00,Abra,973.72,26.3,NNE
2013-10-06 05:00:00,Abra,957.29,22.79,NNE
2013-10-06 08:00:00,Abra,955.25,18.93,NNE
2013-10-06 11:00:00,Abra,952.9,16.43,NNE
2013-10-06 14:00:00,Abra,974.01,13.59,NNE
2013-10-06 17:00:00,Abra,995.58,10.32,N
2013-10-06 20:00:00,Abra,1030.19,6.57,N
2013-10-06 23:00:00,Abra,1045.97,2.09,N
2013-10-07 02:00:00,Abra,1056.85,358.29,N
2013-10-07 05:00:00,Abra,1062.56,354.0,N
2013-10-07 08:00:00,Abra,1070.96,350.83,N
2013-10-07 11:00:00,Abra,1061.16,347.44,NNW
2013-10-07 14:00:00,Abra,1060.43,345.2,NNW
2013-09-29 14:00:00,Agusan del Norte,1048.93,81.0,E
2013-09-29 17:00:00,Agusan del Norte,1005.55,80.67,E
2013-09-29 20:00:00,Agusan del Norte,974.68,79.76,E
2013-09-29 23:00:00,Agusan del Norte,946.05,78.12,ENE
2013-09-30 02:00:00,Agusan del Norte,923.24,75.02,ENE
2013-09-30 05:00:00,Agusan del Norte,906.59,71.1,ENE
2013-09-30 08:00:00,Agusan del Norte,914.65,67.56,ENE
2013-09-30 11:00:00,Agusan del Norte,921.58,64.73,ENE
2013-09-30 14:00:00,Agusan del Norte,930.73,61.94,ENE
2013-09-30 17:00:00,Agusan del Norte,932.62,58.89,ENE
2013-09-30 20:00:00,Agusan del Norte,922.06,56.08,NE
2013-09-30 23:00:00,Agusan del Norte,916.32,54.17,NE
2013-10-01 02:00:00,Agusan del Norte,911.62,52.25,NE
2013-10-01 05:00:00,Agusan del Norte,908.0,50.3,NE
2013-10-01 08:00:00,Agusan del Norte,912.69,47.81,NE
2013-10-01 11:00:00,Agusan del Norte,926.8,44.85,NE
2013-10-01 14:00:00,Agusan del Norte,950.73,42.46,NE
2013-10-01 17:00:00,Agusan del Norte,976.23,40.19,NE
2013-10-01 20:00:00,Agusan del Norte,1011.82,37.64,NE
2013-10-01 23:00:00,Agusan del Norte,1049.28,35.27,NE
2013-10-02 02:00:00,Agusan del Norte,1088.42,33.07,NNE
2013-10-02 05:00:00,Agusan del Norte,1098.95,30.71,NNE
2013-10-02 08:00:00,Agusan del Norte,1116.64,28.87,NNE
2013-10-02 11:00:00,Agusan del Norte,1130.51,26.62,NNE
2013-10-02 14:00:00,Agusan del Norte,1160.73,24.66,NNE
2013-10-02 17:00:00,Agusan del Norte,1171.96,23.25,NNE
2013-10-02 20:00:00,Agusan del Norte,1198.27,22.13,NNE
2013-10-02 23:00:00,Agusan del Norte,1229.0,21.52,NNE
2013-10-03 02:00:00,Agusan del Norte,1255.99,20.48,NNE
2013-10-03 05:00:00,Agusan del Norte,1287.08,19.94,NNE
2013-10-03 08:00:00,Agusan del Norte,1318.28,19.41,NNE
2013-10-03 11:00:00,Agusan del Norte,1339.14,19.08,NNE
2013-10-03 14:00:00,Agusan del Norte,1370.51,18.59,NNE
2013-10-03 17:00:00,Agusan del Norte,1401.96,18.13,NNE
2013-10-03 20:00:00,Agusan del Norte,1433.51,17.69,NNE
2013-10-03 23:00:00,Agusan del Norte,1457.9,17.79,NNE
2013-10-04 02:00:00,Agusan del Norte,1478.95,17.51,NNE
2013-10-04 05:00:00,Agusan del Norte,1510.6,17.1,NNE
2013-10-04 08:00:00,Agusan del Norte,1531.74,16.84,NNE
2013-10-04 11:00:00,Agusan del Norte,1560.42,16.1,NNE
2013-10-04 14:00:00,Agusan del Norte,1589.36,15.38,NNE
2013-10-04 17:00:00,Agusan del Norte,1615.8,14.34,NNE
2013-10-04 20:00:00,Agusan del Norte,1642.79,13.33,NNE
2013-10-04 23:00:00,Agusan del Norte,1657.15,12.1,NNE
2013-10-05 02:00:00,Agusan del Norte,1670.26,10.55,N
2013-10-05 05:00:00,Agusan del Norte,1706.57,8.9,N
2013-10-05 08:00:00,Agusan del Norte,1733.32,7.37,N
2013-10-05 11:00:00,Agusan del Norte,1750.29,5.94,N
2013-10-05 14:00:00,Agusan del Norte,1757.33,4.57,N
2013-10-05 17:00:00,Agusan del Norte,1775.95,2.87,N
2013-10-05 20:00:00,Agusan del Norte,1785.11,1.21,N
2013-10-05 23:00:00,Agusan del Norte,1806.97,359.58,N
