Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2013-10-28 02:00:00,Abra,2388.39,100.15,E
2013-10-28 05:00:00,Abra,2263.42,98.98,E
2013-10-28 08:00:00,Abra,2152.98,97.88,E
2013-10-28 11:00:00,Abra,2061.41,97.52,E
2013-10-28 14:00:00,Abra,1970.09,97.12,E
2013-10-28 17:00:00,Abra,1879.04,96.67,E
2013-10-28 20:00:00,Abra,1790.42,96.52,E
2013-10-28 23:00:00,Abra,1710.39,95.9,E
2013-10-29 02:00:00,Abra,1645.14,95.92,E
2013-10-29 05:00:00,Abra,1560.84,96.48,E
2013-10-29 08:00:00,Abra,1489.31,97.44,E
2013-10-29 11:00:00,Abra,1434.59,97.42,E
2013-10-29 14:00:00,Abra,1382.06,97.86,E
2013-10-29 17:00:00,Abra,1327.36,97.85,E
2013-10-29 20:00:00,Abra,1262.18,97.92,E
2013-10-29 23:00:00,Abra,1197.03,98.0,E
2013-10-30 02:00:00,Abra,1129.82,97.51,E
2013-10-30 05:00:00,Abra,1064.76,97.55,E
2013-10-30 08:00:00,Abra,987.27,97.06,E
2013-10-30 11:00:00,Abra,908.31,95.77,E
2013-10-30 14:00:00,Abra,831.43,94.98,E
2013-10-30 17:00:00,Abra,744.3,94.1,E
2013-10-30 20:00:00,Abra,668.12,92.87,E
2013-10-30 23:00:00,Abra,582.56,92.46,E
2013-10-31 02:00:00,Abra,517.8,90.49,E
2013-10-31 05:00:00,Abra,443.35,89.37,E
2013-10-31 08:00:00,Abra,379.81,87.78,E
2013-10-31 11:00:00,Abra,316.77,85.52,E
2013-10-31 14:00:00,Abra,266.61,80.02,E
2013-10-31 17:00:00,Abra,196.73,73.31,ENE
2013-10-31 20:00:00,Abra,147.37,57.94,ENE
2013-10-31 23:00:00,Abra,102.58,29.79,NNE
2013-11-01 02:00:00,Abra,113.54,348.38,NNW
2013-11-01 05:00:00,Abra,143.88,328.34,NNW
2013-11-01 08:00:00,Abra,193.42,318.55,NW
2013-11-01 11:00:00,Abra,247.04,309.34,NW
2013-11-01 14:00:00,Abra,304.77,303.55,WNW
2013-11-01 17:00:00,Abra,355.48,300.48,WNW
2013-11-01 20:00:00,Abra,406.97,298.21,WNW
2013-11-01 23:00:00,Abra,449.49,297.04,WNW
2013-11-02 02:00:00,Abra,487.61,294.89,WNW
2013-11-02 05:00:00,Abra,520.9,294.63,WNW
2013-11-02 08:00:00,Abra,544.54,294.84,WNW
2013-11-02 11:00:00,Abra,577.8,294.62,WNW
2013-11-02 14:00:00,Abra,615.43,295.39,WNW
2013-11-02 17:00:00,Abra,629.5,295.94,WNW
2013-11-02 20:00:00,Abra,643.61,296.46,WNW
2013-11-02 23:00:00,Abra,667.22,296.58,WNW
2013-11-03 02:00:00,Abra,676.71,296.21,WNW
2013-11-03 05:00:00,Abra,690.82,296.7,WNW
2013-11-03 08:00:00,Abra,690.82,296.7,WNW
2013-11-03 11:00:00,Abra,709.82,295.99,WNW
2013-11-03 14:00:00,Abra,719.36,295.65,WNW
2013-11-03 17:00:00,Abra,730.15,293.39,WNW
2013-11-03 20:00:00,Abra,742.09,291.2,WNW
2013-11-03 23:00:00,Abra,762.04,288.05,WNW
2013-11-04 02:00:00,Abra,792.17,284.12,WNW
2013-11-04 05:00:00,Abra,837.96,281.14,W
2013-11-04 08:00:00,Abra,884.89,277.77,W
2013-11-04 11:00:00,Abra,934.78,274.76,W
2013-11-04 14:00:00,Abra,987.41,271.41,W
2013-11-04 17:00:00,Abra,1053.08,269.07,W
2013-11-04 20:00:00,Abra,1120.53,267.02,W
2013-11-04 23:00:00,Abra,1191.07,264.68,W
2013-11-05 02:00:00,Abra,1263.63,262.61,W
2013-10-28 02:00:00,Agusan del Norte,1877.84,75.68,ENE
2013-10-28 05:00:00,Agusan del Norte,1789.38,72.51,ENE
2013-10-28 08:00:00,Agusan del Norte,1714.23,69.5,ENE
2013-10-28 11:00:00,Agusan del Norte,1643.11,67.46,ENE
2013-10-28 14:00:00,Agusan del Norte,1574.48,65.24,ENE
2013-10-28 17:00:00,Agusan del Norte,1508.68,62.81,ENE
2013-10-28 20:00:00,Agusan del Norte,1440.99,60.56,ENE
2013-10-28 23:00:00,Agusan del Norte,1390.77,57.9,ENE
2013-10-29 02:00:00,Agusan del Norte,1341.17,56.11,NE
2013-10-29 05:00:00,Agusan del Norte,1269.1,54.06,NE
2013-10-29 08:00:00,Agusan del Norte,1201.13,52.49,NE
2013-10-29 11:00:00,Agusan del Norte,1164.79,50.49,NE
2013-10-29 14:00:00,Agusan del Norte,1122.93,48.81,NE
2013-10-29 17:00:00,Agusan del Norte,1089.57,46.55,NE
2013-10-29 20:00:00,Agusan del Norte,1050.46,43.74,NE
2013-10-29 23:00:00,Agusan del Norte,1014.2,40.72,NE
2013-10-30 02:00:00,Agusan del Norte,989.8,37.08,NE
2013-10-30 05:00:00,Agusan del Norte,960.57,33.65,NNE
2013-10-30 08:00:00,Agusan del Norte,939.29,29.11,NNE
2013-10-30 11:00:00,Agusan del Norte,934.46,24.1,NNE
2013-10-30 14:00:00,Agusan del Norte,926.57,19.31,NNE
2013-10-30 17:00:00,Agusan del Norte,922.74,13.85,NNE
2013-10-30 20:00:00,Agusan del Norte,929.26,9.04,N
2013-10-30 23:00:00,Agusan del Norte,930.52,3.74,N
2013-10-31 02:00:00,Agusan del Norte,950.72,359.81,N
2013-10-31 05:00:00,Agusan del Norte,965.07,355.38,N
2013-10-31 08:00:00,Agusan del Norte,983.52,351.73,N
2013-10-31 11:00:00,Agusan del Norte,1005.93,348.23,NNW
2013-10-31 14:00:00,Agusan del Norte,1039.97,345.63,NNW
2013-10-31 17:00:00,Agusan del Norte,1072.1,341.95,NNW
2013-10-31 20:00:00,Agusan del Norte,1114.89,339.22,NNW
2013-10-31 23:00:00,Agusan del Norte,1154.4,336.0,NNW
2013-11-01 02:00:00,Agusan del Norte,1207.26,333.26,NNW
2013-11-01 05:00:00,Agusan del Norte,1242.51,331.35,NNW
2013-11-01 08:00:00,Agusan del Norte,1288.59,329.81,NNW
2013-11-01 11:00:00,Agusan del Norte,1332.12,327.74,NNW
2013-11-01 14:00:00,Agusan del Norte,1377.36,325.8,NW
2013-11-01 17:00:00,Agusan del Norte,1417.71,324.34,NW
2013-11-01 20:00:00,Agusan del Norte,1458.99,322.96,NW
2013-11-01 23:00:00,Agusan del Norte,1494.32,321.98,NW
