Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2013-11-02 14:00:00,Abra,4608.85,100.2,E
2013-11-02 17:00:00,Abra,4553.7,100.78,E
2013-11-02 20:00:00,Abra,4488.42,101.43,ESE
2013-11-02 23:00:00,Abra,4419.6,101.95,ESE
2013-11-03 02:00:00,Abra,4336.71,102.39,ESE
2013-11-03 05:00:00,Abra,4253.97,102.84,ESE
2013-11-03 08:00:00,Abra,4167.38,103.15,ESE
2013-11-03 11:00:00,Abra,4084.89,103.63,ESE
2013-11-03 14:00:00,Abra,4068.36,103.9,ESE
2013-11-03 17:00:00,Abra,4002.57,104.12,ESE
2013-11-03 20:00:00,Abra,3926.56,104.4,ESE
2013-11-03 23:00:00,Abra,3848.72,105.08,ESE
2013-11-04 02:00:00,Abra,3756.74,105.69,ESE
2013-11-04 05:00:00,Abra,3699.92,106.27,ESE
2013-11-04 08:00:00,Abra,3638.94,106.7,ESE
2013-11-04 11:00:00,Abra,3547.74,107.37,ESE
2013-11-04 14:00:00,Abra,3462.4,107.82,ESE
2013-11-04 17:00:00,Abra,3381.82,108.46,ESE
2013-11-04 20:00:00,Abra,3306.87,108.86,ESE
2013-11-04 23:00:00,Abra,3222.05,109.36,ESE
2013-11-05 02:00:00,Abra,3137.42,109.88,ESE
2013-11-05 05:00:00,Abra,3067.79,110.53,ESE
2013-11-05 08:00:00,Abra,3008.34,111.1,ESE
2013-11-05 11:00:00,Abra,2939.29,111.8,ESE
2013-11-05 14:00:00,Abra,2870.57,112.52,ESE
2013-11-05 17:00:00,Abra,2782.02,112.97,ESE
2013-11-05 20:00:00,Abra,2693.62,113.45,ESE
2013-11-05 23:00:00,Abra,2610.73,114.17,ESE
2013-11-06 02:00:00,Abra,2528.19,114.93,ESE
2013-11-06 05:00:00,Abra,2446.03,115.73,ESE
2013-11-06 08:00:00,Abra,2364.3,116.59,ESE
2013-11-06 11:00:00,Abra,2267.82,117.4,ESE
2013-11-06 14:00:00,Abra,2187.01,118.38,ESE
2013-11-06 17:00:00,Abra,2097.55,119.58,ESE
2013-11-06 20:00:00,Abra,2002.7,120.62,ESE
2013-11-06 23:00:00,Abra,1905.9,122.22,ESE
2013-11-07 02:00:00,Abra,1821.53,123.27,ESE
2013-11-07 05:00:00,Abra,1737.75,124.41,SE
2013-11-07 08:00:00,Abra,1647.77,125.35,SE
2013-11-07 11:00:00,Abra,1558.26,126.39,SE
2013-11-07 14:00:00,Abra,1460.89,127.82,SE
2013-11-07 17:00:00,Abra,1341.54,129.04,SE
2013-11-07 20:00:00,Abra,1230.45,130.85,SE
2013-11-07 23:00:00,Abra,1128.91,134.19,SE
2013-11-08 02:00:00,Abra,1031.64,138.15,SE
2013-11-08 05:00:00,Abra,946.35,142.33,SE
2013-11-08 08:00:00,Abra,861.08,147.9,SSE
2013-11-08 11:00:00,Abra,785.21,154.59,SSE
2013-11-08 14:00:00,Abra,721.67,162.54,SSE
2013-11-08 17:00:00,Abra,673.89,171.78,S
2013-11-08 20:00:00,Abra,633.94,181.15,S
2013-11-08 23:00:00,Abra,630.23,194.17,SSW
2013-11-09 02:00:00,Abra,652.91,205.85,SSW
2013-11-09 05:00:00,Abra,694.23,212.38,SSW
2013-11-09 08:00:00,Abra,718.94,218.5,SW
2013-11-09 11:00:00,Abra,750.07,226.53,SW
2013-11-09 14:00:00,Abra,780.63,235.1,SW
2013-11-09 17:00:00,Abra,822.49,241.83,WSW
2013-11-09 20:00:00,Abra,873.96,247.85,WSW
2013-11-09 23:00:00,Abra,947.21,252.74,WSW
2013-11-10 02:00:00,Abra,1002.17,257.2,WSW
2013-11-10 05:00:00,Abra,1062.09,261.19,W
2013-11-10 08:00:00,Abra,1113.99,265.25,W
2013-11-10 11:00:00,Abra,1169.66,269.48,W
2013-11-10 14:00:00,Abra,1219.93,273.32,W
2013-11-10 17:00:00,Abra,1285.24,276.83,W
2013-11-10 20:00:00,Abra,1343.86,280.06,W
2013-11-10 23:00:00,Abra,1393.84,282.62,WNW
2013-11-11 02:00:00,Abra,1423.54,284.73,WNW
2013-11-11 05:00:00,Abra,1447.19,287.28,WNW
2013-11-11 08:00:00,Abra,1463.46,289.85,WNW
2013-11-11 11:00:00,Abra,1459.5,292.19,WNW
2013-11-11 14:00:00,Abra,1434.94,294.4,WNW
2013-11-11 17:00:00,Abra,1396.42,294.99,WNW
2013-11-11 20:00:00,Abra,1362.21,296.05,WNW
2013-11-02 14:00:00,Agusan del Norte,3980.97,91.11,E
2013-11-02 17:00:00,Agusan del Norte,3917.53,91.57,E
2013-11-02 20:00:00,Agusan del Norte,3843.24,92.06,E
2013-11-02 23:00:00,Agusan del Norte,3767.74,92.38,E
2013-11-03 02:00:00,Agusan del Norte,3679.95,92.56,E
2013-11-03 05:00:00,Agusan del Norte,3592.17,92.74,E
2013-11-03 08:00:00,Agusan del Norte,3503.03,92.74,E
2013-11-03 11:00:00,Agusan del Norte,3415.27,92.93,E
2013-11-03 14:00:00,Agusan del Norte,3394.72,93.17,E
2013-11-03 17:00:00,Agusan del Norte,3327.52,93.12,E
2013-11-03 20:00:00,Agusan del Norte,3249.36,93.1,E
2013-11-03 23:00:00,Agusan del Norte,3163.03,93.51,E
2013-11-04 02:00:00,Agusan del Norte,3064.37,93.75,E
2013-11-04 05:00:00,Agusan del Norte,3000.1,94.14,E
2013-11-04 08:00:00,Agusan del Norte,2934.37,94.32,E
2013-11-04 11:00:00,Agusan del Norte,2835.81,94.61,E
2013-11-04 14:00:00,Agusan del Norte,2746.68,94.63,E
2013-11-04 17:00:00,Agusan del Norte,2659.11,94.9,E
2013-11-04 20:00:00,Agusan del Norte,2580.95,94.9,E
2013-11-04 23:00:00,Agusan del Norte,2491.85,94.93,E
2013-11-05 02:00:00,Agusan del Norte,2402.77,94.96,E
2013-11-05 05:00:00,Agusan del Norte,2326.18,95.22,E
2013-11-05 08:00:00,Agusan del Norte,2260.56,95.46,E
2013-11-05 11:00:00,Agusan del Norte,2184.04,95.76,E
2013-11-05 14:00:00,Agusan del Norte,2107.56,96.07,E
2013-11-05 17:00:00,Agusan del Norte,2016.88,95.82,E
2013-11-05 20:00:00,Agusan del Norte,1926.3,95.54,E
2013-11-05 23:00:00,Agusan del Norte,1837.3,95.57,E
2013-11-06 02:00:00,Agusan del Norte,1748.33,95.61,E
2013-11-06 05:00:00,Agusan del Norte,1659.37,95.64,E
2013-11-06 08:00:00,Agusan del Norte,1570.43,95.67,E
2013-11-06 11:00:00,Agusan del Norte,1469.14,95.32,E
2013-11-06 14:00:00,Agusan del Norte,1380.26,95.32,E
2013-11-06 17:00:00,Agusan del Norte,1280.46,95.37,E
2013-11-06 20:00:00,Agusan del Norte,1179.39,94.88,E
2013-11-06 23:00:00,Agusan del Norte,1068.71,94.94,E
2013-11-07 02:00:00,Agusan del Norte,978.8,94.22,E
2013-11-07 05:00:00,Agusan del Norte,889.16,93.33,E
2013-11-07 08:00:00,Agusan del Norte,799.29,91.43,E
2013-11-07 11:00:00,Agusan del Norte,710.64,89.05,E
2013-11-07 14:00:00,Agusan del Norte,612.75,85.92,E
2013-11-07 17:00:00,Agusan del Norte,510.2,78.96,E
2013-11-07 20:00:00,Agusan del Norte,415.37,70.16,ENE
2013-11-07 23:00:00,Agusan del Norte,315.11,59.02,ENE
2013-11-08 02:00:00,Agusan del Norte,237.06,39.18,NE
2013-11-08 05:00:00,Agusan del Norte,209.67,11.12,N
2013-11-08 08:00:00,Agusan del Norte,241.56,340.74,NNW
2013-11-08 11:00:00,Agusan del Norte,320.51,321.47,NW
2013-11-08 14:00:00,Agusan del Norte,420.75,310.6,NW
2013-11-08 17:00:00,Agusan del Norte,530.29,304.1,NW
2013-11-08 20:00:00,Agusan del Norte,640.4,301.25,WNW
2013-11-08 23:00:00,Agusan del Norte,775.52,297.4,WNW
2013-11-09 02:00:00,Agusan del Norte,903.19,295.02,WNW
2013-11-09 05:00:00,Agusan del Norte,983.48,292.98,WNW
2013-11-09 08:00:00,Agusan del Norte,1062.4,292.61,WNW
2013-11-09 11:00:00,Agusan del Norte,1169.48,292.94,WNW
2013-11-09 14:00:00,Agusan del Norte,1284.62,294.18,WNW
2013-11-09 17:00:00,Agusan del Norte,1385.68,294.98,WNW
2013-11-09 20:00:00,Agusan del Norte,1486.74,295.69,WNW
2013-11-09 23:00:00,Agusan del Norte,1593.23,295.8,WNW
2013-11-10 02:00:00,Agusan del Norte,1684.23,296.55,WNW
2013-11-10 05:00:00,Agusan del Norte,1775.25,297.25,WNW
2013-11-10 08:00:00,Agusan del Norte,1861.21,298.34,WNW
2013-11-10 11:00:00,Agusan del Norte,1952.34,299.64,WNW
2013-11-10 14:00:00,Agusan del Norte,2034.57,300.98,WNW
2013-11-10 17:00:00,Agusan del Norte,2126.76,302.1,WNW
2013-11-10 20:00:00,Agusan del Norte,2210.09,303.26,WNW
2013-11-10 23:00:00,Agusan del Norte,2279.31,304.24,NW
2013-11-11 02:00:00,Agusan del Norte,2325.28,305.2,NW
2013-11-11 05:00:00,Agusan del Norte,2368.68,306.49,NW
2013-11-11 08:00:00,Agusan del Norte,2404.39,307.88,NW
2013-11-11 11:00:00,Agusan del Norte,2418.07,309.28,NW
2013-11-11 14:00:00,Agusan del Norte,2410.02,310.74,NW
2013-11-11 17:00:00,Agusan del Norte,2376.88,311.34,NW
2013-11-11 20:00:00,Agusan del Norte,2350.8,312.17,NW
2013-11-02 14:00:00,Agusan del Sur,3937.83,90.69,E
2013-11-02 17:00:00,Agusan del Sur,3874.09,91.14,E
2013-11-02 20:00:00,Agusan del Sur,3799.48,91.62,E
2013-11-02 23:00:00,Agusan del Sur,3723.78,91.94,E
2013-11-03 02:00:00,Agusan del Sur,3635.88,92.1,E
2013-11-03 05:00:00,Agusan del Sur,3547.98,92.27,E
2013-11-03 08:00:00,Agusan del Sur,3458.85,92.25,E
2013-11-03 11:00:00,Agusan del Sur,3370.97,92.42,E
2013-11-03 14:00:00,Agusan del Sur,3350.27,92.66,E
2013-11-03 17:00:00,Agusan del Sur,3283.1,92.6,E
2013-11-03 20:00:00,Agusan del Sur,3204.96,92.56,E
2013-11-03 23:00:00,Agusan del Sur,3118.37,92.96,E
2013-11-04 02:00:00,Agusan del Sur,3019.57,93.18,E
2013-11-04 05:00:00,Agusan del Sur,2955.05,93.56,E
