Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2014-01-15 08:00:00,Abra,1284.55,132.71,SE
2014-01-15 11:00:00,Abra,1284.55,132.71,SE
2014-01-15 14:00:00,Abra,1284.55,132.71,SE
2014-01-15 17:00:00,Abra,1276.78,133.06,SE
2014-01-15 20:00:00,Abra,1261.17,133.05,SE
2014-01-15 23:00:00,Abra,1245.56,133.05,SE
2014-01-16 02:00:00,Abra,1245.56,133.05,SE
2014-01-16 05:00:00,Abra,1245.56,133.05,SE
2014-01-16 08:00:00,Abra,1237.84,133.41,SE
2014-01-16 11:00:00,Abra,1230.16,133.78,SE
2014-01-16 14:00:00,Abra,1230.56,134.51,SE
2014-01-16 17:00:00,Abra,1238.63,134.86,SE
2014-01-16 20:00:00,Abra,1239.31,135.59,SE
2014-01-16 23:00:00,Abra,1240.18,136.31,SE
2014-01-17 02:00:00,Abra,1241.24,137.04,SE
2014-01-17 05:00:00,Abra,1241.24,137.04,SE
2014-01-17 08:00:00,Abra,1232.89,136.7,SE
2014-01-17 11:00:00,Abra,1201.7,136.78,SE
2014-01-17 14:00:00,Abra,1170.52,136.86,SE
2014-01-17 17:00:00,Abra,1156.13,137.68,SE
2014-01-17 20:00:00,Abra,1141.98,138.52,SE
2014-01-17 23:00:00,Abra,1143.59,139.3,SE
2014-01-18 02:00:00,Abra,1152.25,139.65,SE
2014-01-18 05:00:00,Abra,1167.78,139.57,SE
2014-01-18 08:00:00,Abra,1174.68,139.15,SE
2014-01-18 11:00:00,Abra,1190.24,139.08,SE
2014-01-18 14:00:00,Abra,1214.41,139.35,SE
2014-01-18 17:00:00,Abra,1247.31,139.92,SE
2014-01-18 20:00:00,Abra,1271.58,140.16,SE
2014-01-18 23:00:00,Abra,1295.87,140.38,SE
2014-01-19 02:00:00,Abra,1313.48,140.99,SE
2014-01-19 05:00:00,Abra,1324.68,141.95,SE
2014-01-19 08:00:00,Abra,1342.64,142.52,SE
2014-01-19 11:00:00,Abra,1351.67,142.8,SE
2014-01-19 14:00:00,Abra,1360.73,143.07,SE
2014-01-19 17:00:00,Abra,1385.25,143.23,SE
2014-01-19 20:00:00,Abra,1400.69,143.13,SE
2014-01-19 23:00:00,Abra,1425.23,143.28,SE
2014-01-20 02:00:00,Abra,1425.23,143.28,SE
2014-01-20 05:00:00,Abra,1440.67,143.18,SE
2014-01-20 08:00:00,Abra,1471.57,142.97,SE
2014-01-20 11:00:00,Abra,1489.77,143.47,SE
2014-01-20 14:00:00,Abra,1551.55,143.06,SE
2014-01-15 08:00:00,Agusan del Norte,409.18,79.53,E
2014-01-15 11:00:00,Agusan del Norte,409.18,79.53,E
2014-01-15 14:00:00,Agusan del Norte,409.18,79.53,E
2014-01-15 17:00:00,Agusan del Norte,398.38,79.26,E
2014-01-15 20:00:00,Agusan del Norte,389.77,77.37,ENE
2014-01-15 23:00:00,Agusan del Norte,381.61,75.39,ENE
2014-01-16 02:00:00,Agusan del Norte,381.61,75.39,ENE
2014-01-16 05:00:00,Agusan del Norte,381.61,75.39,ENE
2014-01-16 08:00:00,Agusan del Norte,370.99,74.98,ENE
2014-01-16 11:00:00,Agusan del Norte,360.39,74.54,ENE
2014-01-16 14:00:00,Agusan del Norte,347.02,75.85,ENE
2014-01-16 17:00:00,Agusan del Norte,344.57,77.65,ENE
2014-01-16 20:00:00,Agusan del Norte,331.66,79.14,E
2014-01-16 23:00:00,Agusan del Norte,318.99,80.75,E
2014-01-17 02:00:00,Agusan del Norte,306.59,82.49,E
2014-01-17 05:00:00,Agusan del Norte,306.59,82.49,E
2014-01-17 08:00:00,Agusan del Norte,308.16,80.44,E
2014-01-17 11:00:00,Agusan del Norte,291.15,75.42,ENE
2014-01-17 14:00:00,Agusan del Norte,276.65,69.83,ENE
2014-01-17 17:00:00,Agusan del Norte,256.14,68.17,ENE
2014-01-17 20:00:00,Agusan del Norte,235.89,66.22,ENE
2014-01-17 23:00:00,Agusan del Norte,221.49,67.73,ENE
2014-01-18 02:00:00,Agusan del Norte,217.57,70.45,ENE
2014-01-18 05:00:00,Agusan del Norte,224.7,74.05,ENE
2014-01-18 08:00:00,Agusan del Norte,235.28,74.77,ENE
2014-01-18 11:00:00,Agusan del Norte,243.4,77.97,ENE
2014-01-18 14:00:00,Agusan del Norte,250.8,83.46,E
2014-01-18 17:00:00,Agusan del Norte,260.4,91.04,E
2014-01-18 20:00:00,Agusan del Norte,272.82,95.66,E
2014-01-18 23:00:00,Agusan del Norte,286.86,99.85,E
2014-01-19 02:00:00,Agusan del Norte,291.64,104.15,ESE
2014-01-19 05:00:00,Agusan del Norte,287.59,109.0,ESE
2014-01-19 08:00:00,Agusan del Norte,295.71,113.07,ESE
2014-01-19 11:00:00,Agusan del Norte,300.3,115.02,ESE
2014-01-19 14:00:00,Agusan del Norte,305.23,116.91,ESE
2014-01-19 17:00:00,Agusan del Norte,325.55,119.5,ESE
2014-01-19 20:00:00,Agusan del Norte,340.68,120.2,ESE
2014-01-19 23:00:00,Agusan del Norte,361.74,122.34,ESE
2014-01-20 02:00:00,Agusan del Norte,361.74,122.34,ESE
2014-01-20 05:00:00,Agusan del Norte,377.05,122.86,ESE
2014-01-20 08:00:00,Agusan del Norte,407.76,123.77,SE
2014-01-20 11:00:00,Agusan del Norte,420.65,126.28,SE
2014-01-20 14:00:00,Agusan del Norte,482.76,127.37,SE
2014-01-15 08:00:00,Agusan del Sur,377.21,72.6,ENE
2014-01-15 11:00:00,Agusan del Sur,377.21,72.6,ENE
2014-01-15 14:00:00,Agusan del Sur,377.21,72.6,ENE
2014-01-15 17:00:00,Agusan del Sur,366.74,72.1,ENE
2014-01-15 20:00:00,Agusan del Sur,359.87,69.89,ENE
2014-01-15 23:00:00,Agusan del Sur,353.57,67.59,ENE
2014-01-16 02:00:00,Agusan del Sur,353.57,67.59,ENE
2014-01-16 05:00:00,Agusan del Sur,353.57,67.59,ENE
2014-01-16 08:00:00,Agusan del Sur,343.43,66.91,ENE
2014-01-16 11:00:00,Agusan del Sur,333.34,66.19,ENE
2014-01-16 14:00:00,Agusan del Sur,318.92,67.24,ENE
2014-01-16 17:00:00,Agusan del Sur,314.86,69.11,ENE
2014-01-16 20:00:00,Agusan del Sur,300.77,70.37,ENE
2014-01-16 23:00:00,Agusan del Sur,286.84,71.74,ENE
2014-01-17 02:00:00,Agusan del Sur,273.08,73.26,ENE
2014-01-17 05:00:00,Agusan del Sur,273.08,73.26,ENE
2014-01-17 08:00:00,Agusan del Sur,276.42,71.04,ENE
2014-01-17 11:00:00,Agusan del Sur,264.22,64.94,ENE
2014-01-17 14:00:00,Agusan del Sur,255.3,58.33,ENE
2014-01-17 17:00:00,Agusan del Sur,236.87,55.57,NE
2014-01-17 20:00:00,Agusan del Sur,219.08,52.35,NE
2014-01-17 23:00:00,Agusan del Sur,203.63,52.97,NE
2014-01-18 02:00:00,Agusan del Sur,197.17,55.56,NE
2014-01-18 05:00:00,Agusan del Sur,200.58,59.95,ENE
2014-01-18 08:00:00,Agusan del Sur,210.17,61.43,ENE
2014-01-18 11:00:00,Agusan del Sur,215.08,65.43,ENE
2014-01-18 14:00:00,Agusan del Sur,217.35,71.98,ENE
2014-01-18 17:00:00,Agusan del Sur,220.47,81.15,E
2014-01-18 20:00:00,Agusan del Sur,229.25,87.06,E
2014-01-18 23:00:00,Agusan del Sur,240.3,92.49,E
2014-01-19 02:00:00,Agusan del Sur,242.41,97.75,E
2014-01-19 05:00:00,Agusan del Sur,235.81,103.48,ESE
2014-01-19 08:00:00,Agusan del Sur,242.08,108.6,ESE
2014-01-19 11:00:00,Agusan del Sur,245.9,111.06,ESE
2014-01-19 14:00:00,Agusan del Sur,250.17,113.43,ESE
2014-01-19 17:00:00,Agusan del Sur,269.68,116.82,ESE
2014-01-19 20:00:00,Agusan del Sur,284.6,117.8,ESE
2014-01-19 23:00:00,Agusan del Sur,305.15,120.51,ESE
2014-01-20 02:00:00,Agusan del Sur,305.15,120.51,ESE
2014-01-20 05:00:00,Agusan del Sur,320.35,121.2,ESE
2014-01-20 08:00:00,Agusan del Sur,350.87,122.41,ESE
2014-01-20 11:00:00,Agusan del Sur,363.39,125.36,SE
2014-01-20 14:00:00,Agusan del Sur,425.37,126.75,SE
2014-01-15 08:00:00,Aklan,782.31,106.71,ESE
2014-01-15 11:00:00,Aklan,782.31,106.71,ESE
2014-01-15 14:00:00,Aklan,782.31,106.71,ESE
2014-01-15 17:00:00,Aklan,771.89,106.96,ESE
2014-01-15 20:00:00,Aklan,758.03,106.42,ESE
2014-01-15 23:00:00,Aklan,744.25,105.86,ESE
2014-01-16 02:00:00,Aklan,744.25,105.86,ESE
2014-01-16 05:00:00,Aklan,744.25,105.86,ESE
2014-01-16 08:00:00,Aklan,733.79,106.11,ESE
2014-01-16 11:00:00,Aklan,723.33,106.37,ESE
2014-01-16 14:00:00,Aklan,716.37,107.49,ESE
2014-01-16 17:00:00,Aklan,720.0,108.33,ESE
2014-01-16 20:00:00,Aklan,713.51,109.47,ESE
2014-01-16 23:00:00,Aklan,707.3,110.62,ESE
2014-01-17 02:00:00,Aklan,701.37,111.8,ESE
2014-01-17 05:00:00,Aklan,701.37,111.8,ESE
2014-01-17 08:00:00,Aklan,697.12,110.96,ESE
2014-01-17 11:00:00,Aklan,668.56,109.89,ESE
2014-01-17 14:00:00,Aklan,640.27,108.73,ESE
2014-01-17 17:00:00,Aklan,619.69,109.42,ESE
2014-01-17 20:00:00,Aklan,599.19,110.15,ESE
2014-01-17 23:00:00,Aklan,593.15,111.54,ESE
2014-01-18 02:00:00,Aklan,597.48,112.52,ESE
2014-01-18 05:00:00,Aklan,612.0,113.07,ESE
2014-01-18 08:00:00,Aklan,622.03,112.66,ESE
2014-01-18 11:00:00,Aklan,636.56,113.18,ESE
2014-01-18 14:00:00,Aklan,655.87,114.56,ESE
2014-01-18 17:00:00,Aklan,680.64,116.7,ESE
2014-01-18 20:00:00,Aklan,700.86,117.9,ESE
2014-01-18 23:00:00,Aklan,721.37,119.02,ESE
2014-01-19 02:00:00,Aklan,732.75,120.53,ESE
2014-01-19 05:00:00,Aklan,735.41,122.46,ESE
2014-01-19 08:00:00,Aklan,747.89,123.89,SE
2014-01-19 11:00:00,Aklan,754.3,124.58,SE
2014-01-19 14:00:00,Aklan,760.82,125.27,SE
2014-01-19 17:00:00,Aklan,782.93,126.1,SE
2014-01-19 20:00:00,Aklan,798.44,126.26,SE
2014-01-19 23:00:00,Aklan,820.75,127.04,SE
2014-01-20 02:00:00,Aklan,820.75,127.04,SE
2014-01-20 05:00:00,Aklan,836.29,127.17,SE
2014-01-20 08:00:00,Aklan,867.4,127.43,SE
2014-01-20 11:00:00,Aklan,881.39,128.56,SE
2014-01-20 14:00:00,Aklan,943.81,128.94,SE
2014-01-15 08:00:00,Albay,713.81,122.79,ESE
2014-01-15 11:00:00,Albay,713.81,122.79,ESE
2014-01-15 14:00:00,Albay,713.81,122.79,ESE
2014-01-15 17:00:00,Albay,704.73,123.29,ESE
2014-01-15 20:00:00,Albay,689.41,123.04,ESE
2014-01-15 23:00:00,Albay,674.11,122.78,ESE
2014-01-16 02:00:00,Albay,674.11,122.78,ESE
2014-01-16 05:00:00,Albay,674.11,122.78,ESE
2014-01-16 08:00:00,Albay,665.03,123.3,ESE
2014-01-16 11:00:00,Albay,656.01,123.84,SE
2014-01-16 14:00:00,Albay,653.54,125.2,SE
2014-01-16 17:00:00,Albay,660.17,125.98,SE
2014-01-16 20:00:00,Albay,658.26,127.33,SE
2014-01-16 23:00:00,Albay,656.72,128.68,SE
2014-01-17 02:00:00,Albay,655.53,130.05,SE
2014-01-17 05:00:00,Albay,655.53,130.05,SE
2014-01-17 08:00:00,Albay,648.3,129.3,SE
2014-01-17 11:00:00,Albay,617.2,129.04,SE
2014-01-17 14:00:00,Albay,586.13,128.74,SE
2014-01-17 17:00:00,Albay,569.4,130.15,SE
2014-01-17 20:00:00,Albay,553.03,131.64,SE
2014-01-17 23:00:00,Albay,552.65,133.26,SE
2014-01-18 02:00:00,Albay,560.43,134.08,SE
2014-01-18 05:00:00,Albay,576.04,134.09,SE
2014-01-18 08:00:00,Albay,583.87,133.33,SE
2014-01-18 11:00:00,Albay,599.49,133.37,SE
2014-01-18 14:00:00,Albay,622.9,134.13,SE
2014-01-18 17:00:00,Albay,654.43,135.52,SE
2014-01-18 20:00:00,Albay,678.14,136.15,SE
2014-01-18 23:00:00,Albay,701.94,136.73,SE
2014-01-19 02:00:00,Albay,718.51,137.93,SE
2014-01-19 05:00:00,Albay,728.33,139.74,SE
2014-01-19 08:00:00,Albay,745.63,140.83,SE
