Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2014-10-30 08:00:00,Abra,2239.43,100.95,E
2014-10-30 11:00:00,Abra,2177.04,101.44,ESE
2014-10-30 14:00:00,Abra,2114.77,101.95,ESE
2014-10-30 17:00:00,Abra,2062.97,102.4,ESE
2014-10-30 20:00:00,Abra,2014.65,103.17,ESE
2014-10-30 23:00:00,Abra,1980.47,104.18,ESE
2014-10-31 02:00:00,Abra,1943.07,104.92,ESE
2014-10-31 05:00:00,Abra,1902.15,105.36,ESE
2014-10-31 08:00:00,Abra,1861.31,105.82,ESE
2014-10-31 11:00:00,Abra,1816.71,105.96,ESE
2014-10-31 14:00:00,Abra,1772.12,106.11,ESE
2014-10-31 17:00:00,Abra,1727.56,106.26,ESE
2014-10-31 20:00:00,Abra,1672.85,106.55,ESE
2014-10-31 23:00:00,Abra,1628.33,106.71,ESE
2014-11-01 02:00:00,Abra,1587.79,107.27,ESE
2014-11-01 05:00:00,Abra,1553.45,107.31,ESE
2014-11-01 08:00:00,Abra,1519.13,107.36,ESE
2014-11-01 11:00:00,Abra,1494.93,107.25,ESE
2014-11-01 14:00:00,Abra,1473.24,106.18,ESE
2014-11-01 17:00:00,Abra,1441.86,105.21,ESE
2014-11-01 20:00:00,Abra,1421.21,104.07,ESE
2014-11-01 23:00:00,Abra,1398.06,102.45,ESE
2014-11-02 02:00:00,Abra,1365.64,100.89,E
2014-11-02 05:00:00,Abra,1336.82,99.73,E
2014-11-02 08:00:00,Abra,1319.11,98.41,E
2014-11-02 11:00:00,Abra,1300.12,96.58,E
2014-11-02 14:00:00,Abra,1293.07,94.63,E
2014-11-02 17:00:00,Abra,1275.75,92.21,E
2014-11-02 20:00:00,Abra,1261.44,90.23,E
2014-11-02 23:00:00,Abra,1248.68,88.21,E
2014-11-03 02:00:00,Abra,1248.18,87.19,E
2014-11-03 05:00:00,Abra,1248.17,85.64,E
2014-11-03 08:00:00,Abra,1259.57,84.12,E
2014-11-03 11:00:00,Abra,1271.8,82.63,E
2014-11-03 14:00:00,Abra,1295.28,81.21,E
2014-11-03 17:00:00,Abra,1341.53,79.45,E
2014-11-03 20:00:00,Abra,1378.38,77.75,ENE
2014-11-03 23:00:00,Abra,1426.48,76.2,ENE
2014-11-04 02:00:00,Abra,1475.34,74.75,ENE
2014-11-04 05:00:00,Abra,1512.42,73.72,ENE
2014-11-04 08:00:00,Abra,1562.39,72.41,ENE
2014-11-04 11:00:00,Abra,1602.86,71.09,ENE
2014-11-04 14:00:00,Abra,1636.97,69.36,ENE
2014-11-04 17:00:00,Abra,1678.92,68.16,ENE
2014-11-04 20:00:00,Abra,1731.14,67.12,ENE
2014-11-04 23:00:00,Abra,1777.52,65.69,ENE
2014-11-05 02:00:00,Abra,1820.96,64.66,ENE
2014-11-05 05:00:00,Abra,1864.78,63.67,ENE
2014-11-05 08:00:00,Abra,1904.96,63.03,ENE
2014-11-05 11:00:00,Abra,1953.43,61.81,ENE
2014-11-05 14:00:00,Abra,2007.46,61.04,ENE
2014-11-05 17:00:00,Abra,2056.81,59.91,ENE
2014-11-05 20:00:00,Abra,2111.22,59.22,ENE
2014-11-05 23:00:00,Abra,2156.66,58.44,ENE
2014-11-06 02:00:00,Abra,2211.25,57.8,ENE
2014-11-06 05:00:00,Abra,2261.79,56.82,ENE
2014-11-06 08:00:00,Abra,2317.67,55.62,NE
2014-11-06 11:00:00,Abra,2400.11,54.8,NE
2014-11-06 14:00:00,Abra,2501.41,53.66,NE
2014-11-06 17:00:00,Abra,2635.59,52.14,NE
2014-11-06 20:00:00,Abra,2797.32,50.51,NE
2014-11-06 23:00:00,Abra,2955.67,49.47,NE
2014-11-07 02:00:00,Abra,3136.88,48.75,NE
2014-11-07 05:00:00,Abra,3385.08,48.5,NE
2014-11-07 08:00:00,Abra,3698.12,47.91,NE
2014-11-07 11:00:00,Abra,4101.93,46.63,NE
2014-11-07 14:00:00,Abra,4558.08,44.99,NE
2014-10-30 08:00:00,Agusan del Norte,1731.6,74.32,ENE
2014-10-30 11:00:00,Agusan del Norte,1668.22,73.81,ENE
2014-10-30 14:00:00,Agusan del Norte,1605.02,73.27,ENE
2014-10-30 17:00:00,Agusan del Norte,1552.49,72.78,ENE
2014-10-30 20:00:00,Agusan del Norte,1497.22,72.66,ENE
2014-10-30 23:00:00,Agusan del Norte,1449.59,73.07,ENE
2014-10-31 02:00:00,Agusan del Norte,1404.76,73.07,ENE
2014-10-31 05:00:00,Agusan del Norte,1362.78,72.6,ENE
2014-10-31 08:00:00,Agusan del Norte,1320.91,72.1,ENE
2014-10-31 11:00:00,Agusan del Norte,1282.34,71.09,ENE
2014-10-31 14:00:00,Agusan del Norte,1244.23,70.01,ENE
2014-10-31 17:00:00,Agusan del Norte,1206.63,68.86,ENE
2014-10-31 20:00:00,Agusan del Norte,1159.44,67.46,ENE
2014-10-31 23:00:00,Agusan del Norte,1123.11,66.14,ENE
2014-11-01 02:00:00,Agusan del Norte,1083.06,65.27,ENE
2014-11-01 05:00:00,Agusan del Norte,1057.74,64.02,ENE
2014-11-01 08:00:00,Agusan del Norte,1032.98,62.71,ENE
2014-11-01 11:00:00,Agusan del Norte,1018.47,61.61,ENE
2014-11-01 14:00:00,Agusan del Norte,1024.44,59.66,ENE
2014-11-01 17:00:00,Agusan del Norte,1022.31,57.43,ENE
2014-11-01 20:00:00,Agusan del Norte,1030.81,55.53,NE
2014-11-01 23:00:00,Agusan del Norte,1046.81,53.15,NE
2014-11-02 02:00:00,Agusan del Norte,1056.07,50.49,NE
2014-11-02 05:00:00,Agusan del Norte,1060.39,48.35,NE
2014-11-02 08:00:00,Agusan del Norte,1074.17,46.61,NE
2014-11-02 11:00:00,Agusan del Norte,1096.61,44.5,NE
2014-11-02 14:00:00,Agusan del Norte,1127.93,42.86,NE
2014-11-02 17:00:00,Agusan del Norte,1161.1,40.55,NE
2014-11-02 20:00:00,Agusan del Norte,1187.56,38.72,NE
2014-11-02 23:00:00,Agusan del Norte,1215.18,36.97,NE
2014-11-03 02:00:00,Agusan del Norte,1232.64,36.32,NE
2014-11-03 05:00:00,Agusan del Norte,1259.13,35.38,NE
2014-11-03 08:00:00,Agusan del Norte,1292.17,34.86,NE
2014-11-03 11:00:00,Agusan del Norte,1325.3,34.37,NE
2014-11-03 14:00:00,Agusan del Norte,1364.65,34.26,NE
2014-11-03 17:00:00,Agusan del Norte,1425.36,34.57,NE
2014-11-03 20:00:00,Agusan del Norte,1479.81,34.52,NE
2014-11-03 23:00:00,Agusan del Norte,1540.45,34.79,NE
