Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2015-01-12 14:00:00,Abra,2911.14,106.84,ESE
2015-01-12 17:00:00,Abra,2850.36,107.36,ESE
2015-01-12 20:00:00,Abra,2785.35,107.7,ESE
2015-01-12 23:00:00,Abra,2720.41,108.04,ESE
2015-01-13 02:00:00,Abra,2670.09,108.52,ESE
2015-01-13 05:00:00,Abra,2629.93,108.92,ESE
2015-01-13 08:00:00,Abra,2604.49,109.45,ESE
2015-01-13 11:00:00,Abra,2589.19,109.89,ESE
2015-01-13 14:00:00,Abra,2564.08,110.44,ESE
2015-01-13 17:00:00,Abra,2529.52,110.54,ESE
2015-01-13 20:00:00,Abra,2485.05,110.75,ESE
2015-01-13 23:00:00,Abra,2431.03,110.48,ESE
2015-01-14 02:00:00,Abra,2367.16,110.31,ESE
2015-01-14 05:00:00,Abra,2303.36,110.13,ESE
2015-01-14 08:00:00,Abra,2225.07,109.8,ESE
2015-01-14 11:00:00,Abra,2156.07,109.98,ESE
2015-01-14 14:00:00,Abra,2077.17,110.3,ESE
2015-01-14 17:00:00,Abra,2003.65,110.21,ESE
2015-01-14 20:00:00,Abra,1920.26,110.25,ESE
2015-01-14 23:00:00,Abra,1856.07,110.77,ESE
2015-01-15 02:00:00,Abra,1777.44,111.16,ESE
2015-01-15 05:00:00,Abra,1703.68,111.91,ESE
2015-01-15 08:00:00,Abra,1639.97,112.55,ESE
2015-01-15 11:00:00,Abra,1586.2,113.05,ESE
2015-01-15 14:00:00,Abra,1522.84,113.78,ESE
2015-01-15 17:00:00,Abra,1474.52,114.74,ESE
2015-01-15 20:00:00,Abra,1436.15,115.56,ESE
2015-01-15 23:00:00,Abra,1398.04,116.42,ESE
2015-01-16 02:00:00,Abra,1365.84,117.73,ESE
2015-01-16 05:00:00,Abra,1328.48,118.69,ESE
2015-01-16 08:00:00,Abra,1288.29,120.39,ESE
2015-01-16 11:00:00,Abra,1249.18,122.19,ESE
2015-01-16 14:00:00,Abra,1204.7,123.67,ESE
2015-01-16 17:00:00,Abra,1159.2,126.02,SE
2015-01-16 20:00:00,Abra,1116.81,127.76,SE
2015-01-16 23:00:00,Abra,1082.27,130.89,SE
2015-01-17 02:00:00,Abra,1042.83,132.94,SE
2015-01-17 05:00:00,Abra,1004.22,134.24,SE
2015-01-17 08:00:00,Abra,950.57,135.67,SE
2015-01-17 11:00:00,Abra,896.53,136.26,SE
2015-01-17 14:00:00,Abra,843.81,137.98,SE
2015-01-17 17:00:00,Abra,797.25,138.19,SE
2015-01-17 20:00:00,Abra,752.31,139.61,SE
2015-01-17 23:00:00,Abra,716.7,141.74,SE
2015-01-18 02:00:00,Abra,673.06,143.54,SE
2015-01-18 05:00:00,Abra,611.74,144.42,SE
2015-01-18 08:00:00,Abra,556.69,144.56,SE
2015-01-18 11:00:00,Abra,514.31,147.11,SSE
2015-01-18 14:00:00,Abra,468.92,148.29,SSE
