Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2015-09-20 02:00:00,Abra,2976.38,94.88,E
2015-09-20 05:00:00,Abra,2974.02,94.66,E
2015-09-20 08:00:00,Abra,2958.82,94.27,E
2015-09-20 11:00:00,Abra,2920.43,93.74,E
2015-09-20 14:00:00,Abra,2871.74,93.24,E
2015-09-20 17:00:00,Abra,2814.76,92.99,E
2015-09-20 20:00:00,Abra,2759.84,92.96,E
2015-09-20 23:00:00,Abra,2713.63,92.65,E
2015-09-21 02:00:00,Abra,2669.39,92.57,E
2015-09-21 05:00:00,Abra,2614.6,92.53,E
2015-09-21 08:00:00,Abra,2561.66,92.73,E
2015-09-21 11:00:00,Abra,2505.11,92.42,E
2015-09-21 14:00:00,Abra,2450.42,92.36,E
2015-09-21 17:00:00,Abra,2376.29,92.64,E
2015-09-21 20:00:00,Abra,2312.77,92.9,E
2015-09-21 23:00:00,Abra,2254.77,92.26,E
2015-09-22 02:00:00,Abra,2209.26,91.84,E
2015-09-22 05:00:00,Abra,2151.95,91.14,E
2015-09-22 08:00:00,Abra,2096.33,90.71,E
2015-09-22 11:00:00,Abra,2051.52,90.22,E
2015-09-22 14:00:00,Abra,2006.94,89.7,E
2015-09-22 17:00:00,Abra,1952.95,89.52,E
2015-09-22 20:00:00,Abra,1908.74,88.95,E
2015-09-22 23:00:00,Abra,1854.94,88.73,E
2015-09-23 02:00:00,Abra,1789.96,88.15,E
2015-09-23 05:00:00,Abra,1736.41,87.88,E
2015-09-23 08:00:00,Abra,1671.92,87.21,E
2015-09-23 11:00:00,Abra,1608.07,86.89,E
2015-09-23 14:00:00,Abra,1544.18,86.12,E
2015-09-23 17:00:00,Abra,1491.25,85.71,E
2015-09-23 20:00:00,Abra,1449.03,85.26,E
2015-09-23 23:00:00,Abra,1417.35,85.25,E
2015-09-24 02:00:00,Abra,1385.84,84.77,E
2015-09-24 05:00:00,Abra,1354.48,84.27,E
2015-09-24 08:00:00,Abra,1322.84,84.22,E
2015-09-24 11:00:00,Abra,1302.18,83.7,E
2015-09-24 14:00:00,Abra,1281.66,83.16,E
2015-09-24 17:00:00,Abra,1271.14,83.13,E
2015-09-24 20:00:00,Abra,1250.78,82.57,E
2015-09-24 23:00:00,Abra,1241.05,82.02,E
2015-09-25 02:00:00,Abra,1231.46,81.46,E
2015-09-25 05:00:00,Abra,1232.46,80.95,E
2015-09-25 08:00:00,Abra,1223.1,80.38,E
2015-09-25 11:00:00,Abra,1204.8,79.21,E
2015-09-25 14:00:00,Abra,1185.46,78.55,ENE
2015-09-25 17:00:00,Abra,1168.04,77.32,ENE
2015-09-25 20:00:00,Abra,1149.24,76.6,ENE
2015-09-25 23:00:00,Abra,1145.25,74.86,ENE
2015-09-26 02:00:00,Abra,1132.2,72.98,ENE
2015-09-26 05:00:00,Abra,1100.42,70.76,ENE
2015-09-26 08:00:00,Abra,1080.4,68.6,ENE
2015-09-26 11:00:00,Abra,1066.03,65.79,ENE
2015-09-26 14:00:00,Abra,1049.95,63.47,ENE
2015-09-26 17:00:00,Abra,1021.61,61.39,ENE
2015-09-26 20:00:00,Abra,994.82,59.19,ENE
2015-09-26 23:00:00,Abra,964.11,57.45,ENE
2015-09-27 02:00:00,Abra,934.45,55.59,NE
2015-09-27 05:00:00,Abra,908.38,54.56,NE
2015-09-27 08:00:00,Abra,888.95,52.87,NE
2015-09-27 11:00:00,Abra,862.16,50.69,NE
2015-09-27 14:00:00,Abra,836.79,48.38,NE
2015-09-27 17:00:00,Abra,812.97,45.92,NE
2015-09-27 20:00:00,Abra,790.84,43.32,NE
2015-09-27 23:00:00,Abra,763.68,40.0,NE
2015-09-28 02:00:00,Abra,748.22,35.92,NE
2015-09-28 05:00:00,Abra,727.59,32.18,NNE
2015-09-28 08:00:00,Abra,720.12,27.8,NNE
2015-09-28 11:00:00,Abra,731.47,23.72,NNE
2015-09-28 14:00:00,Abra,750.12,18.05,NNE
2015-09-28 17:00:00,Abra,749.86,11.6,NNE
2015-09-28 20:00:00,Abra,735.6,3.83,N
2015-09-28 23:00:00,Abra,722.87,359.06,N
2015-09-29 02:00:00,Abra,735.85,355.9,N
2015-09-29 05:00:00,Abra,785.47,352.46,N
2015-09-29 08:00:00,Abra,837.69,349.46,N
2015-09-29 11:00:00,Abra,886.35,345.39,NNW
2015-09-29 14:00:00,Abra,925.38,342.15,NNW
2015-09-29 17:00:00,Abra,981.36,338.9,NNW
2015-09-29 20:00:00,Abra,1052.14,337.54,NNW
2015-09-29 23:00:00,Abra,1123.41,336.38,NNW
2015-09-30 02:00:00,Abra,1182.15,336.67,NNW
2015-09-30 05:00:00,Abra,1218.55,337.98,NNW
2015-09-30 08:00:00,Abra,1241.55,339.44,NNW
2015-09-30 11:00:00,Abra,1265.38,340.84,NNW
2015-09-30 14:00:00,Abra,1297.31,342.76,NNW
2015-09-20 02:00:00,Agusan del Norte,2511.8,76.31,ENE
2015-09-20 05:00:00,Agusan del Norte,2513.61,76.05,ENE
2015-09-20 08:00:00,Agusan del Norte,2506.73,75.5,ENE
2015-09-20 11:00:00,Agusan del Norte,2480.95,74.58,ENE
2015-09-20 14:00:00,Agusan del Norte,2445.31,73.6,ENE
2015-09-20 17:00:00,Agusan del Norte,2397.5,72.79,ENE
2015-09-20 20:00:00,Agusan del Norte,2347.65,72.22,ENE
