Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2015-11-17 02:00:00,Abra,4947.7,102.62,ESE
2015-11-17 05:00:00,Abra,4869.1,103.17,ESE
2015-11-17 08:00:00,Abra,4799.03,103.22,ESE
2015-11-17 11:00:00,Abra,4733.05,103.4,ESE
2015-11-17 14:00:00,Abra,4663.01,103.45,ESE
2015-11-17 17:00:00,Abra,4576.49,103.76,ESE
2015-11-17 20:00:00,Abra,4485.9,103.93,ESE
2015-11-17 23:00:00,Abra,4401.5,103.9,ESE
2015-11-18 02:00:00,Abra,4317.14,103.86,ESE
2015-11-18 05:00:00,Abra,4251.31,104.07,ESE
2015-11-18 08:00:00,Abra,4185.52,104.28,ESE
2015-11-18 11:00:00,Abra,4109.51,104.56,ESE
2015-11-18 14:00:00,Abra,4039.63,104.62,ESE
2015-11-18 17:00:00,Abra,3969.77,104.69,ESE
2015-11-18 20:00:00,Abra,3906.03,104.53,ESE
2015-11-18 23:00:00,Abra,3842.36,104.36,ESE
2015-11-19 02:00:00,Abra,3784.99,103.96,ESE
2015-11-19 05:00:00,Abra,3713.58,103.44,ESE
2015-11-19 08:00:00,Abra,3632.18,102.96,ESE
2015-11-19 11:00:00,Abra,3554.88,102.64,ESE
2015-11-19 14:00:00,Abra,3471.16,102.55,ESE
2015-11-19 17:00:00,Abra,3411.93,102.51,ESE
2015-11-19 20:00:00,Abra,3349.05,102.27,ESE
2015-11-19 23:00:00,Abra,3286.27,102.03,ESE
2015-11-20 02:00:00,Abra,3227.2,101.97,ESE
2015-11-20 05:00:00,Abra,3192.49,101.97,ESE
2015-11-20 08:00:00,Abra,3147.43,102.04,ESE
2015-11-20 11:00:00,Abra,3074.5,101.84,ESE
2015-11-20 14:00:00,Abra,3005.2,101.83,ESE
2015-11-20 17:00:00,Abra,2915.19,101.97,ESE
2015-11-20 20:00:00,Abra,2825.23,102.1,ESE
2015-11-20 23:00:00,Abra,2749.2,102.39,ESE
2015-11-21 02:00:00,Abra,2662.89,102.77,ESE
2015-11-21 05:00:00,Abra,2576.67,103.17,ESE
2015-11-21 08:00:00,Abra,2490.55,103.59,ESE
2015-11-21 11:00:00,Abra,2397.22,103.51,ESE
2015-11-21 14:00:00,Abra,2310.77,103.07,ESE
2015-11-21 17:00:00,Abra,2207.38,103.05,ESE
2015-11-21 20:00:00,Abra,2117.86,103.21,ESE
2015-11-21 23:00:00,Abra,2028.41,103.38,ESE
2015-11-22 02:00:00,Abra,1939.02,103.55,ESE
2015-11-22 05:00:00,Abra,1856.58,103.29,ESE
2015-11-22 08:00:00,Abra,1771.01,102.66,ESE
2015-11-22 11:00:00,Abra,1688.97,102.32,ESE
2015-11-22 14:00:00,Abra,1607.12,101.93,ESE
2015-11-22 17:00:00,Abra,1525.48,101.5,ESE
2015-11-22 20:00:00,Abra,1457.32,101.32,ESE
2015-11-22 23:00:00,Abra,1386.47,100.67,E
2015-11-23 02:00:00,Abra,1326.38,99.83,E
2015-11-23 05:00:00,Abra,1266.72,98.91,E
2015-11-23 08:00:00,Abra,1228.53,97.7,E
2015-11-23 11:00:00,Abra,1189.19,95.88,E
2015-11-23 14:00:00,Abra,1163.22,94.42,E
2015-11-23 17:00:00,Abra,1148.68,92.83,E
2015-11-23 20:00:00,Abra,1144.86,90.6,E
2015-11-23 23:00:00,Abra,1143.11,88.93,E
2015-11-24 02:00:00,Abra,1163.49,87.23,E
2015-11-24 05:00:00,Abra,1174.44,85.05,E
2015-11-24 08:00:00,Abra,1207.39,83.49,E
2015-11-24 11:00:00,Abra,1240.27,82.54,E
2015-11-24 14:00:00,Abra,1293.55,82.19,E
2015-11-24 17:00:00,Abra,1337.19,81.36,E
2015-11-24 20:00:00,Abra,1380.01,81.04,E
2015-11-24 23:00:00,Abra,1433.29,80.77,E
2015-11-25 02:00:00,Abra,1465.64,80.44,E
2015-11-25 05:00:00,Abra,1499.09,79.69,E
2015-11-25 08:00:00,Abra,1532.71,78.97,E
2015-11-25 11:00:00,Abra,1575.55,78.74,ENE
2015-11-25 14:00:00,Abra,1630.06,78.16,ENE
2015-11-25 17:00:00,Abra,1686.05,77.23,ENE
2015-11-25 20:00:00,Abra,1733.61,75.94,ENE
2015-11-25 23:00:00,Abra,1790.16,75.12,ENE
2015-11-26 02:00:00,Abra,1840.62,73.6,ENE
2015-11-26 05:00:00,Abra,1892.0,72.16,ENE
2015-11-26 08:00:00,Abra,1944.19,70.78,ENE
2015-11-26 11:00:00,Abra,2009.78,69.23,ENE
2015-11-26 14:00:00,Abra,2105.72,67.99,ENE
2015-11-26 17:00:00,Abra,2214.72,66.63,ENE
2015-11-26 20:00:00,Abra,2349.73,64.98,ENE
2015-11-26 23:00:00,Abra,2497.29,64.12,ENE
2015-11-27 02:00:00,Abra,2657.06,63.14,ENE
2015-11-27 05:00:00,Abra,2812.69,62.45,ENE
2015-11-27 08:00:00,Abra,2973.46,62.06,ENE
2015-11-27 11:00:00,Abra,3136.59,61.46,ENE
2015-11-27 14:00:00,Abra,3301.94,60.67,ENE
