Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2016-08-17 02:00:00,Abra,4167.39,71.64,ENE
2016-08-17 05:00:00,Abra,4110.14,70.92,ENE
2016-08-17 08:00:00,Abra,4055.84,69.85,ENE
2016-08-17 11:00:00,Abra,3963.78,68.67,ENE
2016-08-17 14:00:00,Abra,3872.6,67.61,ENE
2016-08-17 17:00:00,Abra,3797.63,67.08,ENE
2016-08-17 20:00:00,Abra,3725.19,66.34,ENE
2016-08-17 23:00:00,Abra,3655.89,65.38,ENE
2016-08-18 02:00:00,Abra,3576.18,64.54,ENE
2016-08-18 05:00:00,Abra,3509.82,63.51,ENE
2016-08-18 08:00:00,Abra,3438.6,62.2,ENE
2016-08-18 11:00:00,Abra,3369.9,60.83,ENE
2016-08-18 14:00:00,Abra,3307.37,59.22,ENE
2016-08-18 17:00:00,Abra,3249.61,57.99,ENE
2016-08-18 20:00:00,Abra,3198.02,56.53,ENE
2016-08-18 23:00:00,Abra,3140.52,54.94,NE
2016-08-19 02:00:00,Abra,3086.24,53.3,NE
2016-08-19 05:00:00,Abra,3030.24,51.79,NE
2016-08-19 08:00:00,Abra,2949.97,50.44,NE
2016-08-19 11:00:00,Abra,2880.14,49.1,NE
2016-08-19 14:00:00,Abra,2806.6,47.88,NE
2016-08-19 17:00:00,Abra,2737.98,47.21,NE
2016-08-19 20:00:00,Abra,2677.58,46.62,NE
2016-08-19 23:00:00,Abra,2597.1,46.28,NE
2016-08-20 02:00:00,Abra,2530.76,45.82,NE
2016-08-20 05:00:00,Abra,2451.34,45.75,NE
2016-08-20 08:00:00,Abra,2379.3,45.8,NE
2016-08-20 11:00:00,Abra,2321.34,45.75,NE
2016-08-20 14:00:00,Abra,2270.02,45.47,NE
2016-08-20 17:00:00,Abra,2219.45,45.56,NE
2016-08-20 20:00:00,Abra,2168.77,45.64,NE
2016-08-20 23:00:00,Abra,2124.2,45.07,NE
2016-08-21 02:00:00,Abra,2065.41,44.54,NE
2016-08-21 05:00:00,Abra,2006.69,43.55,NE
2016-08-21 08:00:00,Abra,1955.74,43.12,NE
2016-08-21 11:00:00,Abra,1904.91,42.65,NE
2016-08-21 14:00:00,Abra,1875.66,42.76,NE
2016-08-21 17:00:00,Abra,1839.18,42.67,NE
2016-08-21 20:00:00,Abra,1817.08,42.99,NE
2016-08-21 23:00:00,Abra,1802.41,43.04,NE
2016-08-22 02:00:00,Abra,1795.0,43.31,NE
2016-08-22 05:00:00,Abra,1787.63,43.58,NE
2016-08-22 08:00:00,Abra,1787.65,44.06,NE
2016-08-22 11:00:00,Abra,1802.44,44.47,NE
2016-08-22 14:00:00,Abra,1809.88,44.68,NE
2016-08-22 17:00:00,Abra,1825.31,45.55,NE
2016-08-22 20:00:00,Abra,1833.55,46.21,NE
2016-08-22 23:00:00,Abra,1842.08,46.87,NE
2016-08-23 02:00:00,Abra,1828.55,47.43,NE
2016-08-23 05:00:00,Abra,1823.07,48.18,NE
2016-08-23 08:00:00,Abra,1809.95,48.76,NE
2016-08-23 11:00:00,Abra,1788.98,49.15,NE
2016-08-23 14:00:00,Abra,1768.06,49.56,NE
2016-08-23 17:00:00,Abra,1740.87,50.28,NE
2016-08-23 20:00:00,Abra,1707.74,51.33,NE
2016-08-23 23:00:00,Abra,1664.45,51.72,NE
2016-08-24 02:00:00,Abra,1606.71,52.26,NE
2016-08-24 05:00:00,Abra,1557.41,53.04,NE
2016-08-24 08:00:00,Abra,1522.67,53.7,NE
2016-08-24 11:00:00,Abra,1493.87,54.02,NE
2016-08-24 14:00:00,Abra,1456.46,54.14,NE
2016-08-24 17:00:00,Abra,1421.88,54.87,NE
2016-08-24 20:00:00,Abra,1384.41,55.01,NE
2016-08-24 23:00:00,Abra,1349.96,55.78,NE
2016-08-25 02:00:00,Abra,1321.23,56.17,NE
2016-08-25 05:00:00,Abra,1292.51,56.58,ENE
2016-08-25 08:00:00,Abra,1278.16,56.79,ENE
2016-08-25 11:00:00,Abra,1263.82,57.0,ENE
2016-08-25 14:00:00,Abra,1254.95,56.77,ENE
2016-08-25 17:00:00,Abra,1254.95,56.77,ENE
2016-08-25 20:00:00,Abra,1240.59,56.99,ENE
2016-08-25 23:00:00,Abra,1226.24,57.2,ENE
2016-08-26 02:00:00,Abra,1206.53,57.89,ENE
2016-08-26 05:00:00,Abra,1224.54,58.35,ENE
2016-08-26 08:00:00,Abra,1247.81,58.34,ENE
2016-08-26 11:00:00,Abra,1251.7,59.02,ENE
2016-08-26 14:00:00,Abra,1269.92,59.44,ENE
2016-08-26 17:00:00,Abra,1306.58,60.26,ENE
2016-08-26 20:00:00,Abra,1357.5,60.78,ENE
2016-08-26 23:00:00,Abra,1380.72,60.72,ENE
2016-08-27 02:00:00,Abra,1399.49,60.07,ENE
2016-08-27 05:00:00,Abra,1431.87,60.2,ENE
2016-08-27 08:00:00,Abra,1464.25,60.32,ENE
2016-08-27 11:00:00,Abra,1501.35,60.04,ENE
2016-08-27 14:00:00,Abra,1542.87,60.32,ENE
2016-08-27 17:00:00,Abra,1589.06,60.21,ENE
2016-08-27 20:00:00,Abra,1639.9,59.74,ENE
2016-08-27 23:00:00,Abra,1699.83,59.44,ENE
2016-08-28 02:00:00,Abra,1759.66,59.15,ENE
2016-08-28 05:00:00,Abra,1824.19,58.55,ENE
2016-08-28 08:00:00,Abra,1898.55,57.37,ENE
