Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2016-10-14 08:00:00,Abra,2998.61,111.69,ESE
2016-10-14 11:00:00,Abra,2953.97,111.4,ESE
2016-10-14 14:00:00,Abra,2914.41,110.79,ESE
2016-10-14 17:00:00,Abra,2884.83,110.58,ESE
2016-10-14 20:00:00,Abra,2850.2,110.67,ESE
2016-10-14 23:00:00,Abra,2805.91,110.34,ESE
2016-10-15 02:00:00,Abra,2751.77,110.1,ESE
2016-10-15 05:00:00,Abra,2707.69,109.76,ESE
2016-10-15 08:00:00,Abra,2649.11,109.27,ESE
2016-10-15 11:00:00,Abra,2585.29,109.1,ESE
2016-10-15 14:00:00,Abra,2526.09,109.15,ESE
2016-10-15 17:00:00,Abra,2462.38,108.96,ESE
2016-10-15 20:00:00,Abra,2393.22,109.12,ESE
2016-10-15 23:00:00,Abra,2328.65,109.53,ESE
2016-10-16 02:00:00,Abra,2284.14,109.73,ESE
2016-10-16 05:00:00,Abra,2239.65,109.94,ESE
2016-10-16 08:00:00,Abra,2210.51,109.65,ESE
2016-10-16 11:00:00,Abra,2185.99,109.62,ESE
2016-10-16 14:00:00,Abra,2152.48,109.03,ESE
2016-10-16 17:00:00,Abra,2119.21,108.43,ESE
2016-10-16 20:00:00,Abra,2067.72,107.35,ESE
2016-10-16 23:00:00,Abra,2010.86,106.62,ESE
2016-10-17 02:00:00,Abra,1940.37,105.65,ESE
2016-10-17 05:00:00,Abra,1864.01,105.05,ESE
2016-10-17 08:00:00,Abra,1791.59,104.73,ESE
2016-10-17 11:00:00,Abra,1733.14,104.61,ESE
2016-10-17 14:00:00,Abra,1674.74,104.48,ESE
2016-10-17 17:00:00,Abra,1606.14,104.46,ESE
2016-10-17 20:00:00,Abra,1544.45,103.91,ESE
2016-10-17 23:00:00,Abra,1472.69,103.43,ESE
2016-10-18 02:00:00,Abra,1411.49,102.77,ESE
2016-10-18 05:00:00,Abra,1343.26,102.63,ESE
2016-10-18 08:00:00,Abra,1261.78,102.1,ESE
2016-10-18 11:00:00,Abra,1183.39,102.02,ESE
2016-10-18 14:00:00,Abra,1102.3,101.35,ESE
2016-10-18 17:00:00,Abra,1016.49,101.92,ESE
2016-10-18 20:00:00,Abra,930.79,102.58,ESE
2016-10-18 23:00:00,Abra,842.31,102.62,ESE
2016-10-19 02:00:00,Abra,764.26,102.43,ESE
2016-10-19 05:00:00,Abra,681.74,104.22,ESE
2016-10-19 08:00:00,Abra,596.61,105.44,ESE
2016-10-19 11:00:00,Abra,528.85,105.16,ESE
2016-10-19 14:00:00,Abra,445.2,102.38,ESE
2016-10-19 17:00:00,Abra,365.29,100.02,E
2016-10-19 20:00:00,Abra,276.02,96.55,E
2016-10-19 23:00:00,Abra,189.36,93.1,E
2016-10-20 02:00:00,Abra,106.48,77.8,ENE
2016-10-20 05:00:00,Abra,63.15,28.27,NNE
2016-10-20 08:00:00,Abra,99.29,333.69,NNW
2016-10-20 11:00:00,Abra,162.18,313.46,NW
2016-10-20 14:00:00,Abra,231.88,308.83,NW
2016-10-20 17:00:00,Abra,325.9,305.84,NW
2016-10-20 20:00:00,Abra,402.93,305.91,NW
2016-10-20 23:00:00,Abra,471.29,306.72,NW
2016-10-21 02:00:00,Abra,537.93,308.96,NW
2016-10-21 05:00:00,Abra,627.25,311.71,NW
2016-10-21 08:00:00,Abra,702.3,313.71,NW
2016-10-21 11:00:00,Abra,777.84,315.33,NW
2016-10-21 14:00:00,Abra,839.32,317.68,NW
2016-10-21 17:00:00,Abra,901.9,319.72,NW
2016-10-21 20:00:00,Abra,967.32,322.39,NW
2016-10-21 23:00:00,Abra,1016.44,326.09,NW
2016-10-22 02:00:00,Abra,1058.83,330.34,NNW
2016-10-22 05:00:00,Abra,1112.17,334.95,NNW
2016-10-22 08:00:00,Abra,1168.62,339.55,NNW
2016-10-22 11:00:00,Abra,1205.04,346.19,NNW
2016-10-22 14:00:00,Abra,1254.95,353.19,N
2016-10-22 17:00:00,Abra,1335.37,357.84,N
2016-10-22 20:00:00,Abra,1401.91,1.91,N
2016-10-22 23:00:00,Abra,1442.24,5.7,N
2016-10-23 02:00:00,Abra,1456.26,9.48,N
2016-10-23 05:00:00,Abra,1465.92,14.85,NNE
2016-10-23 08:00:00,Abra,1476.51,21.14,NNE
2016-10-23 11:00:00,Abra,1511.2,26.73,NNE
2016-10-23 14:00:00,Abra,1581.45,32.37,NNE
2016-10-23 17:00:00,Abra,1709.79,37.93,NE
2016-10-23 20:00:00,Abra,1853.83,42.62,NE
2016-10-23 23:00:00,Abra,1978.94,45.41,NE
2016-10-24 02:00:00,Abra,2094.62,47.92,NE
2016-10-24 05:00:00,Abra,2241.47,50.92,NE
2016-10-24 08:00:00,Abra,2372.74,53.52,NE
2016-10-24 11:00:00,Abra,2465.93,55.3,NE
2016-10-24 14:00:00,Abra,2557.77,56.62,ENE
2016-10-24 17:00:00,Abra,2678.26,58.08,ENE
2016-10-24 20:00:00,Abra,2791.89,59.31,ENE
