Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2016-12-20 08:00:00,Abra,2949.04,110.69,ESE
2016-12-20 11:00:00,Abra,2929.24,111.39,ESE
2016-12-20 14:00:00,Abra,2929.84,112.4,ESE
2016-12-20 17:00:00,Abra,2905.68,112.92,ESE
2016-12-20 20:00:00,Abra,2881.7,113.44,ESE
2016-12-20 23:00:00,Abra,2833.18,113.99,ESE
2016-12-21 02:00:00,Abra,2779.44,114.35,ESE
2016-12-21 05:00:00,Abra,2731.27,114.93,ESE
2016-12-21 08:00:00,Abra,2683.33,115.53,ESE
2016-12-21 11:00:00,Abra,2639.52,115.81,ESE
2016-12-21 14:00:00,Abra,2599.68,115.75,ESE
2016-12-21 17:00:00,Abra,2550.31,115.82,ESE
2016-12-21 20:00:00,Abra,2510.5,115.76,ESE
2016-12-21 23:00:00,Abra,2450.05,115.37,ESE
2016-12-22 02:00:00,Abra,2374.72,114.85,ESE
2016-12-22 05:00:00,Abra,2314.64,114.41,ESE
2016-12-22 08:00:00,Abra,2235.4,114.22,ESE
2016-12-22 11:00:00,Abra,2156.26,114.01,ESE
2016-12-22 14:00:00,Abra,2077.23,113.78,ESE
2016-12-22 17:00:00,Abra,1988.6,113.68,ESE
2016-12-22 20:00:00,Abra,1890.36,113.71,ESE
2016-12-22 23:00:00,Abra,1792.21,113.74,ESE
2016-12-23 02:00:00,Abra,1694.17,113.76,ESE
2016-12-23 05:00:00,Abra,1596.22,113.77,ESE
2016-12-23 08:00:00,Abra,1503.47,114.16,ESE
2016-12-23 11:00:00,Abra,1444.92,114.37,ESE
2016-12-23 14:00:00,Abra,1381.99,115.21,ESE
2016-12-23 17:00:00,Abra,1318.34,115.04,ESE
2016-12-23 20:00:00,Abra,1245.16,115.08,ESE
2016-12-23 23:00:00,Abra,1177.25,115.6,ESE
2016-12-24 02:00:00,Abra,1118.98,115.91,ESE
2016-12-24 05:00:00,Abra,1066.14,116.76,ESE
2016-12-24 08:00:00,Abra,1019.13,118.25,ESE
2016-12-24 11:00:00,Abra,976.23,118.97,ESE
2016-12-24 14:00:00,Abra,942.7,119.41,ESE
2016-12-24 17:00:00,Abra,900.06,120.25,ESE
2016-12-24 20:00:00,Abra,872.75,121.38,ESE
2016-12-24 23:00:00,Abra,830.58,122.38,ESE
2016-12-25 02:00:00,Abra,788.68,123.47,ESE
2016-12-25 05:00:00,Abra,762.37,124.88,SE
2016-12-25 08:00:00,Abra,734.97,127.58,SE
2016-12-25 11:00:00,Abra,693.77,130.4,SE
2016-12-25 14:00:00,Abra,662.08,132.89,SE
2016-12-25 17:00:00,Abra,624.34,136.34,SE
2016-12-25 20:00:00,Abra,582.33,141.05,SE
2016-12-25 23:00:00,Abra,544.68,146.43,SSE
2016-12-26 02:00:00,Abra,507.55,153.63,SSE
2016-12-26 05:00:00,Abra,493.3,161.01,SSE
2016-12-26 08:00:00,Abra,463.55,169.47,S
2016-12-26 11:00:00,Abra,433.75,178.81,S
2016-12-26 14:00:00,Abra,407.58,190.95,S
2016-12-26 17:00:00,Abra,403.44,200.62,SSW
2016-12-26 20:00:00,Abra,410.59,210.21,SSW
2016-12-26 23:00:00,Abra,442.16,221.41,SW
2016-12-27 02:00:00,Abra,486.97,229.02,SW
2016-12-27 05:00:00,Abra,514.72,234.88,SW
2016-12-27 08:00:00,Abra,549.97,237.54,WSW
2016-12-27 11:00:00,Abra,577.06,239.32,WSW
2016-12-27 14:00:00,Abra,607.12,238.61,WSW
2016-12-27 17:00:00,Abra,637.29,237.97,WSW
2016-12-27 20:00:00,Abra,673.84,236.61,WSW
2016-12-27 23:00:00,Abra,719.52,235.91,SW
2016-12-28 02:00:00,Abra,780.63,235.1,SW
2016-12-28 05:00:00,Abra,861.52,236.32,WSW
2016-12-28 08:00:00,Abra,942.77,237.35,WSW
2016-12-28 11:00:00,Abra,1019.11,236.51,WSW
2016-12-28 14:00:00,Abra,1095.75,235.8,SW
2016-12-28 17:00:00,Abra,1157.23,235.3,SW
2016-12-28 20:00:00,Abra,1220.86,235.59,SW
2016-12-20 08:00:00,Agusan del Norte,2210.8,94.47,E
2016-12-20 11:00:00,Agusan del Norte,2180.89,95.17,E
2016-12-20 14:00:00,Agusan del Norte,2165.58,96.44,E
2016-12-20 17:00:00,Agusan del Norte,2134.63,96.88,E
2016-12-20 20:00:00,Agusan del Norte,2103.79,97.34,E
2016-12-20 23:00:00,Agusan del Norte,2049.34,97.6,E
2016-12-21 02:00:00,Agusan del Norte,1992.97,97.57,E
2016-12-21 05:00:00,Agusan del Norte,1938.55,97.85,E
2016-12-21 08:00:00,Agusan del Norte,1884.16,98.15,E
2016-12-21 11:00:00,Agusan del Norte,1838.67,98.06,E
2016-12-21 14:00:00,Agusan del Norte,1802.16,97.54,E
2016-12-21 17:00:00,Agusan del Norte,1754.92,97.06,E
