Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2017-09-10 08:00:00,Abra,1067.94,108.76,ESE
2017-09-10 11:00:00,Abra,1023.76,109.05,ESE
2017-09-10 14:00:00,Abra,973.85,110.22,ESE
2017-09-10 17:00:00,Abra,914.47,111.77,ESE
2017-09-10 20:00:00,Abra,865.51,113.22,ESE
2017-09-10 23:00:00,Abra,817.1,114.83,ESE
2017-09-11 02:00:00,Abra,778.84,116.26,ESE
2017-09-11 05:00:00,Abra,720.9,116.7,ESE
2017-09-11 08:00:00,Abra,668.45,118.05,ESE
2017-09-11 11:00:00,Abra,613.11,121.03,ESE
2017-09-11 14:00:00,Abra,550.94,125.22,SE
2017-09-11 17:00:00,Abra,508.6,128.82,SE
2017-09-11 20:00:00,Abra,468.54,133.03,SE
2017-09-11 23:00:00,Abra,438.53,136.93,SE
2017-09-12 02:00:00,Abra,404.26,142.58,SE
2017-09-12 05:00:00,Abra,399.12,149.46,SSE
2017-09-12 08:00:00,Abra,381.33,158.74,SSE
2017-09-12 11:00:00,Abra,352.34,167.95,SSE
2017-09-12 14:00:00,Abra,344.71,180.3,S
2017-09-12 17:00:00,Abra,353.11,192.63,SSW
2017-09-12 20:00:00,Abra,372.32,202.39,SSW
2017-09-12 23:00:00,Abra,406.53,212.3,SSW
2017-09-13 02:00:00,Abra,428.44,219.23,SW
2017-09-13 05:00:00,Abra,471.31,225.39,SW
2017-09-13 08:00:00,Abra,503.17,230.66,SW
2017-09-13 11:00:00,Abra,525.92,237.25,WSW
2017-09-13 14:00:00,Abra,560.11,242.22,WSW
2017-09-13 17:00:00,Abra,617.35,247.43,WSW
2017-09-13 20:00:00,Abra,682.46,250.87,WSW
2017-09-13 23:00:00,Abra,739.28,253.46,WSW
2017-09-14 02:00:00,Abra,783.9,256.25,WSW
2017-09-14 05:00:00,Abra,843.06,258.18,WSW
2017-09-14 08:00:00,Abra,902.94,259.86,W
2017-09-14 11:00:00,Abra,950.79,261.88,W
2017-09-14 14:00:00,Abra,1010.1,263.81,W
2017-09-14 17:00:00,Abra,1079.45,266.19,W
2017-09-14 20:00:00,Abra,1139.57,268.25,W
2017-09-14 23:00:00,Abra,1201.45,269.58,W
2017-09-15 02:00:00,Abra,1253.17,270.77,W
2017-09-15 05:00:00,Abra,1326.43,271.9,W
2017-09-15 08:00:00,Abra,1400.24,272.46,W
