Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2017-10-31 08:00:00,Abra,1019.8,134.23,SE
2017-10-31 11:00:00,Abra,976.53,137.92,SE
2017-10-31 14:00:00,Abra,928.54,141.51,SE
2017-10-31 17:00:00,Abra,869.09,145.67,SE
2017-10-31 20:00:00,Abra,819.26,151.43,SSE
2017-10-31 23:00:00,Abra,772.12,156.8,SSE
2017-11-01 02:00:00,Abra,732.31,162.79,SSE
2017-11-01 05:00:00,Abra,694.41,167.44,SSE
2017-11-01 08:00:00,Abra,673.89,171.78,S
2017-11-01 11:00:00,Abra,657.34,176.36,S
2017-11-01 14:00:00,Abra,633.94,181.15,S
2017-11-01 17:00:00,Abra,628.85,188.14,S
2017-11-01 20:00:00,Abra,630.23,194.17,SSW
2017-11-01 23:00:00,Abra,634.77,199.19,SSW
2017-11-02 02:00:00,Abra,639.7,203.21,SSW
2017-11-02 05:00:00,Abra,647.63,207.14,SSW
2017-11-02 08:00:00,Abra,658.43,210.97,SSW
2017-11-02 11:00:00,Abra,662.76,215.19,SW
2017-11-02 14:00:00,Abra,679.27,218.75,SW
2017-11-02 17:00:00,Abra,705.34,222.8,SW
2017-11-02 20:00:00,Abra,750.07,226.53,SW
2017-11-02 23:00:00,Abra,804.91,229.24,SW
2017-11-03 02:00:00,Abra,861.25,231.62,SW
2017-11-03 05:00:00,Abra,903.43,233.84,SW
2017-11-03 08:00:00,Abra,938.02,235.48,SW
2017-11-03 11:00:00,Abra,973.27,237.0,WSW
2017-11-03 14:00:00,Abra,1002.99,238.95,WSW
2017-11-03 17:00:00,Abra,1048.78,240.58,WSW
2017-11-03 20:00:00,Abra,1095.28,242.08,WSW
2017-11-03 23:00:00,Abra,1151.89,243.72,WSW
2017-11-04 02:00:00,Abra,1218.91,245.45,WSW
2017-11-04 05:00:00,Abra,1281.99,246.35,WSW
2017-11-04 08:00:00,Abra,1345.32,247.17,WSW
2017-11-04 11:00:00,Abra,1418.72,248.12,WSW
2017-11-04 14:00:00,Abra,1482.53,248.8,WSW
2017-11-04 17:00:00,Abra,1561.94,250.14,WSW
2017-11-04 20:00:00,Abra,1621.93,251.07,WSW
2017-11-04 23:00:00,Abra,1670.07,253.01,WSW
2017-11-05 02:00:00,Abra,1695.64,254.96,WSW
2017-11-05 05:00:00,Abra,1716.37,257.57,WSW
2017-11-05 08:00:00,Abra,1759.1,259.13,W
2017-10-31 08:00:00,Agusan del Norte,307.75,38.88,NE
2017-10-31 11:00:00,Agusan del Norte,256.3,27.12,NNE
2017-10-31 14:00:00,Agusan del Norte,231.52,10.05,N
2017-10-31 17:00:00,Agusan del Norte,243.66,348.9,N
2017-10-31 20:00:00,Agusan del Norte,279.93,328.77,NNW
2017-10-31 23:00:00,Agusan del Norte,342.0,317.19,NW
2017-11-01 02:00:00,Agusan del Norte,413.68,309.42,NW
2017-11-01 05:00:00,Agusan del Norte,479.15,306.58,NW
2017-11-01 08:00:00,Agusan del Norte,530.29,304.1,NW
2017-11-01 11:00:00,Agusan del Norte,582.26,302.07,WNW
2017-11-01 14:00:00,Agusan del Norte,640.4,301.25,WNW
2017-11-01 17:00:00,Agusan del Norte,712.35,298.93,WNW
2017-11-01 20:00:00,Agusan del Norte,775.52,297.4,WNW
2017-11-01 23:00:00,Agusan del Norte,829.32,296.43,WNW
2017-11-02 02:00:00,Agusan del Norte,873.43,295.88,WNW
2017-11-02 05:00:00,Agusan del Norte,917.61,295.38,WNW
2017-11-02 08:00:00,Agusan del Norte,961.85,294.94,WNW
2017-11-02 11:00:00,Agusan del Norte,1010.52,295.12,WNW
2017-11-02 14:00:00,Agusan del Norte,1054.77,294.73,WNW
2017-11-02 17:00:00,Agusan del Norte,1109.06,294.16,WNW
2017-11-02 20:00:00,Agusan del Norte,1169.48,292.94,WNW
2017-11-02 23:00:00,Agusan del Norte,1226.68,291.36,WNW
2017-11-03 02:00:00,Agusan del Norte,1284.82,289.92,WNW
2017-11-03 05:00:00,Agusan del Norte,1336.57,289.21,WNW
2017-11-03 08:00:00,Agusan del Norte,1378.12,288.68,WNW
2017-11-03 11:00:00,Agusan del Norte,1419.81,288.18,WNW
2017-11-03 14:00:00,Agusan del Norte,1464.58,288.14,WNW
2017-11-03 17:00:00,Agusan del Norte,1516.85,287.58,WNW
2017-11-03 20:00:00,Agusan del Norte,1569.28,287.06,WNW
2017-11-03 23:00:00,Agusan del Norte,1632.38,286.49,WNW
2017-11-04 02:00:00,Agusan del Norte,1706.23,285.88,WNW
2017-11-04 05:00:00,Agusan del Norte,1767.33,285.04,WNW
2017-11-04 08:00:00,Agusan del Norte,1828.85,284.27,WNW
2017-11-04 11:00:00,Agusan del Norte,1901.43,283.49,WNW
2017-11-04 14:00:00,Agusan del Norte,1963.69,282.82,WNW
2017-11-04 17:00:00,Agusan del Norte,2049.44,282.41,WNW
2017-11-04 20:00:00,Agusan del Norte,2113.84,282.14,WNW
2017-11-04 23:00:00,Agusan del Norte,2183.3,282.76,WNW
2017-11-05 02:00:00,Agusan del Norte,2233.38,283.73,WNW
2017-11-05 05:00:00,Agusan del Norte,2288.1,285.23,WNW
2017-11-05 08:00:00,Agusan del Norte,2347.6,285.79,WNW
2017-10-31 08:00:00,Agusan del Sur,316.59,28.48,NNE
2017-10-31 11:00:00,Agusan del Sur,277.16,15.61,NNE
2017-10-31 14:00:00,Agusan del Sur,266.87,359.6,N
2017-10-31 17:00:00,Agusan del Sur,292.04,342.22,NNW
2017-10-31 20:00:00,Agusan del Sur,335.64,326.06,NW
2017-10-31 23:00:00,Agusan del Sur,399.48,316.57,NW
