Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2017-11-16 20:00:00,Abra,1211.53,164.15,SSE
2017-11-16 23:00:00,Abra,1154.86,166.22,SSE
2017-11-17 02:00:00,Abra,1079.48,171.26,S
2017-11-17 05:00:00,Abra,1035.43,177.04,S
2017-11-17 08:00:00,Abra,990.66,182.66,S
2017-11-17 11:00:00,Abra,932.24,188.27,S
2017-11-17 14:00:00,Abra,880.84,193.83,SSW
2017-11-17 17:00:00,Abra,866.46,198.59,SSW
2017-11-17 20:00:00,Abra,882.74,203.56,SSW
2017-11-17 23:00:00,Abra,895.28,208.66,SSW
2017-11-18 02:00:00,Abra,914.39,213.57,SSW
2017-11-18 05:00:00,Abra,924.2,218.13,SW
2017-11-18 08:00:00,Abra,947.86,222.12,SW
2017-11-18 11:00:00,Abra,991.23,225.91,SW
2017-11-18 14:00:00,Abra,1038.34,229.37,SW
2017-11-18 17:00:00,Abra,1079.15,231.34,SW
2017-11-18 20:00:00,Abra,1119.66,232.36,SW
2017-11-18 23:00:00,Abra,1167.48,232.9,SW
2017-11-19 02:00:00,Abra,1215.41,233.39,SW
2017-11-19 05:00:00,Abra,1265.16,234.56,SW
2017-11-19 08:00:00,Abra,1317.53,236.32,WSW
2017-11-19 11:00:00,Abra,1373.69,238.59,WSW
2017-11-19 14:00:00,Abra,1423.54,242.08,WSW
2017-11-19 17:00:00,Abra,1472.64,245.71,WSW
2017-11-19 20:00:00,Abra,1531.3,248.72,WSW
2017-11-16 20:00:00,Agusan del Norte,295.75,226.07,SW
2017-11-16 23:00:00,Agusan del Norte,312.26,239.09,WSW
2017-11-17 02:00:00,Agusan del Norte,391.74,254.61,WSW
2017-11-17 05:00:00,Agusan del Norte,492.35,261.9,W
2017-11-17 08:00:00,Agusan del Norte,586.31,267.69,W
2017-11-17 11:00:00,Agusan del Norte,674.11,273.79,W
2017-11-17 14:00:00,Agusan del Norte,756.6,278.58,W
2017-11-17 17:00:00,Agusan del Norte,826.41,280.29,W
2017-11-17 20:00:00,Agusan del Norte,903.8,280.23,W
2017-11-17 23:00:00,Agusan del Norte,982.91,280.83,W
2017-11-18 02:00:00,Agusan del Norte,1062.05,281.35,WNW
2017-11-18 05:00:00,Agusan del Norte,1132.45,282.46,WNW
2017-11-18 08:00:00,Agusan del Norte,1200.94,282.93,WNW
2017-11-18 11:00:00,Agusan del Norte,1278.0,282.77,WNW
2017-11-18 14:00:00,Agusan del Norte,1355.06,282.63,WNW
2017-11-18 17:00:00,Agusan del Norte,1408.69,282.22,WNW
2017-11-18 20:00:00,Agusan del Norte,1449.84,281.49,WNW
2017-11-18 23:00:00,Agusan del Norte,1489.66,280.37,W
2017-11-19 02:00:00,Agusan del Norte,1530.06,279.3,W
2017-11-19 05:00:00,Agusan del Norte,1583.04,278.66,W
2017-11-19 08:00:00,Agusan del Norte,1648.22,278.42,W
2017-11-19 11:00:00,Agusan del Norte,1725.4,278.53,W
2017-11-19 14:00:00,Agusan del Norte,1817.04,279.66,W
2017-11-19 17:00:00,Agusan del Norte,1910.58,281.04,W
2017-11-19 20:00:00,Agusan del Norte,2003.09,281.97,WNW
2017-11-16 20:00:00,Agusan del Sur,304.89,237.0,WSW
2017-11-16 23:00:00,Agusan del Sur,333.39,248.68,WSW
2017-11-17 02:00:00,Agusan del Sur,425.25,261.25,W
2017-11-17 05:00:00,Agusan del Sur,530.86,266.75,W
2017-11-17 08:00:00,Agusan del Sur,628.56,271.44,W
2017-11-17 11:00:00,Agusan del Sur,720.04,276.71,W
2017-11-17 14:00:00,Agusan del Sur,805.11,280.91,W
2017-11-17 17:00:00,Agusan del Sur,875.75,282.34,WNW
2017-11-17 20:00:00,Agusan del Sur,953.07,282.12,WNW
2017-11-17 23:00:00,Agusan del Sur,1032.45,282.55,WNW
2017-11-18 02:00:00,Agusan del Sur,1111.81,282.93,WNW
2017-11-18 05:00:00,Agusan del Sur,1182.73,283.9,WNW
2017-11-18 08:00:00,Agusan del Sur,1251.43,284.27,WNW
2017-11-18 11:00:00,Agusan del Sur,1328.4,284.04,WNW
2017-11-18 14:00:00,Agusan del Sur,1405.37,283.84,WNW
2017-11-18 17:00:00,Agusan del Sur,1458.8,283.4,WNW
2017-11-18 20:00:00,Agusan del Sur,1499.57,282.66,WNW
2017-11-18 23:00:00,Agusan del Sur,1538.81,281.54,WNW
2017-11-19 02:00:00,Agusan del Sur,1578.65,280.48,W
2017-11-19 05:00:00,Agusan del Sur,1631.27,279.82,W
2017-11-19 08:00:00,Agusan del Sur,1696.3,279.54,W
2017-11-19 11:00:00,Agusan del Sur,1773.53,279.6,W
2017-11-19 14:00:00,Agusan del Sur,1865.77,280.66,W
2017-11-19 17:00:00,Agusan del Sur,1960.01,281.95,WNW
2017-11-19 20:00:00,Agusan del Sur,2052.99,282.82,WNW
2017-11-16 20:00:00,Aklan,529.07,165.08,SSE
2017-11-16 23:00:00,Aklan,473.88,170.17,S
2017-11-17 02:00:00,Aklan,412.46,184.09,S
2017-11-17 05:00:00,Aklan,402.71,200.27,SSW
2017-11-17 08:00:00,Aklan,409.27,215.61,SW
2017-11-17 11:00:00,Aklan,420.04,230.84,SW
2017-11-17 14:00:00,Aklan,447.74,243.8,WSW
2017-11-17 17:00:00,Aklan,494.77,250.71,WSW
2017-11-17 20:00:00,Aklan,564.04,254.46,WSW
2017-11-17 23:00:00,Aklan,632.56,258.38,WSW
2017-11-18 02:00:00,Aklan,703.32,261.53,W
2017-11-18 05:00:00,Aklan,763.5,264.84,W
2017-11-18 08:00:00,Aklan,826.51,266.9,W
2017-11-18 11:00:00,Aklan,901.86,268.0,W
2017-11-18 14:00:00,Aklan,977.42,268.95,W
2017-11-18 17:00:00,Aklan,1031.86,269.1,W
2017-11-18 20:00:00,Aklan,1076.0,268.62,W
2017-11-18 23:00:00,Aklan,1121.04,267.61,W
2017-11-19 02:00:00,Aklan,1166.44,266.69,W
2017-11-19 05:00:00,Aklan,1221.87,266.41,W
2017-11-19 08:00:00,Aklan,1287.09,266.71,W
2017-11-19 11:00:00,Aklan,1362.19,267.5,W
2017-11-19 14:00:00,Aklan,1446.16,269.57,W
2017-11-19 17:00:00,Aklan,1531.28,271.85,W
2017-11-19 20:00:00,Aklan,1618.06,273.51,W
2017-11-16 20:00:00,Albay,670.66,181.23,S
2017-11-16 23:00:00,Albay,629.81,186.34,S
2017-11-17 02:00:00,Albay,597.59,197.5,SSW
2017-11-17 05:00:00,Albay,609.06,208.4,SSW
2017-11-17 08:00:00,Albay,625.39,218.39,SW
2017-11-17 11:00:00,Albay,635.86,228.4,SW
2017-11-17 14:00:00,Albay,655.18,237.28,WSW
2017-11-17 17:00:00,Albay,694.21,242.61,WSW
2017-11-17 20:00:00,Albay,757.56,246.13,WSW
2017-11-17 23:00:00,Albay,819.03,249.83,WSW
2017-11-18 02:00:00,Albay,883.26,253.01,WSW
2017-11-18 05:00:00,Albay,936.16,256.24,WSW
2017-11-18 08:00:00,Albay,994.02,258.5,WSW
2017-11-18 11:00:00,Albay,1066.06,260.04,W
2017-11-18 14:00:00,Albay,1138.68,261.4,W
2017-11-18 17:00:00,Albay,1192.25,261.9,W
2017-11-18 20:00:00,Albay,1237.15,261.76,W
2017-11-18 23:00:00,Albay,1284.22,261.14,W
2017-11-19 02:00:00,Albay,1331.47,260.56,W
2017-11-19 05:00:00,Albay,1387.19,260.58,W
2017-11-19 08:00:00,Albay,1451.34,261.13,W
2017-11-19 11:00:00,Albay,1524.18,262.13,W
2017-11-19 14:00:00,Albay,1602.65,264.3,W
2017-11-19 17:00:00,Albay,1681.53,266.66,W
2017-11-19 20:00:00,Albay,1763.51,268.45,W
2017-11-16 20:00:00,Antique,444.48,155.8,SSE
2017-11-16 23:00:00,Antique,382.8,160.65,SSE
2017-11-17 02:00:00,Antique,306.23,176.91,S
2017-11-17 05:00:00,Antique,287.93,198.96,SSW
2017-11-17 08:00:00,Antique,297.9,220.23,SW
2017-11-17 11:00:00,Antique,322.42,240.22,WSW
2017-11-17 14:00:00,Antique,367.88,255.41,WSW
2017-11-17 17:00:00,Antique,425.38,262.09,W
2017-11-17 20:00:00,Antique,499.93,264.67,W
2017-11-17 23:00:00,Antique,574.43,267.71,W
2017-11-18 02:00:00,Antique,650.07,270.06,W
2017-11-18 05:00:00,Antique,715.77,272.84,W
2017-11-18 08:00:00,Antique,782.08,274.34,W
2017-11-18 11:00:00,Antique,858.92,274.83,W
2017-11-18 14:00:00,Antique,935.77,275.24,W
2017-11-18 17:00:00,Antique,990.17,275.05,W
2017-11-18 20:00:00,Antique,1033.16,274.29,W
2017-11-18 23:00:00,Antique,1076.07,273.0,W
2017-11-19 02:00:00,Antique,1119.54,271.82,W
2017-11-19 05:00:00,Antique,1174.22,271.28,W
2017-11-19 08:00:00,Antique,1239.75,271.32,W
2017-11-19 11:00:00,Antique,1316.08,271.86,W
2017-11-19 14:00:00,Antique,1403.7,273.72,W
2017-11-19 17:00:00,Antique,1492.93,275.8,W
2017-11-19 20:00:00,Antique,1582.67,277.26,W
2017-11-16 20:00:00,Apayao,1214.9,168.05,SSE
2017-11-16 23:00:00,Apayao,1161.19,170.29,S
2017-11-17 02:00:00,Apayao,1092.87,175.55,S
2017-11-17 05:00:00,Apayao,1056.65,181.4,S
2017-11-17 08:00:00,Apayao,1019.26,187.05,S
2017-11-17 11:00:00,Apayao,967.93,192.71,SSW
2017-11-17 14:00:00,Apayao,923.21,198.26,SSW
2017-11-17 17:00:00,Apayao,914.12,202.84,SSW
2017-11-17 20:00:00,Apayao,935.5,207.47,SSW
2017-11-17 23:00:00,Apayao,952.9,212.21,SSW
2017-11-18 02:00:00,Apayao,976.27,216.75,SW
2017-11-18 05:00:00,Apayao,989.67,220.98,SW
2017-11-18 08:00:00,Apayao,1016.13,224.65,SW
2017-11-18 11:00:00,Apayao,1061.88,228.09,SW
2017-11-18 14:00:00,Apayao,1110.91,231.25,SW
2017-11-18 17:00:00,Apayao,1152.71,233.03,SW
2017-11-18 20:00:00,Apayao,1193.7,233.94,SW
2017-11-18 23:00:00,Apayao,1241.75,234.38,SW
2017-11-19 02:00:00,Apayao,1289.89,234.8,SW
2017-11-19 05:00:00,Apayao,1340.14,235.86,SW
2017-11-19 08:00:00,Apayao,1393.22,237.48,WSW
2017-11-19 11:00:00,Apayao,1450.19,239.6,WSW
2017-11-19 14:00:00,Apayao,1501.08,242.88,WSW
2017-11-19 17:00:00,Apayao,1550.98,246.32,WSW
