Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2018-06-04 02:00:00,Abra,1492.93,124.58,SE
2018-06-04 05:00:00,Abra,1499.68,124.92,SE
2018-06-04 08:00:00,Abra,1508.39,124.67,SE
2018-06-04 11:00:00,Abra,1510.43,124.07,SE
2018-06-04 14:00:00,Abra,1503.8,123.73,ESE
2018-06-04 17:00:00,Abra,1497.22,123.38,ESE
2018-06-04 20:00:00,Abra,1497.22,123.38,ESE
2018-06-04 23:00:00,Abra,1490.7,123.04,ESE
2018-06-05 02:00:00,Abra,1490.7,123.04,ESE
2018-06-05 05:00:00,Abra,1490.7,123.04,ESE
2018-06-05 08:00:00,Abra,1484.23,122.68,ESE
2018-06-05 11:00:00,Abra,1471.45,121.97,ESE
2018-06-05 14:00:00,Abra,1461.8,120.64,ESE
2018-06-05 17:00:00,Abra,1458.86,119.67,ESE
2018-06-05 20:00:00,Abra,1447.02,118.92,ESE
2018-06-05 23:00:00,Abra,1399.65,117.44,ESE
2018-06-06 02:00:00,Abra,1338.43,115.67,ESE
2018-06-06 05:00:00,Abra,1293.37,113.95,ESE
2018-06-06 08:00:00,Abra,1254.33,112.57,ESE
2018-06-06 11:00:00,Abra,1196.34,111.53,ESE
2018-06-06 14:00:00,Abra,1148.83,110.17,ESE
2018-06-06 17:00:00,Abra,1092.06,108.89,ESE
2018-06-06 20:00:00,Abra,1043.83,108.62,ESE
2018-06-06 23:00:00,Abra,991.77,107.71,ESE
2018-06-07 02:00:00,Abra,943.77,107.34,ESE
2018-06-07 05:00:00,Abra,892.26,106.24,ESE
2018-06-07 08:00:00,Abra,830.98,105.23,ESE
2018-06-07 11:00:00,Abra,783.51,104.61,ESE
2018-06-07 14:00:00,Abra,746.5,103.67,ESE
2018-06-07 17:00:00,Abra,709.75,102.64,ESE
2018-06-07 20:00:00,Abra,681.26,100.36,E
2018-06-07 23:00:00,Abra,675.0,97.59,E
2018-06-08 02:00:00,Abra,680.89,94.67,E
2018-06-08 05:00:00,Abra,688.48,91.8,E
2018-06-08 08:00:00,Abra,697.59,88.09,E
2018-06-08 11:00:00,Abra,689.18,83.45,E
2018-06-08 14:00:00,Abra,687.28,77.82,ENE
2018-06-08 17:00:00,Abra,678.96,72.87,ENE
2018-06-08 20:00:00,Abra,682.02,69.03,ENE
2018-06-08 23:00:00,Abra,697.79,65.56,ENE
2018-06-09 02:00:00,Abra,715.96,62.27,ENE
2018-06-09 05:00:00,Abra,759.92,59.16,ENE
2018-06-09 08:00:00,Abra,805.75,56.39,ENE
2018-06-09 11:00:00,Abra,846.99,54.55,NE
2018-06-09 14:00:00,Abra,882.65,53.46,NE
2018-06-09 17:00:00,Abra,918.54,52.46,NE
2018-06-09 20:00:00,Abra,971.3,52.24,NE
2018-06-09 23:00:00,Abra,1030.46,51.52,NE
2018-06-10 02:00:00,Abra,1112.63,51.02,NE
2018-06-10 05:00:00,Abra,1216.01,50.0,NE
2018-06-10 08:00:00,Abra,1334.05,48.99,NE
2018-06-10 11:00:00,Abra,1438.35,48.8,NE
2018-06-10 14:00:00,Abra,1542.3,48.61,NE
2018-06-10 17:00:00,Abra,1661.82,48.82,NE
2018-06-10 20:00:00,Abra,1787.49,48.67,NE
2018-06-10 23:00:00,Abra,1914.13,48.95,NE
2018-06-11 02:00:00,Abra,2046.71,48.89,NE
2018-06-11 05:00:00,Abra,2184.95,48.54,NE
2018-06-11 08:00:00,Abra,2335.08,47.73,NE
2018-06-11 11:00:00,Abra,2499.92,47.22,NE
2018-06-11 14:00:00,Abra,2671.32,46.82,NE
2018-06-11 17:00:00,Abra,2856.75,46.62,NE
2018-06-11 20:00:00,Abra,3042.29,46.65,NE
2018-06-11 23:00:00,Abra,3218.7,46.51,NE
2018-06-12 02:00:00,Abra,3385.95,46.23,NE
2018-06-12 05:00:00,Abra,3523.19,45.86,NE
2018-06-12 08:00:00,Abra,3625.38,45.57,NE
2018-06-12 11:00:00,Abra,3728.91,45.5,NE
2018-06-12 14:00:00,Abra,3841.6,45.7,NE
2018-06-12 17:00:00,Abra,3981.88,46.47,NE
2018-06-12 20:00:00,Abra,4113.59,47.46,NE
2018-06-12 23:00:00,Abra,4211.17,48.3,NE
2018-06-13 02:00:00,Abra,4286.3,48.95,NE
2018-06-04 02:00:00,Agusan del Norte,693.0,82.59,E
2018-06-04 05:00:00,Agusan del Norte,691.85,83.5,E
2018-06-04 08:00:00,Agusan del Norte,702.76,83.59,E
2018-06-04 11:00:00,Agusan del Norte,714.79,82.78,E
2018-06-04 14:00:00,Agusan del Norte,716.07,81.9,E
2018-06-04 17:00:00,Agusan del Norte,717.52,81.01,E
2018-06-04 20:00:00,Agusan del Norte,717.52,81.01,E
2018-06-04 23:00:00,Agusan del Norte,719.14,80.13,E
2018-06-05 02:00:00,Agusan del Norte,719.14,80.13,E
2018-06-05 05:00:00,Agusan del Norte,719.14,80.13,E
2018-06-05 08:00:00,Agusan del Norte,720.92,79.26,E
2018-06-05 11:00:00,Agusan del Norte,724.99,77.52,ENE
2018-06-05 14:00:00,Agusan del Norte,742.92,75.16,ENE
