Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2018-08-06 08:00:00,Abra,1427.91,85.25,E
2018-08-06 11:00:00,Abra,1417.76,84.34,E
2018-08-06 14:00:00,Abra,1407.55,83.88,E
2018-08-06 17:00:00,Abra,1397.45,83.4,E
2018-08-06 20:00:00,Abra,1387.46,82.92,E
2018-08-06 23:00:00,Abra,1367.07,82.4,E
2018-08-07 02:00:00,Abra,1357.31,81.9,E
2018-08-07 05:00:00,Abra,1336.33,81.84,E
2018-08-07 08:00:00,Abra,1326.71,81.32,E
2018-08-07 11:00:00,Abra,1305.76,81.25,E
2018-08-07 14:00:00,Abra,1284.81,81.16,E
2018-08-07 17:00:00,Abra,1274.34,81.12,E
2018-08-07 20:00:00,Abra,1263.86,81.08,E
2018-08-07 23:00:00,Abra,1264.91,80.57,E
2018-08-08 02:00:00,Abra,1264.91,80.57,E
2018-08-08 05:00:00,Abra,1266.06,80.07,E
2018-08-08 08:00:00,Abra,1266.06,80.07,E
2018-08-08 11:00:00,Abra,1309.01,79.78,E
2018-08-08 14:00:00,Abra,1363.66,79.09,E
2018-08-08 17:00:00,Abra,1397.61,78.33,ENE
2018-08-08 20:00:00,Abra,1431.71,77.6,ENE
2018-08-08 23:00:00,Abra,1447.07,76.34,ENE
2018-08-09 02:00:00,Abra,1454.89,74.59,ENE
2018-08-09 05:00:00,Abra,1449.11,73.65,ENE
2018-08-09 08:00:00,Abra,1421.03,72.94,ENE
2018-08-09 11:00:00,Abra,1400.78,72.75,ENE
2018-08-09 14:00:00,Abra,1390.66,72.65,ENE
2018-08-09 17:00:00,Abra,1390.66,72.65,ENE
2018-08-09 20:00:00,Abra,1395.87,71.76,ENE
2018-08-09 23:00:00,Abra,1397.32,69.87,ENE
2018-08-10 02:00:00,Abra,1387.71,66.84,ENE
2018-08-10 05:00:00,Abra,1364.4,64.5,ENE
2018-08-10 08:00:00,Abra,1339.18,62.51,ENE
2018-08-10 11:00:00,Abra,1329.79,62.33,ENE
2018-08-10 14:00:00,Abra,1320.41,62.15,ENE
2018-08-10 17:00:00,Abra,1324.95,61.71,ENE
2018-08-10 20:00:00,Abra,1334.71,59.78,ENE
2018-08-10 23:00:00,Abra,1324.56,56.82,ENE
2018-08-11 02:00:00,Abra,1301.16,53.34,NE
2018-08-11 05:00:00,Abra,1276.5,50.16,NE
2018-08-11 08:00:00,Abra,1241.43,46.96,NE
2018-08-11 11:00:00,Abra,1188.29,44.03,NE
2018-08-11 14:00:00,Abra,1129.92,41.99,NE
2018-08-11 17:00:00,Abra,1081.57,39.31,NE
2018-08-11 20:00:00,Abra,1042.35,36.82,NE
2018-08-11 23:00:00,Abra,999.52,33.66,NNE
2018-08-12 02:00:00,Abra,989.8,30.53,NNE
2018-08-12 05:00:00,Abra,973.58,27.66,NNE
2018-08-12 08:00:00,Abra,984.41,24.66,NNE
2018-08-12 11:00:00,Abra,1004.44,20.96,NNE
2018-08-12 14:00:00,Abra,1049.8,17.05,NNE
2018-08-12 17:00:00,Abra,1082.04,12.11,NNE
2018-08-12 20:00:00,Abra,1134.71,7.94,N
2018-08-12 23:00:00,Abra,1193.2,4.18,N
2018-08-13 02:00:00,Abra,1267.76,0.81,N
2018-08-13 05:00:00,Abra,1358.02,357.47,N
2018-08-13 08:00:00,Abra,1463.68,354.64,N
2018-08-13 11:00:00,Abra,1539.68,352.06,N
2018-08-13 14:00:00,Abra,1616.91,350.09,N
2018-08-13 17:00:00,Abra,1681.0,348.87,N
2018-08-13 20:00:00,Abra,1743.63,348.07,NNW
2018-08-13 23:00:00,Abra,1817.37,347.41,NNW
2018-08-14 02:00:00,Abra,1899.68,347.19,NNW
2018-08-14 05:00:00,Abra,1985.81,347.86,NNW
2018-08-14 08:00:00,Abra,2066.01,349.21,N
2018-08-14 11:00:00,Abra,2127.41,350.09,N
2018-08-14 14:00:00,Abra,2189.34,350.92,N
2018-08-14 17:00:00,Abra,2228.33,351.82,N
2018-08-14 20:00:00,Abra,2256.95,352.65,N
2018-08-14 23:00:00,Abra,2262.87,353.59,N
2018-08-15 02:00:00,Abra,2258.47,354.49,N
2018-08-15 05:00:00,Abra,2274.53,356.13,N
2018-08-15 08:00:00,Abra,2282.57,357.27,N
2018-08-15 11:00:00,Abra,2281.24,357.94,N
2018-08-15 14:00:00,Abra,2247.92,357.9,N
2018-08-15 17:00:00,Abra,2215.01,357.63,N
2018-08-15 20:00:00,Abra,2183.83,356.64,N
2018-08-15 23:00:00,Abra,2143.2,355.35,N
2018-08-16 02:00:00,Abra,2117.25,353.54,N
2018-08-16 05:00:00,Abra,2084.42,351.38,N
2018-08-16 08:00:00,Abra,2040.4,349.58,N
2018-08-06 08:00:00,Agusan del Norte,1383.37,41.08,NE
2018-08-06 11:00:00,Agusan del Norte,1392.58,40.13,NE
2018-08-06 14:00:00,Agusan del Norte,1393.84,39.5,NE
2018-08-06 17:00:00,Agusan del Norte,1395.27,38.86,NE
2018-08-06 20:00:00,Agusan del Norte,1396.88,38.23,NE
2018-08-06 23:00:00,Agusan del Norte,1391.98,37.27,NE
2018-08-07 02:00:00,Agusan del Norte,1394.04,36.64,NE
2018-08-07 05:00:00,Agusan del Norte,1381.03,35.95,NE
2018-08-07 08:00:00,Agusan del Norte,1383.46,35.32,NE
2018-08-07 11:00:00,Agusan del Norte,1370.87,34.61,NE
2018-08-07 14:00:00,Agusan del Norte,1358.5,33.89,NE
2018-08-07 17:00:00,Agusan del Norte,1352.4,33.53,NNE
2018-08-07 20:00:00,Agusan del Norte,1346.37,33.16,NNE
2018-08-07 23:00:00,Agusan del Norte,1355.51,32.89,NNE
2018-08-08 02:00:00,Agusan del Norte,1355.51,32.89,NNE
2018-08-08 05:00:00,Agusan del Norte,1364.67,32.62,NNE
2018-08-08 08:00:00,Agusan del Norte,1364.67,32.62,NNE
2018-08-08 11:00:00,Agusan del Norte,1397.85,33.8,NE
2018-08-08 14:00:00,Agusan del Norte,1446.81,34.98,NE
2018-08-08 17:00:00,Agusan del Norte,1483.52,35.44,NE
2018-08-08 20:00:00,Agusan del Norte,1520.32,35.87,NE
2018-08-08 23:00:00,Agusan del Norte,1553.08,35.41,NE
2018-08-09 02:00:00,Agusan del Norte,1588.55,34.42,NE
2018-08-09 05:00:00,Agusan del Norte,1600.35,33.64,NNE
2018-08-09 08:00:00,Agusan del Norte,1591.46,32.48,NNE
2018-08-09 11:00:00,Agusan del Norte,1579.76,31.86,NNE
2018-08-09 14:00:00,Agusan del Norte,1573.99,31.54,NNE
2018-08-09 17:00:00,Agusan del Norte,1573.99,31.54,NNE
2018-08-09 20:00:00,Agusan del Norte,1592.56,31.09,NNE
2018-08-09 23:00:00,Agusan del Norte,1624.48,29.92,NNE
2018-08-10 02:00:00,Agusan del Norte,1665.85,27.77,NNE
2018-08-10 05:00:00,Agusan del Norte,1685.05,25.78,NNE
2018-08-10 08:00:00,Agusan del Norte,1696.33,24.01,NNE
2018-08-10 11:00:00,Agusan del Norte,1691.89,23.7,NNE
2018-08-10 14:00:00,Agusan del Norte,1687.5,23.38,NNE
2018-08-10 17:00:00,Agusan del Norte,1697.57,23.22,NNE
2018-08-10 20:00:00,Agusan del Norte,1733.79,22.28,NNE
2018-08-10 23:00:00,Agusan del Norte,1769.0,20.31,NNE
2018-08-11 02:00:00,Agusan del Norte,1799.49,17.82,NNE
2018-08-11 05:00:00,Agusan del Norte,1822.85,15.53,NNE
2018-08-11 08:00:00,Agusan del Norte,1835.99,13.08,NNE
2018-08-11 11:00:00,Agusan del Norte,1828.86,10.51,N
2018-08-11 14:00:00,Agusan del Norte,1805.31,8.36,N
2018-08-11 17:00:00,Agusan del Norte,1795.63,6.1,N
2018-08-11 20:00:00,Agusan del Norte,1789.74,4.15,N
2018-08-11 23:00:00,Agusan del Norte,1785.7,1.87,N
2018-08-12 02:00:00,Agusan del Norte,1806.93,0.23,N
2018-08-12 05:00:00,Agusan del Norte,1818.61,358.62,N
2018-08-12 08:00:00,Agusan del Norte,1853.47,357.39,N
2018-08-12 11:00:00,Agusan del Norte,1901.06,355.93,N
2018-08-12 14:00:00,Agusan del Norte,1972.03,354.62,N
2018-08-12 17:00:00,Agusan del Norte,2037.05,352.53,N
2018-08-12 20:00:00,Agusan del Norte,2113.98,350.92,N
2018-08-12 23:00:00,Agusan del Norte,2192.6,349.43,N
2018-08-13 02:00:00,Agusan del Norte,2283.51,348.14,NNW
2018-08-13 05:00:00,Agusan del Norte,2388.81,346.8,NNW
2018-08-13 08:00:00,Agusan del Norte,2506.02,345.68,NNW
2018-08-13 11:00:00,Agusan del Norte,2592.37,344.46,NNW
2018-08-13 14:00:00,Agusan del Norte,2676.79,343.53,NNW
2018-08-13 17:00:00,Agusan del Norte,2744.98,342.97,NNW
2018-08-13 20:00:00,Agusan del Norte,2810.12,342.63,NNW
2018-08-13 23:00:00,Agusan del Norte,2885.7,342.4,NNW
2018-08-14 02:00:00,Agusan del Norte,2968.29,342.44,NNW
2018-08-14 05:00:00,Agusan del Norte,3051.43,343.07,NNW
2018-08-14 08:00:00,Agusan del Norte,3125.73,344.15,NNW
2018-08-14 11:00:00,Agusan del Norte,3182.93,344.88,NNW
2018-08-14 14:00:00,Agusan del Norte,3240.68,345.59,NNW
2018-08-14 17:00:00,Agusan del Norte,3275.09,346.3,NNW
2018-08-14 20:00:00,Agusan del Norte,3299.4,346.94,NNW
2018-08-14 23:00:00,Agusan del Norte,3300.41,347.61,NNW
2018-08-15 02:00:00,Agusan del Norte,3291.21,348.22,NNW
2018-08-15 05:00:00,Agusan del Norte,3297.87,349.41,N
2018-08-15 08:00:00,Agusan del Norte,3299.0,350.23,N
2018-08-15 11:00:00,Agusan del Norte,3293.54,350.69,N
2018-08-15 14:00:00,Agusan del Norte,3260.88,350.57,N
2018-08-15 17:00:00,Agusan del Norte,3230.08,350.28,N
2018-08-15 20:00:00,Agusan del Norte,3205.23,349.51,N
2018-08-15 23:00:00,Agusan del Norte,3172.48,348.5,NNW
2018-08-16 02:00:00,Agusan del Norte,3156.45,347.2,NNW
2018-08-16 05:00:00,Agusan del Norte,3134.47,345.65,NNW
2018-08-16 08:00:00,Agusan del Norte,3098.77,344.33,NNW
2018-08-06 08:00:00,Agusan del Sur,1385.91,38.79,NE
2018-08-06 11:00:00,Agusan del Sur,1396.07,37.86,NE
2018-08-06 14:00:00,Agusan del Sur,1397.96,37.23,NE
2018-08-06 17:00:00,Agusan del Sur,1400.02,36.61,NE
2018-08-06 20:00:00,Agusan del Sur,1402.26,35.98,NE
2018-08-06 23:00:00,Agusan del Sur,1398.33,35.01,NE
2018-08-07 02:00:00,Agusan del Sur,1401.01,34.39,NE
2018-08-07 05:00:00,Agusan del Sur,1388.7,33.68,NNE
2018-08-07 08:00:00,Agusan del Sur,1391.75,33.06,NNE
2018-08-07 11:00:00,Agusan del Sur,1379.87,32.34,NNE
2018-08-07 14:00:00,Agusan del Sur,1368.23,31.6,NNE
2018-08-07 17:00:00,Agusan del Sur,1362.5,31.23,NNE
2018-08-07 20:00:00,Agusan del Sur,1356.83,30.85,NNE
2018-08-07 23:00:00,Agusan del Sur,1366.23,30.6,NNE
2018-08-08 02:00:00,Agusan del Sur,1366.23,30.6,NNE
