Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2018-08-27 02:00:00,Abra,4351.3,94.17,E
2018-08-27 05:00:00,Abra,4298.08,93.71,E
2018-08-27 08:00:00,Abra,4224.37,92.64,E
2018-08-27 11:00:00,Abra,4193.33,92.07,E
2018-08-27 14:00:00,Abra,4160.35,91.34,E
2018-08-27 17:00:00,Abra,4130.16,90.75,E
2018-08-27 20:00:00,Abra,4102.46,90.33,E
2018-08-27 23:00:00,Abra,4051.75,89.79,E
2018-08-28 02:00:00,Abra,3990.85,89.27,E
2018-08-28 05:00:00,Abra,3940.98,88.71,E
2018-08-28 08:00:00,Abra,3891.56,88.13,E
2018-08-28 11:00:00,Abra,3844.2,87.71,E
2018-08-28 14:00:00,Abra,3795.6,87.1,E
2018-08-28 17:00:00,Abra,3750.33,86.84,E
2018-08-28 20:00:00,Abra,3693.25,86.41,E
2018-08-28 23:00:00,Abra,3639.04,86.33,E
2018-08-29 02:00:00,Abra,3586.15,86.43,E
2018-08-29 05:00:00,Abra,3530.76,86.16,E
2018-08-29 08:00:00,Abra,3476.69,86.07,E
2018-08-29 11:00:00,Abra,3422.67,85.97,E
2018-08-29 14:00:00,Abra,3358.13,85.89,E
2018-08-29 17:00:00,Abra,3314.78,85.76,E
2018-08-29 20:00:00,Abra,3261.93,85.85,E
2018-08-29 23:00:00,Abra,3209.07,85.94,E
2018-08-30 02:00:00,Abra,3155.22,85.82,E
2018-08-30 05:00:00,Abra,3090.87,85.71,E
2018-08-30 08:00:00,Abra,3026.57,85.6,E
2018-08-30 11:00:00,Abra,2962.35,85.47,E
2018-08-30 14:00:00,Abra,2909.51,85.54,E
2018-08-30 17:00:00,Abra,2845.37,85.4,E
2018-08-30 20:00:00,Abra,2781.97,85.49,E
2018-08-30 23:00:00,Abra,2697.44,85.6,E
2018-08-31 02:00:00,Abra,2623.46,85.7,E
2018-08-31 05:00:00,Abra,2560.04,85.78,E
2018-08-31 08:00:00,Abra,2496.03,85.6,E
2018-08-31 11:00:00,Abra,2410.52,85.16,E
2018-08-31 14:00:00,Abra,2335.88,84.67,E
2018-08-31 17:00:00,Abra,2272.31,84.43,E
2018-08-31 20:00:00,Abra,2208.86,84.17,E
2018-08-31 23:00:00,Abra,2145.53,83.28,E
2018-09-01 02:00:00,Abra,2082.95,82.33,E
2018-09-01 05:00:00,Abra,2020.69,81.64,E
2018-09-01 08:00:00,Abra,1969.99,80.59,E
2018-09-01 11:00:00,Abra,1921.07,79.15,E
2018-09-01 14:00:00,Abra,1884.0,77.67,ENE
2018-09-01 17:00:00,Abra,1836.54,76.43,ENE
2018-09-01 20:00:00,Abra,1790.16,75.12,ENE
2018-09-01 23:00:00,Abra,1757.22,73.45,ENE
2018-09-02 02:00:00,Abra,1726.0,71.72,ENE
2018-09-02 05:00:00,Abra,1706.55,70.01,ENE
2018-09-02 08:00:00,Abra,1682.12,67.79,ENE
2018-09-02 11:00:00,Abra,1660.49,65.52,ENE
2018-09-02 14:00:00,Abra,1641.73,63.19,ENE
2018-09-02 17:00:00,Abra,1630.73,61.32,ENE
2018-09-02 20:00:00,Abra,1621.62,59.43,ENE
2018-09-02 23:00:00,Abra,1619.58,57.17,ENE
2018-09-03 02:00:00,Abra,1620.22,54.91,NE
2018-09-03 05:00:00,Abra,1615.1,52.46,NE
2018-09-03 08:00:00,Abra,1621.3,50.21,NE
2018-09-03 11:00:00,Abra,1630.12,47.99,NE
2018-09-03 14:00:00,Abra,1649.12,46.01,NE
2018-09-03 17:00:00,Abra,1677.5,44.31,NE
2018-09-03 20:00:00,Abra,1722.03,42.62,NE
2018-09-03 23:00:00,Abra,1790.41,40.71,NE
2018-09-04 02:00:00,Abra,1875.11,38.91,NE
2018-09-04 05:00:00,Abra,1974.08,37.67,NE
2018-09-04 08:00:00,Abra,2110.83,36.3,NE
2018-09-04 10:00:00,Abra,2216.65,35.44,NE
2018-09-04 11:00:00,Abra,2276.77,35.03,NE
2018-09-04 12:00:00,Abra,2336.84,34.63,NE
2018-09-04 14:00:00,Abra,2479.61,33.69,NNE
2018-09-04 17:00:00,Abra,2690.3,32.31,NNE
2018-09-04 20:00:00,Abra,2914.34,31.03,NNE
2018-09-04 23:00:00,Abra,3154.51,29.56,NNE
2018-09-05 02:00:00,Abra,3347.26,28.11,NNE
2018-09-05 05:00:00,Abra,3507.42,26.32,NNE
2018-09-05 08:00:00,Abra,3607.78,23.83,NNE
2018-09-05 11:00:00,Abra,3711.77,21.39,NNE
2018-09-05 14:00:00,Abra,3817.11,19.31,NNE
2018-09-05 17:00:00,Abra,3904.89,17.8,NNE
2018-09-05 20:00:00,Abra,3994.88,16.74,NNE
2018-09-05 23:00:00,Abra,4072.02,16.06,NNE
2018-09-06 02:00:00,Abra,4142.44,15.56,NNE
2018-09-06 05:00:00,Abra,4215.84,15.17,NNE
2018-09-06 08:00:00,Abra,4281.92,14.94,NNE
2018-09-06 11:00:00,Abra,4327.74,14.84,NNE
2018-09-06 14:00:00,Abra,4383.58,14.67,NNE
2018-09-06 17:00:00,Abra,4421.87,14.71,NNE
2018-09-06 20:00:00,Abra,4480.2,14.62,NNE
2018-09-06 23:00:00,Abra,4515.68,14.58,NNE
2018-09-07 02:00:00,Abra,4586.05,14.12,NNE
2018-09-07 05:00:00,Abra,4676.8,13.55,NNE
2018-09-07 08:00:00,Abra,4806.1,12.69,NNE
2018-09-07 11:00:00,Abra,4950.27,11.56,NNE
2018-09-07 14:00:00,Abra,5103.0,10.34,N
2018-08-27 02:00:00,Agusan del Norte,3834.41,83.58,E
2018-08-27 05:00:00,Agusan del Norte,3791.18,82.86,E
2018-08-27 08:00:00,Agusan del Norte,3739.1,81.4,E
2018-08-27 11:00:00,Agusan del Norte,3719.33,80.66,E
2018-08-27 14:00:00,Agusan del Norte,3700.82,79.74,E
2018-08-27 17:00:00,Agusan del Norte,3682.31,78.98,E
2018-08-27 20:00:00,Agusan del Norte,3663.43,78.4,ENE
2018-08-27 23:00:00,Agusan del Norte,3624.5,77.6,ENE
