Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2018-11-20 02:00:00,Abra,4145.25,106.67,ESE
2018-11-20 05:00:00,Abra,4109.18,107.09,ESE
2018-11-20 08:00:00,Abra,4064.14,107.21,ESE
2018-11-20 11:00:00,Abra,4013.56,107.55,ESE
2018-11-20 14:00:00,Abra,3968.57,107.68,ESE
2018-11-20 17:00:00,Abra,3919.01,107.65,ESE
2018-11-20 20:00:00,Abra,3854.79,107.53,ESE
2018-11-20 23:00:00,Abra,3786.1,107.24,ESE
2018-11-21 02:00:00,Abra,3698.52,106.68,ESE
2018-11-21 05:00:00,Abra,3614.23,106.68,ESE
2018-11-21 08:00:00,Abra,3505.3,106.65,ESE
2018-11-21 11:00:00,Abra,3412.45,106.29,ESE
2018-11-21 14:00:00,Abra,3285.02,105.94,ESE
2018-11-21 17:00:00,Abra,3141.66,105.91,ESE
2018-11-21 20:00:00,Abra,2967.89,106.12,ESE
2018-11-21 23:00:00,Abra,2818.84,106.38,ESE
2018-11-22 02:00:00,Abra,2669.96,106.65,ESE
2018-11-22 05:00:00,Abra,2537.35,106.51,ESE
2018-11-22 08:00:00,Abra,2404.97,106.34,ESE
2018-11-22 11:00:00,Abra,2279.02,105.77,ESE
2018-11-22 14:00:00,Abra,2163.83,105.02,ESE
2018-11-22 17:00:00,Abra,2052.95,104.48,ESE
2018-11-22 20:00:00,Abra,1963.1,103.66,ESE
2018-11-22 23:00:00,Abra,1890.92,103.31,ESE
2018-11-23 02:00:00,Abra,1815.63,102.59,ESE
2018-11-23 05:00:00,Abra,1745.16,100.99,E
2018-11-23 08:00:00,Abra,1689.42,99.54,E
2018-11-23 11:00:00,Abra,1645.46,97.91,E
2018-11-23 14:00:00,Abra,1624.05,96.06,E
2018-11-23 17:00:00,Abra,1595.49,94.61,E
2018-11-23 20:00:00,Abra,1577.21,92.65,E
2018-11-23 23:00:00,Abra,1561.8,91.06,E
2018-11-24 02:00:00,Abra,1557.51,89.01,E
2018-11-24 05:00:00,Abra,1566.05,87.34,E
2018-11-24 08:00:00,Abra,1565.32,86.11,E
2018-11-24 11:00:00,Abra,1586.38,85.7,E
2018-11-24 14:00:00,Abra,1607.52,84.89,E
2018-11-24 17:00:00,Abra,1628.91,84.1,E
2018-11-24 20:00:00,Abra,1650.24,83.73,E
2018-11-24 23:00:00,Abra,1661.07,83.35,E
2018-11-25 02:00:00,Abra,1650.24,83.73,E
2018-11-25 05:00:00,Abra,1639.46,84.11,E
2018-11-25 08:00:00,Abra,1628.63,84.89,E
2018-11-25 11:00:00,Abra,1618.08,84.89,E
2018-11-25 14:00:00,Abra,1596.96,84.89,E
2018-11-25 17:00:00,Abra,1575.85,84.88,E
2018-11-25 20:00:00,Abra,1533.79,84.45,E
2018-11-25 23:00:00,Abra,1482.14,83.1,E
2018-11-26 02:00:00,Abra,1421.05,81.63,E
2018-11-26 05:00:00,Abra,1361.19,80.02,E
2018-11-26 08:00:00,Abra,1323.48,78.38,ENE
2018-11-26 11:00:00,Abra,1287.05,76.65,ENE
2018-11-26 14:00:00,Abra,1272.47,75.0,ENE
2018-11-26 17:00:00,Abra,1251.43,72.71,ENE
2018-11-26 20:00:00,Abra,1252.56,70.61,ENE
2018-11-26 23:00:00,Abra,1252.05,69.0,ENE
2018-11-27 02:00:00,Abra,1279.34,66.74,ENE
2018-11-27 05:00:00,Abra,1304.4,65.04,ENE
2018-11-27 08:00:00,Abra,1339.96,63.57,ENE
2018-11-27 11:00:00,Abra,1371.42,61.57,ENE
2018-11-27 14:00:00,Abra,1403.93,60.66,ENE
2018-11-27 17:00:00,Abra,1422.44,61.01,ENE
2018-11-27 20:00:00,Abra,1464.18,61.28,ENE
2018-11-27 23:00:00,Abra,1533.61,61.08,ENE
2018-11-28 02:00:00,Abra,1626.01,59.94,ENE
2018-11-28 05:00:00,Abra,1709.44,58.76,ENE
2018-11-28 08:00:00,Abra,1807.07,57.49,ENE
2018-11-28 11:00:00,Abra,1938.09,55.72,NE
2018-11-28 14:00:00,Abra,2106.21,53.98,NE
2018-11-28 17:00:00,Abra,2299.46,52.81,NE
2018-11-28 20:00:00,Abra,2516.51,52.07,NE
2018-11-28 23:00:00,Abra,2717.89,51.46,NE
2018-11-29 02:00:00,Abra,2918.12,51.62,NE
2018-11-29 05:00:00,Abra,3145.47,52.19,NE
2018-11-29 08:00:00,Abra,3376.69,52.41,NE
2018-11-29 11:00:00,Abra,3618.78,52.79,NE
2018-11-29 14:00:00,Abra,3868.12,53.08,NE
2018-11-29 17:00:00,Abra,4111.25,53.03,NE
2018-11-29 20:00:00,Abra,4352.08,52.88,NE
2018-11-29 23:00:00,Abra,4563.67,53.01,NE
2018-11-30 02:00:00,Abra,4782.61,53.1,NE
2018-11-30 05:00:00,Abra,5022.6,52.88,NE
2018-11-30 08:00:00,Abra,5262.42,52.45,NE
2018-11-30 11:00:00,Abra,5498.87,51.97,NE
2018-11-30 14:00:00,Abra,5731.78,51.43,NE
2018-11-30 17:00:00,Abra,5970.83,50.73,NE
2018-11-30 20:00:00,Abra,6220.09,50.13,NE
2018-11-20 02:00:00,Agusan del Norte,3425.3,96.66,E
2018-11-20 05:00:00,Agusan del Norte,3383.68,96.99,E
2018-11-20 08:00:00,Agusan del Norte,3338.04,96.94,E
2018-11-20 11:00:00,Agusan del Norte,3283.54,97.12,E
2018-11-20 14:00:00,Agusan del Norte,3237.9,97.07,E
2018-11-20 17:00:00,Agusan del Norte,3190.28,96.81,E
2018-11-20 20:00:00,Agusan del Norte,3129.9,96.38,E
2018-11-20 23:00:00,Agusan del Norte,3067.93,95.71,E
2018-11-21 02:00:00,Agusan del Norte,2992.22,94.61,E
2018-11-21 05:00:00,Agusan del Norte,2910.96,94.16,E
2018-11-21 08:00:00,Agusan del Norte,2806.64,93.51,E
2018-11-21 11:00:00,Agusan del Norte,2723.55,92.51,E
2018-11-21 14:00:00,Agusan del Norte,2607.51,91.27,E
2018-11-21 17:00:00,Agusan del Norte,2471.65,90.21,E
2018-11-21 20:00:00,Agusan del Norte,2304.01,89.06,E
2018-11-21 23:00:00,Agusan del Norte,2159.93,88.0,E
2018-11-22 02:00:00,Agusan del Norte,2016.93,86.79,E
2018-11-22 05:00:00,Agusan del Norte,1897.51,85.07,E
2018-11-22 08:00:00,Agusan del Norte,1780.32,83.11,E
2018-11-22 11:00:00,Agusan del Norte,1677.94,80.53,E
2018-11-22 14:00:00,Agusan del Norte,1590.43,77.69,ENE
2018-11-22 17:00:00,Agusan del Norte,1505.13,74.94,ENE
2018-11-22 20:00:00,Agusan del Norte,1444.87,72.1,ENE
2018-11-22 23:00:00,Agusan del Norte,1392.04,70.04,ENE
2018-11-23 02:00:00,Agusan del Norte,1345.11,67.38,ENE
2018-11-23 05:00:00,Agusan del Norte,1320.28,63.82,ENE
2018-11-23 08:00:00,Agusan del Norte,1305.33,60.8,ENE
2018-11-23 11:00:00,Agusan del Norte,1303.48,57.95,ENE
2018-11-23 14:00:00,Agusan del Norte,1322.98,55.62,NE
