Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2019-02-18 20:00:00,Abra,4781.28,102.21,ESE
2019-02-18 23:00:00,Abra,4708.82,102.58,ESE
2019-02-19 02:00:00,Abra,4632.44,102.81,ESE
2019-02-19 05:00:00,Abra,4552.1,102.91,ESE
2019-02-19 08:00:00,Abra,4490.15,103.24,ESE
2019-02-19 11:00:00,Abra,4411.79,103.84,ESE
2019-02-19 14:00:00,Abra,4348.18,104.54,ESE
2019-02-19 17:00:00,Abra,4260.23,105.24,ESE
2019-02-19 20:00:00,Abra,4182.87,105.89,ESE
2019-02-19 23:00:00,Abra,4121.77,106.28,ESE
2019-02-20 02:00:00,Abra,4066.5,106.46,ESE
2019-02-20 05:00:00,Abra,4015.72,106.79,ESE
2019-02-20 08:00:00,Abra,3965.03,107.14,ESE
2019-02-20 11:00:00,Abra,3920.01,107.26,ESE
2019-02-20 14:00:00,Abra,3875.01,107.38,ESE
2019-02-20 17:00:00,Abra,3809.81,107.65,ESE
2019-02-20 20:00:00,Abra,3744.68,107.93,ESE
2019-02-20 23:00:00,Abra,3670.4,107.88,ESE
2019-02-21 02:00:00,Abra,3606.24,107.76,ESE
2019-02-21 05:00:00,Abra,3546.67,107.8,ESE
2019-02-21 08:00:00,Abra,3487.12,107.84,ESE
2019-02-21 11:00:00,Abra,3427.59,107.88,ESE
2019-02-21 14:00:00,Abra,3373.64,107.65,ESE
2019-02-21 17:00:00,Abra,3314.15,107.69,ESE
2019-02-21 20:00:00,Abra,3264.77,107.64,ESE
2019-02-21 23:00:00,Abra,3215.42,107.6,ESE
2019-02-22 02:00:00,Abra,3171.77,107.27,ESE
2019-02-22 05:00:00,Abra,3103.62,106.91,ESE
2019-02-22 08:00:00,Abra,3025.5,106.61,ESE
2019-02-22 11:00:00,Abra,2967.89,106.12,ESE
2019-02-22 14:00:00,Abra,2906.46,105.41,ESE
2019-02-22 17:00:00,Abra,2839.25,104.96,ESE
2019-02-22 20:00:00,Abra,2765.93,104.8,ESE
2019-02-22 23:00:00,Abra,2710.78,104.99,ESE
2019-02-23 02:00:00,Abra,2661.96,104.87,ESE
2019-02-23 05:00:00,Abra,2623.43,104.66,ESE
2019-02-23 08:00:00,Abra,2605.5,104.28,ESE
2019-02-23 11:00:00,Abra,2570.0,103.49,ESE
2019-02-23 14:00:00,Abra,2524.65,102.76,ESE
2019-02-23 17:00:00,Abra,2493.53,102.18,ESE
2019-02-23 18:00:00,Abra,2479.76,102.01,ESE
2019-02-23 20:00:00,Abra,2462.69,101.58,ESE
2019-02-23 23:00:00,Abra,2435.36,101.23,E
2019-02-24 02:00:00,Abra,2408.14,100.86,E
2019-02-24 05:00:00,Abra,2391.46,100.42,E
2019-02-24 08:00:00,Abra,2367.53,100.3,E
2019-02-24 11:00:00,Abra,2343.62,100.18,E
2019-02-24 14:00:00,Abra,2319.74,100.06,E
2019-02-24 17:00:00,Abra,2295.87,99.94,E
2019-02-24 20:00:00,Abra,2261.59,99.88,E
2019-02-24 23:00:00,Abra,2230.27,100.11,E
2019-02-25 02:00:00,Abra,2209.41,100.26,E
2019-02-25 05:00:00,Abra,2185.57,100.13,E
2019-02-25 08:00:00,Abra,2169.29,99.63,E
2019-02-25 11:00:00,Abra,2153.18,99.13,E
2019-02-25 14:00:00,Abra,2137.24,98.61,E
2019-02-25 17:00:00,Abra,2121.49,98.09,E
2019-02-25 20:00:00,Abra,2116.42,97.49,E
2019-02-25 23:00:00,Abra,2101.05,96.96,E
2019-02-26 02:00:00,Abra,2085.87,96.41,E
2019-02-26 05:00:00,Abra,2081.43,95.8,E
2019-02-26 08:00:00,Abra,2079.29,95.5,E
2019-02-26 11:00:00,Abra,2075.18,94.88,E
2019-02-26 14:00:00,Abra,2073.21,94.58,E
2019-02-26 17:00:00,Abra,2081.86,94.22,E
2019-02-26 20:00:00,Abra,2090.58,93.86,E
2019-02-26 23:00:00,Abra,2088.79,93.55,E
2019-02-27 02:00:00,Abra,2085.36,92.94,E
2019-02-27 05:00:00,Abra,2083.73,92.63,E
2019-02-27 08:00:00,Abra,2071.57,92.37,E
2019-02-27 11:00:00,Abra,2068.58,91.74,E
2019-02-27 14:00:00,Abra,2055.23,91.16,E
2019-02-27 17:00:00,Abra,2023.44,91.27,E
2019-02-27 20:00:00,Abra,1969.16,91.13,E
2019-02-27 23:00:00,Abra,1904.33,91.01,E
2019-02-28 02:00:00,Abra,1827.82,90.56,E
2019-02-28 05:00:00,Abra,1762.17,90.04,E
2019-02-28 08:00:00,Abra,1706.58,89.06,E
2019-02-28 11:00:00,Abra,1641.64,88.43,E
2019-02-28 14:00:00,Abra,1587.63,87.72,E
2019-02-28 17:00:00,Abra,1544.56,86.95,E
2019-02-28 20:00:00,Abra,1522.97,85.28,E
2019-02-28 23:00:00,Abra,1502.14,84.42,E
2019-03-01 02:00:00,Abra,1481.7,83.54,E
2019-03-01 05:00:00,Abra,1472.78,82.21,E
2019-03-01 08:00:00,Abra,1463.8,81.31,E
2019-03-01 11:00:00,Abra,1455.19,80.4,E
2019-03-01 14:00:00,Abra,1445.81,79.92,E
2019-03-01 17:00:00,Abra,1437.8,78.99,E
2019-03-01 20:00:00,Abra,1428.76,78.49,ENE
2019-03-01 23:00:00,Abra,1427.4,78.94,E
2019-03-02 02:00:00,Abra,1427.4,78.94,E
2019-03-02 05:00:00,Abra,1415.71,79.34,E
2019-03-02 08:00:00,Abra,1404.08,79.74,E
2019-03-02 11:00:00,Abra,1380.99,80.57,E
2019-03-02 14:00:00,Abra,1336.33,81.84,E
2019-02-18 20:00:00,Agusan del Norte,4116.3,93.91,E
2019-02-18 23:00:00,Agusan del Norte,4039.6,94.08,E
2019-02-19 02:00:00,Agusan del Norte,3961.25,94.09,E
2019-02-19 05:00:00,Agusan del Norte,3881.28,93.92,E
2019-02-19 08:00:00,Agusan del Norte,3815.54,94.08,E
2019-02-19 11:00:00,Agusan del Norte,3729.56,94.47,E
2019-02-19 14:00:00,Agusan del Norte,3656.36,95.02,E
2019-02-19 17:00:00,Agusan del Norte,3559.7,95.48,E
2019-02-19 20:00:00,Agusan del Norte,3474.11,95.92,E
2019-02-19 23:00:00,Agusan del Norte,3408.56,96.11,E
2019-02-20 02:00:00,Agusan del Norte,3352.07,96.09,E
2019-02-20 05:00:00,Agusan del Norte,3297.46,96.26,E
2019-02-20 08:00:00,Agusan del Norte,3242.88,96.43,E
2019-02-20 11:00:00,Agusan del Norte,3197.3,96.37,E
2019-02-20 14:00:00,Agusan del Norte,3151.73,96.3,E
2019-02-20 17:00:00,Agusan del Norte,3084.34,96.31,E
2019-02-20 20:00:00,Agusan del Norte,3016.96,96.32,E
2019-02-20 23:00:00,Agusan del Norte,2945.94,95.88,E
2019-02-21 02:00:00,Agusan del Norte,2886.07,95.38,E
2019-02-21 05:00:00,Agusan del Norte,2828.05,95.1,E
2019-02-21 08:00:00,Agusan del Norte,2770.13,94.8,E
2019-02-21 11:00:00,Agusan del Norte,2712.31,94.49,E
2019-02-21 14:00:00,Agusan del Norte,2664.14,93.89,E
2019-02-21 17:00:00,Agusan del Norte,2606.62,93.55,E
2019-02-21 20:00:00,Agusan del Norte,2560.2,93.16,E
2019-02-21 23:00:00,Agusan del Norte,2513.91,92.76,E
2019-02-22 02:00:00,Agusan del Norte,2477.7,92.05,E
2019-02-22 05:00:00,Agusan del Norte,2419.05,91.1,E
2019-02-22 08:00:00,Agusan del Norte,2350.15,90.12,E
2019-02-22 11:00:00,Agusan del Norte,2304.01,89.06,E
2019-02-22 14:00:00,Agusan del Norte,2258.51,87.66,E
2019-02-22 17:00:00,Agusan del Norte,2203.38,86.51,E
2019-02-22 20:00:00,Agusan del Norte,2138.05,85.59,E
2019-02-22 23:00:00,Agusan del Norte,2083.57,85.24,E
2019-02-23 02:00:00,Agusan del Norte,2040.57,84.57,E
2019-02-23 05:00:00,Agusan del Norte,2008.82,83.89,E
2019-02-23 08:00:00,Agusan del Norte,1999.2,83.22,E
2019-02-23 11:00:00,Agusan del Norte,1980.77,81.88,E
2019-02-23 14:00:00,Agusan del Norte,1952.61,80.47,E
2019-02-23 17:00:00,Agusan del Norte,1934.99,79.4,E
2019-02-23 18:00:00,Agusan del Norte,1925.68,79.03,E
2019-02-23 20:00:00,Agusan del Norte,1918.07,78.31,ENE
2019-02-23 23:00:00,Agusan del Norte,1900.03,77.54,ENE
2019-02-24 02:00:00,Agusan del Norte,1882.36,76.75,ENE
2019-02-24 05:00:00,Agusan del Norte,1875.72,76.02,ENE
2019-02-24 08:00:00,Agusan del Norte,1856.56,75.55,ENE
2019-02-24 11:00:00,Agusan del Norte,1837.54,75.07,ENE
2019-02-24 14:00:00,Agusan del Norte,1818.67,74.58,ENE
2019-02-24 17:00:00,Agusan del Norte,1799.94,74.08,ENE
2019-02-24 20:00:00,Agusan del Norte,1770.83,73.48,ENE
2019-02-24 23:00:00,Agusan del Norte,1739.26,73.23,ENE
2019-02-25 02:00:00,Agusan del Norte,1718.24,73.06,ENE
2019-02-25 05:00:00,Agusan del Norte,1700.0,72.51,ENE
2019-02-25 08:00:00,Agusan del Norte,1695.31,71.68,ENE
2019-02-25 11:00:00,Agusan del Norte,1690.98,70.85,ENE
2019-02-25 14:00:00,Agusan del Norte,1687.0,70.01,ENE
2019-02-25 17:00:00,Agusan del Norte,1683.4,69.17,ENE
2019-02-25 20:00:00,Agusan del Norte,1690.37,68.44,ENE
2019-02-25 23:00:00,Agusan del Norte,1687.43,67.6,ENE
2019-02-26 02:00:00,Agusan del Norte,1684.87,66.75,ENE
