Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2019-08-02 14:00:00,Abra,1501.78,101.3,ESE
2019-08-02 17:00:00,Abra,1481.0,101.52,ESE
2019-08-02 20:00:00,Abra,1452.88,102.29,ESE
2019-08-02 23:00:00,Abra,1424.97,103.08,ESE
2019-08-03 02:00:00,Abra,1404.34,103.33,ESE
2019-08-03 05:00:00,Abra,1373.42,103.72,ESE
2019-08-03 08:00:00,Abra,1352.84,103.99,ESE
2019-08-03 11:00:00,Abra,1318.68,103.95,ESE
2019-08-03 14:00:00,Abra,1294.82,103.76,ESE
2019-08-03 17:00:00,Abra,1267.83,103.08,ESE
2019-08-03 20:00:00,Abra,1276.89,100.88,E
2019-08-03 23:00:00,Abra,1258.67,99.52,E
2019-08-04 02:00:00,Abra,1222.49,98.83,E
2019-08-04 05:00:00,Abra,1186.54,98.1,E
2019-08-04 08:00:00,Abra,1147.03,96.22,E
2019-08-04 11:00:00,Abra,1120.96,94.71,E
2019-08-04 14:00:00,Abra,1106.34,93.06,E
2019-08-04 17:00:00,Abra,1091.87,90.79,E
2019-08-04 20:00:00,Abra,1079.52,89.05,E
2019-08-04 23:00:00,Abra,1057.62,87.28,E
2019-08-05 02:00:00,Abra,1036.58,86.05,E
2019-08-05 05:00:00,Abra,1026.63,84.79,E
2019-08-05 08:00:00,Abra,1006.67,83.47,E
2019-08-05 11:00:00,Abra,996.91,82.8,E
2019-08-05 14:00:00,Abra,976.81,82.05,E
2019-08-05 17:00:00,Abra,955.82,81.94,E
2019-08-05 20:00:00,Abra,954.86,82.6,E
2019-08-05 23:00:00,Abra,933.84,82.5,E
2019-08-06 02:00:00,Abra,924.34,81.75,E
2019-08-06 05:00:00,Abra,925.48,81.07,E
2019-08-06 08:00:00,Abra,926.75,80.38,E
2019-08-06 11:00:00,Abra,908.88,78.82,E
2019-08-06 14:00:00,Abra,902.09,77.32,ENE
2019-08-06 17:00:00,Abra,883.48,76.37,ENE
2019-08-06 20:00:00,Abra,865.15,75.38,ENE
2019-08-06 23:00:00,Abra,857.33,74.5,ENE
2019-08-07 02:00:00,Abra,842.34,72.7,ENE
2019-08-07 05:00:00,Abra,841.5,70.32,ENE
2019-08-07 08:00:00,Abra,845.95,67.22,ENE
2019-08-07 11:00:00,Abra,838.93,64.58,ENE
2019-08-07 14:00:00,Abra,833.77,61.9,ENE
2019-08-07 17:00:00,Abra,821.43,58.85,ENE
2019-08-07 20:00:00,Abra,802.87,55.33,NE
2019-08-07 23:00:00,Abra,795.98,52.09,NE
2019-08-08 02:00:00,Abra,784.8,49.45,NE
2019-08-08 05:00:00,Abra,790.49,46.62,NE
2019-08-08 08:00:00,Abra,798.15,43.84,NE
2019-08-08 11:00:00,Abra,817.34,39.53,NE
2019-08-08 14:00:00,Abra,841.07,35.45,NE
2019-08-08 17:00:00,Abra,856.18,33.01,NNE
2019-08-08 20:00:00,Abra,876.96,29.71,NNE
2019-08-08 23:00:00,Abra,920.02,27.37,NNE
2019-08-09 02:00:00,Abra,965.68,23.88,NNE
2019-08-09 05:00:00,Abra,997.04,19.89,NNE
2019-08-09 08:00:00,Abra,1019.59,15.84,NNE
2019-08-09 11:00:00,Abra,1049.56,12.52,NNE
2019-08-09 14:00:00,Abra,1073.89,10.04,N
2019-08-09 17:00:00,Abra,1090.75,8.28,N
2019-08-09 20:00:00,Abra,1109.92,7.09,N
2019-08-09 23:00:00,Abra,1150.66,5.34,N
2019-08-10 02:00:00,Abra,1192.47,3.71,N
2019-08-10 05:00:00,Abra,1235.25,2.2,N
2019-08-10 08:00:00,Abra,1278.88,0.8,N
2019-08-10 11:00:00,Abra,1323.22,359.93,N
2019-08-10 14:00:00,Abra,1378.99,359.12,N
2019-08-10 17:00:00,Abra,1423.46,359.16,N
2019-08-10 20:00:00,Abra,1467.82,359.56,N
2019-08-10 23:00:00,Abra,1523.42,359.58,N
2019-08-11 02:00:00,Abra,1590.09,359.94,N
2019-08-11 05:00:00,Abra,1679.04,359.95,N
2019-08-11 08:00:00,Abra,1768.13,359.34,N
2019-08-11 11:00:00,Abra,1846.55,358.5,N
2019-08-11 14:00:00,Abra,1924.98,358.02,N
2019-08-11 17:00:00,Abra,1980.21,358.36,N
2019-08-11 20:00:00,Abra,2046.62,358.68,N
2019-08-11 23:00:00,Abra,2113.31,358.73,N
2019-08-12 02:00:00,Abra,2169.44,358.29,N
2019-08-12 05:00:00,Abra,2203.48,357.85,N
2019-08-12 08:00:00,Abra,2215.97,357.17,N
2019-08-12 11:00:00,Abra,2227.61,356.95,N
2019-08-12 14:00:00,Abra,2216.52,356.93,N
2019-08-12 17:00:00,Abra,2194.32,356.9,N
2019-08-12 20:00:00,Abra,2171.57,357.1,N
2019-08-12 23:00:00,Abra,2170.59,357.57,N
2019-08-13 02:00:00,Abra,2170.16,357.81,N
2019-08-13 05:00:00,Abra,2180.89,358.06,N
2019-08-13 08:00:00,Abra,2202.77,358.32,N
2019-08-13 11:00:00,Abra,2235.39,359.04,N
2019-08-13 14:00:00,Abra,2279.52,359.74,N
2019-08-13 17:00:00,Abra,2312.92,0.4,N
2019-08-13 20:00:00,Abra,2313.15,0.85,N
2019-08-13 23:00:00,Abra,2324.66,1.28,N
2019-08-14 02:00:00,Abra,2336.03,1.49,N
2019-08-14 05:00:00,Abra,2325.56,1.94,N
2019-08-14 08:00:00,Abra,2315.25,2.39,N
2019-08-14 11:00:00,Abra,2304.61,2.62,N
2019-08-14 14:00:00,Abra,2304.61,2.62,N
2019-08-14 17:00:00,Abra,2305.11,2.85,N
2019-08-14 20:00:00,Abra,2305.66,3.07,N
2019-08-14 23:00:00,Abra,2326.81,2.59,N
2019-08-15 02:00:00,Abra,2316.21,2.83,N
2019-08-02 14:00:00,Agusan del Norte,1136.52,56.29,ENE
2019-08-02 17:00:00,Agusan del Norte,1118.31,55.71,NE
2019-08-02 20:00:00,Agusan del Norte,1085.13,55.28,NE
2019-08-02 23:00:00,Agusan del Norte,1052.01,54.82,NE
2019-08-03 02:00:00,Agusan del Norte,1034.13,54.16,NE
2019-08-03 05:00:00,Agusan del Norte,1007.59,53.12,NE
2019-08-03 08:00:00,Agusan del Norte,990.1,52.39,NE
2019-08-03 11:00:00,Agusan del Norte,970.98,50.73,NE
2019-08-03 14:00:00,Agusan del Norte,961.06,49.42,NE
2019-08-03 17:00:00,Agusan del Norte,958.95,47.57,NE
2019-08-03 20:00:00,Agusan del Norte,1004.55,46.45,NE
