Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2019-08-30 20:00:00,Abra,2083.14,124.84,SE
2019-08-30 23:00:00,Abra,2022.75,126.21,SE
2019-08-31 02:00:00,Abra,1971.85,127.45,SE
2019-08-31 05:00:00,Abra,1921.8,128.75,SE
2019-08-31 08:00:00,Abra,1880.8,129.88,SE
2019-08-31 11:00:00,Abra,1833.26,130.31,SE
2019-08-31 14:00:00,Abra,1770.63,130.23,SE
2019-08-31 17:00:00,Abra,1692.39,130.12,SE
2019-08-31 20:00:00,Abra,1622.34,129.72,SE
2019-08-31 23:00:00,Abra,1536.82,129.25,SE
2019-09-01 02:00:00,Abra,1444.21,128.39,SE
2019-09-01 05:00:00,Abra,1352.07,127.4,SE
2019-09-01 08:00:00,Abra,1245.04,126.17,SE
2019-09-01 11:00:00,Abra,1154.27,124.81,SE
2019-09-01 14:00:00,Abra,1064.4,123.22,ESE
2019-09-01 17:00:00,Abra,966.64,121.67,ESE
2019-09-01 20:00:00,Abra,881.82,121.0,ESE
2019-09-01 23:00:00,Abra,815.69,119.36,ESE
2019-09-02 02:00:00,Abra,746.62,118.57,ESE
2019-09-02 05:00:00,Abra,681.96,116.35,ESE
2019-09-02 08:00:00,Abra,604.26,113.13,ESE
2019-09-02 11:00:00,Abra,535.61,107.44,ESE
2019-09-02 14:00:00,Abra,476.31,101.48,ESE
2019-09-02 17:00:00,Abra,433.56,92.32,E
2019-09-02 20:00:00,Abra,402.97,83.09,E
2019-09-02 23:00:00,Abra,394.67,73.08,ENE
2019-09-03 02:00:00,Abra,389.58,65.92,ENE
2019-09-03 05:00:00,Abra,399.86,59.45,ENE
2019-09-03 08:00:00,Abra,423.54,54.2,NE
2019-09-03 11:00:00,Abra,450.37,49.55,NE
2019-09-03 14:00:00,Abra,495.03,45.33,NE
2019-09-03 17:00:00,Abra,525.82,43.47,NE
2019-09-03 20:00:00,Abra,557.07,41.82,NE
2019-09-03 23:00:00,Abra,588.71,40.34,NE
2019-09-04 02:00:00,Abra,612.24,39.68,NE
2019-09-04 05:00:00,Abra,627.41,39.72,NE
2019-09-04 08:00:00,Abra,650.98,39.12,NE
2019-09-04 11:00:00,Abra,672.87,39.84,NE
2019-09-04 14:00:00,Abra,703.16,39.9,NE
2019-09-04 17:00:00,Abra,741.79,39.39,NE
2019-09-04 20:00:00,Abra,780.44,38.91,NE
2019-09-04 23:00:00,Abra,806.06,37.37,NE
2019-09-05 02:00:00,Abra,832.24,35.92,NE
2019-09-05 05:00:00,Abra,852.94,34.0,NE
2019-09-05 08:00:00,Abra,880.25,32.73,NNE
2019-09-05 11:00:00,Abra,917.29,31.16,NNE
2019-09-05 14:00:00,Abra,954.96,29.7,NNE
2019-09-05 17:00:00,Abra,983.58,28.69,NNE
2019-09-05 20:00:00,Abra,1017.35,26.92,NNE
2019-09-05 23:00:00,Abra,1066.49,25.49,NNE
2019-09-06 02:00:00,Abra,1126.23,23.93,NNE
2019-09-06 05:00:00,Abra,1182.69,22.08,NNE
2019-09-06 08:00:00,Abra,1254.3,20.64,NNE
2019-09-06 11:00:00,Abra,1326.59,19.35,NNE
2019-09-06 14:00:00,Abra,1413.24,18.41,NNE
2019-09-06 17:00:00,Abra,1497.01,17.22,NNE
2019-09-06 20:00:00,Abra,1589.01,15.7,NNE
2019-09-06 23:00:00,Abra,1703.4,14.14,NNE
2019-09-07 02:00:00,Abra,1818.91,12.78,NNE
2019-09-07 05:00:00,Abra,1948.29,11.77,NNE
2019-09-07 08:00:00,Abra,2054.49,10.77,N
2019-09-07 11:00:00,Abra,2175.86,10.29,N
2019-09-07 14:00:00,Abra,2301.01,10.28,N
2019-09-07 17:00:00,Abra,2451.59,10.54,N
2019-09-07 20:00:00,Abra,2638.48,10.93,N
2019-09-07 23:00:00,Abra,2850.9,11.42,NNE
2019-09-08 02:00:00,Abra,3067.49,12.06,NNE
2019-09-08 05:00:00,Abra,3252.12,12.71,NNE
2019-09-08 08:00:00,Abra,3402.75,13.27,NNE
