Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2019-09-17 08:00:00,Abra,904.71,70.81,ENE
2019-09-17 11:00:00,Abra,914.76,68.8,ENE
2019-09-17 14:00:00,Abra,925.89,66.84,ENE
2019-09-17 17:00:00,Abra,933.9,65.56,ENE
2019-09-17 20:00:00,Abra,942.36,64.3,ENE
2019-09-17 23:00:00,Abra,946.76,63.67,ENE
2019-09-18 02:00:00,Abra,951.27,63.06,ENE
2019-09-18 05:00:00,Abra,955.88,62.45,ENE
2019-09-18 08:00:00,Abra,965.29,62.71,ENE
2019-09-18 11:00:00,Abra,984.06,61.77,ENE
2019-09-18 14:00:00,Abra,1012.32,61.14,ENE
2019-09-18 17:00:00,Abra,1049.89,60.78,ENE
2019-09-18 20:00:00,Abra,1069.06,59.95,ENE
2019-09-18 23:00:00,Abra,1055.95,58.9,ENE
2019-09-19 02:00:00,Abra,1043.24,57.82,ENE
2019-09-19 05:00:00,Abra,1022.09,56.43,ENE
2019-09-19 08:00:00,Abra,1004.48,55.83,NE
2019-09-19 11:00:00,Abra,998.74,56.37,ENE
2019-09-19 14:00:00,Abra,995.73,55.52,NE
2019-09-19 17:00:00,Abra,999.0,54.12,NE
2019-09-19 20:00:00,Abra,986.09,52.05,NE
2019-09-19 23:00:00,Abra,952.98,50.62,NE
2019-09-20 02:00:00,Abra,920.58,49.08,NE
2019-09-20 05:00:00,Abra,904.66,48.27,NE
2019-09-20 08:00:00,Abra,903.95,47.31,NE
2019-09-20 11:00:00,Abra,911.2,46.77,NE
2019-09-20 14:00:00,Abra,918.37,45.3,NE
2019-09-20 17:00:00,Abra,941.21,43.8,NE
2019-09-20 20:00:00,Abra,964.66,42.37,NE
2019-09-20 23:00:00,Abra,978.15,38.37,NE
2019-09-21 02:00:00,Abra,1011.42,34.59,NE
2019-09-21 05:00:00,Abra,1048.94,31.08,NNE
2019-09-21 08:00:00,Abra,1090.27,27.83,NNE
2019-09-21 11:00:00,Abra,1144.04,25.73,NNE
2019-09-21 14:00:00,Abra,1203.55,24.25,NNE
2019-09-21 17:00:00,Abra,1263.77,22.9,NNE
2019-09-21 20:00:00,Abra,1314.42,21.88,NNE
2019-09-21 23:00:00,Abra,1373.16,21.68,NNE
2019-09-22 02:00:00,Abra,1442.06,21.31,NNE
2019-09-22 05:00:00,Abra,1524.97,21.14,NNE
2019-09-22 08:00:00,Abra,1611.62,21.28,NNE
2019-09-22 11:00:00,Abra,1712.19,21.53,NNE
2019-09-22 14:00:00,Abra,1806.53,22.14,NNE
2019-09-22 17:00:00,Abra,1909.21,23.18,NNE
2019-09-22 20:00:00,Abra,2016.72,24.31,NNE
2019-09-22 23:00:00,Abra,2134.0,25.73,NNE
2019-09-23 02:00:00,Abra,2271.3,26.64,NNE
2019-09-23 05:00:00,Abra,2451.41,27.5,NNE
2019-09-23 08:00:00,Abra,2659.55,28.18,NNE
2019-09-23 11:00:00,Abra,2831.12,29.21,NNE
2019-09-23 14:00:00,Abra,2974.92,30.04,NNE
2019-09-23 17:00:00,Abra,3063.09,30.79,NNE
2019-09-23 20:00:00,Abra,3187.97,31.3,NNE
2019-09-17 08:00:00,Agusan del Norte,1288.64,15.46,NNE
2019-09-17 11:00:00,Agusan del Norte,1320.69,15.06,NNE
2019-09-17 14:00:00,Agusan del Norte,1352.8,14.67,NNE
2019-09-17 17:00:00,Agusan del Norte,1374.24,14.42,NNE
2019-09-17 20:00:00,Agusan del Norte,1395.71,14.17,NNE
2019-09-17 23:00:00,Agusan del Norte,1406.45,14.06,NNE
2019-09-18 02:00:00,Agusan del Norte,1417.2,13.94,NNE
2019-09-18 05:00:00,Agusan del Norte,1427.96,13.82,NNE
2019-09-18 08:00:00,Agusan del Norte,1430.62,14.23,NNE
2019-09-18 11:00:00,Agusan del Norte,1454.79,14.39,NNE
2019-09-18 14:00:00,Agusan del Norte,1481.77,14.94,NNE
2019-09-18 17:00:00,Agusan del Norte,1511.85,15.85,NNE
2019-09-18 20:00:00,Agusan del Norte,1536.13,15.97,NNE
2019-09-18 23:00:00,Agusan del Norte,1540.9,15.11,NNE
2019-09-19 02:00:00,Agusan del Norte,1546.04,14.26,NNE
2019-09-19 05:00:00,Agusan del Norte,1549.02,13.04,NNE
2019-09-19 08:00:00,Agusan del Norte,1544.21,12.29,NNE
2019-09-19 11:00:00,Agusan del Norte,1533.38,12.39,NNE
2019-09-19 14:00:00,Agusan del Norte,1541.9,11.91,NNE
2019-09-19 17:00:00,Agusan del Norte,1561.4,11.36,NNE
2019-09-19 20:00:00,Agusan del Norte,1577.06,10.09,N
2019-09-19 23:00:00,Agusan del Norte,1569.93,8.6,N
2019-09-20 02:00:00,Agusan del Norte,1563.92,7.11,N
2019-09-20 05:00:00,Agusan del Norte,1561.35,6.35,N
2019-09-20 08:00:00,Agusan del Norte,1571.22,5.93,N
2019-09-20 11:00:00,Agusan del Norte,1582.27,5.88,N
2019-09-20 14:00:00,Agusan del Norte,1603.3,5.43,N
2019-09-20 17:00:00,Agusan del Norte,1636.49,5.31,N
2019-09-20 20:00:00,Agusan del Norte,1669.69,5.19,N
2019-09-20 23:00:00,Agusan del Norte,1721.71,3.65,N
2019-09-21 02:00:00,Agusan del Norte,1786.54,2.52,N
2019-09-21 05:00:00,Agusan del Norte,1852.06,1.48,N
2019-09-21 08:00:00,Agusan del Norte,1918.2,0.51,N
2019-09-21 11:00:00,Agusan del Norte,1984.84,0.2,N
2019-09-21 14:00:00,Agusan del Norte,2051.56,0.2,N
2019-09-21 17:00:00,Agusan del Norte,2118.28,0.19,N
2019-09-21 20:00:00,Agusan del Norte,2173.87,0.18,N
2019-09-21 23:00:00,Agusan del Norte,2229.64,0.69,N
2019-09-22 02:00:00,Agusan del Norte,2296.7,1.16,N
