Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2019-10-15 08:00:00,Abra,1671.18,94.58,E
2019-10-15 11:00:00,Abra,1627.19,94.43,E
2019-10-15 14:00:00,Abra,1581.61,93.86,E
2019-10-15 17:00:00,Abra,1527.18,93.73,E
2019-10-15 20:00:00,Abra,1481.94,93.1,E
2019-10-15 23:00:00,Abra,1436.96,92.43,E
2019-10-16 02:00:00,Abra,1392.27,91.7,E
2019-10-16 05:00:00,Abra,1347.89,90.93,E
2019-10-16 08:00:00,Abra,1292.55,89.64,E
2019-10-16 11:00:00,Abra,1238.48,88.75,E
2019-10-16 14:00:00,Abra,1184.66,87.22,E
2019-10-16 17:00:00,Abra,1142.27,86.68,E
2019-10-16 20:00:00,Abra,1100.02,86.1,E
2019-10-16 23:00:00,Abra,1068.85,84.88,E
2019-10-17 02:00:00,Abra,1037.67,84.2,E
2019-10-17 05:00:00,Abra,1028.46,82.93,E
2019-10-17 08:00:00,Abra,1019.79,81.63,E
2019-10-17 11:00:00,Abra,1011.66,80.32,E
2019-10-17 14:00:00,Abra,1004.09,78.98,E
2019-10-17 17:00:00,Abra,1005.71,78.35,ENE
2019-10-17 20:00:00,Abra,1009.3,77.1,ENE
2019-10-17 23:00:00,Abra,1000.98,76.36,ENE
2019-10-18 02:00:00,Abra,1003.1,75.74,ENE
2019-10-18 05:00:00,Abra,995.09,74.99,ENE
2019-10-18 08:00:00,Abra,987.27,74.23,ENE
2019-10-18 11:00:00,Abra,989.8,73.6,ENE
2019-10-18 14:00:00,Abra,982.32,72.82,ENE
2019-10-18 17:00:00,Abra,977.99,71.4,ENE
2019-10-18 20:00:00,Abra,964.33,69.79,ENE
2019-10-18 23:00:00,Abra,938.05,68.56,ENE
2019-10-19 02:00:00,Abra,906.44,66.38,ENE
2019-10-19 05:00:00,Abra,885.9,64.3,ENE
2019-10-19 08:00:00,Abra,857.3,61.83,ENE
2019-10-19 11:00:00,Abra,839.64,59.54,ENE
2019-10-19 14:00:00,Abra,823.48,57.15,ENE
2019-10-19 17:00:00,Abra,820.38,56.11,NE
2019-10-19 20:00:00,Abra,840.96,55.18,NE
2019-10-19 23:00:00,Abra,865.7,52.69,NE
2019-10-20 02:00:00,Abra,908.38,51.13,NE
2019-10-20 05:00:00,Abra,943.53,49.33,NE
2019-10-20 08:00:00,Abra,995.26,48.4,NE
2019-10-20 11:00:00,Abra,1069.87,47.8,NE
2019-10-20 14:00:00,Abra,1159.3,47.15,NE
2019-10-20 17:00:00,Abra,1233.71,46.66,NE
2019-10-20 20:00:00,Abra,1308.0,46.2,NE
2019-10-20 23:00:00,Abra,1419.07,45.28,NE
2019-10-21 02:00:00,Abra,1529.98,44.45,NE
2019-10-21 05:00:00,Abra,1655.42,43.63,NE
2019-10-21 08:00:00,Abra,1773.07,43.16,NE
2019-10-21 11:00:00,Abra,1883.11,42.51,NE
2019-10-21 14:00:00,Abra,1978.26,41.95,NE
2019-10-21 17:00:00,Abra,2058.17,41.88,NE
2019-10-21 20:00:00,Abra,2123.35,41.85,NE
2019-10-21 23:00:00,Abra,2202.55,42.14,NE
2019-10-22 02:00:00,Abra,2274.42,42.62,NE
2019-10-22 05:00:00,Abra,2339.27,43.26,NE
2019-10-22 08:00:00,Abra,2390.13,43.93,NE
2019-10-15 08:00:00,Agusan del Norte,1386.06,55.63,NE
2019-10-15 11:00:00,Agusan del Norte,1356.12,54.26,NE
2019-10-15 14:00:00,Agusan del Norte,1333.45,52.43,NE
2019-10-15 17:00:00,Agusan del Norte,1297.03,50.65,NE
2019-10-15 20:00:00,Agusan del Norte,1277.33,48.68,NE
2019-10-15 23:00:00,Agusan del Norte,1259.26,46.66,NE
2019-10-16 02:00:00,Agusan del Norte,1242.88,44.57,NE
2019-10-16 05:00:00,Agusan del Norte,1228.28,42.44,NE
2019-10-16 08:00:00,Agusan del Norte,1216.78,39.53,NE
2019-10-16 11:00:00,Agusan del Norte,1199.87,36.91,NE
2019-10-16 14:00:00,Agusan del Norte,1194.73,33.9,NE
2019-10-16 17:00:00,Agusan del Norte,1180.04,31.9,NNE
2019-10-16 20:00:00,Agusan del Norte,1166.9,29.85,NNE
2019-10-16 23:00:00,Agusan del Norte,1170.21,27.95,NNE
