Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2019-11-24 20:00:00,Abra,4340.16,98.17,E
2019-11-24 23:00:00,Abra,4284.38,98.26,E
2019-11-25 02:00:00,Abra,4221.47,98.54,E
2019-11-25 05:00:00,Abra,4148.14,98.89,E
2019-11-25 08:00:00,Abra,4050.54,99.18,E
2019-11-25 11:00:00,Abra,3949.6,99.32,E
2019-11-25 14:00:00,Abra,3848.71,99.46,E
2019-11-25 17:00:00,Abra,3751.62,99.2,E
2019-11-25 20:00:00,Abra,3619.15,100.09,E
2019-11-25 23:00:00,Abra,3511.43,100.48,E
2019-11-26 02:00:00,Abra,3410.75,100.65,E
2019-11-26 05:00:00,Abra,3317.12,100.56,E
2019-11-26 08:00:00,Abra,3213.16,100.53,E
2019-11-26 11:00:00,Abra,3088.45,100.62,E
2019-11-26 14:00:00,Abra,2963.85,100.7,E
2019-11-26 17:00:00,Abra,2849.77,100.72,E
2019-11-26 20:00:00,Abra,2752.79,101.11,E
2019-11-26 23:00:00,Abra,2655.91,101.52,ESE
2019-11-27 02:00:00,Abra,2572.92,102.13,ESE
2019-11-27 05:00:00,Abra,2493.65,103.01,ESE
2019-11-27 08:00:00,Abra,2421.45,103.6,ESE
2019-11-27 11:00:00,Abra,2359.71,104.13,ESE
2019-11-27 14:00:00,Abra,2294.36,104.41,ESE
2019-11-27 17:00:00,Abra,2243.09,104.89,ESE
2019-11-27 20:00:00,Abra,2202.16,105.28,ESE
2019-11-27 23:00:00,Abra,2167.64,105.3,ESE
2019-11-28 02:00:00,Abra,2129.34,105.04,ESE
2019-11-28 05:00:00,Abra,2094.85,105.06,ESE
2019-11-28 08:00:00,Abra,2056.64,104.78,ESE
2019-11-28 11:00:00,Abra,2039.04,104.28,ESE
2019-11-28 14:00:00,Abra,2004.33,103.27,ESE
2019-11-28 17:00:00,Abra,1980.65,102.12,ESE
2019-11-28 20:00:00,Abra,1957.77,100.95,E
2019-11-28 23:00:00,Abra,1948.96,99.99,E
2019-11-29 02:00:00,Abra,1940.68,99.02,E
2019-11-29 05:00:00,Abra,1917.08,98.85,E
2019-11-29 08:00:00,Abra,1893.52,98.68,E
2019-11-29 11:00:00,Abra,1883.04,98.75,E
2019-11-29 14:00:00,Abra,1862.1,98.91,E
2019-11-29 17:00:00,Abra,1843.83,99.41,E
2019-11-29 20:00:00,Abra,1822.92,99.58,E
2019-11-29 23:00:00,Abra,1794.37,100.18,E
2019-11-30 02:00:00,Abra,1765.97,100.81,E
