Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2020-06-08 08:00:00,Abra,1510.56,120.43,ESE
2020-06-08 11:00:00,Abra,1471.45,121.97,ESE
2020-06-08 14:00:00,Abra,1426.8,123.23,ESE
2020-06-08 17:00:00,Abra,1382.81,124.57,SE
2020-06-08 20:00:00,Abra,1330.99,126.29,SE
2020-06-08 23:00:00,Abra,1273.16,127.75,SE
2020-06-09 02:00:00,Abra,1208.84,128.94,SE
2020-06-09 05:00:00,Abra,1152.56,130.67,SE
2020-06-09 08:00:00,Abra,1097.36,132.57,SE
2020-06-09 11:00:00,Abra,1058.58,133.8,SE
2020-06-09 14:00:00,Abra,1020.3,135.11,SE
2020-06-09 17:00:00,Abra,982.57,136.53,SE
2020-06-09 20:00:00,Abra,953.93,138.48,SE
2020-06-09 23:00:00,Abra,924.51,139.59,SE
2020-06-10 02:00:00,Abra,902.18,140.23,SE
2020-06-10 05:00:00,Abra,879.97,140.89,SE
2020-06-10 08:00:00,Abra,878.01,139.88,SE
2020-06-10 11:00:00,Abra,838.37,139.61,SE
2020-06-10 14:00:00,Abra,798.78,139.31,SE
2020-06-10 17:00:00,Abra,750.72,138.43,SE
2020-06-10 20:00:00,Abra,711.27,138.02,SE
2020-06-10 23:00:00,Abra,663.58,136.92,SE
2020-06-11 02:00:00,Abra,608.84,136.38,SE
2020-06-11 05:00:00,Abra,562.35,136.51,SE
2020-06-11 08:00:00,Abra,508.68,137.55,SE
2020-06-11 11:00:00,Abra,456.97,140.75,SE
2020-06-11 14:00:00,Abra,397.91,143.82,SE
2020-06-11 17:00:00,Abra,355.47,147.37,SSE
2020-06-11 20:00:00,Abra,305.3,155.41,SSE
2020-06-11 23:00:00,Abra,241.64,165.01,SSE
2020-06-12 02:00:00,Abra,189.04,180.55,S
2020-06-12 05:00:00,Abra,175.63,198.33,SSW
2020-06-12 08:00:00,Abra,180.54,216.96,SW
2020-06-12 11:00:00,Abra,209.34,230.63,SW
2020-06-12 14:00:00,Abra,250.97,244.01,WSW
2020-06-12 17:00:00,Abra,291.86,252.65,WSW
2020-06-12 20:00:00,Abra,325.0,260.6,W
2020-06-12 23:00:00,Abra,373.63,267.12,W
2020-06-13 02:00:00,Abra,426.1,273.6,W
2020-06-13 05:00:00,Abra,461.63,278.97,W
2020-06-13 08:00:00,Abra,510.78,283.3,WNW
2020-06-13 11:00:00,Abra,562.16,286.87,WNW
2020-06-13 14:00:00,Abra,615.18,289.85,WNW
2020-06-13 17:00:00,Abra,679.24,292.05,WNW
2020-06-13 20:00:00,Abra,739.89,293.1,WNW
2020-06-13 23:00:00,Abra,800.62,294.0,WNW
2020-06-14 02:00:00,Abra,856.11,295.74,WNW
2020-06-14 05:00:00,Abra,921.57,297.02,WNW
2020-06-14 08:00:00,Abra,991.94,297.3,WNW
2020-06-14 11:00:00,Abra,1043.44,298.03,WNW
2020-06-14 14:00:00,Abra,1109.09,299.0,WNW
2020-06-14 17:00:00,Abra,1193.25,299.43,WNW
2020-06-14 20:00:00,Abra,1296.28,300.52,WNW
2020-06-08 08:00:00,Agusan del Norte,780.8,77.51,ENE
2020-06-08 11:00:00,Agusan del Norte,724.99,77.52,ENE
2020-06-08 14:00:00,Agusan del Norte,671.46,76.59,ENE
2020-06-08 17:00:00,Agusan del Norte,618.16,75.5,ENE
2020-06-08 20:00:00,Agusan del Norte,554.58,73.9,ENE
2020-06-08 23:00:00,Agusan del Norte,495.03,70.64,ENE
2020-06-09 02:00:00,Agusan del Norte,442.02,65.17,ENE
