Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2020-08-08 20:00:00,Abra,464.21,230.18,SW
2020-08-08 23:00:00,Abra,440.27,227.44,SW
2020-08-09 02:00:00,Abra,417.07,226.52,SW
2020-08-09 05:00:00,Abra,401.62,226.59,SW
2020-08-09 08:00:00,Abra,378.53,227.88,SW
2020-08-09 11:00:00,Abra,348.4,230.7,SW
2020-08-09 14:00:00,Abra,312.8,235.69,SW
2020-08-09 17:00:00,Abra,280.19,241.9,WSW
2020-08-09 20:00:00,Abra,247.96,252.04,WSW
2020-08-09 23:00:00,Abra,224.72,267.48,W
2020-08-10 02:00:00,Abra,228.5,281.55,WNW
2020-08-10 05:00:00,Abra,240.43,297.86,WNW
2020-08-10 08:00:00,Abra,270.43,308.39,NW
2020-08-10 11:00:00,Abra,315.72,318.01,NW
2020-08-10 14:00:00,Abra,367.59,325.08,NW
2020-08-10 17:00:00,Abra,433.27,331.08,NNW
2020-08-10 20:00:00,Abra,496.97,333.85,NNW
2020-08-10 23:00:00,Abra,561.53,335.99,NNW
2020-08-11 02:00:00,Abra,640.96,337.24,NNW
2020-08-11 05:00:00,Abra,710.32,337.89,NNW
2020-08-11 08:00:00,Abra,793.89,338.07,NNW
2020-08-11 11:00:00,Abra,877.4,338.24,NNW
2020-08-11 14:00:00,Abra,956.98,338.95,NNW
2020-08-11 17:00:00,Abra,1053.74,340.52,NNW
2020-08-11 20:00:00,Abra,1157.87,340.91,NNW
2020-08-11 23:00:00,Abra,1234.25,340.29,NNW
2020-08-12 02:00:00,Abra,1283.67,338.79,NNW
2020-08-12 05:00:00,Abra,1327.99,336.83,NNW
2020-08-12 08:00:00,Abra,1378.39,334.64,NNW
2020-08-08 20:00:00,Agusan del Norte,1112.91,307.25,NW
2020-08-08 23:00:00,Agusan del Norte,1086.85,308.25,NW
2020-08-09 02:00:00,Agusan del Norte,1076.46,309.41,NW
2020-08-09 05:00:00,Agusan del Norte,1074.91,310.23,NW
2020-08-09 08:00:00,Agusan del Norte,1080.68,311.52,NW
2020-08-09 11:00:00,Agusan del Norte,1094.36,313.22,NW
2020-08-09 14:00:00,Agusan del Norte,1116.65,315.31,NW
2020-08-09 17:00:00,Agusan del Norte,1140.36,317.3,NW
2020-08-09 20:00:00,Agusan del Norte,1173.64,319.58,NW
2020-08-09 23:00:00,Agusan del Norte,1217.23,322.07,NW
2020-08-10 02:00:00,Agusan del Norte,1260.59,323.69,NW
2020-08-10 05:00:00,Agusan del Norte,1307.64,325.87,NW
2020-08-10 08:00:00,Agusan del Norte,1353.12,327.26,NNW
2020-08-10 11:00:00,Agusan del Norte,1408.65,328.8,NNW
2020-08-10 14:00:00,Agusan del Norte,1465.1,330.23,NNW
2020-08-10 17:00:00,Agusan del Norte,1531.97,331.77,NNW
2020-08-10 20:00:00,Agusan del Norte,1595.1,332.66,NNW
2020-08-10 23:00:00,Agusan del Norte,1658.52,333.48,NNW
2020-08-11 02:00:00,Agusan del Norte,1736.83,334.12,NNW
2020-08-11 05:00:00,Agusan del Norte,1805.4,334.54,NNW
2020-08-11 08:00:00,Agusan del Norte,1888.52,334.82,NNW
2020-08-11 11:00:00,Agusan del Norte,1971.6,335.09,NNW
2020-08-11 14:00:00,Agusan del Norte,2050.05,335.6,NNW
2020-08-11 17:00:00,Agusan del Norte,2144.1,336.59,NNW
2020-08-11 20:00:00,Agusan del Norte,2247.12,337.04,NNW
2020-08-11 23:00:00,Agusan del Norte,2324.34,336.88,NNW
2020-08-12 02:00:00,Agusan del Norte,2376.07,336.16,NNW
2020-08-12 05:00:00,Agusan del Norte,2422.96,335.14,NNW
2020-08-12 08:00:00,Agusan del Norte,2475.48,333.96,NNW
2020-08-08 20:00:00,Agusan del Sur,1170.33,307.57,NW
2020-08-08 23:00:00,Agusan del Sur,1144.35,308.52,NW
2020-08-09 02:00:00,Agusan del Sur,1134.03,309.62,NW
2020-08-09 05:00:00,Agusan del Sur,1132.51,310.4,NW
2020-08-09 08:00:00,Agusan del Sur,1138.32,311.62,NW
2020-08-09 11:00:00,Agusan del Sur,1152.0,313.24,NW
2020-08-09 14:00:00,Agusan del Sur,1174.23,315.23,NW
