Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2020-10-14 14:00:00,Abra,636.2,144.76,SE
2020-10-14 17:00:00,Abra,567.49,149.18,SSE
2020-10-14 20:00:00,Abra,502.94,154.74,SSE
2020-10-14 23:00:00,Abra,454.89,162.25,SSE
2020-10-15 02:00:00,Abra,416.12,171.3,S
2020-10-15 05:00:00,Abra,389.28,178.68,S
2020-10-15 08:00:00,Abra,371.08,188.64,S
2020-10-15 11:00:00,Abra,365.79,208.4,SSW
2020-10-15 14:00:00,Abra,417.07,226.52,SW
2020-10-15 17:00:00,Abra,504.77,238.67,WSW
2020-10-15 20:00:00,Abra,602.6,245.63,WSW
2020-10-15 23:00:00,Abra,702.53,251.49,WSW
2020-10-16 02:00:00,Abra,790.24,254.7,WSW
2020-10-16 05:00:00,Abra,859.05,256.91,WSW
2020-10-16 08:00:00,Abra,931.49,258.14,WSW
2020-10-16 11:00:00,Abra,1004.24,259.21,W
2020-10-16 14:00:00,Abra,1087.68,260.27,W
2020-10-16 17:00:00,Abra,1173.71,260.66,W
2020-10-16 20:00:00,Abra,1249.34,260.91,W
2020-10-14 14:00:00,Agusan del Norte,469.9,339.32,NNW
2020-10-14 17:00:00,Agusan del Norte,531.52,332.96,NNW
2020-10-14 20:00:00,Agusan del Norte,598.36,327.99,NNW
2020-10-14 23:00:00,Agusan del Norte,659.93,323.49,NW
2020-10-15 02:00:00,Agusan del Norte,724.93,319.8,NW
2020-10-15 05:00:00,Agusan del Norte,777.59,317.88,NW
2020-10-15 08:00:00,Agusan del Norte,838.66,315.68,NW
2020-10-15 11:00:00,Agusan del Norte,955.71,312.6,NW
2020-10-15 14:00:00,Agusan del Norte,1076.46,309.41,NW
2020-10-15 17:00:00,Agusan del Norte,1193.6,306.46,NW
2020-10-15 20:00:00,Agusan del Norte,1298.47,303.9,NW
2020-10-15 23:00:00,Agusan del Norte,1411.17,302.14,WNW
2020-10-16 02:00:00,Agusan del Norte,1500.93,300.68,WNW
2020-10-16 05:00:00,Agusan del Norte,1572.52,299.74,WNW
2020-10-16 08:00:00,Agusan del Norte,1639.68,298.55,WNW
2020-10-16 11:00:00,Agusan del Norte,1707.58,297.45,WNW
2020-10-16 14:00:00,Agusan del Norte,1785.97,296.3,WNW
2020-10-16 17:00:00,Agusan del Norte,1860.98,294.94,WNW
2020-10-16 20:00:00,Agusan del Norte,1927.05,293.8,WNW
2020-10-14 14:00:00,Agusan del Sur,521.97,336.52,NNW
2020-10-14 17:00:00,Agusan del Sur,585.86,331.05,NNW
2020-10-14 20:00:00,Agusan del Sur,654.08,326.7,NNW
2020-10-14 23:00:00,Agusan del Sur,716.59,322.67,NW
2020-10-15 02:00:00,Agusan del Sur,782.13,319.32,NW
2020-10-15 05:00:00,Agusan del Sur,835.0,317.56,NW
2020-10-15 08:00:00,Agusan del Sur,896.23,315.54,NW
2020-10-15 11:00:00,Agusan del Sur,1013.36,312.65,NW
2020-10-15 14:00:00,Agusan del Sur,1134.03,309.62,NW
2020-10-15 17:00:00,Agusan del Sur,1250.95,306.79,NW
2020-10-15 20:00:00,Agusan del Sur,1355.51,304.32,NW
2020-10-15 23:00:00,Agusan del Sur,1467.93,302.6,WNW
2020-10-16 02:00:00,Agusan del Sur,1557.41,301.16,WNW
2020-10-16 05:00:00,Agusan del Sur,1628.81,300.24,WNW
2020-10-16 08:00:00,Agusan del Sur,1695.7,299.06,WNW
2020-10-16 11:00:00,Agusan del Sur,1763.33,297.98,WNW
2020-10-16 14:00:00,Agusan del Sur,1841.41,296.85,WNW
2020-10-16 17:00:00,Agusan del Sur,1916.04,295.5,WNW
2020-10-16 20:00:00,Agusan del Sur,1981.76,294.37,WNW
2020-10-14 14:00:00,Aklan,221.99,52.88,NE
2020-10-14 17:00:00,Aklan,195.15,31.17,NNE
2020-10-14 20:00:00,Aklan,201.74,7.17,N
2020-10-14 23:00:00,Aklan,228.09,347.22,NNW
2020-10-15 02:00:00,Aklan,275.41,332.78,NNW
2020-10-15 05:00:00,Aklan,322.27,326.08,NW
2020-10-15 08:00:00,Aklan,379.34,319.9,NW
2020-10-15 11:00:00,Aklan,494.07,312.84,NW
2020-10-15 14:00:00,Aklan,615.39,307.11,NW
2020-10-15 17:00:00,Aklan,735.03,302.61,WNW
2020-10-15 20:00:00,Aklan,843.37,299.1,WNW
2020-10-15 23:00:00,Aklan,958.94,297.04,WNW
2020-10-16 02:00:00,Aklan,1051.44,295.35,WNW
2020-10-16 05:00:00,Aklan,1124.89,294.37,WNW
2020-10-16 08:00:00,Aklan,1194.69,293.01,WNW
2020-10-16 11:00:00,Aklan,1265.16,291.82,WNW
2020-10-16 14:00:00,Aklan,1346.36,290.62,WNW
2020-10-16 17:00:00,Aklan,1425.04,289.13,WNW
2020-10-16 20:00:00,Aklan,1494.35,287.91,WNW
2020-10-14 14:00:00,Albay,38.86,131.13,SE
2020-10-14 17:00:00,Albay,47.2,279.54,W
2020-10-14 20:00:00,Albay,129.01,288.73,WNW
2020-10-14 23:00:00,Albay,207.83,287.97,WNW
2020-10-15 02:00:00,Albay,286.62,287.67,WNW
2020-10-15 05:00:00,Albay,344.75,288.58,WNW
2020-10-15 08:00:00,Albay,413.14,288.78,WNW
2020-10-15 11:00:00,Albay,539.52,289.44,WNW
2020-10-15 14:00:00,Albay,672.52,288.71,WNW
2020-10-15 17:00:00,Albay,802.36,287.52,WNW
2020-10-15 20:00:00,Albay,919.24,286.2,WNW
