Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2020-10-16 20:00:00,Abra,2552.77,117.89,ESE
2020-10-16 23:00:00,Abra,2542.59,116.52,ESE
2020-10-17 02:00:00,Abra,2537.8,114.8,ESE
2020-10-17 05:00:00,Abra,2534.99,113.08,ESE
2020-10-17 08:00:00,Abra,2499.73,112.04,ESE
2020-10-17 11:00:00,Abra,2415.95,112.16,ESE
2020-10-17 14:00:00,Abra,2307.92,112.91,ESE
2020-10-17 17:00:00,Abra,2219.2,112.8,ESE
2020-10-17 20:00:00,Abra,2135.36,112.26,ESE
2020-10-17 23:00:00,Abra,2071.44,112.11,ESE
2020-10-18 02:00:00,Abra,2007.6,111.94,ESE
2020-10-18 05:00:00,Abra,1948.69,112.06,ESE
2020-10-18 08:00:00,Abra,1870.2,112.49,ESE
2020-10-18 11:00:00,Abra,1723.33,113.26,ESE
2020-10-18 14:00:00,Abra,1586.53,113.96,ESE
2020-10-18 17:00:00,Abra,1527.55,113.21,ESE
2020-10-18 20:00:00,Abra,1478.73,112.23,ESE
2020-10-18 23:00:00,Abra,1352.12,111.64,ESE
2020-10-19 02:00:00,Abra,1200.96,112.02,ESE
2020-10-19 05:00:00,Abra,1113.15,112.84,ESE
2020-10-19 08:00:00,Abra,1045.23,114.62,ESE
2020-10-19 11:00:00,Abra,977.39,115.18,ESE
2020-10-19 14:00:00,Abra,909.67,115.81,ESE
2020-10-19 17:00:00,Abra,851.6,116.19,ESE
2020-10-19 20:00:00,Abra,784.13,116.98,ESE
2020-10-19 23:00:00,Abra,720.9,116.7,ESE
2020-10-20 02:00:00,Abra,643.08,115.94,ESE
2020-10-20 05:00:00,Abra,570.55,115.94,ESE
2020-10-20 08:00:00,Abra,493.85,117.62,ESE
2020-10-20 11:00:00,Abra,417.74,119.89,ESE
2020-10-20 14:00:00,Abra,342.54,123.1,ESE
2020-10-20 17:00:00,Abra,283.39,131.55,SE
2020-10-20 20:00:00,Abra,230.92,140.19,SE
2020-10-20 23:00:00,Abra,174.53,162.8,SSE
2020-10-21 02:00:00,Abra,165.1,199.54,SSW
2020-10-21 05:00:00,Abra,204.82,215.64,SW
2020-10-21 08:00:00,Abra,247.54,224.29,SW
2020-10-21 11:00:00,Abra,287.11,232.02,SW
2020-10-21 14:00:00,Abra,315.54,238.46,WSW
2020-10-21 17:00:00,Abra,348.66,239.73,WSW
2020-10-21 20:00:00,Abra,376.48,242.26,WSW
2020-10-21 23:00:00,Abra,409.75,246.5,WSW
2020-10-22 02:00:00,Abra,420.94,250.47,WSW
2020-10-22 05:00:00,Abra,433.99,254.21,WSW
2020-10-22 08:00:00,Abra,446.26,259.12,W
2020-10-22 11:00:00,Abra,464.98,261.01,W
2020-10-22 14:00:00,Abra,473.64,262.56,W
2020-10-22 17:00:00,Abra,482.61,264.06,W
2020-10-22 20:00:00,Abra,490.88,266.8,W
2020-10-22 23:00:00,Abra,510.8,269.48,W
2020-10-23 02:00:00,Abra,521.11,271.97,W
2020-10-23 05:00:00,Abra,542.3,271.95,W
2020-10-23 08:00:00,Abra,563.48,271.94,W
2020-10-23 11:00:00,Abra,584.82,273.02,W
2020-10-23 14:00:00,Abra,606.33,274.02,W
2020-10-23 17:00:00,Abra,627.48,273.95,W
2020-10-23 20:00:00,Abra,648.33,272.89,W
2020-10-23 23:00:00,Abra,680.09,272.85,W
2020-10-24 02:00:00,Abra,711.85,272.81,W
2020-10-24 05:00:00,Abra,733.02,272.79,W
2020-10-24 08:00:00,Abra,775.37,272.75,W
2020-10-24 11:00:00,Abra,807.12,271.94,W
2020-10-24 14:00:00,Abra,849.66,271.21,W
2020-10-24 17:00:00,Abra,902.64,271.29,W
2020-10-24 20:00:00,Abra,966.55,270.72,W
2020-10-24 23:00:00,Abra,1030.14,270.85,W
2020-10-25 02:00:00,Abra,1093.72,270.98,W
2020-10-25 05:00:00,Abra,1157.31,271.1,W
2020-10-25 08:00:00,Abra,1210.29,271.2,W
2020-10-25 11:00:00,Abra,1263.27,271.3,W
2020-10-25 14:00:00,Abra,1305.66,271.38,W
2020-10-25 17:00:00,Abra,1348.04,271.45,W
2020-10-25 20:00:00,Abra,1379.4,271.98,W
2020-10-25 23:00:00,Abra,1410.83,272.48,W
2020-10-26 02:00:00,Abra,1442.32,272.96,W
2020-10-26 05:00:00,Abra,1484.66,272.99,W
2020-10-26 08:00:00,Abra,1526.77,273.45,W
2020-10-26 11:00:00,Abra,1569.33,273.07,W
2020-10-26 14:00:00,Abra,1601.08,273.1,W
2020-10-16 20:00:00,Agusan del Norte,1725.72,99.88,E
2020-10-16 23:00:00,Agusan del Norte,1736.86,97.91,E
2020-10-17 02:00:00,Agusan del Norte,1759.26,95.56,E
2020-10-17 05:00:00,Agusan del Norte,1784.34,93.26,E
2020-10-17 08:00:00,Agusan del Norte,1768.75,91.48,E
2020-10-17 11:00:00,Agusan del Norte,1689.91,90.51,E
2020-10-17 14:00:00,Agusan del Norte,1579.1,89.9,E
2020-10-17 17:00:00,Agusan del Norte,1501.22,88.29,E
2020-10-17 20:00:00,Agusan del Norte,1436.05,86.07,E
2020-10-17 23:00:00,Agusan del Norte,1382.8,84.6,E
2020-10-18 02:00:00,Agusan del Norte,1330.61,83.02,E
2020-10-18 05:00:00,Agusan del Norte,1278.34,81.8,E
2020-10-18 08:00:00,Agusan del Norte,1205.09,80.34,E
2020-10-18 11:00:00,Agusan del Norte,1072.46,76.93,ENE
2020-10-18 14:00:00,Agusan del Norte,955.62,72.73,ENE
2020-10-18 17:00:00,Agusan del Norte,927.44,69.33,ENE
2020-10-18 20:00:00,Agusan del Norte,912.82,66.01,ENE
2020-10-18 23:00:00,Agusan del Norte,844.7,58.96,ENE
2020-10-19 02:00:00,Agusan del Norte,759.63,49.97,NE
2020-10-19 05:00:00,Agusan del Norte,710.12,44.15,NE
2020-10-19 08:00:00,Agusan del Norte,658.81,39.48,NE
2020-10-19 11:00:00,Agusan del Norte,637.18,33.71,NNE
2020-10-19 14:00:00,Agusan del Norte,622.56,27.61,NNE
2020-10-19 17:00:00,Agusan del Norte,619.51,22.23,NNE
2020-10-19 20:00:00,Agusan del Norte,618.96,15.88,NNE
2020-10-19 23:00:00,Agusan del Norte,638.95,10.4,N
2020-10-20 02:00:00,Agusan del Norte,674.67,4.3,N
2020-10-20 05:00:00,Agusan del Norte,706.23,358.87,N
2020-10-20 08:00:00,Agusan del Norte,733.88,353.02,N
2020-10-20 11:00:00,Agusan del Norte,768.72,347.67,NNW
2020-10-20 14:00:00,Agusan del Norte,809.81,342.83,NNW
2020-10-20 17:00:00,Agusan del Norte,835.65,337.92,NNW
2020-10-20 20:00:00,Agusan del Norte,872.47,334.31,NNW
2020-10-20 23:00:00,Agusan del Norte,928.97,329.29,NNW
2020-10-21 02:00:00,Agusan del Norte,998.32,324.39,NW
2020-10-21 05:00:00,Agusan del Norte,1029.5,321.15,NW
2020-10-21 08:00:00,Agusan del Norte,1056.6,318.53,NW
2020-10-21 11:00:00,Agusan del Norte,1093.71,316.47,NW
2020-10-21 14:00:00,Agusan del Norte,1132.06,315.34,NW
2020-10-21 17:00:00,Agusan del Norte,1147.95,313.82,NW
2020-10-21 20:00:00,Agusan del Norte,1171.94,312.77,NW
2020-10-21 23:00:00,Agusan del Norte,1211.66,311.83,NW
2020-10-22 02:00:00,Agusan del Norte,1242.32,311.99,NW
2020-10-22 05:00:00,Agusan del Norte,1272.96,312.14,NW
2020-10-22 08:00:00,Agusan del Norte,1310.81,312.65,NW
2020-10-22 11:00:00,Agusan del Norte,1334.22,312.42,NW
2020-10-22 14:00:00,Agusan del Norte,1349.52,312.49,NW
2020-10-22 17:00:00,Agusan del Norte,1364.83,312.56,NW
2020-10-22 20:00:00,Agusan del Norte,1387.37,312.97,NW
2020-10-22 23:00:00,Agusan del Norte,1417.96,313.1,NW
2020-10-23 02:00:00,Agusan del Norte,1440.56,313.49,NW
2020-10-23 05:00:00,Agusan del Norte,1456.57,312.94,NW
2020-10-23 08:00:00,Agusan del Norte,1472.72,312.4,NW
2020-10-23 11:00:00,Agusan del Norte,1496.1,312.2,NW
2020-10-23 14:00:00,Agusan del Norte,1519.5,312.01,NW
2020-10-23 17:00:00,Agusan del Norte,1535.89,311.5,NW
2020-10-23 20:00:00,Agusan del Norte,1545.51,310.68,NW
2020-10-23 23:00:00,Agusan del Norte,1570.64,309.96,NW
2020-10-24 02:00:00,Agusan del Norte,1596.02,309.26,NW
2020-10-24 05:00:00,Agusan del Norte,1613.09,308.81,NW
2020-10-24 08:00:00,Agusan del Norte,1647.54,307.93,NW
2020-10-24 11:00:00,Agusan del Norte,1667.38,306.98,NW
2020-10-24 14:00:00,Agusan del Norte,1696.61,305.86,NW
2020-10-24 17:00:00,Agusan del Norte,1741.39,304.9,NW
2020-10-24 20:00:00,Agusan del Norte,1790.16,303.51,WNW
2020-10-24 23:00:00,Agusan del Norte,1845.43,302.5,WNW
2020-10-25 02:00:00,Agusan del Norte,1901.31,301.56,WNW
2020-10-25 05:00:00,Agusan del Norte,1957.73,300.67,WNW
2020-10-25 08:00:00,Agusan del Norte,2005.14,299.97,WNW
2020-10-25 11:00:00,Agusan del Norte,2052.87,299.31,WNW
2020-10-25 14:00:00,Agusan del Norte,2091.28,298.8,WNW
2020-10-25 17:00:00,Agusan del Norte,2129.87,298.32,WNW
2020-10-25 20:00:00,Agusan del Norte,2163.44,298.24,WNW
2020-10-25 23:00:00,Agusan del Norte,2197.0,298.16,WNW
2020-10-26 02:00:00,Agusan del Norte,2230.56,298.09,WNW
2020-10-26 05:00:00,Agusan del Norte,2269.4,297.66,WNW
2020-10-26 08:00:00,Agusan del Norte,2312.7,297.49,WNW
2020-10-26 11:00:00,Agusan del Norte,2347.53,296.83,WNW
2020-10-26 14:00:00,Agusan del Norte,2376.97,296.53,WNW
2020-10-16 20:00:00,Agusan del Sur,1677.41,98.91,E
2020-10-16 23:00:00,Agusan del Sur,1689.67,96.89,E
2020-10-17 02:00:00,Agusan del Sur,1713.49,94.49,E
2020-10-17 05:00:00,Agusan del Sur,1740.01,92.15,E
2020-10-17 08:00:00,Agusan del Sur,1725.62,90.32,E
2020-10-17 11:00:00,Agusan del Sur,1647.45,89.26,E
2020-10-17 14:00:00,Agusan del Sur,1537.11,88.53,E
2020-10-17 17:00:00,Agusan del Sur,1460.39,86.8,E
2020-10-17 20:00:00,Agusan del Sur,1396.88,84.45,E
2020-10-17 23:00:00,Agusan del Sur,1344.77,82.87,E
2020-10-18 02:00:00,Agusan del Sur,1293.83,81.17,E
2020-10-18 05:00:00,Agusan del Sur,1242.56,79.83,E
2020-10-18 08:00:00,Agusan del Sur,1170.54,78.2,ENE
2020-10-18 11:00:00,Agusan del Sur,1040.88,74.39,ENE
2020-10-18 14:00:00,Agusan del Sur,927.86,69.73,ENE
2020-10-18 17:00:00,Agusan del Sur,902.81,66.15,ENE
2020-10-18 20:00:00,Agusan del Sur,891.31,62.69,ENE
2020-10-18 23:00:00,Agusan del Sur,830.14,55.22,NE
2020-10-19 02:00:00,Agusan del Sur,754.23,45.7,NE
2020-10-19 05:00:00,Agusan del Sur,710.72,39.58,NE
2020-10-19 08:00:00,Agusan del Sur,664.27,34.58,NE
2020-10-19 11:00:00,Agusan del Sur,648.42,28.75,NNE
2020-10-19 14:00:00,Agusan del Sur,639.73,22.69,NNE
2020-10-19 17:00:00,Agusan del Sur,641.7,17.46,NNE
2020-10-19 20:00:00,Agusan del Sur,646.78,11.39,NNE
2020-10-19 23:00:00,Agusan del Sur,671.3,6.3,N
2020-10-20 02:00:00,Agusan del Sur,711.7,0.72,N
2020-10-20 05:00:00,Agusan del Sur,747.12,355.73,N
2020-10-20 08:00:00,Agusan del Sur,778.56,350.33,N
2020-10-20 11:00:00,Agusan del Sur,816.48,345.41,NNW
2020-10-20 14:00:00,Agusan del Sur,860.02,340.96,NNW
2020-10-20 17:00:00,Agusan del Sur,888.03,336.39,NNW
2020-10-20 20:00:00,Agusan del Sur,926.21,333.05,NNW
2020-10-20 23:00:00,Agusan del Sur,984.28,328.38,NNW
2020-10-21 02:00:00,Agusan del Sur,1054.78,323.8,NW
2020-10-21 05:00:00,Agusan del Sur,1086.52,320.75,NW
2020-10-21 08:00:00,Agusan del Sur,1113.94,318.28,NW
2020-10-21 11:00:00,Agusan del Sur,1151.22,316.33,NW
2020-10-21 14:00:00,Agusan del Sur,1189.63,315.26,NW
2020-10-21 17:00:00,Agusan del Sur,1205.59,313.82,NW
2020-10-21 20:00:00,Agusan del Sur,1229.59,312.81,NW
2020-10-21 23:00:00,Agusan del Sur,1269.3,311.92,NW
2020-10-22 02:00:00,Agusan del Sur,1299.96,312.07,NW
2020-10-22 05:00:00,Agusan del Sur,1330.61,312.21,NW
2020-10-22 08:00:00,Agusan del Sur,1368.46,312.7,NW
2020-10-22 11:00:00,Agusan del Sur,1391.87,312.48,NW
2020-10-22 14:00:00,Agusan del Sur,1407.17,312.54,NW
2020-10-22 17:00:00,Agusan del Sur,1422.47,312.61,NW
2020-10-22 20:00:00,Agusan del Sur,1445.01,313.01,NW
2020-10-22 23:00:00,Agusan del Sur,1475.61,313.13,NW
2020-10-23 02:00:00,Agusan del Sur,1498.2,313.51,NW
2020-10-23 05:00:00,Agusan del Sur,1514.22,312.98,NW
2020-10-23 08:00:00,Agusan del Sur,1530.37,312.46,NW
2020-10-23 11:00:00,Agusan del Sur,1553.75,312.27,NW
2020-10-23 14:00:00,Agusan del Sur,1577.14,312.08,NW
2020-10-23 17:00:00,Agusan del Sur,1593.53,311.6,NW
2020-10-23 20:00:00,Agusan del Sur,1603.14,310.8,NW
2020-10-23 23:00:00,Agusan del Sur,1628.23,310.1,NW
2020-10-24 02:00:00,Agusan del Sur,1653.59,309.43,NW
2020-10-24 05:00:00,Agusan del Sur,1670.63,308.99,NW
2020-10-24 08:00:00,Agusan del Sur,1705.01,308.14,NW
2020-10-24 11:00:00,Agusan del Sur,1724.78,307.22,NW
2020-10-24 14:00:00,Agusan del Sur,1753.89,306.13,NW
2020-10-24 17:00:00,Agusan del Sur,1798.55,305.2,NW
2020-10-24 20:00:00,Agusan del Sur,1847.13,303.84,NW
2020-10-24 23:00:00,Agusan del Sur,1902.24,302.85,WNW
2020-10-25 02:00:00,Agusan del Sur,1957.95,301.93,WNW
2020-10-25 05:00:00,Agusan del Sur,2014.2,301.05,WNW
2020-10-25 08:00:00,Agusan del Sur,2061.47,300.37,WNW
2020-10-25 11:00:00,Agusan del Sur,2109.06,299.71,WNW
2020-10-25 14:00:00,Agusan del Sur,2147.35,299.21,WNW
2020-10-25 17:00:00,Agusan del Sur,2185.82,298.73,WNW
2020-10-25 20:00:00,Agusan del Sur,2219.37,298.65,WNW
2020-10-25 23:00:00,Agusan del Sur,2252.92,298.57,WNW
2020-10-26 02:00:00,Agusan del Sur,2286.45,298.5,WNW
2020-10-26 05:00:00,Agusan del Sur,2325.18,298.06,WNW
2020-10-26 08:00:00,Agusan del Sur,2368.45,297.89,WNW
2020-10-26 11:00:00,Agusan del Sur,2403.1,297.24,WNW
2020-10-26 14:00:00,Agusan del Sur,2432.46,296.94,WNW
2020-10-16 20:00:00,Aklan,2131.54,105.7,ESE
2020-10-16 23:00:00,Aklan,2135.57,104.07,ESE
2020-10-17 02:00:00,Aklan,2148.85,102.07,ESE
2020-10-17 05:00:00,Aklan,2164.43,100.1,E
2020-10-17 08:00:00,Aklan,2141.45,98.69,E
2020-10-17 11:00:00,Aklan,2059.25,98.22,E
2020-10-17 14:00:00,Aklan,1947.08,98.22,E
2020-10-17 17:00:00,Aklan,1863.17,97.33,E
2020-10-17 20:00:00,Aklan,1788.93,95.94,E
2020-10-17 23:00:00,Aklan,1729.79,95.12,E
2020-10-18 02:00:00,Aklan,1671.11,94.24,E
2020-10-18 05:00:00,Aklan,1614.15,93.69,E
2020-10-18 08:00:00,Aklan,1535.65,93.18,E
2020-10-18 11:00:00,Aklan,1390.22,91.94,E
2020-10-18 14:00:00,Aklan,1256.8,90.36,E
2020-10-18 17:00:00,Aklan,1211.96,88.34,E
2020-10-18 20:00:00,Aklan,1179.7,86.18,E
2020-10-18 23:00:00,Aklan,1075.39,82.44,E
2020-10-19 02:00:00,Aklan,943.19,78.22,ENE
2020-10-19 05:00:00,Aklan,862.63,75.76,ENE
2020-10-19 08:00:00,Aklan,788.95,74.56,ENE
2020-10-19 11:00:00,Aklan,732.34,71.63,ENE
2020-10-19 14:00:00,Aklan,678.09,68.23,ENE
2020-10-19 17:00:00,Aklan,636.61,64.64,ENE
2020-10-19 20:00:00,Aklan,588.63,60.07,ENE
2020-10-19 23:00:00,Aklan,560.36,54.41,NE
2020-10-20 02:00:00,Aklan,537.67,46.56,NE
2020-10-20 05:00:00,Aklan,517.44,38.98,NE
2020-10-20 08:00:00,Aklan,492.03,30.56,NNE
2020-10-20 11:00:00,Aklan,478.47,21.45,NNE
2020-10-20 14:00:00,Aklan,477.76,12.07,NNE
2020-10-20 17:00:00,Aklan,467.7,3.06,N
2020-10-20 20:00:00,Aklan,479.78,355.31,N
2020-10-20 23:00:00,Aklan,508.0,344.53,NNW
2020-10-21 02:00:00,Aklan,556.95,334.21,NNW
2020-10-21 05:00:00,Aklan,578.86,328.02,NNW
2020-10-21 08:00:00,Aklan,600.57,323.14,NW
2020-10-21 11:00:00,Aklan,634.68,319.32,NW
2020-10-21 14:00:00,Aklan,671.84,317.22,NW
2020-10-21 17:00:00,Aklan,686.72,314.65,NW
2020-10-21 20:00:00,Aklan,710.32,312.86,NW
2020-10-21 23:00:00,Aklan,749.92,311.32,NW
2020-10-22 02:00:00,Aklan,780.58,311.56,NW
2020-10-22 05:00:00,Aklan,811.24,311.79,NW
2020-10-22 08:00:00,Aklan,849.16,312.58,NW
2020-10-22 11:00:00,Aklan,872.53,312.21,NW
2020-10-22 14:00:00,Aklan,887.84,312.3,NW
2020-10-22 17:00:00,Aklan,903.16,312.4,NW
2020-10-22 20:00:00,Aklan,925.78,313.01,NW
2020-10-22 23:00:00,Aklan,956.41,313.17,NW
2020-10-23 02:00:00,Aklan,979.13,313.74,NW
2020-10-23 05:00:00,Aklan,994.97,312.92,NW
2020-10-23 08:00:00,Aklan,1011.03,312.12,NW
2020-10-23 11:00:00,Aklan,1034.38,311.83,NW
2020-10-23 14:00:00,Aklan,1057.76,311.56,NW
2020-10-23 17:00:00,Aklan,1074.15,310.84,NW
2020-10-23 20:00:00,Aklan,1083.88,309.67,NW
2020-10-23 23:00:00,Aklan,1109.21,308.66,NW
2020-10-24 02:00:00,Aklan,1134.89,307.7,NW
2020-10-24 05:00:00,Aklan,1152.19,307.09,NW
2020-10-24 08:00:00,Aklan,1187.2,305.92,NW
2020-10-24 11:00:00,Aklan,1207.83,304.64,NW
2020-10-24 14:00:00,Aklan,1238.18,303.15,WNW
2020-10-24 17:00:00,Aklan,1284.08,301.93,WNW
2020-10-24 20:00:00,Aklan,1334.77,300.17,WNW
