Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2020-10-22 02:00:00,Abra,2067.07,116.45,ESE
2020-10-22 05:00:00,Abra,2065.48,115.75,ESE
2020-10-22 08:00:00,Abra,2049.17,114.92,ESE
2020-10-22 11:00:00,Abra,2028.87,114.52,ESE
2020-10-22 14:00:00,Abra,2013.94,114.39,ESE
2020-10-22 17:00:00,Abra,1974.44,114.27,ESE
2020-10-22 20:00:00,Abra,1940.21,114.44,ESE
2020-10-22 23:00:00,Abra,1896.37,114.77,ESE
2020-10-23 02:00:00,Abra,1852.6,115.12,ESE
2020-10-23 05:00:00,Abra,1799.33,115.66,ESE
2020-10-23 08:00:00,Abra,1757.32,116.86,ESE
2020-10-23 11:00:00,Abra,1704.52,117.47,ESE
2020-10-23 14:00:00,Abra,1655.54,117.59,ESE
2020-10-23 17:00:00,Abra,1600.9,117.36,ESE
2020-10-23 20:00:00,Abra,1540.76,116.75,ESE
2020-10-23 23:00:00,Abra,1471.36,116.3,ESE
2020-10-24 02:00:00,Abra,1402.16,115.8,ESE
2020-10-24 05:00:00,Abra,1333.16,115.25,ESE
2020-10-24 08:00:00,Abra,1254.76,114.85,ESE
2020-10-24 11:00:00,Abra,1181.64,114.87,ESE
2020-10-24 14:00:00,Abra,1123.33,115.14,ESE
2020-10-24 17:00:00,Abra,1060.78,116.24,ESE
2020-10-24 20:00:00,Abra,1008.04,117.15,ESE
2020-10-24 23:00:00,Abra,946.25,118.49,ESE
2020-10-25 02:00:00,Abra,884.99,120.01,ESE
2020-10-25 05:00:00,Abra,821.65,122.8,ESE
2020-10-25 08:00:00,Abra,769.03,125.54,SE
2020-10-25 11:00:00,Abra,701.87,129.81,SE
2020-10-25 14:00:00,Abra,647.21,135.6,SE
2020-10-25 17:00:00,Abra,597.75,140.89,SE
2020-10-25 20:00:00,Abra,552.46,149.58,SSE
2020-10-25 23:00:00,Abra,529.24,157.32,SSE
2020-10-26 02:00:00,Abra,505.42,165.31,SSE
2020-10-26 05:00:00,Abra,504.26,172.8,S
2020-10-26 08:00:00,Abra,500.92,182.69,S
2020-10-26 11:00:00,Abra,499.03,191.49,SSW
2020-10-26 14:00:00,Abra,522.72,200.85,SSW
2020-10-26 17:00:00,Abra,538.75,207.76,SSW
2020-10-26 20:00:00,Abra,577.16,214.48,SW
2020-10-26 23:00:00,Abra,629.18,221.08,SW
2020-10-27 02:00:00,Abra,680.22,227.29,SW
2020-10-27 05:00:00,Abra,744.85,231.93,SW
2020-10-27 08:00:00,Abra,795.94,234.92,SW
2020-10-27 11:00:00,Abra,857.78,237.96,WSW
2020-10-27 14:00:00,Abra,915.83,241.19,WSW
2020-10-27 17:00:00,Abra,957.25,243.43,WSW
2020-10-27 20:00:00,Abra,1004.63,246.33,WSW
2020-10-27 23:00:00,Abra,1058.63,248.42,WSW
2020-10-28 02:00:00,Abra,1099.59,250.64,WSW
2020-10-28 05:00:00,Abra,1152.04,252.89,WSW
2020-10-28 08:00:00,Abra,1202.52,255.45,WSW
2020-10-28 11:00:00,Abra,1254.94,257.81,WSW
2020-10-28 14:00:00,Abra,1309.05,259.99,W
2020-10-28 17:00:00,Abra,1369.28,261.07,W
2020-10-28 20:00:00,Abra,1429.86,262.08,W
2020-10-28 23:00:00,Abra,1499.2,263.51,W
2020-10-29 02:00:00,Abra,1562.41,263.95,W
2020-10-29 05:00:00,Abra,1625.67,264.36,W
2020-10-29 08:00:00,Abra,1680.35,264.3,W
2020-10-29 11:00:00,Abra,1743.65,264.68,W
2020-10-29 14:00:00,Abra,1777.26,264.51,W
2020-10-22 02:00:00,Agusan del Norte,1304.5,90.3,E
2020-10-22 05:00:00,Agusan del Norte,1314.84,89.31,E
2020-10-22 08:00:00,Agusan del Norte,1314.58,87.85,E
2020-10-22 11:00:00,Agusan del Norte,1303.89,86.86,E
2020-10-22 14:00:00,Agusan del Norte,1293.22,86.35,E
2020-10-22 17:00:00,Agusan del Norte,1261.25,85.29,E
2020-10-22 20:00:00,Agusan del Norte,1229.03,84.69,E
2020-10-22 23:00:00,Agusan del Norte,1186.06,84.02,E
2020-10-23 02:00:00,Agusan del Norte,1143.28,83.3,E
2020-10-23 05:00:00,Agusan del Norte,1089.83,82.46,E
2020-10-23 08:00:00,Agusan del Norte,1034.25,82.76,E
2020-10-23 11:00:00,Agusan del Norte,981.03,81.79,E
2020-10-23 14:00:00,Agusan del Norte,940.57,80.12,E
2020-10-23 17:00:00,Agusan del Norte,903.09,77.61,ENE
2020-10-23 20:00:00,Agusan del Norte,870.29,74.17,ENE
2020-10-23 23:00:00,Agusan del Norte,830.6,70.25,ENE
2020-10-24 02:00:00,Agusan del Norte,795.31,65.94,ENE
2020-10-24 05:00:00,Agusan del Norte,765.04,61.27,ENE
2020-10-24 08:00:00,Agusan del Norte,731.28,55.8,NE
2020-10-24 11:00:00,Agusan del Norte,698.01,50.56,NE
2020-10-24 14:00:00,Agusan del Norte,671.45,46.19,NE
2020-10-24 17:00:00,Agusan del Norte,633.71,41.43,NE
2020-10-24 20:00:00,Agusan del Norte,607.52,36.93,NE
2020-10-24 23:00:00,Agusan del Norte,579.74,31.15,NNE
2020-10-25 02:00:00,Agusan del Norte,558.53,24.87,NNE
2020-10-25 05:00:00,Agusan del Norte,530.72,17.45,NNE
2020-10-25 08:00:00,Agusan del Norte,514.75,10.54,N
2020-10-25 11:00:00,Agusan del Norte,505.99,0.86,N
2020-10-25 14:00:00,Agusan del Norte,501.18,350.93,N
2020-10-25 17:00:00,Agusan del Norte,518.81,342.64,NNW
2020-10-25 20:00:00,Agusan del Norte,546.4,332.49,NNW
2020-10-25 23:00:00,Agusan del Norte,576.72,325.3,NW
2020-10-26 02:00:00,Agusan del Norte,623.63,319.6,NW
2020-10-26 05:00:00,Agusan del Norte,660.43,314.71,NW
2020-10-26 08:00:00,Agusan del Norte,725.45,309.96,NW
2020-10-26 11:00:00,Agusan del Norte,792.37,307.14,NW
2020-10-26 14:00:00,Agusan del Norte,863.99,303.75,NW
2020-10-26 17:00:00,Agusan del Norte,925.12,302.17,WNW
2020-10-26 20:00:00,Agusan del Norte,991.01,299.93,WNW
2020-10-26 23:00:00,Agusan del Norte,1068.01,297.72,WNW
2020-10-27 02:00:00,Agusan del Norte,1151.04,296.32,WNW
2020-10-27 05:00:00,Agusan del Norte,1230.38,294.65,WNW
2020-10-27 08:00:00,Agusan del Norte,1290.54,293.54,WNW
2020-10-27 11:00:00,Agusan del Norte,1361.35,292.37,WNW
2020-10-27 14:00:00,Agusan del Norte,1436.37,291.74,WNW
2020-10-27 17:00:00,Agusan del Norte,1491.07,291.46,WNW
2020-10-27 20:00:00,Agusan del Norte,1559.6,291.46,WNW
2020-10-27 23:00:00,Agusan del Norte,1624.55,291.1,WNW
2020-10-28 02:00:00,Agusan del Norte,1682.75,291.24,WNW
2020-10-28 05:00:00,Agusan del Norte,1751.14,291.27,WNW
2020-10-28 08:00:00,Agusan del Norte,1822.96,291.64,WNW
2020-10-28 11:00:00,Agusan del Norte,1894.73,291.99,WNW
2020-10-28 14:00:00,Agusan del Norte,1966.44,292.32,WNW
2020-10-28 17:00:00,Agusan del Norte,2031.01,292.03,WNW
2020-10-28 20:00:00,Agusan del Norte,2095.61,291.77,WNW
2020-10-28 23:00:00,Agusan del Norte,2173.83,291.72,WNW
2020-10-29 02:00:00,Agusan del Norte,2235.16,291.21,WNW
2020-10-29 05:00:00,Agusan del Norte,2296.7,290.73,WNW
2020-10-29 08:00:00,Agusan del Norte,2345.1,290.09,WNW
2020-10-29 11:00:00,Agusan del Norte,2407.08,289.67,WNW
2020-10-29 14:00:00,Agusan del Norte,2435.3,289.21,WNW
2020-10-22 02:00:00,Agusan del Sur,1262.33,88.63,E
2020-10-22 05:00:00,Agusan del Sur,1273.37,87.62,E
