Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2021-12-11 20:00:00,Abra,2982.78,114.37,ESE
2021-12-11 23:00:00,Abra,2967.69,114.28,ESE
2021-12-12 02:00:00,Abra,2952.61,114.19,ESE
2021-12-12 05:00:00,Abra,2937.53,114.11,ESE
2021-12-12 08:00:00,Abra,2933.29,114.41,ESE
2021-12-12 11:00:00,Abra,2914.0,114.63,ESE
2021-12-12 14:00:00,Abra,2894.75,114.86,ESE
2021-12-12 17:00:00,Abra,2875.53,115.08,ESE
2021-12-12 20:00:00,Abra,2846.77,115.43,ESE
2021-12-12 23:00:00,Abra,2808.56,115.89,ESE
2021-12-13 02:00:00,Abra,2776.22,116.58,ESE
2021-12-13 05:00:00,Abra,2728.96,117.2,ESE
2021-12-13 08:00:00,Abra,2672.59,117.96,ESE
2021-12-13 11:00:00,Abra,2619.91,118.42,ESE
2021-12-13 14:00:00,Abra,2561.34,118.67,ESE
2021-12-13 17:00:00,Abra,2487.49,118.86,ESE
2021-12-13 20:00:00,Abra,2429.02,119.13,ESE
2021-12-13 23:00:00,Abra,2364.51,119.19,ESE
2021-12-14 02:00:00,Abra,2296.91,119.63,ESE
2021-12-14 05:00:00,Abra,2204.91,120.18,ESE
2021-12-14 08:00:00,Abra,2113.13,120.78,ESE
2021-12-14 11:00:00,Abra,2046.02,121.32,ESE
2021-12-14 14:00:00,Abra,1972.7,121.62,ESE
2021-12-14 17:00:00,Abra,1896.94,122.41,ESE
2021-12-14 20:00:00,Abra,1830.4,123.06,ESE
2021-12-14 23:00:00,Abra,1766.31,123.24,ESE
2021-12-15 02:00:00,Abra,1700.09,123.96,SE
2021-12-15 05:00:00,Abra,1649.62,124.81,SE
2021-12-15 08:00:00,Abra,1597.86,126.26,SE
2021-12-15 11:00:00,Abra,1548.34,127.23,SE
2021-12-15 14:00:00,Abra,1490.94,128.53,SE
2021-12-15 17:00:00,Abra,1449.9,129.97,SE
2021-12-15 20:00:00,Abra,1394.11,131.46,SE
2021-12-15 23:00:00,Abra,1331.41,132.73,SE
2021-12-16 02:00:00,Abra,1277.4,134.47,SE
2021-12-16 05:00:00,Abra,1216.32,136.0,SE
2021-12-16 08:00:00,Abra,1157.54,138.45,SE
2021-12-16 11:00:00,Abra,1094.34,141.62,SE
2021-12-16 14:00:00,Abra,1025.4,144.79,SE
2021-12-16 17:00:00,Abra,973.7,149.63,SSE
2021-12-16 20:00:00,Abra,919.17,154.66,SSE
