Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2022-04-06 14:00:00,Abra,3589.86,112.68,ESE
2022-04-06 17:00:00,Abra,3560.55,112.95,ESE
2022-04-06 20:00:00,Abra,3525.98,113.05,ESE
2022-04-06 23:00:00,Abra,3502.11,113.49,ESE
2022-04-07 02:00:00,Abra,3482.68,113.68,ESE
2022-04-07 05:00:00,Abra,3433.07,113.72,ESE
2022-04-07 08:00:00,Abra,3398.57,113.83,ESE
2022-04-07 11:00:00,Abra,3348.98,113.87,ESE
2022-04-07 14:00:00,Abra,3310.26,114.26,ESE
2022-04-07 17:00:00,Abra,3275.82,114.38,ESE
2022-04-07 20:00:00,Abra,3251.04,114.4,ESE
2022-04-07 23:00:00,Abra,3216.61,114.53,ESE
2022-04-08 02:00:00,Abra,3176.7,114.47,ESE
2022-04-08 05:00:00,Abra,3146.46,114.31,ESE
2022-04-08 08:00:00,Abra,3115.16,113.68,ESE
2022-04-08 11:00:00,Abra,3089.47,113.21,ESE
2022-04-08 14:00:00,Abra,3044.43,112.95,ESE
2022-04-08 17:00:00,Abra,3009.25,112.57,ESE
2022-04-08 20:00:00,Abra,2964.39,112.29,ESE
2022-04-08 23:00:00,Abra,2924.72,112.2,ESE
2022-04-09 02:00:00,Abra,2894.89,112.0,ESE
2022-04-09 05:00:00,Abra,2865.1,111.8,ESE
2022-04-09 08:00:00,Abra,2830.36,111.39,ESE
2022-04-09 11:00:00,Abra,2790.82,111.28,ESE
2022-04-09 14:00:00,Abra,2731.55,111.38,ESE
2022-04-09 17:00:00,Abra,2677.25,111.16,ESE
2022-04-09 20:00:00,Abra,2593.52,110.68,ESE
2022-04-09 23:00:00,Abra,2520.03,110.07,ESE
2022-04-10 02:00:00,Abra,2432.33,109.28,ESE
2022-04-10 05:00:00,Abra,2335.2,108.54,ESE
2022-04-10 08:00:00,Abra,2228.56,107.85,ESE
2022-04-10 11:00:00,Abra,2151.03,107.41,ESE
2022-04-10 14:00:00,Abra,2082.0,107.52,ESE
2022-04-10 17:00:00,Abra,2013.02,107.64,ESE
2022-04-10 20:00:00,Abra,1964.28,107.51,ESE
2022-04-10 23:00:00,Abra,1905.47,107.5,ESE
2022-04-11 02:00:00,Abra,1860.92,107.68,ESE
2022-04-11 05:00:00,Abra,1822.38,107.41,ESE
2022-04-11 08:00:00,Abra,1790.08,106.66,ESE
2022-04-11 11:00:00,Abra,1758.11,105.88,ESE
2022-04-11 14:00:00,Abra,1729.6,104.26,ESE
2022-04-11 17:00:00,Abra,1705.74,102.94,ESE
2022-04-11 20:00:00,Abra,1672.41,101.68,ESE
2022-04-11 23:00:00,Abra,1653.19,100.66,E
2022-04-12 02:00:00,Abra,1631.89,99.23,E
2022-04-12 05:00:00,Abra,1590.63,97.93,E
2022-04-12 08:00:00,Abra,1552.41,96.96,E
2022-04-12 11:00:00,Abra,1548.29,96.15,E
2022-04-12 14:00:00,Abra,1555.02,95.26,E
2022-04-12 17:00:00,Abra,1563.8,94.79,E
2022-04-12 20:00:00,Abra,1581.61,93.86,E
2022-04-12 23:00:00,Abra,1598.39,92.56,E
2022-04-13 02:00:00,Abra,1626.47,91.24,E
2022-04-13 05:00:00,Abra,1644.64,90.0,E
2022-04-13 08:00:00,Abra,1674.07,88.75,E
2022-04-13 11:00:00,Abra,1704.12,87.55,E
2022-04-13 14:00:00,Abra,1734.75,86.39,E
2022-04-13 17:00:00,Abra,1765.88,84.91,E
2022-04-13 20:00:00,Abra,1798.55,82.75,E
2022-04-13 23:00:00,Abra,1800.56,81.31,E
2022-04-14 02:00:00,Abra,1793.2,79.86,E
2022-04-14 05:00:00,Abra,1818.15,78.5,ENE
2022-04-14 08:00:00,Abra,1855.68,76.86,ENE
2022-04-14 11:00:00,Abra,1884.14,75.24,ENE
2022-04-14 14:00:00,Abra,1926.01,73.4,ENE
2022-04-14 17:00:00,Abra,1964.9,72.27,ENE
2022-04-14 20:00:00,Abra,2006.74,70.86,ENE
2022-04-14 23:00:00,Abra,2074.69,69.04,ENE
2022-04-15 02:00:00,Abra,2153.26,66.46,ENE
2022-04-15 05:00:00,Abra,2215.87,63.87,ENE
2022-04-15 08:00:00,Abra,2281.98,61.41,ENE
2022-04-15 11:00:00,Abra,2351.8,59.7,ENE
2022-04-15 14:00:00,Abra,2450.01,58.35,ENE
2022-04-15 17:00:00,Abra,2584.73,56.34,ENE
2022-04-15 20:00:00,Abra,2728.18,55.1,NE
2022-04-15 23:00:00,Abra,2874.94,54.24,NE
2022-04-16 02:00:00,Abra,3052.32,52.98,NE
2022-04-16 05:00:00,Abra,3236.83,51.87,NE
2022-04-16 08:00:00,Abra,3429.6,50.46,NE
2022-04-16 11:00:00,Abra,3609.78,48.82,NE
2022-04-16 14:00:00,Abra,3809.64,47.23,NE
2022-04-16 17:00:00,Abra,4030.77,45.33,NE
2022-04-16 20:00:00,Abra,4256.89,43.57,NE
2022-04-16 23:00:00,Abra,4449.7,42.17,NE
2022-04-17 02:00:00,Abra,4622.23,41.02,NE
2022-04-17 05:00:00,Abra,4750.77,40.25,NE
2022-04-17 08:00:00,Abra,4892.84,39.75,NE
2022-04-17 11:00:00,Abra,5101.41,39.2,NE
2022-04-17 14:00:00,Abra,5345.32,38.8,NE
2022-04-17 17:00:00,Abra,5585.91,38.46,NE
2022-04-17 20:00:00,Abra,5836.69,38.21,NE
2022-04-17 23:00:00,Abra,6088.35,37.86,NE
2022-04-18 02:00:00,Abra,6318.37,37.72,NE
2022-04-18 05:00:00,Abra,6523.89,37.78,NE
2022-04-18 08:00:00,Abra,6702.03,38.05,NE
2022-04-06 14:00:00,Agusan del Norte,2794.89,101.21,E
2022-04-06 17:00:00,Agusan del Norte,2762.58,101.38,ESE
2022-04-06 20:00:00,Agusan del Norte,2727.58,101.32,ESE
2022-04-06 23:00:00,Agusan del Norte,2698.01,101.73,ESE
2022-04-07 02:00:00,Agusan del Norte,2676.5,101.85,ESE
2022-04-07 05:00:00,Agusan del Norte,2627.99,101.62,ESE
2022-04-07 08:00:00,Agusan del Norte,2592.99,101.56,ESE
2022-04-07 11:00:00,Agusan del Norte,2544.55,101.31,ESE
2022-04-07 14:00:00,Agusan del Norte,2501.49,101.56,ESE
2022-04-07 17:00:00,Agusan del Norte,2466.5,101.49,ESE
2022-04-07 20:00:00,Agusan del Norte,2442.3,101.36,ESE
2022-04-07 23:00:00,Agusan del Norte,2407.34,101.29,ESE
2022-04-08 02:00:00,Agusan del Norte,2369.78,100.95,E
2022-04-08 05:00:00,Agusan del Norte,2343.11,100.54,E
2022-04-08 08:00:00,Agusan del Norte,2322.64,99.51,E
2022-04-08 11:00:00,Agusan del Norte,2305.04,98.74,E
2022-04-08 14:00:00,Agusan del Norte,2266.08,98.06,E
2022-04-08 17:00:00,Agusan del Norte,2238.34,97.31,E
2022-04-08 20:00:00,Agusan del Norte,2200.08,96.59,E
2022-04-08 23:00:00,Agusan del Norte,2163.86,96.14,E
2022-04-09 02:00:00,Agusan del Norte,2138.71,95.63,E
2022-04-09 05:00:00,Agusan del Norte,2113.74,95.11,E
2022-04-09 08:00:00,Agusan del Norte,2087.58,94.27,E
2022-04-09 11:00:00,Agusan del Norte,2052.13,93.76,E
2022-04-09 14:00:00,Agusan del Norte,1994.92,93.29,E
2022-04-09 17:00:00,Agusan del Norte,1947.86,92.44,E
2022-04-09 20:00:00,Agusan del Norte,1877.86,90.9,E
2022-04-09 23:00:00,Agusan del Norte,1820.36,89.23,E
2022-04-10 02:00:00,Agusan del Norte,1753.63,87.09,E
2022-04-10 05:00:00,Agusan del Norte,1678.69,84.77,E
2022-04-10 08:00:00,Agusan del Norte,1596.03,82.2,E
2022-04-10 11:00:00,Agusan del Norte,1535.77,80.3,E
2022-04-10 14:00:00,Agusan del Norte,1473.99,79.11,E
2022-04-10 17:00:00,Agusan del Norte,1412.99,77.81,ENE
2022-04-10 20:00:00,Agusan del Norte,1374.23,76.57,ENE
2022-04-10 23:00:00,Agusan del Norte,1325.58,75.16,ENE
