Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2022-09-26 20:00:00,Abra,1693.18,101.48,ESE
2022-09-26 23:00:00,Abra,1678.97,99.63,E
2022-09-27 02:00:00,Abra,1674.68,97.3,E
2022-09-27 05:00:00,Abra,1672.98,94.96,E
2022-09-27 08:00:00,Abra,1652.7,92.72,E
2022-09-27 11:00:00,Abra,1592.58,90.55,E
2022-09-27 14:00:00,Abra,1525.09,88.66,E
2022-09-27 17:00:00,Abra,1470.47,87.02,E
2022-09-27 20:00:00,Abra,1417.51,84.8,E
2022-09-27 23:00:00,Abra,1388.8,82.0,E
2022-09-28 02:00:00,Abra,1368.02,77.69,ENE
2022-09-28 05:00:00,Abra,1340.42,74.11,ENE
2022-09-28 08:00:00,Abra,1312.68,71.34,ENE
2022-09-28 11:00:00,Abra,1291.7,69.55,ENE
2022-09-28 14:00:00,Abra,1285.47,67.37,ENE
2022-09-28 17:00:00,Abra,1293.5,63.78,ENE
2022-09-28 20:00:00,Abra,1301.76,60.7,ENE
2022-09-28 23:00:00,Abra,1317.55,58.31,ENE
2022-09-29 02:00:00,Abra,1338.88,56.61,ENE
2022-09-29 05:00:00,Abra,1367.09,54.57,NE
2022-09-29 08:00:00,Abra,1411.45,52.45,NE
2022-09-29 11:00:00,Abra,1452.99,51.42,NE
2022-09-29 14:00:00,Abra,1503.06,50.66,NE
2022-09-29 17:00:00,Abra,1561.36,50.16,NE
2022-09-29 20:00:00,Abra,1627.71,49.89,NE
2022-09-29 23:00:00,Abra,1708.45,49.51,NE
2022-09-30 02:00:00,Abra,1782.54,49.45,NE
2022-09-30 05:00:00,Abra,1872.57,49.72,NE
2022-09-30 08:00:00,Abra,1956.25,50.22,NE
2022-09-30 11:00:00,Abra,2076.65,50.59,NE
2022-09-30 14:00:00,Abra,2190.91,51.13,NE
2022-09-30 17:00:00,Abra,2310.86,51.35,NE
2022-09-30 20:00:00,Abra,2424.84,51.74,NE
2022-09-30 23:00:00,Abra,2552.5,51.95,NE
2022-10-01 02:00:00,Abra,2671.38,52.01,NE
2022-10-01 05:00:00,Abra,2776.2,52.15,NE
2022-10-01 08:00:00,Abra,2872.34,52.16,NE
2022-10-01 11:00:00,Abra,2986.71,51.84,NE
2022-10-01 14:00:00,Abra,3108.75,51.6,NE
2022-10-01 17:00:00,Abra,3208.54,51.38,NE
2022-10-01 20:00:00,Abra,3312.8,50.97,NE
2022-10-01 23:00:00,Abra,3413.27,50.32,NE
2022-10-02 02:00:00,Abra,3526.34,49.58,NE
2022-10-02 05:00:00,Abra,3628.75,49.19,NE
2022-10-02 08:00:00,Abra,3741.59,49.08,NE
2022-10-02 11:00:00,Abra,3855.65,49.56,NE
2022-10-02 14:00:00,Abra,3957.42,50.09,NE
2022-10-02 17:00:00,Abra,4027.0,50.36,NE
2022-10-02 20:00:00,Abra,4080.33,50.52,NE
2022-10-02 23:00:00,Abra,4145.97,50.92,NE
2022-10-03 02:00:00,Abra,4195.43,51.21,NE
2022-10-03 05:00:00,Abra,4224.59,51.54,NE
2022-10-03 08:00:00,Abra,4245.66,51.83,NE
2022-10-03 11:00:00,Abra,4257.83,51.72,NE
2022-10-03 14:00:00,Abra,4261.69,51.57,NE
2022-10-03 17:00:00,Abra,4261.69,51.57,NE
2022-10-03 20:00:00,Abra,4273.86,51.47,NE
2022-10-03 23:00:00,Abra,4265.57,51.42,NE
2022-10-04 02:00:00,Abra,4261.21,51.23,NE
2022-10-04 05:00:00,Abra,4261.21,51.23,NE
2022-10-04 08:00:00,Abra,4269.47,51.27,NE
2022-10-04 11:00:00,Abra,4314.72,51.34,NE
2022-10-04 14:00:00,Abra,4384.05,51.2,NE
2022-10-04 17:00:00,Abra,4448.62,50.86,NE
