Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2022-10-12 08:00:00,Abra,2104.52,90.06,E
2022-10-12 11:00:00,Abra,2013.11,88.07,E
2022-10-12 14:00:00,Abra,1924.82,85.89,E
2022-10-12 17:00:00,Abra,1850.44,83.85,E
2022-10-12 20:00:00,Abra,1767.93,81.98,E
2022-10-12 23:00:00,Abra,1686.99,80.31,E
2022-10-13 02:00:00,Abra,1596.34,78.82,E
2022-10-13 05:00:00,Abra,1508.92,76.72,ENE
2022-10-13 08:00:00,Abra,1420.06,75.24,ENE
2022-10-13 11:00:00,Abra,1346.28,75.13,ENE
2022-10-13 14:00:00,Abra,1290.9,75.67,ENE
2022-10-13 17:00:00,Abra,1256.13,76.41,ENE
2022-10-13 20:00:00,Abra,1223.32,76.67,ENE
2022-10-13 23:00:00,Abra,1169.87,76.78,ENE
2022-10-14 02:00:00,Abra,1108.03,76.22,ENE
2022-10-14 05:00:00,Abra,1056.62,75.7,ENE
2022-10-14 08:00:00,Abra,1003.1,75.74,ENE
2022-10-14 11:00:00,Abra,968.01,76.67,ENE
2022-10-14 14:00:00,Abra,943.49,77.76,ENE
2022-10-14 17:00:00,Abra,919.28,78.92,E
2022-10-14 20:00:00,Abra,864.1,79.87,E
2022-10-14 23:00:00,Abra,780.74,79.03,E
2022-10-15 02:00:00,Abra,687.28,77.82,ENE
2022-10-15 05:00:00,Abra,604.61,76.39,ENE
2022-10-15 08:00:00,Abra,542.99,75.01,ENE
2022-10-15 11:00:00,Abra,471.67,72.91,ENE
2022-10-15 14:00:00,Abra,401.3,70.03,ENE
2022-10-15 17:00:00,Abra,342.18,66.59,ENE
2022-10-15 20:00:00,Abra,308.7,61.68,ENE
2022-10-15 23:00:00,Abra,269.42,54.38,NE
2022-10-16 02:00:00,Abra,244.02,42.94,NE
2022-10-16 05:00:00,Abra,205.93,30.09,NNE
2022-10-16 08:00:00,Abra,195.78,15.01,NNE
2022-10-16 11:00:00,Abra,200.53,356.49,N
2022-10-16 14:00:00,Abra,231.7,343.8,NNW
2022-10-16 17:00:00,Abra,266.39,331.42,NNW
2022-10-16 20:00:00,Abra,304.21,323.8,NW
2022-10-16 23:00:00,Abra,345.52,315.44,NW
2022-10-17 02:00:00,Abra,384.52,309.95,NW
2022-10-17 05:00:00,Abra,417.88,306.34,NW
2022-10-17 08:00:00,Abra,441.29,300.83,WNW
2022-10-17 11:00:00,Abra,473.21,297.14,WNW
2022-10-17 14:00:00,Abra,497.25,294.41,WNW
2022-10-17 17:00:00,Abra,528.5,290.4,WNW
2022-10-17 20:00:00,Abra,565.19,287.96,WNW
2022-10-17 23:00:00,Abra,610.49,284.57,WNW
2022-10-18 02:00:00,Abra,645.56,280.84,W
