Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2023-07-20 14:00:00,Abra,1505.52,109.4,ESE
2023-07-20 17:00:00,Abra,1497.03,108.61,ESE
2023-07-20 20:00:00,Abra,1468.65,108.12,ESE
2023-07-20 23:00:00,Abra,1446.59,107.04,ESE
2023-07-21 02:00:00,Abra,1418.62,106.49,ESE
2023-07-21 05:00:00,Abra,1394.52,106.37,ESE
2023-07-21 08:00:00,Abra,1370.44,106.23,ESE
2023-07-21 11:00:00,Abra,1346.37,106.09,ESE
2023-07-21 14:00:00,Abra,1332.53,105.79,ESE
2023-07-21 17:00:00,Abra,1318.72,105.48,ESE
2023-07-21 20:00:00,Abra,1294.74,105.32,ESE
2023-07-21 23:00:00,Abra,1274.31,105.63,ESE
2023-07-22 02:00:00,Abra,1253.91,105.95,ESE
2023-07-22 05:00:00,Abra,1229.91,105.79,ESE
2023-07-22 08:00:00,Abra,1199.35,106.29,ESE
2023-07-22 11:00:00,Abra,1175.35,106.12,ESE
2023-07-22 14:00:00,Abra,1144.85,106.65,ESE
2023-07-22 17:00:00,Abra,1114.43,107.2,ESE
2023-07-22 20:00:00,Abra,1094.2,107.59,ESE
2023-07-22 23:00:00,Abra,1060.05,107.63,ESE
2023-07-23 02:00:00,Abra,1025.9,107.67,ESE
2023-07-23 05:00:00,Abra,981.68,107.93,ESE
2023-07-23 08:00:00,Abra,947.57,107.97,ESE
2023-07-23 11:00:00,Abra,907.35,108.92,ESE
2023-07-23 14:00:00,Abra,873.27,109.0,ESE
2023-07-23 17:00:00,Abra,839.2,109.08,ESE
2023-07-23 20:00:00,Abra,809.22,109.91,ESE
2023-07-23 23:00:00,Abra,775.19,110.03,ESE
2023-07-24 02:00:00,Abra,735.51,111.28,ESE
2023-07-24 05:00:00,Abra,711.41,111.13,ESE
2023-07-24 08:00:00,Abra,687.32,110.98,ESE
2023-07-24 11:00:00,Abra,673.17,110.45,ESE
2023-07-24 14:00:00,Abra,641.18,108.41,ESE
2023-07-24 17:00:00,Abra,606.84,105.15,ESE
2023-07-24 20:00:00,Abra,564.38,101.75,ESE
2023-07-24 23:00:00,Abra,517.94,100.43,E
2023-07-25 02:00:00,Abra,482.37,98.62,E
2023-07-25 05:00:00,Abra,455.54,93.55,E
2023-07-25 08:00:00,Abra,422.15,89.4,E
2023-07-25 11:00:00,Abra,381.93,82.77,E
2023-07-25 14:00:00,Abra,335.28,76.1,ENE
2023-07-25 17:00:00,Abra,304.59,68.18,ENE
2023-07-25 20:00:00,Abra,263.21,56.37,ENE
2023-07-25 23:00:00,Abra,220.78,44.93,NE
2023-07-26 02:00:00,Abra,187.09,33.54,NNE
2023-07-26 05:00:00,Abra,166.53,29.65,NNE
2023-07-26 08:00:00,Abra,166.53,29.65,NNE
2023-07-26 11:00:00,Abra,177.78,20.16,NNE
2023-07-26 14:00:00,Abra,193.3,12.0,NNE
2023-07-26 17:00:00,Abra,201.08,5.48,N
2023-07-26 20:00:00,Abra,222.4,359.54,N
2023-07-26 23:00:00,Abra,246.9,352.28,N
2023-07-27 02:00:00,Abra,274.66,346.42,NNW
2023-07-27 05:00:00,Abra,320.34,346.5,NNW
2023-07-27 08:00:00,Abra,357.91,344.54,NNW
2023-07-27 11:00:00,Abra,388.54,341.0,NNW
2023-07-27 14:00:00,Abra,412.97,340.67,NNW
2023-07-27 17:00:00,Abra,447.87,340.87,NNW
2023-07-27 20:00:00,Abra,493.27,341.47,NNW
2023-07-27 23:00:00,Abra,535.51,343.02,NNW
2023-07-28 02:00:00,Abra,602.31,344.0,NNW
2023-07-28 05:00:00,Abra,679.94,345.05,NNW
2023-07-28 08:00:00,Abra,757.73,345.89,NNW
2023-07-28 11:00:00,Abra,838.15,345.91,NNW
2023-07-28 14:00:00,Abra,910.46,345.15,NNW
2023-07-28 17:00:00,Abra,1001.52,345.43,NNW
2023-07-28 20:00:00,Abra,1097.98,344.68,NNW
2023-07-28 23:00:00,Abra,1202.33,344.69,NNW
2023-07-29 02:00:00,Abra,1285.33,344.42,NNW
2023-07-29 05:00:00,Abra,1398.36,343.34,NNW
2023-07-29 08:00:00,Abra,1494.08,341.82,NNW
2023-07-29 11:00:00,Abra,1611.4,340.81,NNW
2023-07-29 14:00:00,Abra,1690.79,341.19,NNW
2023-07-29 17:00:00,Abra,1756.34,340.7,NNW
2023-07-29 20:00:00,Abra,1818.4,341.49,NNW
2023-07-29 23:00:00,Abra,1863.25,341.72,NNW
2023-07-30 02:00:00,Abra,1928.91,342.19,NNW
2023-07-30 05:00:00,Abra,2015.52,342.84,NNW
2023-07-30 08:00:00,Abra,2101.13,342.64,NNW
2023-07-30 11:00:00,Abra,2138.71,342.5,NNW
2023-07-30 14:00:00,Abra,2162.7,342.48,NNW
2023-07-30 17:00:00,Abra,2189.89,342.24,NNW
2023-07-30 20:00:00,Abra,2234.06,341.69,NNW
2023-07-30 23:00:00,Abra,2247.71,341.58,NNW
2023-07-31 02:00:00,Abra,2255.4,342.65,NNW
2023-07-31 05:00:00,Abra,2273.1,343.07,NNW
2023-07-31 08:00:00,Abra,2311.85,343.67,NNW
2023-07-20 14:00:00,Agusan del Norte,984.74,64.23,ENE
2023-07-20 17:00:00,Agusan del Norte,994.07,63.05,ENE
2023-07-20 20:00:00,Agusan del Norte,984.48,61.33,ENE
2023-07-20 23:00:00,Agusan del Norte,990.67,59.32,ENE
2023-07-21 02:00:00,Agusan del Norte,983.08,57.57,ENE
2023-07-21 05:00:00,Agusan del Norte,970.49,56.35,ENE
2023-07-21 08:00:00,Agusan del Norte,958.36,55.09,NE
2023-07-21 11:00:00,Agusan del Norte,946.73,53.8,NE
2023-07-21 14:00:00,Agusan del Norte,944.34,52.87,NE
2023-07-21 17:00:00,Agusan del Norte,942.2,51.94,NE
2023-07-21 20:00:00,Agusan del Norte,931.82,50.59,NE
2023-07-21 23:00:00,Agusan del Norte,914.94,49.75,NE
2023-07-22 02:00:00,Agusan del Norte,898.28,48.89,NE
2023-07-22 05:00:00,Agusan del Norte,889.15,47.44,NE
2023-07-22 08:00:00,Agusan del Norte,865.15,46.02,NE
2023-07-22 11:00:00,Agusan del Norte,857.22,44.49,NE
2023-07-22 14:00:00,Agusan del Norte,834.44,42.94,NE
2023-07-22 17:00:00,Agusan del Norte,812.34,41.29,NE
2023-07-22 20:00:00,Agusan del Norte,798.01,40.14,NE
2023-07-22 23:00:00,Agusan del Norte,785.8,37.83,NE
2023-07-23 02:00:00,Agusan del Norte,774.96,35.45,NE
2023-07-23 05:00:00,Agusan del Norte,759.6,32.32,NNE
2023-07-23 08:00:00,Agusan del Norte,752.04,29.79,NNE
2023-07-23 11:00:00,Agusan del Norte,731.18,26.88,NNE
2023-07-23 14:00:00,Agusan del Norte,726.95,24.22,NNE
2023-07-23 17:00:00,Agusan del Norte,724.34,21.53,NNE
2023-07-23 20:00:00,Agusan del Norte,712.9,19.12,NNE
2023-07-23 23:00:00,Agusan del Norte,713.42,16.38,NNE
2023-07-24 02:00:00,Agusan del Norte,702.27,13.01,NNE
2023-07-24 05:00:00,Agusan del Norte,708.54,11.11,N
2023-07-24 08:00:00,Agusan del Norte,715.59,9.25,N
2023-07-24 11:00:00,Agusan del Norte,724.91,8.26,N
2023-07-24 14:00:00,Agusan del Norte,755.21,6.28,N
2023-07-24 17:00:00,Agusan del Norte,797.44,4.39,N
2023-07-24 20:00:00,Agusan del Norte,840.03,1.97,N
2023-07-24 23:00:00,Agusan del Norte,861.88,359.08,N
2023-07-25 02:00:00,Agusan del Norte,885.22,357.03,N
2023-07-25 05:00:00,Agusan del Norte,930.98,355.87,N
2023-07-25 08:00:00,Agusan del Norte,967.08,354.13,N
2023-07-25 11:00:00,Agusan del Norte,1016.51,352.01,N
2023-07-25 14:00:00,Agusan del Norte,1058.27,349.43,N
2023-07-25 17:00:00,Agusan del Norte,1099.65,347.6,NNW
2023-07-25 20:00:00,Agusan del Norte,1147.65,344.89,NNW
2023-07-25 23:00:00,Agusan del Norte,1177.03,342.06,NNW
2023-07-26 02:00:00,Agusan del Norte,1195.03,339.66,NNW
2023-07-26 05:00:00,Agusan del Norte,1192.55,338.52,NNW
2023-07-26 08:00:00,Agusan del Norte,1192.55,338.52,NNW
2023-07-26 11:00:00,Agusan del Norte,1221.2,338.01,NNW
2023-07-26 14:00:00,Agusan del Norte,1249.93,337.52,NNW
2023-07-26 17:00:00,Agusan del Norte,1268.61,336.85,NNW
2023-07-26 20:00:00,Agusan del Norte,1297.56,336.4,NNW
2023-07-26 23:00:00,Agusan del Norte,1331.08,335.57,NNW
2023-07-27 02:00:00,Agusan del Norte,1364.87,334.79,NNW
2023-07-27 05:00:00,Agusan del Norte,1409.35,335.22,NNW
2023-07-27 08:00:00,Agusan del Norte,1448.48,335.07,NNW
2023-07-27 11:00:00,Agusan del Norte,1482.4,334.37,NNW
2023-07-27 14:00:00,Agusan del Norte,1506.92,334.4,NNW
2023-07-27 17:00:00,Agusan del Norte,1541.34,334.63,NNW
2023-07-27 20:00:00,Agusan del Norte,1585.69,335.03,NNW
2023-07-27 23:00:00,Agusan del Norte,1625.55,335.74,NNW
2023-07-28 02:00:00,Agusan del Norte,1690.13,336.43,NNW
2023-07-28 05:00:00,Agusan del Norte,1764.99,337.22,NNW
2023-07-28 08:00:00,Agusan del Norte,1840.11,337.96,NNW
2023-07-28 11:00:00,Agusan del Norte,1919.49,338.36,NNW
2023-07-28 14:00:00,Agusan del Norte,1992.71,338.34,NNW
2023-07-28 17:00:00,Agusan del Norte,2082.22,338.83,NNW
2023-07-28 20:00:00,Agusan del Norte,2179.65,338.81,NNW
2023-07-28 23:00:00,Agusan del Norte,2283.2,339.15,NNW
2023-07-29 02:00:00,Agusan del Norte,2366.29,339.25,NNW
2023-07-29 05:00:00,Agusan del Norte,2481.37,338.94,NNW
2023-07-29 08:00:00,Agusan del Norte,2580.21,338.26,NNW
2023-07-29 11:00:00,Agusan del Norte,2699.31,337.87,NNW
2023-07-29 14:00:00,Agusan del Norte,2777.67,338.23,NNW
2023-07-29 17:00:00,Agusan del Norte,2844.11,338.03,NNW
2023-07-29 20:00:00,Agusan del Norte,2904.23,338.62,NNW
2023-07-29 23:00:00,Agusan del Norte,2948.41,338.84,NNW
2023-07-30 02:00:00,Agusan del Norte,3012.74,339.24,NNW
2023-07-30 05:00:00,Agusan del Norte,3097.36,339.8,NNW
2023-07-30 08:00:00,Agusan del Norte,3183.27,339.79,NNW
2023-07-30 11:00:00,Agusan del Norte,3221.14,339.75,NNW
2023-07-30 14:00:00,Agusan del Norte,3245.1,339.77,NNW
2023-07-30 17:00:00,Agusan del Norte,3272.86,339.64,NNW
2023-07-30 20:00:00,Agusan del Norte,3318.38,339.32,NNW
2023-07-30 23:00:00,Agusan del Norte,3332.28,339.26,NNW
2023-07-31 02:00:00,Agusan del Norte,3337.08,340.01,NNW
2023-07-31 05:00:00,Agusan del Norte,3353.54,340.32,NNW
2023-07-31 08:00:00,Agusan del Norte,3390.4,340.79,NNW
2023-07-20 14:00:00,Agusan del Sur,964.81,61.13,ENE
2023-07-20 17:00:00,Agusan del Sur,975.25,59.96,ENE
2023-07-20 20:00:00,Agusan del Sur,967.33,58.19,ENE
2023-07-20 23:00:00,Agusan del Sur,975.47,56.17,NE
