Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2023-07-26 14:00:00,Abra,2435.8,110.72,ESE
2023-07-26 17:00:00,Abra,2406.98,109.86,ESE
2023-07-26 20:00:00,Abra,2378.69,108.98,ESE
2023-07-26 23:00:00,Abra,2350.94,108.07,ESE
2023-07-27 02:00:00,Abra,2289.2,107.2,ESE
2023-07-27 05:00:00,Abra,2238.26,106.17,ESE
2023-07-27 08:00:00,Abra,2185.61,105.76,ESE
2023-07-27 11:00:00,Abra,2116.59,105.82,ESE
2023-07-27 14:00:00,Abra,2047.61,105.88,ESE
2023-07-27 17:00:00,Abra,1988.87,105.83,ESE
2023-07-27 20:00:00,Abra,1944.22,105.97,ESE
2023-07-27 23:00:00,Abra,1895.73,105.79,ESE
2023-07-28 02:00:00,Abra,1857.51,105.49,ESE
2023-07-28 05:00:00,Abra,1819.38,105.17,ESE
2023-07-28 08:00:00,Abra,1781.34,104.84,ESE
2023-07-28 11:00:00,Abra,1739.87,104.14,ESE
2023-07-28 14:00:00,Abra,1709.04,103.3,ESE
2023-07-28 17:00:00,Abra,1668.27,102.53,ESE
2023-07-28 20:00:00,Abra,1638.25,101.62,ESE
2023-07-28 23:00:00,Abra,1585.05,100.48,E
2023-07-29 02:00:00,Abra,1535.2,99.66,E
2023-07-29 05:00:00,Abra,1483.37,98.37,E
2023-07-29 08:00:00,Abra,1442.98,96.9,E
2023-07-29 11:00:00,Abra,1414.24,95.28,E
2023-07-29 14:00:00,Abra,1398.76,93.99,E
2023-07-29 17:00:00,Abra,1373.43,92.72,E
2023-07-29 20:00:00,Abra,1359.44,91.37,E
2023-07-29 23:00:00,Abra,1334.95,89.53,E
2023-07-30 02:00:00,Abra,1322.51,87.62,E
2023-07-30 05:00:00,Abra,1301.16,85.18,E
2023-07-30 08:00:00,Abra,1292.82,82.69,E
2023-07-30 11:00:00,Abra,1286.95,80.17,E
2023-07-30 14:00:00,Abra,1283.57,77.64,ENE
2023-07-30 17:00:00,Abra,1278.64,76.08,ENE
2023-07-30 20:00:00,Abra,1274.67,74.51,ENE
2023-07-30 23:00:00,Abra,1274.28,72.44,ENE
