Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2023-12-14 20:00:00,Abra,2670.2,123.07,ESE
2023-12-14 23:00:00,Abra,2639.11,122.97,ESE
2023-12-15 02:00:00,Abra,2616.95,122.72,ESE
2023-12-15 05:00:00,Abra,2594.83,122.46,ESE
2023-12-15 08:00:00,Abra,2563.8,122.35,ESE
2023-12-15 11:00:00,Abra,2499.38,122.48,ESE
2023-12-15 14:00:00,Abra,2417.17,122.94,ESE
2023-12-15 17:00:00,Abra,2350.64,123.48,ESE
2023-12-15 20:00:00,Abra,2288.53,123.26,ESE
2023-12-15 23:00:00,Abra,2215.43,123.6,ESE
2023-12-16 02:00:00,Abra,2147.23,124.62,SE
2023-12-16 05:00:00,Abra,2088.29,125.52,SE
2023-12-16 08:00:00,Abra,2045.42,126.5,SE
2023-12-16 11:00:00,Abra,1970.7,127.91,SE
2023-12-16 14:00:00,Abra,1874.02,129.14,SE
2023-12-16 17:00:00,Abra,1801.94,130.27,SE
2023-12-16 20:00:00,Abra,1730.55,131.49,SE
2023-12-16 23:00:00,Abra,1683.49,133.07,SE
2023-12-17 02:00:00,Abra,1645.21,134.45,SE
2023-12-17 05:00:00,Abra,1607.85,135.9,SE
2023-12-17 08:00:00,Abra,1578.67,137.1,SE
2023-12-17 11:00:00,Abra,1534.55,138.4,SE
2023-12-17 14:00:00,Abra,1489.4,139.17,SE
2023-12-17 17:00:00,Abra,1462.06,140.53,SE
2023-12-17 20:00:00,Abra,1438.01,142.56,SE
2023-12-17 23:00:00,Abra,1412.66,144.02,SE
2023-12-18 02:00:00,Abra,1382.24,145.92,SE
2023-12-18 05:00:00,Abra,1349.46,147.26,SSE
2023-12-18 08:00:00,Abra,1321.6,149.31,SSE
2023-12-18 11:00:00,Abra,1300.5,151.02,SSE
2023-12-18 14:00:00,Abra,1275.47,152.11,SSE
2023-12-18 17:00:00,Abra,1285.41,152.33,SSE
2023-12-18 20:00:00,Abra,1275.72,153.22,SSE
2023-12-18 23:00:00,Abra,1260.93,153.46,SSE
2023-12-19 02:00:00,Abra,1203.21,155.63,SSE
2023-12-14 20:00:00,Agusan del Norte,1764.23,108.37,ESE
2023-12-14 23:00:00,Agusan del Norte,1735.81,107.93,ESE
2023-12-15 02:00:00,Agusan del Norte,1717.99,107.34,ESE
2023-12-15 05:00:00,Agusan del Norte,1700.34,106.75,ESE
2023-12-15 08:00:00,Agusan del Norte,1672.32,106.26,ESE
2023-12-15 11:00:00,Agusan del Norte,1609.39,105.74,ESE
2023-12-15 14:00:00,Agusan del Norte,1525.44,105.41,ESE
2023-12-15 17:00:00,Agusan del Norte,1455.4,105.33,ESE
2023-12-15 20:00:00,Agusan del Norte,1400.43,104.11,ESE
2023-12-15 23:00:00,Agusan del Norte,1327.59,103.49,ESE
2023-12-16 02:00:00,Agusan del Norte,1249.98,103.92,ESE
2023-12-16 05:00:00,Agusan del Norte,1183.09,104.25,ESE
2023-12-16 08:00:00,Agusan del Norte,1129.95,105.01,ESE
2023-12-16 11:00:00,Agusan del Norte,1042.04,105.79,ESE
2023-12-16 14:00:00,Agusan del Norte,937.2,105.61,ESE
2023-12-16 17:00:00,Agusan del Norte,856.76,105.67,ESE
2023-12-16 20:00:00,Agusan del Norte,776.36,105.73,ESE
2023-12-16 23:00:00,Agusan del Norte,713.16,107.25,ESE
