Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2024-08-30 20:00:00,Abra,2004.65,117.13,ESE
2024-08-30 23:00:00,Abra,1893.4,117.98,ESE
2024-08-31 02:00:00,Abra,1782.59,118.92,ESE
2024-08-31 05:00:00,Abra,1678.37,120.28,ESE
2024-08-31 08:00:00,Abra,1568.8,121.48,ESE
2024-08-31 11:00:00,Abra,1453.51,122.47,ESE
2024-08-31 14:00:00,Abra,1354.12,123.72,ESE
2024-08-31 17:00:00,Abra,1270.87,125.24,SE
2024-08-31 20:00:00,Abra,1166.1,126.45,SE
2024-08-31 23:00:00,Abra,1077.46,127.96,SE
2024-09-01 02:00:00,Abra,997.82,129.3,SE
2024-09-01 05:00:00,Abra,933.98,131.86,SE
2024-09-01 08:00:00,Abra,871.77,133.76,SE
2024-09-01 11:00:00,Abra,786.42,134.27,SE
2024-09-01 14:00:00,Abra,716.75,134.88,SE
2024-09-01 17:00:00,Abra,654.67,134.91,SE
2024-09-01 20:00:00,Abra,585.19,135.69,SE
2024-09-01 23:00:00,Abra,508.68,137.55,SE
2024-09-02 02:00:00,Abra,441.57,140.95,SE
2024-09-02 05:00:00,Abra,402.08,140.4,SE
2024-09-02 08:00:00,Abra,354.17,138.58,SE
2024-09-02 11:00:00,Abra,291.33,136.21,SE
2024-09-02 14:00:00,Abra,229.34,132.52,SE
2024-09-02 17:00:00,Abra,171.74,120.99,ESE
2024-09-02 20:00:00,Abra,119.63,106.03,ESE
2024-09-02 23:00:00,Abra,73.22,81.16,E
2024-09-03 02:00:00,Abra,53.63,33.92,NE
2024-09-03 05:00:00,Abra,79.99,326.58,NNW
2024-09-03 08:00:00,Abra,124.37,308.88,NW
2024-09-03 11:00:00,Abra,165.26,302.77,WNW
2024-09-03 14:00:00,Abra,189.04,302.2,WNW
2024-09-03 17:00:00,Abra,212.83,301.76,WNW
2024-09-03 20:00:00,Abra,236.62,301.42,WNW
2024-09-03 23:00:00,Abra,260.4,301.15,WNW
2024-09-04 02:00:00,Abra,284.18,300.93,WNW
2024-09-04 05:00:00,Abra,317.11,299.81,WNW
2024-09-04 08:00:00,Abra,345.05,297.27,WNW
2024-09-04 11:00:00,Abra,359.44,298.12,WNW
2024-09-04 14:00:00,Abra,378.27,296.66,WNW
2024-09-04 17:00:00,Abra,402.02,296.8,WNW
2024-09-04 20:00:00,Abra,421.04,295.56,WNW
2024-09-04 23:00:00,Abra,459.64,293.4,WNW
2024-09-05 02:00:00,Abra,485.16,290.78,WNW
2024-09-05 05:00:00,Abra,511.65,288.43,WNW
2024-09-05 08:00:00,Abra,531.8,287.77,WNW
2024-09-05 11:00:00,Abra,565.19,287.96,WNW
2024-09-05 14:00:00,Abra,611.81,288.86,WNW
2024-09-05 17:00:00,Abra,652.06,287.77,WNW
2024-09-05 20:00:00,Abra,702.7,286.6,WNW
2024-09-05 23:00:00,Abra,763.83,285.42,WNW
2024-09-06 02:00:00,Abra,823.04,283.67,WNW
2024-09-06 05:00:00,Abra,864.28,283.13,WNW
2024-09-06 08:00:00,Abra,905.61,282.64,WNW
2024-09-06 11:00:00,Abra,953.03,284.19,WNW
2024-09-06 14:00:00,Abra,1008.81,284.84,WNW
2024-09-06 17:00:00,Abra,1064.62,285.44,WNW
2024-09-06 20:00:00,Abra,1128.27,285.32,WNW
2024-09-06 23:00:00,Abra,1194.19,285.75,WNW
2024-09-07 02:00:00,Abra,1257.73,285.65,WNW
2024-09-07 05:00:00,Abra,1300.82,285.76,WNW
2024-09-07 08:00:00,Abra,1354.09,285.77,WNW
2024-09-07 11:00:00,Abra,1409.58,286.23,WNW
2024-09-07 14:00:00,Abra,1465.06,286.67,WNW
2024-09-07 17:00:00,Abra,1528.31,286.59,WNW
2024-09-07 20:00:00,Abra,1579.15,286.2,WNW
2024-09-07 23:00:00,Abra,1609.7,285.98,WNW
2024-09-08 02:00:00,Abra,1640.29,285.77,WNW
2024-09-08 05:00:00,Abra,1670.9,285.57,WNW
2024-09-08 08:00:00,Abra,1703.54,285.75,WNW
2024-09-08 11:00:00,Abra,1725.96,285.99,WNW
2024-09-08 14:00:00,Abra,1750.51,286.59,WNW
2024-09-08 17:00:00,Abra,1772.98,286.82,WNW
2024-09-08 20:00:00,Abra,1795.45,287.04,WNW
2024-09-08 23:00:00,Abra,1820.18,287.61,WNW
2024-09-09 02:00:00,Abra,1857.49,288.43,WNW
2024-09-09 05:00:00,Abra,1882.49,288.96,WNW
2024-09-09 08:00:00,Abra,1915.05,289.08,WNW
2024-09-09 11:00:00,Abra,1990.74,287.91,WNW
2024-09-09 14:00:00,Abra,2067.45,286.83,WNW
2024-09-09 17:00:00,Abra,2114.52,285.98,WNW
2024-09-09 20:00:00,Abra,2133.17,285.59,WNW
2024-08-30 20:00:00,Agusan del Norte,1238.23,89.9,E
2024-08-30 23:00:00,Agusan del Norte,1127.92,88.35,E
2024-08-31 02:00:00,Agusan del Norte,1018.79,86.45,E
2024-08-31 05:00:00,Agusan del Norte,910.41,84.79,E
2024-08-31 08:00:00,Agusan del Norte,804.42,81.87,E
2024-08-31 11:00:00,Agusan del Norte,703.55,77.17,ENE
2024-08-31 14:00:00,Agusan del Norte,616.36,72.24,ENE
2024-08-31 17:00:00,Agusan del Norte,541.22,67.28,ENE
2024-08-31 20:00:00,Agusan del Norte,473.29,57.78,ENE
2024-08-31 23:00:00,Agusan del Norte,423.1,47.68,NE
2024-09-01 02:00:00,Agusan del Norte,395.92,36.64,NE
2024-09-01 05:00:00,Agusan del Norte,365.29,25.98,NNE
2024-09-01 08:00:00,Agusan del Norte,362.94,15.11,NNE
2024-09-01 11:00:00,Agusan del Norte,406.93,4.13,N
2024-09-01 14:00:00,Agusan del Norte,451.04,356.83,N
2024-09-01 17:00:00,Agusan del Norte,499.56,352.15,N
2024-09-01 20:00:00,Agusan del Norte,553.18,347.24,NNW
2024-09-01 23:00:00,Agusan del Norte,613.42,342.28,NNW
2024-09-02 02:00:00,Agusan del Norte,667.19,337.88,NNW
2024-09-02 05:00:00,Agusan del Norte,706.3,337.31,NNW
2024-09-02 08:00:00,Agusan del Norte,755.64,337.14,NNW
2024-09-02 11:00:00,Agusan del Norte,819.48,336.63,NNW
2024-09-02 14:00:00,Agusan del Norte,883.35,336.2,NNW
2024-09-02 17:00:00,Agusan del Norte,952.93,336.7,NNW
2024-09-02 20:00:00,Agusan del Norte,1016.73,336.34,NNW
2024-09-02 23:00:00,Agusan del Norte,1075.01,335.26,NNW
2024-09-03 02:00:00,Agusan del Norte,1123.7,334.05,NNW
2024-09-03 05:00:00,Agusan del Norte,1178.54,331.33,NNW
2024-09-03 08:00:00,Agusan del Norte,1215.23,329.42,NNW
