Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2024-09-15 08:00:00,Abra,580.61,99.12,E
2024-09-15 11:00:00,Abra,620.66,97.38,E
2024-09-15 14:00:00,Abra,629.54,96.22,E
2024-09-15 17:00:00,Abra,606.99,95.46,E
2024-09-15 20:00:00,Abra,575.34,95.85,E
2024-09-15 23:00:00,Abra,552.88,94.99,E
2024-09-16 02:00:00,Abra,530.58,94.06,E
2024-09-16 05:00:00,Abra,509.44,94.29,E
2024-09-16 08:00:00,Abra,488.3,94.54,E
2024-09-16 11:00:00,Abra,466.12,93.44,E
2024-09-16 14:00:00,Abra,434.39,93.79,E
2024-09-16 17:00:00,Abra,370.03,92.92,E
2024-09-16 20:00:00,Abra,295.97,93.89,E
2024-09-16 23:00:00,Abra,210.53,92.73,E
2024-09-17 02:00:00,Abra,104.19,89.85,E
2024-09-17 05:00:00,Abra,1.8,270.0,W
2024-09-17 08:00:00,Abra,97.85,263.61,W
2024-09-17 11:00:00,Abra,164.34,258.52,WSW
2024-09-17 14:00:00,Abra,208.21,257.95,WSW
2024-09-17 17:00:00,Abra,272.86,258.62,WSW
2024-09-17 20:00:00,Abra,337.57,259.07,W
2024-09-17 23:00:00,Abra,421.15,261.47,W
2024-09-18 02:00:00,Abra,506.91,261.87,W
2024-09-18 05:00:00,Abra,589.47,264.33,W
2024-09-18 08:00:00,Abra,673.92,265.26,W
2024-09-18 11:00:00,Abra,757.36,266.86,W
2024-09-18 14:00:00,Abra,830.57,268.11,W
2024-09-18 17:00:00,Abra,904.0,269.17,W
2024-09-18 20:00:00,Abra,978.19,269.43,W
2024-09-18 23:00:00,Abra,1051.8,270.29,W
2024-09-19 02:00:00,Abra,1114.92,271.02,W
2024-09-19 05:00:00,Abra,1210.29,271.2,W
2024-09-19 08:00:00,Abra,1296.16,270.37,W
2024-09-19 11:00:00,Abra,1371.82,269.62,W
2024-09-19 14:00:00,Abra,1426.62,268.89,W
2024-09-19 17:00:00,Abra,1470.04,268.6,W
2024-09-19 20:00:00,Abra,1501.83,268.72,W
2024-09-19 23:00:00,Abra,1534.71,268.42,W
2024-09-20 02:00:00,Abra,1555.9,268.5,W
2024-09-20 05:00:00,Abra,1590.09,267.81,W
2024-09-20 08:00:00,Abra,1632.45,267.99,W
2024-09-20 11:00:00,Abra,1672.46,268.92,W
