Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2024-09-15 08:00:00,Abra,2646.88,100.03,E
2024-09-15 11:00:00,Abra,2622.9,99.93,E
2024-09-15 14:00:00,Abra,2609.38,99.76,E
2024-09-15 17:00:00,Abra,2603.35,99.27,E
2024-09-15 20:00:00,Abra,2589.01,98.05,E
2024-09-15 23:00:00,Abra,2557.26,97.19,E
2024-09-16 02:00:00,Abra,2523.69,96.04,E
2024-09-16 05:00:00,Abra,2478.41,94.66,E
2024-09-16 08:00:00,Abra,2422.21,93.01,E
2024-09-16 11:00:00,Abra,2362.31,92.14,E
2024-09-16 14:00:00,Abra,2294.01,91.54,E
2024-09-16 17:00:00,Abra,2235.39,90.57,E
2024-09-16 20:00:00,Abra,2178.71,89.85,E
2024-09-16 23:00:00,Abra,2120.66,88.48,E
2024-09-17 02:00:00,Abra,2063.54,86.71,E
2024-09-17 05:00:00,Abra,2008.68,84.85,E
2024-09-17 08:00:00,Abra,1935.91,82.2,E
2024-09-17 11:00:00,Abra,1837.83,78.91,E
2024-09-17 14:00:00,Abra,1725.07,75.52,ENE
2024-09-17 17:00:00,Abra,1620.8,73.29,ENE
2024-09-17 20:00:00,Abra,1527.26,71.24,ENE
2024-09-17 23:00:00,Abra,1469.28,68.85,ENE
2024-09-18 02:00:00,Abra,1427.88,65.97,ENE
2024-09-18 05:00:00,Abra,1376.91,63.19,ENE
2024-09-18 08:00:00,Abra,1329.83,60.21,ENE
2024-09-18 11:00:00,Abra,1289.26,55.92,NE
2024-09-18 14:00:00,Abra,1248.76,51.12,NE
2024-09-18 17:00:00,Abra,1240.9,46.26,NE
2024-09-18 20:00:00,Abra,1235.65,41.06,NE
2024-09-18 23:00:00,Abra,1229.05,35.14,NE
2024-09-19 02:00:00,Abra,1247.07,30.03,NNE
2024-09-19 05:00:00,Abra,1265.47,25.36,NNE
2024-09-19 08:00:00,Abra,1296.43,21.28,NNE
2024-09-19 11:00:00,Abra,1352.06,16.73,NNE
2024-09-19 14:00:00,Abra,1392.21,12.43,NNE
2024-09-19 17:00:00,Abra,1418.41,8.57,N
2024-09-19 20:00:00,Abra,1464.35,5.61,N
2024-09-19 23:00:00,Abra,1493.31,3.63,N
2024-09-20 02:00:00,Abra,1523.86,1.38,N
2024-09-20 05:00:00,Abra,1556.77,359.59,N
2024-09-20 08:00:00,Abra,1590.64,358.57,N
2024-09-20 11:00:00,Abra,1612.87,358.59,N
2024-09-20 14:00:00,Abra,1645.83,359.28,N
2024-09-20 17:00:00,Abra,1667.94,0.27,N
2024-09-20 20:00:00,Abra,1690.85,1.55,N
2024-09-20 23:00:00,Abra,1714.68,2.79,N
