Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2024-10-24 08:00:00,Abra,3175.77,95.76,E
2024-10-24 11:00:00,Abra,3086.23,95.73,E
2024-10-24 14:00:00,Abra,3007.31,95.65,E
2024-10-24 17:00:00,Abra,2930.97,95.77,E
2024-10-24 20:00:00,Abra,2854.65,95.9,E
2024-10-24 23:00:00,Abra,2788.9,95.98,E
2024-10-25 02:00:00,Abra,2744.25,95.96,E
2024-10-25 05:00:00,Abra,2697.19,95.69,E
2024-10-25 08:00:00,Abra,2637.37,95.22,E
2024-10-25 11:00:00,Abra,2533.39,94.68,E
2024-10-25 14:00:00,Abra,2419.33,94.12,E
2024-10-25 17:00:00,Abra,2309.63,94.05,E
2024-10-25 20:00:00,Abra,2208.75,93.63,E
2024-10-25 23:00:00,Abra,2113.93,92.2,E
2024-10-26 02:00:00,Abra,2023.44,91.27,E
2024-10-26 05:00:00,Abra,1905.58,91.35,E
2024-10-26 08:00:00,Abra,1799.63,91.74,E
2024-10-26 11:00:00,Abra,1713.6,91.69,E
2024-10-26 14:00:00,Abra,1660.63,91.9,E
2024-10-26 17:00:00,Abra,1597.08,92.16,E
2024-10-26 20:00:00,Abra,1533.53,92.43,E
2024-10-26 23:00:00,Abra,1448.83,92.82,E
2024-10-27 02:00:00,Abra,1385.32,93.13,E
2024-10-27 05:00:00,Abra,1332.41,93.41,E
2024-10-27 08:00:00,Abra,1300.68,93.58,E
2024-10-27 11:00:00,Abra,1258.37,93.82,E
2024-10-27 14:00:00,Abra,1226.65,94.01,E
2024-10-27 17:00:00,Abra,1185.87,94.81,E
2024-10-27 20:00:00,Abra,1143.63,95.11,E
2024-10-27 23:00:00,Abra,1099.84,94.86,E
2024-10-28 02:00:00,Abra,1045.53,94.65,E
2024-10-28 05:00:00,Abra,992.73,95.05,E
2024-10-28 08:00:00,Abra,950.51,95.4,E
2024-10-28 11:00:00,Abra,918.86,95.67,E
2024-10-28 14:00:00,Abra,888.92,96.68,E
2024-10-28 17:00:00,Abra,855.61,96.28,E
2024-10-28 20:00:00,Abra,832.92,95.74,E
2024-10-28 23:00:00,Abra,808.96,94.39,E
2024-10-29 02:00:00,Abra,785.52,92.95,E
2024-10-29 05:00:00,Abra,741.45,91.53,E
2024-10-29 08:00:00,Abra,708.58,89.89,E
2024-10-29 11:00:00,Abra,665.9,89.05,E
2024-10-29 14:00:00,Abra,634.46,86.08,E
