Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2024-12-22 02:00:00,Abra,1012.14,215.22,SW
2024-12-22 05:00:00,Abra,1015.43,216.6,SW
2024-12-22 08:00:00,Abra,1019.26,217.97,SW
2024-12-22 11:00:00,Abra,1030.4,219.81,SW
2024-12-22 14:00:00,Abra,1035.52,221.15,SW
2024-12-22 17:00:00,Abra,1056.73,222.53,SW
2024-12-22 20:00:00,Abra,1078.49,223.85,SW
2024-12-22 23:00:00,Abra,1085.19,225.1,SW
2024-12-23 02:00:00,Abra,1092.36,226.34,SW
2024-12-23 05:00:00,Abra,1084.61,228.41,SW
2024-12-23 08:00:00,Abra,1085.6,230.07,SW
2024-12-23 11:00:00,Abra,1101.95,230.83,SW
2024-12-23 14:00:00,Abra,1110.19,231.2,SW
2024-12-23 17:00:00,Abra,1102.96,231.64,SW
2024-12-23 20:00:00,Abra,1104.17,232.45,SW
2024-12-23 23:00:00,Abra,1105.6,233.26,SW
2024-12-24 02:00:00,Abra,1107.23,234.06,SW
2024-12-24 05:00:00,Abra,1107.23,234.06,SW
2024-12-24 08:00:00,Abra,1122.66,233.96,SW
2024-12-24 11:00:00,Abra,1124.46,234.75,SW
2024-12-24 14:00:00,Abra,1141.85,235.42,SW
2024-12-24 17:00:00,Abra,1157.23,235.3,SW
2024-12-24 20:00:00,Abra,1181.35,235.5,SW
2024-12-24 23:00:00,Abra,1205.48,235.7,SW
2024-12-25 02:00:00,Abra,1236.26,235.48,SW
2024-12-25 05:00:00,Abra,1275.8,235.56,SW
2024-12-25 08:00:00,Abra,1322.05,235.25,SW
2024-12-25 11:00:00,Abra,1373.43,233.95,SW
2024-12-25 14:00:00,Abra,1417.08,232.45,SW
2024-12-25 17:00:00,Abra,1455.37,231.99,SW
2024-12-25 20:00:00,Abra,1494.86,232.17,SW
2024-12-25 23:00:00,Abra,1542.78,232.6,SW
2024-12-26 02:00:00,Abra,1583.72,233.32,SW
2024-12-26 05:00:00,Abra,1624.87,234.01,SW
2024-12-26 08:00:00,Abra,1657.59,234.42,SW
2024-12-26 11:00:00,Abra,1683.57,235.13,SW
2024-12-26 14:00:00,Abra,1718.54,236.04,SW
2024-12-22 02:00:00,Agusan del Norte,1129.05,277.33,W
2024-12-22 05:00:00,Agusan del Norte,1151.95,277.78,W
2024-12-22 08:00:00,Agusan del Norte,1174.92,278.21,W
