Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2025-07-23 08:00:00,Abra,134.01,354.73,N
2025-07-23 11:00:00,Abra,93.35,315.72,NW
2025-07-23 14:00:00,Abra,112.75,287.36,WNW
2025-07-23 17:00:00,Abra,153.73,282.75,WNW
2025-07-23 20:00:00,Abra,195.29,280.11,W
2025-07-23 23:00:00,Abra,245.9,267.76,W
2025-07-24 02:00:00,Abra,288.6,254.74,WSW
2025-07-24 05:00:00,Abra,284.57,244.9,WSW
2025-07-24 08:00:00,Abra,265.11,234.34,SW
2025-07-24 11:00:00,Abra,247.54,224.29,SW
2025-07-24 14:00:00,Abra,235.36,216.76,SW
2025-07-24 17:00:00,Abra,229.18,214.61,SW
2025-07-24 20:00:00,Abra,204.82,215.64,SW
2025-07-24 23:00:00,Abra,159.22,213.19,SSW
2025-07-25 02:00:00,Abra,109.44,203.94,SSW
2025-07-25 05:00:00,Abra,78.82,189.09,S
2025-07-25 08:00:00,Abra,38.6,149.78,SSE
2025-07-25 11:00:00,Abra,56.29,8.97,N
2025-07-25 14:00:00,Abra,191.37,8.93,N
2025-07-25 17:00:00,Abra,378.26,24.08,NNE
2025-07-25 20:00:00,Abra,574.7,31.18,NNE
2025-07-25 23:00:00,Abra,703.41,32.48,NNE
2025-07-26 02:00:00,Abra,802.23,33.02,NNE
2025-07-26 05:00:00,Abra,907.97,31.54,NNE
2025-07-26 08:00:00,Abra,1004.58,30.67,NNE
2025-07-26 11:00:00,Abra,1082.4,30.55,NNE
2025-07-26 14:00:00,Abra,1141.44,31.04,NNE
2025-07-26 17:00:00,Abra,1184.2,30.26,NNE
2025-07-26 20:00:00,Abra,1208.29,30.09,NNE
2025-07-26 23:00:00,Abra,1224.51,31.27,NNE
2025-07-27 02:00:00,Abra,1237.95,33.09,NNE
2025-07-27 05:00:00,Abra,1234.79,33.77,NE
2025-07-27 08:00:00,Abra,1243.93,35.19,NE
2025-07-27 11:00:00,Abra,1294.49,37.98,NE
2025-07-27 14:00:00,Abra,1355.08,40.85,NE
2025-07-27 17:00:00,Abra,1389.4,43.57,NE
2025-07-27 20:00:00,Abra,1389.24,44.81,NE
2025-07-27 23:00:00,Abra,1345.59,42.46,NE
2025-07-28 02:00:00,Abra,1299.35,38.97,NE
2025-07-28 05:00:00,Abra,1251.71,37.27,NE
2025-07-28 08:00:00,Abra,1224.06,36.52,NE
2025-07-28 11:00:00,Abra,1245.32,36.91,NE
2025-07-28 14:00:00,Abra,1275.14,36.96,NE
2025-07-28 17:00:00,Abra,1282.46,34.97,NE
2025-07-28 20:00:00,Abra,1274.34,31.92,NNE
2025-07-28 23:00:00,Abra,1221.33,28.06,NNE
2025-07-29 02:00:00,Abra,1179.23,24.29,NNE
2025-07-29 05:00:00,Abra,1160.81,20.96,NNE
2025-07-29 08:00:00,Abra,1167.12,18.74,NNE
2025-07-29 11:00:00,Abra,1192.03,17.29,NNE
2025-07-29 14:00:00,Abra,1220.65,16.35,NNE
2025-07-29 17:00:00,Abra,1233.42,14.72,NNE
2025-07-29 20:00:00,Abra,1255.67,12.57,NNE
2025-07-29 23:00:00,Abra,1281.73,10.94,N
2025-07-30 02:00:00,Abra,1321.55,9.71,N
2025-07-30 05:00:00,Abra,1360.45,8.15,N
2025-07-30 08:00:00,Abra,1389.34,6.75,N
2025-07-30 11:00:00,Abra,1430.17,5.37,N
2025-07-30 14:00:00,Abra,1461.56,4.48,N
2025-07-30 17:00:00,Abra,1493.31,3.63,N
2025-07-30 20:00:00,Abra,1514.31,2.85,N
2025-07-30 23:00:00,Abra,1512.52,1.03,N
2025-07-31 02:00:00,Abra,1512.41,359.21,N
2025-07-31 05:00:00,Abra,1524.64,357.78,N
2025-07-31 08:00:00,Abra,1549.0,356.4,N
2025-07-31 11:00:00,Abra,1596.46,355.14,N
2025-07-31 14:00:00,Abra,1633.66,353.93,N
2025-07-31 17:00:00,Abra,1641.48,351.95,N
2025-07-31 20:00:00,Abra,1636.97,350.57,N
2025-07-31 23:00:00,Abra,1616.91,350.09,N
2025-08-01 02:00:00,Abra,1604.2,350.35,N
2025-08-01 05:00:00,Abra,1595.1,349.94,N
2025-08-01 08:00:00,Abra,1596.98,349.6,N
2025-08-01 11:00:00,Abra,1598.92,349.26,N
2025-08-01 14:00:00,Abra,1600.93,348.93,N
2025-08-01 17:00:00,Abra,1622.65,349.1,N
2025-08-01 20:00:00,Abra,1644.39,349.27,N
2025-08-01 23:00:00,Abra,1668.12,349.11,N
2025-08-02 02:00:00,Abra,1681.0,348.87,N
2025-07-23 08:00:00,Agusan del Norte,1222.12,334.19,NNW
2025-07-23 11:00:00,Agusan del Norte,1189.23,330.44,NNW
2025-07-23 14:00:00,Agusan del Norte,1183.54,327.84,NNW
2025-07-23 17:00:00,Agusan del Norte,1207.47,326.16,NW
2025-07-23 20:00:00,Agusan del Norte,1232.45,324.54,NW
2025-07-23 23:00:00,Agusan del Norte,1230.85,321.31,NW
2025-07-24 02:00:00,Agusan del Norte,1202.56,318.07,NW
2025-07-24 05:00:00,Agusan del Norte,1155.76,317.31,NW
2025-07-24 08:00:00,Agusan del Norte,1102.11,317.69,NW
2025-07-24 11:00:00,Agusan del Norte,1056.6,318.53,NW
2025-07-24 14:00:00,Agusan del Norte,1026.76,319.43,NW
2025-07-24 17:00:00,Agusan del Norte,1019.65,319.88,NW
2025-07-24 20:00:00,Agusan del Norte,1029.5,321.15,NW
2025-07-24 23:00:00,Agusan del Norte,1035.38,323.7,NW
2025-07-25 02:00:00,Agusan del Norte,1037.29,326.71,NNW
2025-07-25 05:00:00,Agusan del Norte,1038.3,328.87,NNW
2025-07-25 08:00:00,Agusan del Norte,1060.13,331.62,NNW
2025-07-25 11:00:00,Agusan del Norte,1143.31,333.36,NNW
2025-07-25 14:00:00,Agusan del Norte,1254.17,337.08,NNW
2025-07-25 17:00:00,Agusan del Norte,1357.35,344.65,NNW
2025-07-25 20:00:00,Agusan del Norte,1467.22,351.73,N
2025-07-25 23:00:00,Agusan del Norte,1556.7,355.31,N
2025-07-26 02:00:00,Agusan del Norte,1630.38,357.72,N
2025-07-26 05:00:00,Agusan del Norte,1729.25,359.22,N
2025-07-26 08:00:00,Agusan del Norte,1818.13,0.55,N
2025-07-26 11:00:00,Agusan del Norte,1885.71,1.76,N
2025-07-26 14:00:00,Agusan del Norte,1931.94,2.91,N
2025-07-26 17:00:00,Agusan del Norte,1976.92,3.13,N
2025-07-26 20:00:00,Agusan del Norte,1999.74,3.38,N
2025-07-26 23:00:00,Agusan del Norte,2001.93,4.24,N
2025-07-27 02:00:00,Agusan del Norte,1994.57,5.43,N
2025-07-27 05:00:00,Agusan del Norte,1984.58,5.75,N
2025-07-27 08:00:00,Agusan del Norte,1977.1,6.66,N
2025-07-27 11:00:00,Agusan del Norte,1989.05,8.97,N
2025-07-27 14:00:00,Agusan del Norte,2006.65,11.53,NNE
2025-07-27 17:00:00,Agusan del Norte,2001.82,13.65,NNE
2025-07-27 20:00:00,Agusan del Norte,1985.7,14.38,NNE
2025-07-27 23:00:00,Agusan del Norte,1978.7,12.32,NNE
2025-07-28 02:00:00,Agusan del Norte,1981.66,9.6,N
2025-07-28 05:00:00,Agusan del Norte,1960.66,7.92,N
2025-07-28 08:00:00,Agusan del Norte,1945.35,7.08,N
2025-07-28 11:00:00,Agusan del Norte,1959.17,7.63,N
2025-07-28 14:00:00,Agusan del Norte,1984.16,8.11,N
2025-07-28 17:00:00,Agusan del Norte,2012.8,7.11,N
2025-07-28 20:00:00,Agusan del Norte,2038.8,5.29,N
2025-07-28 23:00:00,Agusan del Norte,2031.37,2.47,N
2025-07-29 02:00:00,Agusan del Norte,2029.31,359.91,N
2025-07-29 05:00:00,Agusan del Norte,2041.87,357.94,N
2025-07-29 08:00:00,Agusan del Norte,2066.08,356.85,N
2025-07-29 11:00:00,Agusan del Norte,2100.66,356.36,N
2025-07-29 14:00:00,Agusan del Norte,2134.65,356.16,N
2025-07-29 17:00:00,Agusan del Norte,2159.23,355.41,N
2025-07-29 20:00:00,Agusan del Norte,2196.31,354.46,N
2025-07-29 23:00:00,Agusan del Norte,2232.81,353.79,N
2025-07-30 02:00:00,Agusan del Norte,2279.38,353.44,N
2025-07-30 05:00:00,Agusan del Norte,2327.38,352.86,N
2025-07-30 08:00:00,Agusan del Norte,2364.64,352.27,N
2025-07-30 11:00:00,Agusan del Norte,2413.14,351.74,N
2025-07-30 14:00:00,Agusan del Norte,2449.24,351.42,N
2025-07-30 17:00:00,Agusan del Norte,2485.42,351.11,N
2025-07-30 20:00:00,Agusan del Norte,2510.75,350.77,N
2025-07-30 23:00:00,Agusan del Norte,2520.07,349.68,N
2025-07-31 02:00:00,Agusan del Norte,2530.43,348.6,NNW
2025-07-31 05:00:00,Agusan del Norte,2550.22,347.8,NNW
2025-07-31 08:00:00,Agusan del Norte,2581.29,347.09,NNW
2025-07-31 11:00:00,Agusan del Norte,2634.21,346.53,NNW
2025-07-31 14:00:00,Agusan del Norte,2676.72,345.93,NNW
2025-07-31 17:00:00,Agusan del Norte,2693.4,344.74,NNW
2025-07-31 20:00:00,Agusan del Norte,2694.73,343.88,NNW
2025-07-31 23:00:00,Agusan del Norte,2676.79,343.53,NNW
2025-08-01 02:00:00,Agusan del Norte,2663.19,343.64,NNW
2025-08-01 05:00:00,Agusan del Norte,2655.81,343.36,NNW
2025-08-01 08:00:00,Agusan del Norte,2658.97,343.17,NNW
2025-08-01 11:00:00,Agusan del Norte,2662.17,342.97,NNW
2025-08-01 14:00:00,Agusan del Norte,2665.41,342.77,NNW
2025-08-01 17:00:00,Agusan del Norte,2686.3,342.94,NNW
2025-08-01 20:00:00,Agusan del Norte,2707.21,343.11,NNW
2025-08-01 23:00:00,Agusan del Norte,2731.33,343.08,NNW
2025-08-02 02:00:00,Agusan del Norte,2744.98,342.97,NNW
2025-07-23 08:00:00,Agusan del Sur,1275.84,333.3,NNW
2025-07-23 11:00:00,Agusan del Sur,1244.18,329.69,NNW
2025-07-23 14:00:00,Agusan del Sur,1239.21,327.2,NNW
2025-07-23 17:00:00,Agusan del Sur,1263.55,325.6,NW
2025-07-23 20:00:00,Agusan del Sur,1288.88,324.07,NW
2025-07-23 23:00:00,Agusan del Sur,1287.84,320.97,NW
2025-07-24 02:00:00,Agusan del Sur,1259.95,317.87,NW
2025-07-24 05:00:00,Agusan del Sur,1213.21,317.14,NW
2025-07-24 08:00:00,Agusan del Sur,1159.53,317.49,NW
2025-07-24 11:00:00,Agusan del Sur,1113.94,318.28,NW
2025-07-24 14:00:00,Agusan del Sur,1084.0,319.12,NW
2025-07-24 17:00:00,Agusan del Sur,1076.84,319.54,NW
2025-07-24 20:00:00,Agusan del Sur,1086.52,320.75,NW
2025-07-24 23:00:00,Agusan del Sur,1091.98,323.18,NW
2025-07-25 02:00:00,Agusan del Sur,1093.25,326.03,NW
2025-07-25 05:00:00,Agusan del Sur,1093.72,328.08,NNW
2025-07-25 08:00:00,Agusan del Sur,1114.74,330.71,NNW
2025-07-25 11:00:00,Agusan del Sur,1197.33,332.44,NNW
2025-07-25 14:00:00,Agusan del Sur,1306.79,336.09,NNW
2025-07-25 17:00:00,Agusan del Sur,1406.46,343.48,NNW
2025-07-25 20:00:00,Agusan del Sur,1512.27,350.43,N
2025-07-25 23:00:00,Agusan del Sur,1599.42,353.99,N
2025-07-26 02:00:00,Agusan del Sur,1671.43,356.4,N
2025-07-26 05:00:00,Agusan del Sur,1769.21,357.95,N
2025-07-26 08:00:00,Agusan del Sur,1857.1,359.32,N
2025-07-26 11:00:00,Agusan del Sur,1923.77,0.55,N
2025-07-26 14:00:00,Agusan del Sur,1969.11,1.72,N
2025-07-26 17:00:00,Agusan del Sur,2013.91,1.96,N
2025-07-26 20:00:00,Agusan del Sur,2036.54,2.22,N
2025-07-26 23:00:00,Agusan del Sur,2038.06,3.07,N
2025-07-27 02:00:00,Agusan del Sur,2029.77,4.23,N
2025-07-27 05:00:00,Agusan del Sur,2019.53,4.54,N
2025-07-27 08:00:00,Agusan del Sur,2011.33,5.43,N
2025-07-27 11:00:00,Agusan del Sur,2021.39,7.71,N
2025-07-27 14:00:00,Agusan del Sur,2036.84,10.24,N
2025-07-27 17:00:00,Agusan del Sur,2030.18,12.33,NNE
2025-07-27 20:00:00,Agusan del Sur,2013.43,13.04,NNE
2025-07-27 23:00:00,Agusan del Sur,2008.23,11.0,N
2025-07-28 02:00:00,Agusan del Sur,2013.47,8.33,N
