Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2025-08-07 08:00:00,Abra,2873.39,83.99,E
2025-08-07 11:00:00,Abra,2872.92,83.76,E
2025-08-07 14:00:00,Abra,2861.96,83.54,E
2025-08-07 17:00:00,Abra,2829.66,83.1,E
2025-08-07 20:00:00,Abra,2787.07,82.65,E
2025-08-07 23:00:00,Abra,2744.74,82.19,E
2025-08-08 02:00:00,Abra,2702.67,81.71,E
2025-08-08 05:00:00,Abra,2671.49,80.97,E
2025-08-08 08:00:00,Abra,2651.61,79.97,E
2025-08-08 11:00:00,Abra,2621.62,79.2,E
2025-08-08 14:00:00,Abra,2591.54,78.66,ENE
2025-08-08 17:00:00,Abra,2550.66,78.35,ENE
2025-08-08 20:00:00,Abra,2499.54,78.01,ENE
2025-08-08 23:00:00,Abra,2459.86,77.41,ENE
2025-08-09 02:00:00,Abra,2430.86,76.81,ENE
2025-08-09 05:00:00,Abra,2402.2,76.19,ENE
2025-08-09 08:00:00,Abra,2372.59,75.84,ENE
2025-08-09 11:00:00,Abra,2322.59,75.41,ENE
2025-08-09 14:00:00,Abra,2271.32,75.24,ENE
2025-08-09 17:00:00,Abra,2220.1,75.06,ENE
2025-08-09 20:00:00,Abra,2177.6,75.2,ENE
2025-08-09 23:00:00,Abra,2136.62,75.04,ENE
2025-08-10 02:00:00,Abra,2095.68,74.88,ENE
2025-08-10 05:00:00,Abra,2024.11,74.56,ENE
2025-08-10 08:00:00,Abra,1944.36,73.84,ENE
2025-08-10 11:00:00,Abra,1895.55,73.22,ENE
2025-08-10 14:00:00,Abra,1834.73,72.85,ENE
2025-08-10 17:00:00,Abra,1753.82,72.3,ENE
2025-08-10 20:00:00,Abra,1670.69,72.07,ENE
2025-08-10 23:00:00,Abra,1595.15,72.27,ENE
2025-08-11 02:00:00,Abra,1532.1,72.15,ENE
2025-08-11 05:00:00,Abra,1461.61,71.49,ENE
2025-08-11 08:00:00,Abra,1398.6,71.31,ENE
2025-08-11 11:00:00,Abra,1330.06,72.03,ENE
2025-08-11 14:00:00,Abra,1264.18,72.33,ENE
2025-08-11 17:00:00,Abra,1206.59,71.09,ENE
2025-08-11 20:00:00,Abra,1143.11,69.04,ENE
2025-08-11 23:00:00,Abra,1057.19,68.82,ENE
2025-08-12 02:00:00,Abra,971.2,68.53,ENE
2025-08-12 05:00:00,Abra,916.16,66.61,ENE
2025-08-12 08:00:00,Abra,866.84,63.76,ENE
2025-08-12 11:00:00,Abra,801.74,59.89,ENE
2025-08-12 14:00:00,Abra,741.3,55.34,NE
2025-08-12 17:00:00,Abra,679.88,50.76,NE
2025-08-12 20:00:00,Abra,639.14,45.19,NE
2025-08-12 23:00:00,Abra,598.92,38.18,NE
2025-08-13 02:00:00,Abra,569.29,30.3,NNE
2025-08-13 05:00:00,Abra,535.57,23.66,NNE
2025-08-13 08:00:00,Abra,520.85,15.89,NNE
2025-08-13 11:00:00,Abra,549.5,7.35,N
2025-08-13 14:00:00,Abra,589.34,359.83,N
2025-08-13 17:00:00,Abra,629.97,351.43,N
2025-08-13 20:00:00,Abra,672.09,343.96,NNW
2025-08-07 08:00:00,Agusan del Norte,2621.81,64.02,ENE
2025-08-07 11:00:00,Agusan del Norte,2625.75,63.79,ENE
2025-08-07 14:00:00,Agusan del Norte,2619.89,63.47,ENE
2025-08-07 17:00:00,Agusan del Norte,2598.67,62.74,ENE
2025-08-07 20:00:00,Agusan del Norte,2568.23,61.91,ENE
2025-08-07 23:00:00,Agusan del Norte,2538.41,61.06,ENE
2025-08-08 02:00:00,Agusan del Norte,2509.25,60.18,ENE
