Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2025-09-03 20:00:00,Abra,1537.64,45.25,NE
2025-09-03 23:00:00,Abra,1552.52,42.96,NE
2025-09-04 02:00:00,Abra,1584.8,40.69,NE
2025-09-04 05:00:00,Abra,1642.53,38.23,NE
2025-09-04 08:00:00,Abra,1715.56,36.45,NE
2025-09-04 11:00:00,Abra,1787.46,35.27,NE
2025-09-04 14:00:00,Abra,1851.21,34.39,NE
2025-09-04 17:00:00,Abra,1923.97,33.36,NNE
2025-09-04 20:00:00,Abra,1994.01,32.81,NNE
2025-09-04 23:00:00,Abra,2040.71,32.45,NNE
2025-09-05 02:00:00,Abra,2110.19,32.93,NNE
2025-09-05 05:00:00,Abra,2209.25,34.32,NE
2025-09-05 08:00:00,Abra,2340.72,36.41,NE
2025-09-05 11:00:00,Abra,2496.31,38.34,NE
2025-09-05 14:00:00,Abra,2668.35,40.24,NE
2025-09-05 17:00:00,Abra,2822.24,41.78,NE
2025-09-05 20:00:00,Abra,2971.64,43.28,NE
2025-09-03 20:00:00,Agusan del Norte,2106.17,16.87,NNE
2025-09-03 23:00:00,Agusan del Norte,2149.8,15.63,NNE
2025-09-04 02:00:00,Agusan del Norte,2207.9,14.6,NNE
2025-09-04 05:00:00,Agusan del Norte,2290.74,13.72,NNE
2025-09-04 08:00:00,Agusan del Norte,2379.08,13.36,NNE
2025-09-04 11:00:00,Agusan del Norte,2459.24,13.32,NNE
2025-09-04 14:00:00,Agusan del Norte,2528.64,13.33,NNE
2025-09-04 17:00:00,Agusan del Norte,2608.72,13.28,NNE
2025-09-04 20:00:00,Agusan del Norte,2680.6,13.49,NNE
2025-09-04 23:00:00,Agusan del Norte,2728.51,13.61,NNE
2025-09-05 02:00:00,Agusan del Norte,2787.14,14.49,NNE
2025-09-05 05:00:00,Agusan del Norte,2861.41,16.23,NNE
2025-09-05 08:00:00,Agusan del Norte,2955.79,18.73,NNE
2025-09-05 11:00:00,Agusan del Norte,3074.21,21.27,NNE
2025-09-05 14:00:00,Agusan del Norte,3207.9,23.87,NNE
2025-09-05 17:00:00,Agusan del Norte,3329.61,26.03,NNE
2025-09-05 20:00:00,Agusan del Norte,3447.45,28.12,NNE
2025-09-03 20:00:00,Agusan del Sur,2131.65,15.59,NNE
2025-09-03 23:00:00,Agusan del Sur,2176.38,14.38,NNE
2025-09-04 02:00:00,Agusan del Sur,2235.37,13.41,NNE
2025-09-04 05:00:00,Agusan del Sur,2318.96,12.58,NNE
2025-09-04 08:00:00,Agusan del Sur,2407.6,12.28,NNE
2025-09-04 11:00:00,Agusan del Sur,2487.78,12.27,NNE
2025-09-04 14:00:00,Agusan del Sur,2557.14,12.32,NNE
2025-09-04 17:00:00,Agusan del Sur,2637.26,12.31,NNE
2025-09-04 20:00:00,Agusan del Sur,2708.94,12.54,NNE
2025-09-04 23:00:00,Agusan del Sur,2756.74,12.69,NNE
2025-09-05 02:00:00,Agusan del Sur,2814.59,13.58,NNE
2025-09-05 05:00:00,Agusan del Sur,2887.29,15.34,NNE
2025-09-05 08:00:00,Agusan del Sur,2979.39,17.85,NNE
2025-09-05 11:00:00,Agusan del Sur,3095.45,20.41,NNE
2025-09-05 14:00:00,Agusan del Sur,3226.68,23.04,NNE
2025-09-05 17:00:00,Agusan del Sur,3346.3,25.23,NNE
2025-09-05 20:00:00,Agusan del Sur,3462.11,27.34,NNE
2025-09-03 20:00:00,Aklan,1955.71,28.24,NNE
2025-09-03 23:00:00,Aklan,1988.56,26.65,NNE
2025-09-04 02:00:00,Aklan,2037.42,25.22,NNE
2025-09-04 05:00:00,Aklan,2111.78,23.82,NNE
2025-09-04 08:00:00,Aklan,2195.74,22.98,NNE
2025-09-04 11:00:00,Aklan,2274.15,22.54,NNE
2025-09-04 14:00:00,Aklan,2342.56,22.24,NNE
2025-09-04 17:00:00,Aklan,2420.99,21.84,NNE
2025-09-04 20:00:00,Aklan,2493.39,21.77,NNE
2025-09-04 23:00:00,Aklan,2541.61,21.71,NNE
2025-09-05 02:00:00,Aklan,2606.14,22.42,NNE
2025-09-05 05:00:00,Aklan,2692.8,23.98,NNE
2025-09-05 08:00:00,Aklan,2805.32,26.26,NNE
2025-09-05 11:00:00,Aklan,2942.14,28.5,NNE
2025-09-05 14:00:00,Aklan,3094.82,30.77,NNE
2025-09-05 17:00:00,Aklan,3232.44,32.65,NNE
2025-09-05 20:00:00,Aklan,3365.72,34.46,NE
2025-09-03 20:00:00,Albay,1746.29,26.79,NNE
2025-09-03 23:00:00,Albay,1780.9,25.06,NNE
2025-09-04 02:00:00,Albay,1831.48,23.52,NNE
2025-09-04 05:00:00,Albay,1907.63,22.06,NNE
2025-09-04 08:00:00,Albay,1992.69,21.23,NNE
2025-09-04 11:00:00,Albay,2071.67,20.83,NNE
2025-09-04 14:00:00,Albay,2140.46,20.58,NNE
2025-09-04 17:00:00,Albay,2219.44,20.22,NNE
2025-09-04 20:00:00,Albay,2291.9,20.2,NNE
2025-09-04 23:00:00,Albay,2340.17,20.19,NNE
2025-09-05 02:00:00,Albay,2403.64,21.01,NNE
2025-09-05 05:00:00,Albay,2488.11,22.75,NNE
2025-09-05 08:00:00,Albay,2597.76,25.27,NNE
2025-09-05 11:00:00,Albay,2732.13,27.75,NNE
2025-09-05 14:00:00,Albay,2882.69,30.23,NNE
2025-09-05 17:00:00,Albay,3018.83,32.27,NNE
2025-09-05 20:00:00,Albay,3150.93,34.23,NE
2025-09-03 20:00:00,Antique,2070.32,27.89,NNE
2025-09-03 23:00:00,Antique,2103.39,26.39,NNE
2025-09-04 02:00:00,Antique,2152.37,25.04,NNE
2025-09-04 05:00:00,Antique,2226.79,23.71,NNE
2025-09-04 08:00:00,Antique,2310.74,22.91,NNE
2025-09-04 11:00:00,Antique,2389.15,22.49,NNE
2025-09-04 14:00:00,Antique,2457.55,22.21,NNE
2025-09-04 17:00:00,Antique,2535.96,21.82,NNE
2025-09-04 20:00:00,Antique,2608.36,21.75,NNE
2025-09-04 23:00:00,Antique,2656.58,21.7,NNE
2025-09-05 02:00:00,Antique,2721.14,22.38,NNE
2025-09-05 05:00:00,Antique,2807.8,23.88,NNE
2025-09-05 08:00:00,Antique,2920.18,26.07,NNE
2025-09-05 11:00:00,Antique,3056.7,28.24,NNE
2025-09-05 14:00:00,Antique,3208.89,30.45,NNE
2025-09-05 17:00:00,Antique,3345.98,32.28,NNE
2025-09-05 20:00:00,Antique,3478.64,34.05,NE
2025-09-03 20:00:00,Apayao,1468.51,44.04,NE
2025-09-03 23:00:00,Apayao,1485.02,41.66,NE
2025-09-04 02:00:00,Apayao,1519.0,39.32,NE
2025-09-04 05:00:00,Apayao,1578.68,36.83,NE
2025-09-04 08:00:00,Apayao,1653.2,35.05,NE
2025-09-04 11:00:00,Apayao,1726.09,33.9,NE
2025-09-04 14:00:00,Apayao,1790.6,33.06,NNE
2025-09-04 17:00:00,Apayao,1864.27,32.06,NNE
2025-09-04 20:00:00,Apayao,1934.79,31.55,NNE
