Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2025-09-06 14:00:00,Abra,440.7,279.34,W
2025-09-06 17:00:00,Abra,465.11,281.69,WNW
2025-09-06 20:00:00,Abra,510.78,283.3,WNW
2025-09-06 23:00:00,Abra,572.83,282.01,WNW
2025-09-07 02:00:00,Abra,623.04,280.14,W
2025-09-07 05:00:00,Abra,641.2,277.89,W
2025-09-07 08:00:00,Abra,662.2,277.7,W
2025-09-07 11:00:00,Abra,699.33,281.08,W
2025-09-07 14:00:00,Abra,743.41,285.79,WNW
2025-09-07 17:00:00,Abra,765.15,288.85,WNW
2025-09-07 20:00:00,Abra,785.25,290.97,WNW
2025-09-07 23:00:00,Abra,820.02,293.46,WNW
2025-09-08 02:00:00,Abra,856.11,295.74,WNW
2025-09-08 05:00:00,Abra,907.48,298.2,WNW
2025-09-08 08:00:00,Abra,960.17,300.4,WNW
2025-09-06 14:00:00,Agusan del Norte,1417.05,317.48,NW
2025-09-06 17:00:00,Agusan del Norte,1447.71,317.5,NW
2025-09-06 20:00:00,Agusan del Norte,1493.27,316.95,NW
2025-09-06 23:00:00,Agusan del Norte,1538.96,315.28,NW
2025-09-07 02:00:00,Agusan del Norte,1570.72,313.66,NW
2025-09-07 05:00:00,Agusan del Norte,1572.31,312.53,NW
2025-09-07 08:00:00,Agusan del Norte,1588.57,312.04,NW
2025-09-07 11:00:00,Agusan del Norte,1641.29,312.54,NW
2025-09-07 14:00:00,Agusan del Norte,1708.48,313.6,NW
2025-09-07 17:00:00,Agusan del Norte,1745.63,314.49,NW
2025-09-07 20:00:00,Agusan del Norte,1775.67,315.08,NW
2025-09-07 23:00:00,Agusan del Norte,1821.05,315.69,NW
2025-09-08 02:00:00,Agusan del Norte,1866.56,316.27,NW
2025-09-08 05:00:00,Agusan del Norte,1927.35,316.86,NW
2025-09-08 08:00:00,Agusan del Norte,1988.2,317.42,NW
2025-09-06 14:00:00,Agusan del Sur,1474.48,317.34,NW
2025-09-06 17:00:00,Agusan del Sur,1505.14,317.37,NW
2025-09-06 20:00:00,Agusan del Sur,1550.74,316.84,NW
2025-09-06 23:00:00,Agusan del Sur,1596.54,315.24,NW
2025-09-07 02:00:00,Agusan del Sur,1628.36,313.68,NW
2025-09-07 05:00:00,Agusan del Sur,1629.96,312.59,NW
2025-09-07 08:00:00,Agusan del Sur,1646.21,312.11,NW
2025-09-07 11:00:00,Agusan del Sur,1698.94,312.6,NW
2025-09-07 14:00:00,Agusan del Sur,1766.12,313.62,NW
2025-09-07 17:00:00,Agusan del Sur,1803.24,314.49,NW
2025-09-07 20:00:00,Agusan del Sur,1833.26,315.06,NW
