Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2025-09-18 20:00:00,Abra,1331.71,96.34,E
2025-09-18 23:00:00,Abra,1296.41,95.61,E
2025-09-19 02:00:00,Abra,1252.48,95.41,E
2025-09-19 05:00:00,Abra,1201.54,96.33,E
2025-09-19 08:00:00,Abra,1150.85,97.32,E
2025-09-19 11:00:00,Abra,1119.32,97.62,E
2025-09-19 14:00:00,Abra,1085.77,97.35,E
2025-09-19 17:00:00,Abra,1052.28,97.06,E
2025-09-19 20:00:00,Abra,1018.84,96.75,E
2025-09-19 23:00:00,Abra,1008.31,96.85,E
2025-09-20 02:00:00,Abra,1010.22,97.48,E
2025-09-20 05:00:00,Abra,989.21,97.7,E
2025-09-20 08:00:00,Abra,966.24,97.27,E
2025-09-20 11:00:00,Abra,941.58,96.16,E
2025-09-20 14:00:00,Abra,906.78,95.07,E
2025-09-20 17:00:00,Abra,882.96,93.82,E
2025-09-20 20:00:00,Abra,858.75,91.75,E
2025-09-20 23:00:00,Abra,814.57,89.62,E
2025-09-21 02:00:00,Abra,771.77,87.24,E
2025-09-21 05:00:00,Abra,719.06,86.31,E
2025-09-21 08:00:00,Abra,676.76,86.2,E
2025-09-21 11:00:00,Abra,635.66,84.07,E
2025-09-21 14:00:00,Abra,606.15,81.75,E
2025-09-21 17:00:00,Abra,569.31,77.92,ENE
2025-09-21 20:00:00,Abra,525.34,73.29,ENE
2025-09-21 23:00:00,Abra,468.22,69.93,ENE
2025-09-22 02:00:00,Abra,403.65,65.05,ENE
2025-09-22 05:00:00,Abra,352.38,59.23,ENE
2025-09-22 08:00:00,Abra,306.13,51.51,NE
2025-09-22 11:00:00,Abra,259.31,42.94,NE
2025-09-22 14:00:00,Abra,220.86,30.98,NNE
2025-09-22 17:00:00,Abra,195.78,15.01,NNE
2025-09-22 20:00:00,Abra,200.53,356.49,N
2025-09-22 23:00:00,Abra,224.38,340.43,NNW
2025-09-23 02:00:00,Abra,262.14,328.24,NNW
2025-09-23 05:00:00,Abra,317.18,320.77,NW
2025-09-23 08:00:00,Abra,368.69,316.75,NW
2025-09-23 11:00:00,Abra,429.29,312.81,NW
2025-09-23 14:00:00,Abra,483.34,310.66,NW
2025-09-23 17:00:00,Abra,537.93,308.96,NW
2025-09-23 20:00:00,Abra,601.31,307.02,NW
2025-09-23 23:00:00,Abra,665.24,305.47,NW
2025-09-24 02:00:00,Abra,723.68,303.46,WNW
2025-09-24 05:00:00,Abra,768.41,301.44,WNW
2025-09-24 08:00:00,Abra,819.23,300.34,WNW
2025-09-24 11:00:00,Abra,884.61,299.73,WNW
2025-09-24 14:00:00,Abra,950.03,299.21,WNW
2025-09-24 17:00:00,Abra,1020.02,297.96,WNW
2025-09-24 20:00:00,Abra,1099.93,296.67,WNW
2025-09-18 20:00:00,Agusan del Norte,1119.94,45.64,NE
2025-09-18 23:00:00,Agusan del Norte,1112.16,43.67,NE
