Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2025-10-01 14:00:00,Abra,1134.16,105.05,ESE
2025-10-01 17:00:00,Abra,1086.7,106.49,ESE
2025-10-01 20:00:00,Abra,1025.9,107.67,ESE
2025-10-01 23:00:00,Abra,951.49,108.6,ESE
2025-10-02 02:00:00,Abra,863.25,109.26,ESE
2025-10-02 05:00:00,Abra,785.15,109.74,ESE
2025-10-02 08:00:00,Abra,731.23,110.48,ESE
2025-10-02 11:00:00,Abra,711.41,111.13,ESE
2025-10-02 14:00:00,Abra,681.86,112.19,ESE
2025-10-02 17:00:00,Abra,604.26,113.13,ESE
2025-10-02 20:00:00,Abra,517.26,114.82,ESE
2025-10-02 23:00:00,Abra,440.35,116.49,ESE
2025-10-03 02:00:00,Abra,373.29,118.01,ESE
2025-10-03 05:00:00,Abra,315.83,119.15,ESE
2025-10-03 08:00:00,Abra,249.53,122.03,ESE
2025-10-03 11:00:00,Abra,160.67,128.35,SE
2025-10-03 14:00:00,Abra,73.17,155.71,SSE
2025-10-03 17:00:00,Abra,64.19,238.77,WSW
2025-10-03 20:00:00,Abra,129.5,265.26,W
2025-10-03 23:00:00,Abra,192.58,270.27,W
2025-10-04 02:00:00,Abra,256.35,272.85,W
2025-10-04 05:00:00,Abra,332.98,278.15,W
2025-10-04 08:00:00,Abra,419.79,279.74,W
2025-10-04 11:00:00,Abra,503.54,278.33,W
2025-10-04 14:00:00,Abra,577.03,277.47,W
2025-10-04 17:00:00,Abra,643.92,279.87,W
2025-10-04 20:00:00,Abra,715.64,283.59,WNW
2025-10-04 23:00:00,Abra,786.81,285.86,WNW
2025-10-05 02:00:00,Abra,858.77,287.78,WNW
2025-10-05 05:00:00,Abra,925.15,288.09,WNW
2025-10-05 08:00:00,Abra,991.46,288.38,WNW
2025-10-05 11:00:00,Abra,1060.73,289.23,WNW
2025-10-05 14:00:00,Abra,1120.07,290.14,WNW
2025-10-05 17:00:00,Abra,1179.51,290.97,WNW
2025-10-05 20:00:00,Abra,1239.03,291.73,WNW
2025-10-05 23:00:00,Abra,1298.59,292.44,WNW
2025-10-06 02:00:00,Abra,1354.6,292.64,WNW
2025-10-01 14:00:00,Agusan del Norte,858.75,41.39,NE
2025-10-01 17:00:00,Agusan del Norte,814.9,39.11,NE
2025-10-01 20:00:00,Agusan del Norte,774.96,35.45,NE
2025-10-01 23:00:00,Agusan del Norte,742.48,30.23,NNE
2025-10-02 02:00:00,Agusan del Norte,722.51,23.44,NNE
2025-10-02 05:00:00,Agusan del Norte,716.59,17.2,NNE
2025-10-02 08:00:00,Agusan del Norte,713.09,12.81,NNE
2025-10-02 11:00:00,Agusan del Norte,708.54,11.11,N
2025-10-02 14:00:00,Agusan del Norte,702.92,8.53,N
2025-10-02 17:00:00,Agusan del Norte,717.81,2.32,N
2025-10-02 20:00:00,Agusan del Norte,741.68,355.6,N
2025-10-02 23:00:00,Agusan del Norte,773.3,350.18,N
2025-10-03 02:00:00,Agusan del Norte,808.67,345.97,NNW
2025-10-03 05:00:00,Agusan del Norte,844.83,342.83,NNW
2025-10-03 08:00:00,Agusan del Norte,887.2,339.31,NNW
2025-10-03 11:00:00,Agusan del Norte,951.78,335.25,NNW
2025-10-03 14:00:00,Agusan del Norte,1025.89,331.22,NNW
2025-10-03 17:00:00,Agusan del Norte,1098.68,328.23,NNW
