year,name,PhilippineLocalName,start_utc,end_utc
2010,OMAIS,Agaton,3/19/2010,3/26/2010
2010,CONSON,Basyang,7/10/2010,7/18/2010
2010,CHANTHU,Caloy,7/17/2010,7/23/2010
2010,DIANMU,Ester,8/6/2010,8/13/2010
2010,LIONROCK,Florita,8/26/2010,9/4/2010
2010,KOMPASU,Glenda,8/27/2010,9/6/2010
2010,MALOU,Henry,8/31/2010,9/10/2010
2010,FANAPI,Inday,9/13/2010,9/21/2010
2010,MEGI,Juan,10/11/2010,10/24/2010
2010,CHABA,Katring,10/20/2010,11/1/2010
2011,AERE,Bebeng,5/5/2011,5/15/2011
2011,SONGDA,Chedeng,5/19/2011,6/2/2011
2011,SARIKA,Dodong,6/8/2011,6/11/2011
2011,HAIMA,Egay,6/16/2011,6/25/2011
2011,MEARI,Falcon,6/20/2011,6/27/2011
2011,MA-ON,Ineng,7/10/2011,7/31/2011
2011,TOKAGE,Hanna,7/13/2011,7/16/2011
2011,NOCK-TEN,Juaning,7/24/2011,7/31/2011
2011,MUIFA,Kabayan,7/26/2011,8/15/2011
2011,NANMADOL,Mina,8/21/2011,8/31/2011
2011,KULAP,Nonoy,9/5/2011,9/11/2011
2011,ROKE,Onyok,9/9/2011,9/24/2011
2011,NESAT,Pedring,9/23/2011,9/30/2011
2011,NALGAE,Quiel,9/26/2011,10/5/2011
2011,BANYAN,Ramon,10/9/2011,10/15/2011
2011,WASHI,Sendong,12/11/2011,12/19/2011
2012,UNNAMED,Tropical Depression 01W,2/14/2012,2/21/2012
2012,MAWAR,Ambo,5/31/2012,6/13/2012
2012,GUCHOL,Butchoy,6/10/2012,6/22/2012
2012,TALIM,Carina,6/16/2012,6/21/2012
2012,DOKSURI,Dindo,6/25/2012,6/30/2012
2012,KHANUN,Enteng,7/13/2012,7/20/2012
2012,VICENTE,Ferdie,7/18/2012,7/25/2012
2012,SAOLA,Gener,7/26/2012,8/5/2012
2012,KAI-TAK,Helen,8/11/2012,8/18/2012
2012,TEMBIN,Igme,8/17/2012,9/1/2012
2012,BOLAVEN,Julian,8/18/2012,9/1/2012
2012,SANBA,Karen,9/10/2012,9/18/2012
2012,JELAWAT,Lawin,9/19/2012,10/3/2012
2012,GAEMI,Marce,9/29/2012,10/7/2012
2012,PRAPIROON,Nina,10/5/2012,10/23/2012
2012,SON-TINH,Ofel,10/21/2012,10/29/2012
2012,BOPHA,Pablo,11/25/2012,12/9/2012
2012,WUKONG,Quinta,12/23/2012,12/29/2012
2013,SONAMU,Auring,1/1/2013,1/10/2013
2013,SHANSHAN,Crising,2/18/2013,2/23/2013
2013,YAGI,Dante,6/6/2013,6/16/2013
2013,LEEPI,Emong,6/16/2013,6/23/2013
2013,BEBINCA,Fabian,6/19/2013,6/24/2013
2013,RUMBIA,Gorio,6/27/2013,7/2/2013
2013,SOULIK,Huaning,7/6/2013,7/14/2013
2013,CIMARON,Isang,7/14/2013,7/19/2013
2013,JEBI,Jolina,7/28/2013,8/3/2013
2013,MANGKHUT,Kiko,8/5/2013,8/8/2013
2013,UTOR,Labuyo,8/8/2013,8/18/2013
2013,TRAMI,Maring,8/16/2013,8/24/2013
2013,KONG-REY,Nando,8/25/2013,8/31/2013
2013,USAGI,Odette,9/16/2013,9/24/2013
2013,WUTIP,Paolo,9/25/2013,10/1/2013
2013,FITOW,Quedan,9/29/2013,10/7/2013
2013,DANAS,Ramil,10/1/2013,10/9/2013
2013,NARI,Santi,10/8/2013,10/16/2013
2013,WIPHA,Tino,10/9/2013,10/18/2013
2013,FRANCISCO,Urduja,10/15/2013,10/26/2013
2013,KROSA,Vinta,10/27/2013,11/4/2013
2013,UNNAMED,Wilma,11/1/2013,11/7/2013
2013,HAIYAN,Yolanda,11/2/2013,11/11/2013
2013,PODUL,Zoraida,11/11/2013,11/15/2013
2014,LINGLING,Agaton,1/15/2014,1/20/2014
2014,KAJIKI,Basyang,1/29/2014,2/1/2014
2014,PEIPAH,Domeng,4/2/2014,4/9/2014
2014,MITAG,Ester,6/9/2014,6/12/2014
2014,NEOGURI,Florita,7/2/2014,7/13/2014
2014,RAMMASUN,Glenda,7/9/2014,7/20/2014
2014,MATMO,Henry,7/16/2014,7/26/2014
2014,NAKRI,Inday,7/27/2014,8/4/2014
2014,KALMAEGI,Luis,9/10/2014,9/17/2014
2014,FUNG-WONG,Mario,9/17/2014,9/25/2014
2014,VONGFONG,Ompong,10/1/2014,10/16/2014
2014,NURI,Paeng,10/30/2014,11/7/2014
2014,SINLAKU,Queenie,11/25/2014,11/30/2014
2014,HAGUPIT,Ruby,11/30/2014,12/12/2014
2014,JANGMI,Seniang,12/27/2014,12/31/2014
2015,MEKKHALA,Amang,1/12/2015,1/20/2015
2015,BAVI,Betty,3/10/2015,3/21/2015
2015,MAYSAK,Chedeng,3/25/2015,4/7/2015
2015,NOUL,Dodong,5/2/2015,5/16/2015
2015,CHAN-HOM,Falcon,6/29/2015,7/13/2015
2015,LINFA,Egay,7/1/2015,7/10/2015
2015,HALOLA,Goring,7/6/2015,7/26/2015
2015,SOUDELOR,Hanna,7/29/2015,8/12/2015
2015,GONI,Ineng,8/13/2015,8/30/2015
2015,DUJUAN,Jenny,9/19/2015,9/30/2015
2015,MUJIGAE,Kabayan,9/30/2015,10/5/2015
2015,KOPPU,Lando,10/12/2015,10/21/2015
2015,IN-FA,Marilyn,11/16/2015,11/27/2015
2015,MELOR,Nona,12/10/2015,12/17/2015
2016,NEPARTAK,Butchoy,7/2/2016,7/10/2016
2016,NIDA,Carina,7/29/2016,8/3/2016
2016,LIONROCK,Dindo,8/16/2016,8/30/2016
2016,NAMTHEUN,Enteng,8/30/2016,9/5/2016
2016,MERANTI,Ferdie,9/8/2016,9/17/2016
